count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,784289,0,784289,0,0
52,781139,0,781139,0,0
53,777431,0,777431,0,0
54,775108,0,775108,0,0
55,771298,0,771298,0,0
56,767117,0,767117,0,0
57,807821,0,807821,0,0
58,808584,0,808584,0,0
59,807907,0,807907,0,0
60,804546,0,804546,0,0
61,1184617,0,1184617,0,0
62,1190983,0,1190983,0,0
63,1188017,0,1188017,0,0
64,1184940,0,1184940,0,0
65,1182993,0,1182993,0,0
66,1181125,0,1181125,0,0
67,1178745,0,1178745,0,0
68,1175657,0,1175657,0,0
69,1172779,0,1172779,0,0
70,1169869,0,1169869,0,0
71,1167495,0,1167495,0,0
72,1165104,0,1165104,0,0
73,1162588,0,1162588,0,0
74,1159916,0,1159916,0,0
75,1157300,0,1157300,0,0
76,1151975,0,1151975,0,0
77,1148225,0,1148225,0,0
78,1147909,0,1147909,0,0
79,1143732,0,1143732,0,0
80,1141545,0,1141545,0,0
81,1138703,0,1138703,0,0
82,1236423,0,1236423,0,0
83,1239967,0,1239967,0,0
84,1238196,0,1238196,0,0
85,1234295,0,1234295,0,0
86,1232861,0,1232861,0,0
87,1231069,0,1231069,0,0
88,1229706,0,1229706,0,0
89,1222564,0,1222564,0,0
90,1220671,0,1220671,0,0
91,1268337,0,1268337,0,0
92,1268409,0,1268409,0,0
93,1264657,0,1264657,0,0
94,1260530,0,1260530,0,0
95,1253130,0,1253130,0,0
96,1250019,0,1250019,0,0
97,1245407,0,1245407,0,0
98,1240404,0,1240404,0,0
99,1235794,0,1235794,0,0
100,1297329,0,1297329,0,0
101,1297982,0,1297982,0,0
102,1295233,0,1295233,0,0
103,1291871,0,1291871,0,0
104,1290071,0,1290071,0,0
105,1395669,0,1395669,0,0
106,570652,0,570652,0,0
107,566462,0,566462,0,0
108,562788,0,562788,0,0
109,560079,0,560079,0,0
110,557141,0,557141,0,0
111,549891,0,549891,0,0
112,547755,0,547755,0,0
113,543583,0,543583,0,0
114,538252,0,538252,0,0
115,534699,0,534699,0,0
116,531104,0,531104,0,0
117,527164,0,527164,0,0
118,523260,0,523260,0,0
119,519638,0,519638,0,0
120,517905,0,517905,0,0
121,783175,0,783175,0,0
122,786159,0,786159,0,0
123,782893,0,782893,0,0
124,779561,0,779561,0,0
125,775625,0,775625,0,0
126,771788,0,771788,0,0
127,767064,0,767064,0,0
128,765040,0,765040,0,0
129,761925,0,761925,0,0
130,758974,0,758974,0,0
131,755236,0,755236,0,0
132,750646,0,750646,0,0
133,747318,0,747318,0,0
134,743936,0,743936,0,0
135,741291,0,741291,0,0
136,739988,0,739988,0,0
137,805019,0,805019,0,0
138,807942,0,807942,0,0
139,801809,0,801809,0,0
140,796902,0,796902,0,0
141,791749,0,791749,0,0
142,788371,0,788371,0,0
143,782388,0,782388,0,0
144,780622,0,780622,0,0
145,777290,0,777290,0,0
146,824520,0,824520,0,0
147,824507,0,824507,0,0
148,822011,0,822011,0,0
149,817827,0,817827,0,0
150,813508,0,813508,0,0
151,1035227,0,1035227,0,0
152,1036295,0,1036295,0,0
153,1032163,0,1032163,0,0
154,1028079,0,1028079,0,0
155,1024857,0,1024857,0,0
156,1021482,0,1021482,0,0
157,1017928,0,1017928,0,0
158,1014391,0,1014391,0,0
159,1010199,0,1010199,0,0
160,1007682,0,1007682,0,0
161,1004620,0,1004620,0,0
162,1001535,0,1001535,0,0
163,998165,0,998165,0,0
164,992173,0,992173,0,0
165,988284,0,988284,0,0
166,985299,0,985299,0,0
167,1224512,0,1224512,0,0
168,1231148,0,1231148,0,0
169,1228837,0,1228837,0,0
170,1225804,0,1225804,0,0
171,1223035,0,1223035,0,0
172,1219640,0,1219640,0,0
173,1216695,0,1216695,0,0
174,1213637,0,1213637,0,0
175,1210230,0,1210230,0,0
176,1203688,0,1203688,0,0
177,1198937,0,1198937,0,0
178,1195658,0,1195658,0,0
179,1191953,0,1191953,0,0
180,1189163,0,1189163,0,0
181,1248133,0,1248133,0,0
182,1250084,0,1250084,0,0
183,1246482,0,1246482,0,0
184,1243080,0,1243080,0,0
185,1238400,0,1238400,0,0
186,1233111,0,1233111,0,0
187,1228240,0,1228240,0,0
188,1223218,0,1223218,0,0
189,1215194,0,1215194,0,0
190,1210081,0,1210081,0,0
191,1249833,0,1249833,0,0
192,1250069,0,1250069,0,0
193,1246740,0,1246740,0,0
194,1242920,0,1242920,0,0
195,1238833,0,1238833,0,0
196,949862,0,949862,0,0
197,1037214,0,1037214,0,0
198,1037928,0,1037928,0,0
199,1034513,0,1034513,0,0
200,1032258,0,1032258,0,0
201,1026959,0,1026959,0,0
202,1025190,0,1025190,0,0
203,1023835,0,1023835,0,0
204,1021053,0,1021053,0,0
205,1016874,0,1016874,0,0
206,1012802,0,1012802,0,0
207,1009322,0,1009322,0,0
208,1007547,0,1007547,0,0
209,1004010,0,1004010,0,0
210,1070627,0,1070627,0,0
211,1287109,0,1287109,0,0
212,1289329,0,1289329,0,0
213,1284875,0,1284875,0,0
214,1279555,0,1279555,0,0
215,1275394,0,1275394,0,0
216,1271991,0,1271991,0,0
217,1267816,0,1267816,0,0
218,1263288,0,1263288,0,0
219,1343973,0,1343973,0,0
220,1346112,0,1346112,0,0
221,1343779,0,1343779,0,0
222,1340964,0,1340964,0,0
223,1338242,0,1338242,0,0
224,1336064,0,1336064,0,0
225,1332222,0,1332222,0,0
226,1073963,0,1073963,0,0
227,1066471,0,1066471,0,0
228,1061583,0,1061583,0,0
229,1056833,0,1056833,0,0
230,1102880,0,1102880,0,0
231,1108541,0,1108541,0,0
232,1109912,0,1109912,0,0
233,1108444,0,1108444,0,0
234,1105478,0,1105478,0,0
235,1102940,0,1102940,0,0
236,1099787,0,1099787,0,0
237,1095822,0,1095822,0,0
238,1079642,0,1079642,0,0
239,1075652,0,1075652,0,0
240,1073473,0,1073473,0,0
241,1305853,0,1305853,0,0
242,1309399,0,1309399,0,0
243,1306867,0,1306867,0,0
244,1303565,0,1303565,0,0
245,1300087,0,1300087,0,0
246,1296901,0,1296901,0,0
247,1292943,0,1292943,0,0
248,1290870,0,1290870,0,0
249,1287124,0,1287124,0,0
250,1279580,0,1279580,0,0
251,1276631,0,1276631,0,0
252,1271041,0,1271041,0,0
253,1267500,0,1267500,0,0
254,1264195,0,1264195,0,0
255,1260811,0,1260811,0,0
256,1033712,0,1033712,0,0
257,1030593,0,1030593,0,0
258,1030169,0,1030169,0,0
259,1029243,0,1029243,0,0
260,1028094,0,1028094,0,0
261,1027541,0,1027541,0,0
262,1137529,0,1137529,0,0
263,1141015,0,1141015,0,0
264,1141092,0,1141092,0,0
265,1138878,0,1138878,0,0
266,1136589,0,1136589,0,0
267,1134397,0,1134397,0,0
268,1131284,0,1131284,0,0
269,1128828,0,1128828,0,0
270,1126520,0,1126520,0,0
271,1303998,0,1303998,0,0
272,1308704,0,1308704,0,0
273,1308310,0,1308310,0,0
274,1307950,0,1307950,0,0
275,1307104,0,1307104,0,0
276,1304924,0,1304924,0,0
277,1302482,0,1302482,0,0
278,1300136,0,1300136,0,0
279,1297495,0,1297495,0,0
280,1296424,0,1296424,0,0
281,1294155,0,1294155,0,0
282,1354755,0,1354755,0,0
283,1360009,0,1360009,0,0
284,1358455,0,1358455,0,0
285,1356237,0,1356237,0,0
286,1012550,0,1012550,0,0
287,1003574,0,1003574,0,0
288,999126,0,999126,0,0
289,994998,0,994998,0,0
290,1045319,0,1045319,0,0
291,1045431,0,1045431,0,0
292,1040726,0,1040726,0,0
293,1035670,0,1035670,0,0
294,1031635,0,1031635,0,0
295,1027184,0,1027184,0,0
296,1023958,0,1023958,0,0
297,1018971,0,1018971,0,0
298,1016843,0,1016843,0,0
299,1014676,0,1014676,0,0
300,1011987,0,1011987,0,0
301,1205538,0,1205538,0,0
302,1208192,0,1208192,0,0
303,1207142,0,1207142,0,0
304,1205315,0,1205315,0,0
305,1200407,0,1200407,0,0
306,1196238,0,1196238,0,0
307,1252030,0,1252030,0,0
308,1266759,0,1266759,0,0
309,1262948,0,1262948,0,0
310,1258129,0,1258129,0,0
311,1253767,0,1253767,0,0
312,1249912,0,1249912,0,0
313,1240396,0,1240396,0,0
314,1235492,0,1235492,0,0
315,1384610,0,1384610,0,0
316,1109817,0,1109817,0,0
317,1101093,0,1101093,0,0
318,1097347,0,1097347,0,0
319,1093257,0,1093257,0,0
320,1091417,0,1091417,0,0
321,1087100,0,1087100,0,0
322,1080734,0,1080734,0,0
323,1073069,0,1073069,0,0
324,1067306,0,1067306,0,0
325,1057429,0,1057429,0,0
326,1051674,0,1051674,0,0
327,1045739,0,1045739,0,0
328,1040627,0,1040627,0,0
329,1034345,0,1034345,0,0
330,1030926,0,1030926,0,0
331,1147358,0,1147358,0,0
332,1148145,0,1148145,0,0
333,1145133,0,1145133,0,0
334,1141514,0,1141514,0,0
335,1137216,0,1137216,0,0
336,1132468,0,1132468,0,0
337,1138509,0,1138509,0,0
338,1134379,0,1134379,0,0
339,1130024,0,1130024,0,0
340,1123576,0,1123576,0,0
341,1116601,0,1116601,0,0
342,1322797,0,1322797,0,0
343,1325223,0,1325223,0,0
344,1323020,0,1323020,0,0
345,1308704,0,1308704,0,0
346,1096182,0,1096182,0,0
347,1088303,0,1088303,0,0
348,1084606,0,1084606,0,0
349,1081019,0,1081019,0,0
350,1079764,0,1079764,0,0
351,1078716,0,1078716,0,0
352,1077325,0,1077325,0,0
353,1074094,0,1074094,0,0
354,1070405,0,1070405,0,0
355,1066720,0,1066720,0,0
356,1062995,0,1062995,0,0
357,1059083,0,1059083,0,0
358,1056466,0,1056466,0,0
359,1053543,0,1053543,0,0
360,1051344,0,1051344,0,0
361,1226980,0,1226980,0,0
362,1227444,0,1227444,0,0
363,1223512,0,1223512,0,0
364,1218608,0,1218608,0,0
365,1213167,0,1213167,0,0
366,1207967,0,1207967,0,0
367,1203303,0,1203303,0,0
368,1199556,0,1199556,0,0
369,1195075,0,1195075,0,0
370,1192684,0,1192684,0,0
371,1190802,0,1190802,0,0
372,1188413,0,1188413,0,0
373,1253635,0,1253635,0,0
374,1256667,0,1256667,0,0
375,1256706,0,1256706,0,0
376,779258,0,779258,0,0
377,770235,0,770235,0,0
378,766610,0,766610,0,0
379,763321,0,763321,0,0
380,760594,0,760594,0,0
381,758639,0,758639,0,0
382,840972,0,840972,0,0
383,846055,0,846055,0,0
384,844859,0,844859,0,0
385,843623,0,843623,0,0
386,842621,0,842621,0,0
387,840587,0,840587,0,0
388,839826,0,839826,0,0
389,908410,0,908410,0,0
390,912310,0,912310,0,0
391,1045998,0,1045998,0,0
392,1048109,0,1048109,0,0
393,1045787,0,1045787,0,0
394,1043684,0,1043684,0,0
395,1039226,0,1039226,0,0
396,1034320,0,1034320,0,0
397,1029776,0,1029776,0,0
398,1026638,0,1026638,0,0
399,1023399,0,1023399,0,0
400,1019207,0,1019207,0,0
401,1015749,0,1015749,0,0
402,1012751,0,1012751,0,0
403,1008338,0,1008338,0,0
404,1003550,0,1003550,0,0
405,1089215,0,1089215,0,0
406,823592,0,823592,0,0
407,814819,0,814819,0,0
408,811616,0,811616,0,0
409,806759,0,806759,0,0
410,803068,0,803068,0,0
411,799454,0,799454,0,0
412,795434,0,795434,0,0
413,792560,0,792560,0,0
414,789769,0,789769,0,0
415,786298,0,786298,0,0
416,782783,0,782783,0,0
417,779140,0,779140,0,0
418,829998,0,829998,0,0
419,830895,0,830895,0,0
420,828803,0,828803,0,0
421,1025162,0,1025162,0,0
422,1029459,0,1029459,0,0
423,1025866,0,1025866,0,0
424,1020806,0,1020806,0,0
425,1015833,0,1015833,0,0
426,1010940,0,1010940,0,0
427,1008823,0,1008823,0,0
428,1006584,0,1006584,0,0
429,1004392,0,1004392,0,0
430,1002385,0,1002385,0,0
431,1000200,0,1000200,0,0
432,998756,0,998756,0,0
433,1080795,0,1080795,0,0
434,1084947,0,1084947,0,0
435,1083817,0,1083817,0,0
436,868738,0,868738,0,0
437,836430,0,836430,0,0
438,833164,0,833164,0,0
439,829387,0,829387,0,0
440,826153,0,826153,0,0
441,822591,0,822591,0,0
442,819898,0,819898,0,0
443,903998,0,903998,0,0
444,906136,0,906136,0,0
445,903204,0,903204,0,0
446,900591,0,900591,0,0
447,897727,0,897727,0,0
448,895295,0,895295,0,0
449,892451,0,892451,0,0
450,890549,0,890549,0,0
451,1116419,0,1116419,0,0
452,1117416,0,1117416,0,0
453,1112288,0,1112288,0,0
454,1107461,0,1107461,0,0
455,1101982,0,1101982,0,0
456,1096564,0,1096564,0,0
457,1091055,0,1091055,0,0
458,1085632,0,1085632,0,0
459,1083474,0,1083474,0,0
460,1080545,0,1080545,0,0
461,1075587,0,1075587,0,0
462,1070375,0,1070375,0,0
463,1066139,0,1066139,0,0
464,1061640,0,1061640,0,0
465,1056470,0,1056470,0,0
466,842042,0,842042,0,0
467,833607,0,833607,0,0
468,953945,0,953945,0,0
469,959394,0,959394,0,0
470,957394,0,957394,0,0
471,954131,0,954131,0,0
472,951351,0,951351,0,0
473,947690,0,947690,0,0
474,944650,0,944650,0,0
475,942233,0,942233,0,0
476,939563,0,939563,0,0
477,937038,0,937038,0,0
478,934619,0,934619,0,0
479,932007,0,932007,0,0
480,929441,0,929441,0,0
481,1222009,0,1222009,0,0
482,1258048,0,1258048,0,0
483,1256445,0,1256445,0,0
484,1253423,0,1253423,0,0
485,1249462,0,1249462,0,0
486,1241231,0,1241231,0,0
487,1237872,0,1237872,0,0
488,1234363,0,1234363,0,0
489,1230948,0,1230948,0,0
490,1228417,0,1228417,0,0
491,1225369,0,1225369,0,0
492,1222200,0,1222200,0,0
493,1218828,0,1218828,0,0
494,1215596,0,1215596,0,0
495,1212734,0,1212734,0,0
496,887520,0,887520,0,0
497,877489,0,877489,0,0
498,871359,0,871359,0,0
499,866798,0,866798,0,0
500,862709,0,862709,0,0
501,859076,0,859076,0,0
502,855941,0,855941,0,0
503,924517,0,924517,0,0
504,927043,0,927043,0,0
505,924578,0,924578,0,0
506,921855,0,921855,0,0
507,921558,0,921558,0,0
508,921103,0,921103,0,0
509,920779,0,920779,0,0
510,921061,0,921061,0,0
511,1041164,0,1041164,0,0
512,1046468,0,1046468,0,0
513,1045228,0,1045228,0,0
514,1044882,0,1044882,0,0
515,1044383,0,1044383,0,0
516,1042989,0,1042989,0,0
517,1040123,0,1040123,0,0
518,1036928,0,1036928,0,0
519,1034130,0,1034130,0,0
520,1030904,0,1030904,0,0
521,1027694,0,1027694,0,0
522,1034696,0,1034696,0,0
523,1033676,0,1033676,0,0
524,1030368,0,1030368,0,0
525,1026961,0,1026961,0,0
526,760216,0,760216,0,0
527,751314,0,751314,0,0
528,747878,0,747878,0,0
529,788303,0,788303,0,0
530,787104,0,787104,0,0
531,782997,0,782997,0,0
532,767183,0,767183,0,0
533,762186,0,762186,0,0
534,805116,0,805116,0,0
535,807784,0,807784,0,0
536,804622,0,804622,0,0
537,800826,0,800826,0,0
538,797722,0,797722,0,0
539,793446,0,793446,0,0
540,789716,0,789716,0,0
541,985233,0,985233,0,0
542,987681,0,987681,0,0
543,984525,0,984525,0,0
544,981451,0,981451,0,0
545,978422,0,978422,0,0
546,975156,0,975156,0,0
547,980658,0,980658,0,0
548,970180,0,970180,0,0
549,963471,0,963471,0,0
550,956805,0,956805,0,0
551,950516,0,950516,0,0
552,944081,0,944081,0,0
553,1007080,0,1007080,0,0
554,1006121,0,1006121,0,0
555,1002178,0,1002178,0,0
556,784079,0,784079,0,0
557,774587,0,774587,0,0
558,771643,0,771643,0,0
559,775361,0,775361,0,0
560,772267,0,772267,0,0
561,767125,0,767125,0,0
562,763778,0,763778,0,0
563,760891,0,760891,0,0
564,868450,0,868450,0,0
565,870362,0,870362,0,0
566,866882,0,866882,0,0
567,862712,0,862712,0,0
568,858467,0,858467,0,0
569,854098,0,854098,0,0
570,851177,0,851177,0,0
571,990604,0,990604,0,0
572,992245,0,992245,0,0
573,991719,0,991719,0,0
574,990942,0,990942,0,0
575,990079,0,990079,0,0
576,989308,0,989308,0,0
577,1047060,0,1047060,0,0
578,1049983,0,1049983,0,0
579,1049356,0,1049356,0,0
580,1047079,0,1047079,0,0
581,1043465,0,1043465,0,0
582,1040248,0,1040248,0,0
583,1036330,0,1036330,0,0
584,1032488,0,1032488,0,0
585,1030621,0,1030621,0,0
586,840294,0,840294,0,0
587,924459,0,924459,0,0
588,925635,0,925635,0,0
589,922130,0,922130,0,0
590,918739,0,918739,0,0
591,915359,0,915359,0,0
592,911613,0,911613,0,0
593,907233,0,907233,0,0
594,958727,0,958727,0,0
595,959800,0,959800,0,0
596,957224,0,957224,0,0
597,954766,0,954766,0,0
598,951154,0,951154,0,0
599,947887,0,947887,0,0
600,944784,0,944784,0,0
601,1165270,0,1165270,0,0
602,1168282,0,1168282,0,0
603,1164173,0,1164173,0,0
604,1159957,0,1159957,0,0
605,1155480,0,1155480,0,0
606,1150779,0,1150779,0,0
607,1146217,0,1146217,0,0
608,1141370,0,1141370,0,0
609,1136736,0,1136736,0,0
610,1128039,0,1128039,0,0
611,1122813,0,1122813,0,0
612,1117997,0,1117997,0,0
613,1113820,0,1113820,0,0
614,1109128,0,1109128,0,0
615,1104806,0,1104806,0,0
616,831598,0,831598,0,0
617,925426,0,925426,0,0
618,928529,0,928529,0,0
619,926731,0,926731,0,0
620,923377,0,923377,0,0
621,920471,0,920471,0,0
622,912879,0,912879,0,0
623,909492,0,909492,0,0
624,905535,0,905535,0,0
625,901853,0,901853,0,0
626,942691,0,942691,0,0
627,940295,0,940295,0,0
628,937893,0,937893,0,0
629,935000,0,935000,0,0
630,931509,0,931509,0,0
631,1088681,0,1088681,0,0
632,1089472,0,1089472,0,0
633,1086779,0,1086779,0,0
634,1083445,0,1083445,0,0
635,1078602,0,1078602,0,0
636,1075066,0,1075066,0,0
637,1071759,0,1071759,0,0
638,1068401,0,1068401,0,0
639,1070101,0,1070101,0,0
640,1066475,0,1066475,0,0
641,1063569,0,1063569,0,0
642,1060966,0,1060966,0,0
643,1057664,0,1057664,0,0
644,1054558,0,1054558,0,0
645,1051124,0,1051124,0,0
646,825731,0,825731,0,0
647,927908,0,927908,0,0
648,931818,0,931818,0,0
649,927848,0,927848,0,0
650,923344,0,923344,0,0
651,924896,0,924896,0,0
652,919993,0,919993,0,0
653,915086,0,915086,0,0
654,909469,0,909469,0,0
655,904706,0,904706,0,0
656,900742,0,900742,0,0
657,896711,0,896711,0,0
658,892825,0,892825,0,0
659,888364,0,888364,0,0
660,882880,0,882880,0,0
661,1131753,0,1131753,0,0
662,1134790,0,1134790,0,0
663,1157685,0,1157685,0,0
664,1153508,0,1153508,0,0
665,1150944,0,1150944,0,0
666,1147767,0,1147767,0,0
667,1144577,0,1144577,0,0
668,1141615,0,1141615,0,0
669,1137908,0,1137908,0,0
670,1134064,0,1134064,0,0
671,1130642,0,1130642,0,0
672,1118342,0,1118342,0,0
673,1108242,0,1108242,0,0
674,1104320,0,1104320,0,0
675,1103714,0,1103714,0,0
676,833509,0,833509,0,0
677,879531,0,879531,0,0
678,880768,0,880768,0,0
679,875356,0,875356,0,0
680,863947,0,863947,0,0
681,858526,0,858526,0,0
682,855089,0,855089,0,0
683,852040,0,852040,0,0
684,848940,0,848940,0,0
685,845010,0,845010,0,0
686,841979,0,841979,0,0
687,841896,0,841896,0,0
688,838467,0,838467,0,0
689,834483,0,834483,0,0
690,876908,0,876908,0,0
691,1049831,0,1049831,0,0
692,1051544,0,1051544,0,0
693,1048393,0,1048393,0,0
694,1045403,0,1045403,0,0
695,1042305,0,1042305,0,0
696,1038803,0,1038803,0,0
697,1040726,0,1040726,0,0
698,1050147,0,1050147,0,0
699,1046378,0,1046378,0,0
700,1052533,0,1052533,0,0
701,1049503,0,1049503,0,0
702,1134136,0,1134136,0,0
703,1134832,0,1134832,0,0
704,1131836,0,1131836,0,0
705,1128898,0,1128898,0,0
706,890688,0,890688,0,0
707,868299,0,868299,0,0
708,854239,0,854239,0,0
709,847520,0,847520,0,0
710,843051,0,843051,0,0
711,840177,0,840177,0,0
712,893197,0,893197,0,0
713,891430,0,891430,0,0
714,878453,0,878453,0,0
715,874345,0,874345,0,0
716,870919,0,870919,0,0
717,866798,0,866798,0,0
718,862324,0,862324,0,0
719,858700,0,858700,0,0
720,856760,0,856760,0,0
721,1215945,0,1215945,0,0
722,1220441,0,1220441,0,0
723,1219230,0,1219230,0,0
724,1222913,0,1222913,0,0
725,1219404,0,1219404,0,0
726,1215631,0,1215631,0,0
727,1211759,0,1211759,0,0
728,1208822,0,1208822,0,0
729,1204821,0,1204821,0,0
730,1201502,0,1201502,0,0
731,1200087,0,1200087,0,0
732,1198519,0,1198519,0,0
733,1197636,0,1197636,0,0
734,1194425,0,1194425,0,0
735,1191119,0,1191119,0,0
736,956386,0,956386,0,0
737,946794,0,946794,0,0
738,944953,0,944953,0,0
739,943237,0,943237,0,0
740,941768,0,941768,0,0
741,940801,0,940801,0,0
742,939542,0,939542,0,0
743,938300,0,938300,0,0
744,936967,0,936967,0,0
745,935381,0,935381,0,0
746,933850,0,933850,0,0
747,932640,0,932640,0,0
748,982059,0,982059,0,0
749,985379,0,985379,0,0
750,983922,0,983922,0,0
751,1149184,0,1149184,0,0
752,1155749,0,1155749,0,0
753,1155236,0,1155236,0,0
754,1155165,0,1155165,0,0
755,1154764,0,1154764,0,0
756,1154130,0,1154130,0,0
757,1153662,0,1153662,0,0
758,1153142,0,1153142,0,0
759,1152075,0,1152075,0,0
760,1151609,0,1151609,0,0
761,1157471,0,1157471,0,0
762,1157239,0,1157239,0,0
763,1156834,0,1156834,0,0
764,1156113,0,1156113,0,0
765,1156236,0,1156236,0,0
766,727160,0,727160,0,0
767,718432,0,718432,0,0
768,714937,0,714937,0,0
769,711255,0,711255,0,0
770,709027,0,709027,0,0
771,706144,0,706144,0,0
772,762848,0,762848,0,0
773,770275,0,770275,0,0
774,767476,0,767476,0,0
775,764341,0,764341,0,0
776,751885,0,751885,0,0
777,741263,0,741263,0,0
778,738346,0,738346,0,0
779,735261,0,735261,0,0
780,715986,0,715986,0,0
781,857552,0,857552,0,0
782,860701,0,860701,0,0
783,858228,0,858228,0,0
784,854686,0,854686,0,0
785,858055,0,858055,0,0
786,968146,0,968146,0,0
787,972144,0,972144,0,0
788,970396,0,970396,0,0
789,967676,0,967676,0,0
