count_idx,send_a_block_ns,send_b_block_ns,send_gap_ab_ns
1,9349,4314,10785
2,6043,2938,7169
3,15640,4992,17935
4,9080,4375,22783
5,6046,4092,7673
6,6172,4225,7660
7,5321,4546,6921
8,5350,4441,6952
9,5342,4279,6900
10,5612,5259,7081
11,18585,11272,22392
12,6006,64475,7448
13,6526,4457,8395
14,10253,4368,11777
15,14846,5571,16543
16,6016,4299,7463
17,14562,5598,16334
18,9933,4625,11675
19,6149,3661,7567
20,5577,4443,6987
21,14505,4971,16183
22,5662,3719,7029
23,14999,5445,16967
24,6379,4165,7810
25,6328,4889,7966
26,4961,4007,6438
27,15253,4649,16964
28,13244,5202,14989
29,5204,4231,6847
30,5732,3824,7471
31,10479,4323,12707
32,18346,5581,20656
33,6858,4378,8535
34,6513,3773,8260
35,6482,4803,8264
36,4704,4240,6538
37,16067,6220,18214
38,6147,4299,7535
39,4599,3403,6487
40,5126,3704,6703
41,5173,4095,6532
42,17302,6016,19208
43,14230,5413,15951
44,8763,3265,9886
45,8944,8171,10265
46,6302,3778,7578
47,4225,2453,5157
48,14678,4889,16397
49,8359,3987,10279
50,5932,4073,7844
51,15421,5470,17180
52,6772,3037,7727
53,14181,5429,16344
54,6041,3921,7569
55,5990,4379,7526
56,5430,4256,7157
57,5514,4108,7055
58,13874,5553,15690
59,5882,4039,7336
60,11268,5059,13169
61,15637,5020,17560
62,10092,4945,11659
63,14463,4811,16164
64,5321,4147,6838
65,14224,5134,16189
66,10424,3800,11849
67,5493,4229,7041
68,5771,4866,7575
69,10649,3373,11895
70,7883,5993,9492
71,5952,5092,7579
72,5866,4104,7427
73,12580,4617,14421
74,4028,2577,5047
75,11365,4769,12976
76,5664,3880,7048
77,5829,4407,7487
78,6623,3308,7807
79,9526,36005,11165
80,13214,4549,14699
81,5555,4108,7170
82,6432,3071,7585
83,12863,4632,14984
84,5997,3991,7497
85,11249,4759,13343
86,8668,5079,10469
87,4251,3975,5862
88,10543,4811,12234
89,4837,2751,6043
90,4710,4181,6220
91,11926,4160,13571
92,14257,4714,15838
93,5181,2946,6340
94,12950,4637,14671
95,5839,3902,7155
96,5855,4467,7524
97,25156,5035,27877
98,5380,4286,7125
99,5593,16299,7298
100,13680,6300,15686
101,13020,4772,14657
102,5444,3634,6891
103,15922,5465,17701
104,12782,4944,14646
105,13227,4897,15258
106,4157,2640,5298
107,5892,4377,7483
108,12626,5007,14261
109,8264,4139,9595
110,11112,4828,12693
111,5500,4193,7112
112,5493,4980,7077
113,5450,4550,6986
114,12901,3791,14171
115,10335,4627,11939
116,5291,4100,6684
117,5800,4628,7259
118,11073,4602,12742
119,6909,3750,8128
120,5095,3792,6574
121,14250,4798,15926
122,12776,4646,14343
123,5284,4027,6524
124,4988,4318,6618
125,12296,5190,14211
126,5958,12888,7478
127,18012,5649,19734
128,5765,3717,6975
129,15319,14569,17141
130,5770,3759,7368
131,15610,5497,17554
132,9911,4577,11532
133,15299,5497,17115
134,5690,3774,7214
135,17970,5579,19771
136,13662,4743,15496
137,6049,3944,7501
138,16427,5113,18475
139,8248,3918,9606
140,19908,4349,22040
141,6585,3894,8052
142,3951,4652,5433
143,14265,3848,16225
144,6197,3853,7751
145,6151,5179,7891
146,6476,4332,8041
147,11741,5067,13470
148,8936,4124,10518
149,5887,4233,7274
150,12259,8616,16704
151,6025,4125,7690
152,15156,4849,16978
153,9477,4521,11139
154,49826,6905,52269
155,13664,5515,15755
156,10001,4872,11788
157,7628,3969,9148
158,14080,5138,15809
159,7384,4536,8912
160,12496,6504,27815
161,15062,5321,17026
162,3965,3892,4889
163,6470,5244,8206
164,6576,4676,8293
165,12203,5122,14219
166,6038,4183,7535
167,12645,4657,14552
168,5789,3936,7038
169,13712,5106,15419
170,10678,4753,12484
171,6190,4275,7751
172,7505,4031,9023
173,10989,4395,12676
174,15251,5692,17416
175,5979,4228,7533
176,5935,4445,7561
177,6307,4052,7870
178,6210,4528,7754
179,12017,5048,14000
180,12145,5093,14211
181,5888,4592,7566
182,6180,4068,7933
183,5915,4429,7572
184,5788,4009,7414
185,12236,4765,13805
186,10881,11813,12816
187,9767,3387,11012
188,5661,3797,7096
189,12426,5045,14120
190,5746,4275,7231
191,16065,5055,17888
192,4570,2423,5416
193,11997,5138,13753
194,7614,3986,8976
195,8326,3523,9643
196,7682,4384,9268
197,5797,4389,7410
198,5235,4817,6835
199,7378,3103,8586
200,5989,4065,7037
