count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
76,408207,0,408207,0,0
77,407891,0,407891,0,0
78,405679,0,405679,0,0
79,404694,0,404694,0,0
80,401802,0,401802,0,0
81,396366,0,396366,0,0
82,394533,0,394533,0,0
106,388831,0,388831,0,0
107,390645,0,390645,0,0
108,389607,0,389607,0,0
109,387332,0,387332,0,0
110,385112,0,385112,0,0
111,382330,0,382330,0,0
112,379728,0,379728,0,0
124,348579,0,348579,0,0
125,348284,0,348284,0,0
126,345891,0,345891,0,0
127,343526,0,343526,0,0
128,340885,0,340885,0,0
129,338354,0,338354,0,0
130,335721,0,335721,0,0
135,337631,0,337631,0,0
136,528723,0,528723,0,0
137,526615,0,526615,0,0
138,522997,0,522997,0,0
139,517539,0,517539,0,0
140,513847,0,513847,0,0
141,512082,0,512082,0,0
142,509960,0,509960,0,0
158,478571,0,478571,0,0
159,478968,0,478968,0,0
160,477422,0,477422,0,0
161,477118,0,477118,0,0
162,475271,0,475271,0,0
163,473337,0,473337,0,0
164,469635,0,469635,0,0
166,594553,0,594553,0,0
167,595464,0,595464,0,0
168,593465,0,593465,0,0
169,590846,0,590846,0,0
170,589931,0,589931,0,0
171,587500,0,587500,0,0
172,585362,0,585362,0,0
181,457454,0,457454,0,0
182,459341,0,459341,0,0
183,457566,0,457566,0,0
184,455422,0,455422,0,0
185,453229,0,453229,0,0
186,452577,0,452577,0,0
187,450314,0,450314,0,0
196,537825,0,537825,0,0
197,538263,0,538263,0,0
198,536300,0,536300,0,0
199,534538,0,534538,0,0
200,532417,0,532417,0,0
201,530298,0,530298,0,0
202,528773,0,528773,0,0
212,388362,0,388362,0,0
213,388706,0,388706,0,0
214,386692,0,386692,0,0
215,384726,0,384726,0,0
216,382580,0,382580,0,0
217,380556,0,380556,0,0
218,378393,0,378393,0,0
226,507528,0,507528,0,0
227,507023,0,507023,0,0
228,504951,0,504951,0,0
229,502401,0,502401,0,0
230,500042,0,500042,0,0
231,497587,0,497587,0,0
232,494863,0,494863,0,0
248,379803,0,379803,0,0
249,381090,0,381090,0,0
250,378877,0,378877,0,0
251,376147,0,376147,0,0
252,373538,0,373538,0,0
253,371111,0,371111,0,0
254,368748,0,368748,0,0
256,527903,0,527903,0,0
257,527885,0,527885,0,0
258,525854,0,525854,0,0
259,523425,0,523425,0,0
260,520730,0,520730,0,0
261,517731,0,517731,0,0
262,515062,0,515062,0,0
275,570808,0,570808,0,0
276,571803,0,571803,0,0
277,569006,0,569006,0,0
278,567257,0,567257,0,0
279,564877,0,564877,0,0
280,562287,0,562287,0,0
281,559893,0,559893,0,0
298,585368,0,585368,0,0
299,585474,0,585474,0,0
300,449548,0,449548,0,0
301,443410,0,443410,0,0
302,441841,0,441841,0,0
303,439246,0,439246,0,0
304,436662,0,436662,0,0
316,517046,0,517046,0,0
317,520133,0,520133,0,0
318,518571,0,518571,0,0
319,516537,0,516537,0,0
320,514092,0,514092,0,0
321,512558,0,512558,0,0
322,509933,0,509933,0,0
330,471155,0,471155,0,0
331,468666,0,468666,0,0
332,466210,0,466210,0,0
333,463722,0,463722,0,0
334,461266,0,461266,0,0
335,458835,0,458835,0,0
336,457080,0,457080,0,0
347,462128,0,462128,0,0
348,462597,0,462597,0,0
349,460453,0,460453,0,0
350,458124,0,458124,0,0
351,455473,0,455473,0,0
