count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
61,1730156,0,1730156,0,0
62,1733110,0,1733110,0,0
63,1732210,0,1732210,0,0
64,1756859,0,1756859,0,0
65,1758935,0,1758935,0,0
66,1757929,0,1757929,0,0
67,1756673,0,1756673,0,0
91,1493806,0,1493806,0,0
92,1523772,0,1523772,0,0
93,1524349,0,1524349,0,0
94,1522726,0,1522726,0,0
95,1520570,0,1520570,0,0
96,1518290,0,1518290,0,0
97,1516469,0,1516469,0,0
121,1583173,0,1583173,0,0
122,1584041,0,1584041,0,0
123,1582880,0,1582880,0,0
124,1580599,0,1580599,0,0
125,1603606,0,1603606,0,0
126,1602409,0,1602409,0,0
127,1600663,0,1600663,0,0
151,1279874,0,1279874,0,0
152,1283177,0,1283177,0,0
153,1280917,0,1280917,0,0
154,1280289,0,1280289,0,0
155,1277837,0,1277837,0,0
156,1275416,0,1275416,0,0
157,1273316,0,1273316,0,0
181,1329891,0,1329891,0,0
182,1331471,0,1331471,0,0
183,1330118,0,1330118,0,0
184,1329111,0,1329111,0,0
185,1328039,0,1328039,0,0
186,1326100,0,1326100,0,0
187,1323952,0,1323952,0,0
188,1322252,0,1322252,0,0
189,1320097,0,1320097,0,0
191,1314038,0,1314038,0,0
192,1333831,0,1333831,0,0
193,1334122,0,1334122,0,0
194,1334472,0,1334472,0,0
195,822719,0,822719,0,0
196,816889,0,816889,0,0
197,814099,0,814099,0,0
198,811672,0,811672,0,0
199,828630,0,828630,0,0
200,828755,0,828755,0,0
201,826910,0,826910,0,0
202,827084,0,827084,0,0
203,826440,0,826440,0,0
204,824787,0,824787,0,0
205,822988,0,822988,0,0
206,821166,0,821166,0,0
207,819086,0,819086,0,0
208,853264,0,853264,0,0
209,853789,0,853789,0,0
210,854240,0,854240,0,0
211,1289800,0,1289800,0,0
212,1290109,0,1290109,0,0
213,1288568,0,1288568,0,0
214,1286428,0,1286428,0,0
215,1284267,0,1284267,0,0
216,1282511,0,1282511,0,0
217,1279531,0,1279531,0,0
235,1091250,0,1091250,0,0
236,1090501,0,1090501,0,0
241,1518177,0,1518177,0,0
242,1519174,0,1519174,0,0
243,1517598,0,1517598,0,0
244,1515437,0,1515437,0,0
245,1532870,0,1532870,0,0
246,1534084,0,1534084,0,0
247,1534476,0,1534476,0,0
265,960679,0,960679,0,0
266,959041,0,959041,0,0
271,1332394,0,1332394,0,0
272,1332445,0,1332445,0,0
273,1331759,0,1331759,0,0
274,1350730,0,1350730,0,0
275,1351751,0,1351751,0,0
276,1349812,0,1349812,0,0
277,1348249,0,1348249,0,0
301,1171129,0,1171129,0,0
302,1172492,0,1172492,0,0
303,1170480,0,1170480,0,0
304,1168704,0,1168704,0,0
305,1166594,0,1166594,0,0
306,1164229,0,1164229,0,0
307,1162854,0,1162854,0,0
308,1160486,0,1160486,0,0
309,1158118,0,1158118,0,0
311,1173258,0,1173258,0,0
312,1173034,0,1173034,0,0
313,1171518,0,1171518,0,0
314,1169266,0,1169266,0,0
315,964866,0,964866,0,0
316,963966,0,963966,0,0
317,961902,0,961902,0,0
318,959522,0,959522,0,0
319,1162150,0,1162150,0,0
320,1178340,0,1178340,0,0
321,1179607,0,1179607,0,0
322,1179485,0,1179485,0,0
323,1179460,0,1179460,0,0
324,1180493,0,1180493,0,0
325,1180032,0,1180032,0,0
331,1346512,0,1346512,0,0
332,1348691,0,1348691,0,0
333,1347416,0,1347416,0,0
334,1345348,0,1345348,0,0
335,1342962,0,1342962,0,0
336,1340560,0,1340560,0,0
