count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,-2949844829,0,-2949844829,0,0
52,-2949848732,0,-2949848732,0,0
53,-2949850951,0,-2949850951,0,0
54,-2949852570,0,-2949852570,0,0
55,-2949864905,0,-2949864905,0,0
56,-2949878826,0,-2949878826,0,0
57,-2949884986,0,-2949884986,0,0
58,-2949891647,0,-2949891647,0,0
59,-2949897151,0,-2949897151,0,0
60,-2949903721,0,-2949903721,0,0
61,-2949896030,0,-2949896030,0,0
62,-2949901862,0,-2949901862,0,0
63,-2949907394,0,-2949907394,0,0
64,-2949911303,0,-2949911303,0,0
65,-2949905138,0,-2949905138,0,0
66,-2949912779,0,-2949912779,0,0
67,-2949917675,0,-2949917675,0,0
68,-2949923802,0,-2949923802,0,0
69,-2949930412,0,-2949930412,0,0
70,-2949935283,0,-2949935283,0,0
71,-2949940082,0,-2949940082,0,0
72,-2949945218,0,-2949945218,0,0
73,-2949953091,0,-2949953091,0,0
74,-2949959513,0,-2949959513,0,0
75,-2949964462,0,-2949964462,0,0
76,-2949970017,0,-2949970017,0,0
77,-2949975788,0,-2949975788,0,0
78,-2949982395,0,-2949982395,0,0
79,-2949988532,0,-2949988532,0,0
80,-2949980115,0,-2949980115,0,0
81,-2949986081,0,-2949986081,0,0
82,-2950003273,0,-2950003273,0,0
83,-2950010719,0,-2950010719,0,0
84,-2950015498,0,-2950015498,0,0
85,-2950020782,0,-2950020782,0,0
86,-2950031178,0,-2950031178,0,0
87,-2950039097,0,-2950039097,0,0
88,-2950042312,0,-2950042312,0,0
89,-2950046906,0,-2950046906,0,0
90,-2950050099,0,-2950050099,0,0
91,-2950051327,0,-2950051327,0,0
92,-2950054464,0,-2950054464,0,0
93,-2950056521,0,-2950056521,0,0
94,-2950060636,0,-2950060636,0,0
95,-2950064695,0,-2950064695,0,0
96,-2950067425,0,-2950067425,0,0
97,-2950070345,0,-2950070345,0,0
98,-2950073154,0,-2950073154,0,0
99,-2950075296,0,-2950075296,0,0
100,-2950078897,0,-2950078897,0,0
101,-2950081533,0,-2950081533,0,0
102,-2950084859,0,-2950084859,0,0
103,-2950087119,0,-2950087119,0,0
104,-2950091207,0,-2950091207,0,0
105,-2950097089,0,-2950097089,0,0
106,-2950099846,0,-2950099846,0,0
107,-2950101188,0,-2950101188,0,0
108,-2950105125,0,-2950105125,0,0
109,-2950107408,0,-2950107408,0,0
110,-2950113208,0,-2950113208,0,0
111,-2950118214,0,-2950118214,0,0
112,-2950123599,0,-2950123599,0,0
113,-2950132825,0,-2950132825,0,0
114,-2950140005,0,-2950140005,0,0
115,-2950144922,0,-2950144922,0,0
116,-2950151356,0,-2950151356,0,0
117,-2950162739,0,-2950162739,0,0
118,-2950164994,0,-2950164994,0,0
119,-2950167711,0,-2950167711,0,0
120,-2950170946,0,-2950170946,0,0
121,-2950176209,0,-2950176209,0,0
122,-2950179838,0,-2950179838,0,0
123,-2950182257,0,-2950182257,0,0
124,-2950187192,0,-2950187192,0,0
125,-2950189609,0,-2950189609,0,0
126,-2950191718,0,-2950191718,0,0
127,-2950194816,0,-2950194816,0,0
128,-2950196690,0,-2950196690,0,0
129,-2950201363,0,-2950201363,0,0
130,-2950203339,0,-2950203339,0,0
131,-2950203961,0,-2950203961,0,0
132,-2950206126,0,-2950206126,0,0
133,-2950208358,0,-2950208358,0,0
134,-2950212904,0,-2950212904,0,0
135,-2950215284,0,-2950215284,0,0
136,-2950218471,0,-2950218471,0,0
137,-2950223497,0,-2950223497,0,0
138,-2950225627,0,-2950225627,0,0
139,-2950227534,0,-2950227534,0,0
140,-2950235091,0,-2950235091,0,0
141,-2950241125,0,-2950241125,0,0
142,-2950247245,0,-2950247245,0,0
143,-2950253328,0,-2950253328,0,0
144,-2950260574,0,-2950260574,0,0
145,-2950267438,0,-2950267438,0,0
146,-2950274465,0,-2950274465,0,0
147,-2950279613,0,-2950279613,0,0
148,-2950284151,0,-2950284151,0,0
149,-2950286455,0,-2950286455,0,0
150,-2950289211,0,-2950289211,0,0
151,-2950292856,0,-2950292856,0,0
152,-2950295244,0,-2950295244,0,0
153,-2950299523,0,-2950299523,0,0
154,-2950302954,0,-2950302954,0,0
155,-2950305043,0,-2950305043,0,0
156,-2950308455,0,-2950308455,0,0
157,-2950312334,0,-2950312334,0,0
158,-2950315951,0,-2950315951,0,0
159,-2950320484,0,-2950320484,0,0
160,-2950323591,0,-2950323591,0,0
161,-2950325869,0,-2950325869,0,0
162,-2950328357,0,-2950328357,0,0
163,-2950330337,0,-2950330337,0,0
164,-2950335981,0,-2950335981,0,0
165,-2950338061,0,-2950338061,0,0
166,-2950340651,0,-2950340651,0,0
167,-2950343051,0,-2950343051,0,0
168,-2950350488,0,-2950350488,0,0
169,-2950357756,0,-2950357756,0,0
170,-2950364013,0,-2950364013,0,0
171,-2950369033,0,-2950369033,0,0
172,-2950374343,0,-2950374343,0,0
