count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,-4968039,0,-4968039,-31503035,11196132
52,-4971961,0,-4971961,-31503035,11196132
53,-4976371,0,-4976371,-31503035,11196132
54,-4978506,0,-4978506,-31503035,11196132
55,-4983644,0,-4983644,-31503035,11196132
56,-4984533,0,-4984533,-31503035,11196132
57,-4988352,0,-4988352,-31503035,11196132
58,-4990372,0,-4990372,-31503035,11196132
59,-4982096,0,-4982096,-31503035,11196132
60,-4972754,0,-4972754,-31503035,11196132
61,-4976812,0,-4976812,-31503035,11196132
62,-4980653,0,-4980653,-31503035,11196132
63,-4984680,0,-4984680,-31503035,11196132
64,-4989788,0,-4989788,-31503035,11196132
65,-4995249,0,-4995249,-31503035,11196132
66,-5000695,0,-5000695,-31503035,11196132
67,-5003520,0,-5003520,-31503035,11196132
68,-5007749,0,-5007749,-31503035,11196132
69,-5012875,0,-5012875,-31503035,11196132
70,-5007341,0,-5007341,-31503035,11196132
71,-5011510,0,-5011510,-31503035,11196132
72,-5015845,0,-5015845,-31503035,11196132
73,-5020013,0,-5020013,-31503035,11196132
74,-5016461,0,-5016461,-31503035,11196132
75,-5014901,0,-5014901,-31503035,11196132
76,-5014687,0,-5014687,-31503035,11196132
77,-5014425,0,-5014425,-31503035,11196132
78,-5005408,0,-5005408,-31503035,11196132
79,-5005094,0,-5005094,-31503035,11196132
80,-5005070,0,-5005070,-31503035,11196132
81,-4996253,0,-4996253,-31503035,11196132
82,-4996480,0,-4996480,-31503035,11196132
83,-4995345,0,-4995345,-31503035,11196132
84,-4995233,0,-4995233,-31503035,11196132
85,-4995272,0,-4995272,-31503035,11196132
86,-4991809,0,-4991809,-31503035,11196132
87,-4991759,0,-4991759,-31503035,11196132
88,-4984119,0,-4984119,-31503035,11196132
89,-4984188,0,-4984188,-31503035,11196132
90,-4984286,0,-4984286,-31503035,11196132
91,-4983328,0,-4983328,-31503035,11196132
92,-4983122,0,-4983122,-31503035,11196132
93,-4979730,0,-4979730,-31503035,11196132
94,-4979590,0,-4979590,-31503035,11196132
95,-4976416,0,-4976416,-31503035,11196132
96,-4976254,0,-4976254,-31503035,11196132
97,5846049,0,5846049,-31503035,11196132
98,5852594,0,5852594,-31503035,11196132
99,5855618,0,5855618,-31503035,11196132
100,5856621,0,5856621,-31503035,11196132
101,5856731,0,5856731,-31503035,11196132
102,5856747,0,5856747,-31503035,11196132
103,5856850,0,5856850,-31503035,11196132
104,5856929,0,5856929,-31503035,11196132
105,5856695,0,5856695,-31503035,11196132
106,5856986,0,5856986,-31503035,11196132
107,5858363,0,5858363,-31503035,11196132
108,5858863,0,5858863,-31503035,11196132
109,5858909,0,5858909,-31503035,11196132
110,5858750,0,5858750,-31503035,11196132
111,5859003,0,5859003,-31503035,11196132
112,5859054,0,5859054,-31503035,11196132
113,5859115,0,5859115,-31503035,11196132
114,5859327,0,5859327,-31503035,11196132
115,5860659,0,5860659,-31503035,11196132
116,5860427,0,5860427,-31503035,11196132
117,5860600,0,5860600,-31503035,11196132
118,5860582,0,5860582,-31503035,11196132
119,5860589,0,5860589,-31503035,11196132
120,5860401,0,5860401,-31503035,11196132
121,5860487,0,5860487,-31503035,11196132
122,5860686,0,5860686,-31503035,11196132
123,5861869,0,5861869,-31503035,11196132
124,5861603,0,5861603,-31503035,11196132
125,5861535,0,5861535,-31503035,11196132
126,5861617,0,5861617,-31503035,11196132
127,5861637,0,5861637,-31503035,11196132
128,5861642,0,5861642,-31503035,11196132
129,5869205,0,5869205,-31503035,11196132
130,5869587,0,5869587,-31503035,11196132
131,5886973,0,5886973,-31503035,11196132
132,5887617,0,5887617,-31503035,11196132
133,5887643,0,5887643,-31503035,11196132
134,5887244,0,5887244,-31503035,11196132
135,5887135,0,5887135,-31503035,11196132
136,5887006,0,5887006,-31503035,11196132
137,5886720,0,5886720,-31503035,11196132
138,5886748,0,5886748,-31503035,11196132
139,5887788,0,5887788,-31503035,11196132
140,5887961,0,5887961,-31503035,11196132
141,5901478,0,5901478,-31503035,11196132
142,5901544,0,5901544,-31503035,11196132
143,5901516,0,5901516,-31503035,11196132
144,5901562,0,5901562,-31503035,11196132
145,5901596,0,5901596,-31503035,11196132
146,5901975,0,5901975,-31503035,11196132
147,5903242,0,5903242,-31503035,11196132
148,5831318,0,5831318,-31503035,11196132
149,5761654,0,5761654,-31503035,11196132
150,5727037,0,5727037,-31503035,11196132
151,5715557,0,5715557,-31503035,11196132
152,5714617,0,5714617,-31503035,11196132
153,5714568,0,5714568,-31503035,11196132
154,5714897,0,5714897,-31503035,11196132
155,5716217,0,5716217,-31503035,11196132
156,5716237,0,5716237,-31503035,11196132
157,5716915,0,5716915,-31503035,11196132
158,5717255,0,5717255,-31503035,11196132
159,5724801,0,5724801,-31503035,11196132
160,5724942,0,5724942,-31503035,11196132
161,5725084,0,5725084,-31503035,11196132
162,5725243,0,5725243,-31503035,11196132
163,5734085,0,5734085,-31503035,11196132
164,5734382,0,5734382,-31503035,11196132
165,5733060,0,5733060,-31503035,11196132
166,5732984,0,5732984,-31503035,11196132
167,5732873,0,5732873,-31503035,11196132
168,5741643,0,5741643,-31503035,11196132
169,5741132,0,5741132,-31503035,11196132
170,5741256,0,5741256,-31503035,11196132
171,5742495,0,5742495,-31503035,11196132
172,5742765,0,5742765,-31503035,11196132
173,5742757,0,5742757,-31503035,11196132
174,5742684,0,5742684,-31503035,11196132
175,5753598,0,5753598,-31503035,11196132
176,5752883,0,5752883,-31503035,11196132
177,5751685,0,5751685,-31503035,11196132
178,5751548,0,5751548,-31503035,11196132
179,5751145,0,5751145,-31503035,11196132
180,5750476,0,5750476,-31503035,11196132
181,5750477,0,5750477,-31503035,11196132
182,5762789,0,5762789,-31503035,11196132
183,5762022,0,5762022,-31503035,11196132
184,5761659,0,5761659,-31503035,11196132
185,5761527,0,5761527,-31503035,11196132
186,5761568,0,5761568,-31503035,11196132
187,5762961,0,5762961,-31503035,11196132
188,5763180,0,5763180,-31503035,11196132
189,5766683,0,5766683,-31503035,11196132
190,5766651,0,5766651,-31503035,11196132
191,5773897,0,5773897,-31503035,11196132
192,5773886,0,5773886,-31503035,11196132
193,5773870,0,5773870,-31503035,11196132
194,5774039,0,5774039,-31503035,11196132
195,5786684,0,5786684,-31503035,11196132
196,5786027,0,5786027,-31503035,11196132
197,5785784,0,5785784,-31503035,11196132
198,5784924,0,5784924,-31503035,11196132
199,5784529,0,5784529,-31503035,11196132
