count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,-5858185,0,-5858185,-33839321,11933549
52,-5859815,0,-5859815,-33839321,11933549
53,-5863005,0,-5863005,-33839321,11933549
54,-5865486,0,-5865486,-33839321,11933549
55,-5868592,0,-5868592,-33839321,11933549
56,-5871706,0,-5871706,-33839321,11933549
57,-5874868,0,-5874868,-33839321,11933549
58,-5879762,0,-5879762,-33839321,11933549
59,-5887844,0,-5887844,-33839321,11933549
60,-5921357,0,-5921357,-33839321,11933549
61,-5929519,0,-5929519,-33839321,11933549
62,-5935590,0,-5935590,-33839321,11933549
63,-5938624,0,-5938624,-33839321,11933549
64,-5929064,0,-5929064,-33839321,11933549
65,-5932375,0,-5932375,-33839321,11933549
66,-5935938,0,-5935938,-33839321,11933549
67,-5938034,0,-5938034,-33839321,11933549
68,-5941799,0,-5941799,-33839321,11933549
69,-5945766,0,-5945766,-33839321,11933549
70,-5949278,0,-5949278,-33839321,11933549
71,-5952828,0,-5952828,-33839321,11933549
72,-5956336,0,-5956336,-33839321,11933549
73,-5945144,0,-5945144,-33839321,11933549
74,-5948785,0,-5948785,-33839321,11933549
75,-5951158,0,-5951158,-33839321,11933549
76,-5954606,0,-5954606,-33839321,11933549
77,-5958456,0,-5958456,-33839321,11933549
78,-5961736,0,-5961736,-33839321,11933549
79,-5965302,0,-5965302,-33839321,11933549
80,-5961742,0,-5961742,-33839321,11933549
81,-5956966,0,-5956966,-33839321,11933549
82,-5960758,0,-5960758,-33839321,11933549
83,-5962925,0,-5962925,-33839321,11933549
84,-5966201,0,-5966201,-33839321,11933549
85,-5969513,0,-5969513,-33839321,11933549
86,-5958273,0,-5958273,-33839321,11933549
87,-5961802,0,-5961802,-33839321,11933549
88,-692997,0,-692997,-33839321,11933549
89,-686429,0,-686429,-33839321,11933549
90,-684532,0,-684532,-33839321,11933549
91,-683047,0,-683047,-33839321,11933549
92,-682814,0,-682814,-33839321,11933549
93,-682559,0,-682559,-33839321,11933549
94,-682254,0,-682254,-33839321,11933549
95,-682351,0,-682351,-33839321,11933549
96,-682188,0,-682188,-33839321,11933549
97,-681924,0,-681924,-33839321,11933549
98,-682232,0,-682232,-33839321,11933549
99,-681429,0,-681429,-33839321,11933549
100,-681630,0,-681630,-33839321,11933549
101,-681707,0,-681707,-33839321,11933549
102,-681706,0,-681706,-33839321,11933549
103,-681605,0,-681605,-33839321,11933549
104,-681509,0,-681509,-33839321,11933549
105,-681492,0,-681492,-33839321,11933549
106,-681523,0,-681523,-33839321,11933549
107,-680196,0,-680196,-33839321,11933549
108,-680245,0,-680245,-33839321,11933549
109,-671166,0,-671166,-33839321,11933549
110,-673907,0,-673907,-33839321,11933549
111,-674024,0,-674024,-33839321,11933549
112,-673982,0,-673982,-33839321,11933549
113,-667337,0,-667337,-33839321,11933549
114,-667228,0,-667228,-33839321,11933549
115,-666312,0,-666312,-33839321,11933549
116,-666595,0,-666595,-33839321,11933549
117,-662902,0,-662902,-33839321,11933549
118,-662725,0,-662725,-33839321,11933549
119,-659760,0,-659760,-33839321,11933549
120,-656458,0,-656458,-33839321,11933549
121,-656284,0,-656284,-33839321,11933549
122,-650378,0,-650378,-33839321,11933549
123,-651168,0,-651168,-33839321,11933549
124,-651740,0,-651740,-33839321,11933549
125,-648532,0,-648532,-33839321,11933549
126,-645444,0,-645444,-33839321,11933549
127,-642148,0,-642148,-33839321,11933549
128,-641883,0,-641883,-33839321,11933549
129,-635908,0,-635908,-33839321,11933549
130,-635831,0,-635831,-33839321,11933549
131,-628411,0,-628411,-33839321,11933549
132,-628369,0,-628369,-33839321,11933549
133,-628318,0,-628318,-33839321,11933549
134,-624302,0,-624302,-33839321,11933549
135,-624294,0,-624294,-33839321,11933549
136,-618051,0,-618051,-33839321,11933549
137,-618079,0,-618079,-33839321,11933549
138,-612006,0,-612006,-33839321,11933549
139,-610710,0,-610710,-33839321,11933549
140,-610647,0,-610647,-33839321,11933549
