count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,55074425,0,55074425,0,0
52,54984716,0,54984716,0,0
53,54855482,0,54855482,0,0
54,54719430,0,54719430,0,0
55,54569318,0,54569318,0,0
56,55124785,0,55124785,0,0
57,54995994,0,54995994,0,0
58,54866712,0,54866712,0,0
59,54737652,0,54737652,0,0
60,55783546,0,55783546,0,0
61,55653139,0,55653139,0,0
62,55522520,0,55522520,0,0
63,55387902,0,55387902,0,0
64,55323861,0,55323861,0,0
65,55192660,0,55192660,0,0
66,55060558,0,55060558,0,0
67,54921906,0,54921906,0,0
68,55100266,0,55100266,0,0
69,54949908,0,54949908,0,0
70,54788893,0,54788893,0,0
71,54586870,0,54586870,0,0
72,55450677,0,55450677,0,0
73,55241357,0,55241357,0,0
74,55081771,0,55081771,0,0
75,54926036,0,54926036,0,0
76,55742672,0,55742672,0,0
77,55598507,0,55598507,0,0
78,55465279,0,55465279,0,0
79,55350421,0,55350421,0,0
80,55203647,0,55203647,0,0
81,55052446,0,55052446,0,0
82,54917065,0,54917065,0,0
83,54786928,0,54786928,0,0
84,55529753,0,55529753,0,0
85,55398225,0,55398225,0,0
86,55267229,0,55267229,0,0
87,55144219,0,55144219,0,0
88,54991570,0,54991570,0,0
89,54854444,0,54854444,0,0
90,54713638,0,54713638,0,0
91,54639379,0,54639379,0,0
92,55228607,0,55228607,0,0
93,55094598,0,55094598,0,0
94,54944794,0,54944794,0,0
95,54802417,0,54802417,0,0
96,55403601,0,55403601,0,0
97,55257907,0,55257907,0,0
98,55109301,0,55109301,0,0
99,54973837,0,54973837,0,0
100,55179749,0,55179749,0,0
101,55038939,0,55038939,0,0
102,54899731,0,54899731,0,0
103,54767417,0,54767417,0,0
104,54655116,0,54655116,0,0
105,54523998,0,54523998,0,0
106,54392728,0,54392728,0,0
107,54799090,0,54799090,0,0
108,55387894,0,55387894,0,0
109,55256251,0,55256251,0,0
110,55124583,0,55124583,0,0
111,54990302,0,54990302,0,0
112,54941058,0,54941058,0,0
