count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,-6562840,0,-6562840,-93775176,12596474
52,-5620784,0,-5620784,-93775176,12596474
53,-5321793,0,-5321793,-93775176,12596474
54,-5929757,0,-5929757,-93775176,12596474
55,-6464507,0,-6464507,-93775176,12596474
56,-7058308,0,-7058308,-93775176,12596474
57,-5342077,0,-5342077,-93775176,12596474
58,-5877313,0,-5877313,-93775176,12596474
59,-6467843,0,-6467843,-93775176,12596474
60,-7023946,0,-7023946,-93775176,12596474
61,-5543737,0,-5543737,-93775176,12596474
62,-6092254,0,-6092254,-93775176,12596474
63,-6652615,0,-6652615,-93775176,12596474
64,-5834887,0,-5834887,-93775176,12596474
65,-5304440,0,-5304440,-93775176,12596474
66,-5967922,0,-5967922,-93775176,12596474
67,-6562676,0,-6562676,-93775176,12596474
68,-7029074,0,-7029074,-93775176,12596474
69,-5133936,0,-5133936,-93775176,12596474
70,-5704657,0,-5704657,-93775176,12596474
71,-6442914,0,-6442914,-93775176,12596474
72,-6974234,0,-6974234,-93775176,12596474
73,-4132540,0,-4132540,-93775176,12596474
74,-4729592,0,-4729592,-93775176,12596474
75,-5275503,0,-5275503,-93775176,12596474
76,-5848373,0,-5848373,-93775176,12596474
77,-5311951,0,-5311951,-93775176,12596474
78,-5911052,0,-5911052,-93775176,12596474
79,-6462774,0,-6462774,-93775176,12596474
80,-7047747,0,-7047747,-93775176,12596474
81,-4270535,0,-4270535,-93775176,12596474
82,-4818134,0,-4818134,-93775176,12596474
83,-5362161,0,-5362161,-93775176,12596474
84,-5906257,0,-5906257,-93775176,12596474
85,-5300453,0,-5300453,-93775176,12596474
86,-5905491,0,-5905491,-93775176,12596474
87,-6526724,0,-6526724,-93775176,12596474
88,-6896371,0,-6896371,-93775176,12596474
89,-5378142,0,-5378142,-93775176,12596474
90,-5923891,0,-5923891,-93775176,12596474
91,-6507496,0,-6507496,-93775176,12596474
92,-5898848,0,-5898848,-93775176,12596474
93,-5377766,0,-5377766,-93775176,12596474
94,-5978414,0,-5978414,-93775176,12596474
95,-6584510,0,-6584510,-93775176,12596474
96,-7046534,0,-7046534,-93775176,12596474
97,-5303784,0,-5303784,-93775176,12596474
98,-5875181,0,-5875181,-93775176,12596474
99,-6438655,0,-6438655,-93775176,12596474
100,-6994724,0,-6994724,-93775176,12596474
101,-5464266,0,-5464266,-93775176,12596474
102,-6076042,0,-6076042,-93775176,12596474
103,-6670446,0,-6670446,-93775176,12596474
104,-5927433,0,-5927433,-93775176,12596474
105,-5771032,0,-5771032,-93775176,12596474
106,-6321016,0,-6321016,-93775176,12596474
107,-6869648,0,-6869648,-93775176,12596474
108,-5350422,0,-5350422,-93775176,12596474
109,-5446064,0,-5446064,-93775176,12596474
110,-5992036,0,-5992036,-93775176,12596474
111,-6609382,0,-6609382,-93775176,12596474
112,-7019882,0,-7019882,-93775176,12596474
113,-5147487,0,-5147487,-93775176,12596474
114,-5686136,0,-5686136,-93775176,12596474
115,-6228986,0,-6228986,-93775176,12596474
116,-6780645,0,-6780645,-93775176,12596474
117,-5801835,0,-5801835,-93775176,12596474
118,-6349081,0,-6349081,-93775176,12596474
119,-6928912,0,-6928912,-93775176,12596474
120,-7000609,0,-7000609,-93775176,12596474
121,-5303825,0,-5303825,-93775176,12596474
122,-5846044,0,-5846044,-93775176,12596474
123,-6417547,0,-6417547,-93775176,12596474
124,-6924468,0,-6924468,-93775176,12596474
125,-5368278,0,-5368278,-93775176,12596474
126,-5928953,0,-5928953,-93775176,12596474
127,-6513736,0,-6513736,-93775176,12596474
128,-6881182,0,-6881182,-93775176,12596474
129,-5274716,0,-5274716,-93775176,12596474
130,-5882975,0,-5882975,-93775176,12596474
131,-6458845,0,-6458845,-93775176,12596474
132,-6903220,0,-6903220,-93775176,12596474
133,-5304631,0,-5304631,-93775176,12596474
134,-5856730,0,-5856730,-93775176,12596474
135,-6456288,0,-6456288,-93775176,12596474
136,-5966121,0,-5966121,-93775176,12596474
137,-5500588,0,-5500588,-93775176,12596474
138,-6048688,0,-6048688,-93775176,12596474
139,-6644549,0,-6644549,-93775176,12596474
140,-6035081,0,-6035081,-93775176,12596474
141,-5486214,0,-5486214,-93775176,12596474
142,-6033495,0,-6033495,-93775176,12596474
143,-6571610,0,-6571610,-93775176,12596474
144,-7016416,0,-7016416,-93775176,12596474
145,-5436162,0,-5436162,-93775176,12596474
146,-5976610,0,-5976610,-93775176,12596474
147,-6544396,0,-6544396,-93775176,12596474
148,-6891003,0,-6891003,-93775176,12596474
149,-5223295,0,-5223295,-93775176,12596474
150,-5769757,0,-5769757,-93775176,12596474
151,-6324861,0,-6324861,-93775176,12596474
152,-6782114,0,-6782114,-93775176,12596474
153,-5203360,0,-5203360,-93775176,12596474
154,-5804710,0,-5804710,-93775176,12596474
155,-6394230,0,-6394230,-93775176,12596474
156,-6776069,0,-6776069,-93775176,12596474
157,-5368844,0,-5368844,-93775176,12596474
158,-5931130,0,-5931130,-93775176,12596474
159,-6588250,0,-6588250,-93775176,12596474
160,-6062283,0,-6062283,-93775176,12596474
161,-5750896,0,-5750896,-93775176,12596474
162,-6299891,0,-6299891,-93775176,12596474
163,-6873663,0,-6873663,-93775176,12596474
164,-5897538,0,-5897538,-93775176,12596474
165,-5330835,0,-5330835,-93775176,12596474
166,-5867760,0,-5867760,-93775176,12596474
167,-6429448,0,-6429448,-93775176,12596474
168,-6938161,0,-6938161,-93775176,12596474
169,-5374166,0,-5374166,-93775176,12596474
170,-5919043,0,-5919043,-93775176,12596474
171,-6465526,0,-6465526,-93775176,12596474
172,-6017687,0,-6017687,-93775176,12596474
173,-5361662,0,-5361662,-93775176,12596474
174,-5917925,0,-5917925,-93775176,12596474
175,-6498151,0,-6498151,-93775176,12596474
176,-6934250,0,-6934250,-93775176,12596474
177,-5332601,0,-5332601,-93775176,12596474
178,-5913499,0,-5913499,-93775176,12596474
179,-6501713,0,-6501713,-93775176,12596474
180,-6070338,0,-6070338,-93775176,12596474
181,-5618516,0,-5618516,-93775176,12596474
182,-6186981,0,-6186981,-93775176,12596474
183,-6752903,0,-6752903,-93775176,12596474
184,-5391555,0,-5391555,-93775176,12596474
185,-5112744,0,-5112744,-93775176,12596474
186,-5788700,0,-5788700,-93775176,12596474
187,-6437889,0,-6437889,-93775176,12596474
188,-6907144,0,-6907144,-93775176,12596474
189,-5201320,0,-5201320,-93775176,12596474
190,-5740235,0,-5740235,-93775176,12596474
191,-6352451,0,-6352451,-93775176,12596474
192,-6868524,0,-6868524,-93775176,12596474
193,-5168540,0,-5168540,-93775176,12596474
194,-5704054,0,-5704054,-93775176,12596474
195,-6239820,0,-6239820,-93775176,12596474
196,-6666088,0,-6666088,-93775176,12596474
197,-3935077,0,-3935077,-93775176,12596474
198,-4540820,0,-4540820,-93775176,12596474
199,-5189887,0,-5189887,-93775176,12596474
200,-5790905,0,-5790905,-93775176,12596474
201,-5239757,0,-5239757,-93775176,12596474
202,-5814780,0,-5814780,-93775176,12596474
203,-6416053,0,-6416053,-93775176,12596474
204,-7019056,0,-7019056,-93775176,12596474
205,-5540335,0,-5540335,-93775176,12596474
206,-6100163,0,-6100163,-93775176,12596474
207,-6659984,0,-6659984,-93775176,12596474
208,-5918192,0,-5918192,-93775176,12596474
209,-5399675,0,-5399675,-93775176,12596474
210,-5984006,0,-5984006,-93775176,12596474
211,-6563358,0,-6563358,-93775176,12596474
212,-7063550,0,-7063550,-93775176,12596474
213,-5395691,0,-5395691,-93775176,12596474
214,-5962912,0,-5962912,-93775176,12596474
215,-6526015,0,-6526015,-93775176,12596474
216,-5935899,0,-5935899,-93775176,12596474
217,-5576597,0,-5576597,-93775176,12596474
218,-6125467,0,-6125467,-93775176,12596474
219,-6684542,0,-6684542,-93775176,12596474
220,-6982436,0,-6982436,-93775176,12596474
221,-5097118,0,-5097118,-93775176,12596474
222,-5666660,0,-5666660,-93775176,12596474
223,-6223719,0,-6223719,-93775176,12596474
224,-6776824,0,-6776824,-93775176,12596474
225,-5854666,0,-5854666,-93775176,12596474
226,-6392129,0,-6392129,-93775176,12596474
227,-6925196,0,-6925196,-93775176,12596474
228,-6807814,0,-6807814,-93775176,12596474
229,-5167364,0,-5167364,-93775176,12596474
230,-5705316,0,-5705316,-93775176,12596474
231,-6256094,0,-6256094,-93775176,12596474
232,-6782535,0,-6782535,-93775176,12596474
