sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780312395200420749,1780312395201097680,1780312395201098047,1780312395201462086,676931,364039,-156446,520485,-103102,392144
2,1780312395201512225,1780312395202191833,1780312395202192436,1780312395202807958,679608,615522,-32043,647565,-103102,392144
3,1780312395202835333,1780312395203843927,1780312395203844698,1780312395204442646,1008594,597948,-205323,803271,-103102,392144
4,1780312395204468598,1780312395205254889,1780312395205255560,1780312395205922014,786291,666454,-59919,726372,-103102,392144
5,1780312395205947951,1780312395206805995,1780312395206806707,1780312395207448554,858044,641847,-108099,749945,-103102,392144
6,1780312395207474670,1780312395208221133,1780312395208221675,1780312395208583726,746463,362051,-192206,554257,-103102,392144
7,1780312395208612881,1780312395209747752,1780312395209748574,1780312395210341518,1134871,592944,-270964,863907,-103102,392144
8,1780312395210369541,1780312395211272041,1780312395211272774,1780312395211898635,902500,625861,-138320,764180,-103102,392144
9,1780312395211926777,1780312395212841796,1780312395212842557,1780312395213512080,915019,669523,-122748,792271,-103102,392144
10,1780312395213538608,1780312395214442248,1780312395214443031,1780312395215146721,903640,703690,-99975,803665,-103102,392144
11,1780312395215173192,1780312395216102133,1780312395216102845,1780312395216721969,928941,619124,-154909,774032,-103102,392144
12,1780312395216748257,1780312395217612341,1780312395217613077,1780312395218267640,864084,654563,-104761,759323,-103102,392144
13,1780312395218294114,1780312395219226602,1780312395219227333,1780312395219847190,932488,619857,-156316,776172,-103102,392144
14,1780312395219878849,1780312395220771645,1780312395220772259,1780312395221462223,892796,689964,-101416,791380,-103102,392144
15,1780312395221487076,1780312395222468375,1780312395222469141,1780312395223072101,981299,602960,-189170,792129,-103102,392144
16,1780312395223097151,1780312395224252549,1780312395224253255,1780312395224702580,1155398,449325,-353037,802361,-103102,392144
17,1780312395224732471,1780312395225469689,1780312395225470304,1780312395226062184,737218,591880,-72669,664549,-103102,392144
18,1780312395226087178,1780312395226743481,1780312395226744002,1780312395227279984,656303,535982,-60161,596142,-103102,392144
19,1780312395227304295,1780312395228336951,1780312395228337979,1780312395228750125,1032656,412146,-310255,722401,-103102,392144
20,1780312395228793730,1780312395229465906,1780312395229466696,1780312395229999383,672176,532687,-69745,602431,-103102,392144
21,1780312395230025356,1780312395230559671,1780312395230560566,1780312395231146565,534315,585999,25842,560157,-103102,392144
22,1780312395231169264,1780312395231902043,1780312395231902628,1780312395232482785,732779,580157,-76311,656468,-103102,392144
23,1780312395232505314,1780312395233210913,1780312395233211554,1780312395233808571,705599,597017,-54291,651308,-103102,392144
24,1780312395233832079,1780312395234692944,1780312395234693583,1780312395235271027,860865,577444,-141711,719154,-103102,392144
25,1780312395235304593,1780312395236112812,1780312395236113442,1780312395236626680,808219,513238,-147491,660728,-103102,392144
26,1780312395236653315,1780312395237470961,1780312395237471663,1780312395238063593,817646,591930,-112858,704788,-103102,392144
27,1780312395238088026,1780312395238912920,1780312395238913612,1780312395239507703,824894,594091,-115402,709492,-103102,392144
28,1780312395239532321,1780312395240101272,1780312395240101985,1780312395240495559,568951,393574,-87689,481262,-103102,392144
29,1780312395240522885,1780312395241471361,1780312395241472070,1780312395241744331,948476,272261,-338108,610368,-103102,392144
30,1780312395241766631,1780312395242482913,1780312395242483623,1780312395243030526,716282,546903,-84690,631592,-103102,392144
31,1780312395243059457,1780312395243390502,1780312395243390826,1780312395243858773,331045,467947,68451,399496,-103102,392144
32,1780312395243880709,1780312395244328768,1780312395244329280,1780312395244816780,448059,487500,19720,467779,-103102,392144
33,1780312395244842881,1780312395245325455,1780312395245326035,1780312395245662144,482574,336109,-73233,409341,-103102,392144
34,1780312395245682823,1780312395246461290,1780312395246462061,1780312395246916283,778467,454222,-162123,616344,-103102,392144
35,1780312395246940737,1780312395247620194,1780312395247620778,1780312395248069008,679457,448230,-115614,563843,-103102,392144
36,1780312395248091796,1780312395248759569,1780312395248760168,1780312395249238275,667773,478107,-94833,572940,-103102,392144
37,1780312395249258058,1780312395249934046,1780312395249934692,1780312395250361138,675988,426446,-124771,551217,-103102,392144
38,1780312395250380844,1780312395251045739,1780312395251046335,1780312395251479554,664895,433219,-115838,549057,-103102,392144
39,1780312395251510492,1780312395252136995,1780312395252137549,1780312395252612569,626503,475020,-75742,550761,-103102,392144
40,1780312395252631399,1780312395253269708,1780312395253270285,1780312395253700935,638309,430650,-103830,534479,-103102,392144
41,1780312395253719698,1780312395254331922,1780312395254332518,1780312395254666623,612224,334105,-139060,473164,-103102,392144
