sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780563808542141593,1780563809480308757,1780563809480308907,1780563808542804190,938167164,-937504717,-937835940,331223,-937755701,232113
2,1780563808542811730,1780563809480808150,1780563809480808200,1780563808543332900,937996420,-937475300,-937735860,260560,-937755701,232113
3,1780563808543344609,1780563809481313182,1780563809481313222,1780563808543814200,937968573,-937499022,-937733797,234775,-937755701,232113
4,1780563808543820950,1780563809481786905,1780563809481786945,1780563808544205563,937965955,-937581382,-937773668,192286,-937755701,232113
5,1780563808544211433,1780563809482183807,1780563809482183847,1780563808544669304,937972374,-937514543,-937743458,228915,-937755701,232113
6,1780563808544676104,1780563809482669850,1780563809482669870,1780563808545165554,937993746,-937504316,-937749031,244715,-937755701,232113
7,1780563808545171304,1780563809483159522,1780563809483159562,1780563808545660334,937988218,-937499228,-937743723,244495,-937755701,232113
8,1780563808545666384,1780563809483655976,1780563809483656016,1780563808546072566,937989592,-937583450,-937786521,203071,-937755701,232113
9,1780563808546078366,1780563809484069518,1780563809484069558,1780563808546550377,937991152,-937519181,-937755166,235985,-937755701,232113
10,1780563808546556867,1780563809484533631,1780563809484533671,1780563808547029488,937976764,-937504183,-937740473,236290,-937755701,232113
11,1780563808547035348,1780563809485014534,1780563809485014574,1780563808547698535,937979186,-937316039,-937647612,331573,-937755701,232113
12,1780563808547704325,1780563809485682227,1780563809485682267,1780563808548097757,937977902,-937584510,-937781206,196696,-937755701,232113
13,1780563808548104017,1780563809486080950,1780563809486080990,1780563808548564298,937976933,-937516692,-937746812,230120,-937755701,232113
14,1780563808548573798,1780563809486562802,1780563809486562832,1780563808549058338,937989004,-937504494,-937746749,242255,-937755701,232113
15,1780563808549064708,1780563809487056995,1780563809487057035,1780563808549553788,937992287,-937503247,-937747767,244520,-937755701,232113
16,1780563808549559308,1780563809487543279,1780563809487543319,1780563808549958790,937983971,-937584529,-937784250,199721,-937755701,232113
17,1780563808549964760,1780563809487955321,1780563809487955361,1780563808550451311,937990561,-937504050,-937747305,243255,-937755701,232113
18,1780563808550464151,1780563809488453954,1780563809488453994,1780563808550954052,937989803,-937499942,-937744872,244930,-937755701,232113
19,1780563808550964231,1780563809488955306,1780563809488955346,1780563808551454952,937991075,-937500394,-937745734,245340,-937755701,232113
20,1780563808551460732,1780563809489450399,1780563809489450439,1780563808551869553,937989667,-937580886,-937785276,204390,-937755701,232113
21,1780563808551875643,1780563809489867701,1780563809489867741,1780563808552347794,937992058,-937519947,-937756002,236055,-937755701,232113
22,1780563808552353454,1780563809490331194,1780563809490331224,1780563808552824345,937977740,-937506879,-937742309,235430,-937755701,232113
23,1780563808552830384,1780563809490826338,1780563809490826378,1780563808553319656,937995954,-937506722,-937751338,244616,-937755701,232113
24,1780563808553325386,1780563809491303830,1780563809491303870,1780563808553720188,937978444,-937583682,-937781063,197381,-937755701,232113
25,1780563808553725778,1780563809491702392,1780563809491702422,1780563808554184709,937976614,-937517713,-937747163,229450,-937755701,232113
26,1780563808554190368,1780563809492145135,1780563809492145175,1780563808554643899,937954767,-937501276,-937728021,226745,-937755701,232113
27,1780563808554659129,1780563809492646208,1780563809492646238,1780563808555150229,937987079,-937496009,-937741544,245535,-937755701,232113
28,1780563808555156169,1780563809493134740,1780563809493134780,1780563808555555931,937978571,-937578849,-937778710,199861,-937755701,232113
29,1780563808555561751,1780563809493551652,1780563809493551682,1780563808556032313,937989901,-937519369,-937754635,235266,-937755701,232113
30,1780563808556037953,1780563809494035205,1780563809494035245,1780563808556535673,937997252,-937499572,-937748412,248840,-937755701,232113
31,1780563808556541413,1780563809494526059,1780563809494526099,1780563808557027213,937984646,-937498886,-937741766,242880,-937755701,232113
32,1780563808557033533,1780563809495029362,1780563809495029402,1780563808557449315,937995829,-937580087,-937787958,207871,-937755701,232113
33,1780563808557454805,1780563809495448564,1780563809495448584,1780563808557932555,937993759,-937516029,-937754894,238865,-937755701,232113
34,1780563808557938675,1780563809495928657,1780563809495928697,1780563808558428945,937989982,-937499752,-937744867,245115,-937755701,232113
35,1780563808558434655,1780563809496427869,1780563809496427909,1780563808558927525,937993214,-937500384,-937746799,246415,-937755701,232113
36,1780563808558933315,1780563809496922942,1780563809496922982,1780563808559343588,937989627,-937579394,-937784510,205116,-937755701,232113
37,1780563808559349198,1780563809497343144,1780563809497343184,1780563808559828438,937993946,-937514746,-937754346,239600,-937755701,232113
38,1780563808559834548,1780563809497826187,1780563809497826217,1780563808560325319,937991639,-937500898,-937746268,245370,-937755701,232113
39,1780563808560331078,1780563809498311241,1780563809498311281,1780563808560820209,937980163,-937491072,-937735617,244545,-937755701,232113
40,1780563808560826779,1780563809498816403,1780563809498816433,1780563808561237861,937989624,-937578572,-937784098,205526,-937755701,232113
41,1780563808561243990,1780563809499234486,1780563809499234526,1780563808561713601,937990496,-937520925,-937755710,234785,-937755701,232113
42,1780563808561719681,1780563809499701838,1780563809499701868,1780563808562198753,937982157,-937503115,-937742636,239521,-937755701,232113
43,1780563808562205502,1780563809500197861,1780563809500197901,1780563808562701553,937992359,-937496348,-937744353,248005,-937755701,232113
44,1780563808562707872,1780563809500702303,1780563809500702343,1780563808563125544,937994431,-937576799,-937785615,208816,-937755701,232113
45,1780563808563131154,1780563809501122056,1780563809501122096,1780563808563608655,937990902,-937513441,-937752171,238730,-937755701,232113
46,1780563808563617714,1780563809501608118,1780563809501608158,1780563808564115765,937990404,-937492393,-937741398,249005,-937755701,232113
47,1780563808564125914,1780563809502105362,1780563809502105402,1780563808564604555,937979448,-937500847,-937740147,239300,-937755701,232113
48,1780563808564610415,1780563809502588965,1780563809502588995,1780563808565009588,937978550,-937579407,-937778978,199571,-937755701,232113
49,1780563808565015838,1780563809503015097,1780563809503015127,1780563808565498918,937999259,-937516209,-937757734,241525,-937755701,232113
