count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,177976,0,177976,-937737900,233694
52,178337,0,178337,-937737900,233694
53,178149,0,178149,-937737900,233694
54,177241,0,177241,-937737900,233694
55,178933,0,178933,-937737900,233694
56,180324,0,180324,-937737900,233694
57,178636,0,178636,-937737900,233694
58,179298,0,179298,-937737900,233694
59,178530,0,178530,-937737900,233694
60,178231,0,178231,-937737900,233694
61,182213,0,182213,-937737900,233694
62,178545,0,178545,-937737900,233694
63,177337,0,177337,-937737900,233694
64,179698,0,179698,-937737900,233694
65,180210,0,180210,-937737900,233694
66,177842,0,177842,-937737900,233694
67,177723,0,177723,-937737900,233694
68,177364,0,177364,-937737900,233694
69,178487,0,178487,-937737900,233694
70,178097,0,178097,-937737900,233694
71,176998,0,176998,-937737900,233694
72,178101,0,178101,-937737900,233694
73,177742,0,177742,-937737900,233694
74,178284,0,178284,-937737900,233694
75,177556,0,177556,-937737900,233694
76,179047,0,179047,-937737900,233694
77,181129,0,181129,-937737900,233694
78,179501,0,179501,-937737900,233694
79,178732,0,178732,-937737900,233694
80,178834,0,178834,-937737900,233694
81,178486,0,178486,-937737900,233694
82,177898,0,177898,-937737900,233694
83,177009,0,177009,-937737900,233694
84,182581,0,182581,-937737900,233694
85,178143,0,178143,-937737900,233694
86,177094,0,177094,-937737900,233694
87,178086,0,178086,-937737900,233694
88,296058,0,296058,-937737900,233694
89,228419,0,228419,-937737900,233694
90,211102,0,211102,-937737900,233694
91,191153,0,191153,-937737900,233694
92,176824,0,176824,-937737900,233694
93,179487,0,179487,-937737900,233694
94,176418,0,176418,-937737900,233694
95,177329,0,177329,-937737900,233694
96,176162,0,176162,-937737900,233694
97,177643,0,177643,-937737900,233694
98,175925,0,175925,-937737900,233694
99,176818,0,176818,-937737900,233694
100,175779,0,175779,-937737900,233694
101,177020,0,177020,-937737900,233694
102,176442,0,176442,-937737900,233694
103,177054,0,177054,-937737900,233694
104,176636,0,176636,-937737900,233694
105,176607,0,176607,-937737900,233694
106,177389,0,177389,-937737900,233694
107,175351,0,175351,-937737900,233694
108,176782,0,176782,-937737900,233694
109,179454,0,179454,-937737900,233694
110,177266,0,177266,-937737900,233694
111,175997,0,175997,-937737900,233694
112,180610,0,180610,-937737900,233694
113,175261,0,175261,-937737900,233694
