sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780486161309570068,1780486162162246428,1780486162162247168,1780486161310377482,852676360,-851869686,-852273023,403337,-852156915,239743
2,1780486161310401772,1780486162162782661,1780486162162783181,1780486161310899032,852380889,-851884149,-852132519,248370,-852156915,239743
3,1780486161310914842,1780486162163284674,1780486162163284924,1780486161311417312,852369832,-851867612,-852118722,251110,-852156915,239743
4,1780486161311434201,1780486162163810317,1780486162163810557,1780486161311838393,852376116,-851972164,-852174140,201976,-852156915,239743
5,1780486161311849223,1780486162164241900,1780486162164242120,1780486161312331454,852392677,-851910666,-852151672,241005,-852156915,239743
6,1780486161312340963,1780486162164737103,1780486162164737273,1780486161312841114,852396140,-851896159,-852146150,249990,-852156915,239743
7,1780486161312849704,1780486162165246995,1780486162165247235,1780486161313352634,852397291,-851894601,-852145946,251345,-852156915,239743
8,1780486161313361484,1780486162165764328,1780486162165764698,1780486161313797865,852402844,-851966833,-852184839,218005,-852156915,239743
9,1780486161313806495,1780486162166206851,1780486162166206951,1780486161314294885,852400356,-851912066,-852156211,244145,-852156915,239743
10,1780486161314303315,1780486162166713893,1780486162166714033,1780486161314819625,852410578,-851894408,-852152493,258085,-852156915,239743
11,1780486161314829215,1780486162167235776,1780486162167235896,1780486161315344935,852406561,-851890961,-852148761,257800,-852156915,239743
12,1780486161315354384,1780486162167750769,1780486162167751049,1780486161315774937,852396385,-851976112,-852186249,210136,-852156915,239743
13,1780486161315783437,1780486162168254693,1780486162168254793,1780486161316342576,852471256,-851912217,-852191737,279519,-852156915,239743
14,1780486161316350996,1780486162168746476,1780486162168746586,1780486161316847086,852395480,-851899500,-852147490,247990,-852156915,239743
15,1780486161316855145,1780486162169244728,1780486162169244928,1780486161317350316,852389583,-851894612,-852142098,247485,-852156915,239743
16,1780486161317359025,1780486162169751351,1780486162169751441,1780486161317771477,852392326,-851979964,-852186145,206181,-852156915,239743
17,1780486161317780137,1780486162170174043,1780486162170174253,1780486161318257658,852393906,-851916595,-852155251,238655,-852156915,239743
18,1780486161318266377,1780486162170657236,1780486162170657316,1780486161318759719,852390859,-851897597,-852144228,246631,-852156915,239743
19,1780486161318768968,1780486162171161189,1780486162171161309,1780486161319265099,852392221,-851896210,-852144216,248005,-852156915,239743
20,1780486161319273848,1780486162171671903,1780486162171671993,1780486161319695480,852398055,-851976513,-852187284,210771,-852156915,239743
21,1780486161319703970,1780486162172097995,1780486162172098105,1780486161320182430,852394025,-851915675,-852154850,239175,-852156915,239743
22,1780486161320191450,1780486162172584598,1780486162172584688,1780486161320685180,852393148,-851899508,-852146328,246820,-852156915,239743
23,1780486161320693430,1780486162173084070,1780486162173084160,1780486161321186020,852390640,-851898140,-852144390,246250,-852156915,239743
24,1780486161321194530,1780486162173587913,1780486162173588083,1780486161321611372,852393383,-851976711,-852185047,208336,-852156915,239743
25,1780486161321619582,1780486162174016056,1780486162174016136,1780486161322101913,852396474,-851914223,-852155349,241125,-852156915,239743
26,1780486161322110763,1780486162174501558,1780486162174501638,1780486161322610173,852390795,-851891465,-852141130,249665,-852156915,239743
27,1780486161322619493,1780486162175013201,1780486162175013381,1780486161323118813,852393708,-851894568,-852144138,249570,-852156915,239743
28,1780486161323127333,1780486162175518365,1780486162175518455,1780486161323544364,852391032,-851974091,-852182562,208470,-852156915,239743
29,1780486161323552524,1780486162175945627,1780486162175945707,1780486161324036775,852393103,-851908932,-852151018,242085,-852156915,239743
30,1780486161324044815,1780486162176436090,1780486162176436170,1780486161324541905,852391275,-851894265,-852142770,248505,-852156915,239743
31,1780486161324550015,1780486162176945783,1780486162176945863,1780486161325054726,852395768,-851891137,-852143453,252315,-852156915,239743
32,1780486161325063055,1780486162177454465,1780486162177454555,1780486161325479177,852391410,-851975378,-852183394,208016,-852156915,239743
33,1780486161325487237,1780486162177895158,1780486162177895258,1780486161325983547,852407921,-851911711,-852159816,248105,-852156915,239743
34,1780486161326001897,1780486162178387680,1780486162178387910,1780486161326493557,852385783,-851894353,-852140068,245715,-852156915,239743
35,1780486161326502257,1780486162178897594,1780486162178897704,1780486161327009977,852395337,-851887727,-852141532,253805,-852156915,239743
36,1780486161327019047,1780486162179416847,1780486162179416937,1780486161327443018,852397800,-851973919,-852185860,211940,-852156915,239743
37,1780486161327451268,1780486162179842859,1780486162179842949,1780486161327932690,852391591,-851910259,-852150925,240666,-852156915,239743
38,1780486161327941309,1780486162180339772,1780486162180339882,1780486161328443090,852398463,-851896792,-852147628,250835,-852156915,239743
39,1780486161328451789,1780486162180844495,1780486162180844595,1780486161328952389,852392706,-851892206,-852142456,250250,-852156915,239743
40,1780486161328960589,1780486162181359468,1780486162181359568,1780486161329385631,852398879,-851973937,-852186408,212471,-852156915,239743
41,1780486161329393571,1780486162181789640,1780486162181789750,1780486161329889121,852396069,-851900629,-852148349,247720,-852156915,239743
42,1780486161329897461,1780486162182287394,1780486162182287564,1780486161330392331,852389933,-851895233,-852142583,247350,-852156915,239743
43,1780486161330401111,1780486162182793417,1780486162182793607,1780486161330903642,852392306,-851889965,-852141136,251170,-852156915,239743
44,1780486161330912232,1780486162183304799,1780486162183304899,1780486161331334513,852392567,-851970386,-852181477,211090,-852156915,239743
45,1780486161331342753,1780486162183744302,1780486162183744382,1780486161331834323,852401549,-851910059,-852155804,245745,-852156915,239743
46,1780486161331842463,1780486162184251265,1780486162184251355,1780486161332357753,852408802,-851893602,-852151202,257600,-852156915,239743
47,1780486161332365933,1780486162184764517,1780486162184764597,1780486161332871733,852398584,-851892864,-852145724,252860,-852156915,239743
48,1780486161332880042,1780486162185284970,1780486162185285050,1780486161333312784,852404928,-851972266,-852188597,216331,-852156915,239743
49,1780486161333320974,1780486162185729403,1780486162185729483,1780486161333817705,852408429,-851911778,-852160104,248325,-852156915,239743
