count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,197714,0,197714,-852159694,237391
52,220186,0,220186,-852159694,237391
53,191468,0,191468,-852159694,237391
54,210090,0,210090,-852159694,237391
55,191731,0,191731,-852159694,237391
56,201903,0,201903,-852159694,237391
57,221185,0,221185,-852159694,237391
58,192827,0,192827,-852159694,237391
59,206019,0,206019,-852159694,237391
60,224861,0,224861,-852159694,237391
61,186823,0,186823,-852159694,237391
62,200795,0,200795,-852159694,237391
63,220387,0,220387,-852159694,237391
64,194509,0,194509,-852159694,237391
65,207781,0,207781,-852159694,237391
66,301242,0,301242,-852159694,237391
67,237415,0,237415,-852159694,237391
68,209145,0,209145,-852159694,237391
69,220777,0,220777,-852159694,237391
70,191629,0,191629,-852159694,237391
71,207681,0,207681,-852159694,237391
72,226173,0,226173,-852159694,237391
73,195985,0,195985,-852159694,237391
74,216897,0,216897,-852159694,237391
75,187388,0,187388,-852159694,237391
76,202891,0,202891,-852159694,237391
77,220692,0,220692,-852159694,237391
78,191125,0,191125,-852159694,237391
79,196816,0,196816,-852159694,237391
80,200569,0,200569,-852159694,237391
81,216231,0,216231,-852159694,237391
82,226483,0,226483,-852159694,237391
83,193815,0,193815,-852159694,237391
84,207956,0,207956,-852159694,237391
85,223879,0,223879,-852159694,237391
86,195320,0,195320,-852159694,237391
87,209912,0,209912,-852159694,237391
88,183484,0,183484,-852159694,237391
89,196785,0,196785,-852159694,237391
90,205578,0,205578,-852159694,237391
91,210450,0,210450,-852159694,237391
92,182422,0,182422,-852159694,237391
93,198483,0,198483,-852159694,237391
94,219156,0,219156,-852159694,237391
95,194747,0,194747,-852159694,237391
96,209579,0,209579,-852159694,237391
97,189311,0,189311,-852159694,237391
98,209983,0,209983,-852159694,237391
99,182524,0,182524,-852159694,237391
100,196307,0,196307,-852159694,237391
101,214738,0,214738,-852159694,237391
102,186450,0,186450,-852159694,237391
103,202602,0,202602,-852159694,237391
104,214314,0,214314,-852159694,237391
105,221006,0,221006,-852159694,237391
106,193557,0,193557,-852159694,237391
107,216420,0,216420,-852159694,237391
108,190080,0,190080,-852159694,237391
109,205733,0,205733,-852159694,237391
110,223214,0,223214,-852159694,237391
111,192836,0,192836,-852159694,237391
112,210828,0,210828,-852159694,237391
113,225589,0,225589,-852159694,237391
114,198111,0,198111,-852159694,237391
115,214513,0,214513,-852159694,237391
116,222895,0,222895,-852159694,237391
117,185258,0,185258,-852159694,237391
118,196139,0,196139,-852159694,237391
119,213602,0,213602,-852159694,237391
120,183464,0,183464,-852159694,237391
121,196526,0,196526,-852159694,237391
122,216838,0,216838,-852159694,237391
123,189389,0,189389,-852159694,237391
124,207332,0,207332,-852159694,237391
125,224293,0,224293,-852159694,237391
126,199295,0,199295,-852159694,237391
127,213917,0,213917,-852159694,237391
128,187789,0,187789,-852159694,237391
129,200981,0,200981,-852159694,237391
130,220393,0,220393,-852159694,237391
131,191324,0,191324,-852159694,237391
132,211886,0,211886,-852159694,237391
133,186578,0,186578,-852159694,237391
134,202630,0,202630,-852159694,237391
135,220742,0,220742,-852159694,237391
136,223134,0,223134,-852159694,237391
137,191246,0,191246,-852159694,237391
138,204837,0,204837,-852159694,237391
139,222750,0,222750,-852159694,237391
