count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,852063423,0,852063423,0,0
52,852063535,0,852063535,0,0
53,852068397,0,852068397,0,0
54,852063008,0,852063008,0,0
55,852062750,0,852062750,0,0
56,852062181,0,852062181,0,0
57,852064123,0,852064123,0,0
58,852064325,0,852064325,0,0
59,852061397,0,852061397,0,0
60,852063049,0,852063049,0,0
61,852062120,0,852062120,0,0
62,852063132,0,852063132,0,0
63,852062254,0,852062254,0,0
64,852062536,0,852062536,0,0
65,852062638,0,852062638,0,0
66,852063099,0,852063099,0,0
67,852063451,0,852063451,0,0
68,852062673,0,852062673,0,0
69,852067635,0,852067635,0,0
70,852061826,0,852061826,0,0
71,852068738,0,852068738,0,0
72,852063070,0,852063070,0,0
73,852062702,0,852062702,0,0
74,852064364,0,852064364,0,0
75,852061635,0,852061635,0,0
76,852062367,0,852062367,0,0
77,852061970,0,852061970,0,0
78,852062682,0,852062682,0,0
79,852067764,0,852067764,0,0
80,852063075,0,852063075,0,0
81,852062517,0,852062517,0,0
82,852063319,0,852063319,0,0
83,852062001,0,852062001,0,0
84,852062043,0,852062043,0,0
85,852070634,0,852070634,0,0
86,852065836,0,852065836,0,0
87,852062428,0,852062428,0,0
88,852062520,0,852062520,0,0
89,852061982,0,852061982,0,0
90,852062283,0,852062283,0,0
91,852061445,0,852061445,0,0
92,852061877,0,852061877,0,0
93,852130349,0,852130349,0,0
94,852059591,0,852059591,0,0
95,852078012,0,852078012,0,0
96,852060295,0,852060295,0,0
97,852060675,0,852060675,0,0
98,852060506,0,852060506,0,0
99,852064729,0,852064729,0,0
100,852060690,0,852060690,0,0
101,852064233,0,852064233,0,0
102,852060734,0,852060734,0,0
103,852060635,0,852060635,0,0
104,852060918,0,852060918,0,0
105,852060839,0,852060839,0,0
106,852061802,0,852061802,0,0
107,852060583,0,852060583,0,0
108,852060104,0,852060104,0,0
109,852060267,0,852060267,0,0
110,852061878,0,852061878,0,0
111,852060120,0,852060120,0,0
112,852064452,0,852064452,0,0
113,852062453,0,852062453,0,0
114,852061006,0,852061006,0,0
115,852061757,0,852061757,0,0
116,852060269,0,852060269,0,0
117,852064861,0,852064861,0,0
118,852059692,0,852059692,0,0
119,852060435,0,852060435,0,0
120,852059976,0,852059976,0,0
121,852061798,0,852061798,0,0
122,852060820,0,852060820,0,0
123,852059411,0,852059411,0,0
124,852061504,0,852061504,0,0
125,852061295,0,852061295,0,0
126,852061337,0,852061337,0,0
127,852063679,0,852063679,0,0
128,852061162,0,852061162,0,0
129,852063213,0,852063213,0,0
130,852063425,0,852063425,0,0
131,852062137,0,852062137,0,0
132,852061679,0,852061679,0,0
133,852063281,0,852063281,0,0
134,852060792,0,852060792,0,0
135,852060644,0,852060644,0,0
136,852060726,0,852060726,0,0
137,852060448,0,852060448,0,0
138,852060280,0,852060280,0,0
139,852060710,0,852060710,0,0
140,852061242,0,852061242,0,0
141,852061494,0,852061494,0,0
142,852060856,0,852060856,0,0
143,852060448,0,852060448,0,0
144,852060709,0,852060709,0,0
145,852069131,0,852069131,0,0
146,852061523,0,852061523,0,0
147,852061265,0,852061265,0,0
148,852060577,0,852060577,0,0
149,852065438,0,852065438,0,0
150,852060141,0,852060141,0,0
151,852061172,0,852061172,0,0
152,852061343,0,852061343,0,0
153,852061146,0,852061146,0,0
154,852060937,0,852060937,0,0
155,852064120,0,852064120,0,0
156,852061411,0,852061411,0,0
157,852060392,0,852060392,0,0
158,852061205,0,852061205,0,0
159,852060286,0,852060286,0,0
160,852060219,0,852060219,0,0
161,852060800,0,852060800,0,0
162,852061292,0,852061292,0,0
163,852061534,0,852061534,0,0
164,852061075,0,852061075,0,0
165,852064548,0,852064548,0,0
166,852060129,0,852060129,0,0
167,852060681,0,852060681,0,0
168,852060233,0,852060233,0,0
169,852065654,0,852065654,0,0
170,852061116,0,852061116,0,0
171,852060518,0,852060518,0,0
172,852061130,0,852061130,0,0
173,852060222,0,852060222,0,0
174,852061324,0,852061324,0,0
175,852059655,0,852059655,0,0
176,852060967,0,852060967,0,0
177,852061579,0,852061579,0,0
178,852069122,0,852069122,0,0
179,852061364,0,852061364,0,0
180,852060835,0,852060835,0,0
181,852064076,0,852064076,0,0
182,852061038,0,852061038,0,0
183,852068570,0,852068570,0,0
184,852063442,0,852063442,0,0
185,852061133,0,852061133,0,0
186,852063876,0,852063876,0,0
187,852060427,0,852060427,0,0
188,852060809,0,852060809,0,0
189,852061651,0,852061651,0,0
190,852061112,0,852061112,0,0
191,852061175,0,852061175,0,0
192,852061726,0,852061726,0,0
193,852061528,0,852061528,0,0
194,852072280,0,852072280,0,0
195,852076161,0,852076161,0,0
196,852071894,0,852071894,0,0
197,852079515,0,852079515,0,0
198,852072248,0,852072248,0,0
199,852075039,0,852075039,0,0
200,852074281,0,852074281,0,0
201,852080133,0,852080133,0,0
202,852071285,0,852071285,0,0
203,852073667,0,852073667,0,0
204,852077348,0,852077348,0,0
205,852081770,0,852081770,0,0
206,852072932,0,852072932,0,0
207,852076564,0,852076564,0,0
208,852079386,0,852079386,0,0
209,852082957,0,852082957,0,0
210,852075249,0,852075249,0,0
211,852092571,0,852092571,0,0
212,852075683,0,852075683,0,0
213,852083185,0,852083185,0,0
214,852083417,0,852083417,0,0
215,852086788,0,852086788,0,0
216,852089860,0,852089860,0,0
217,852080582,0,852080582,0,0
218,852084523,0,852084523,0,0
219,852088516,0,852088516,0,0
220,852092777,0,852092777,0,0
221,852084079,0,852084079,0,0
222,852086641,0,852086641,0,0
223,852090651,0,852090651,0,0
224,852088944,0,852088944,0,0
225,852061885,0,852061885,0,0
226,852061297,0,852061297,0,0
227,852061549,0,852061549,0,0
228,852060930,0,852060930,0,0
229,852065284,0,852065284,0,0
230,852060685,0,852060685,0,0
231,852059667,0,852059667,0,0
232,852061329,0,852061329,0,0
233,852061330,0,852061330,0,0
234,852061883,0,852061883,0,0
235,852061984,0,852061984,0,0
236,852061836,0,852061836,0,0
237,852060228,0,852060228,0,0
238,852061509,0,852061509,0,0
239,852064932,0,852064932,0,0
240,852061193,0,852061193,0,0
241,852060585,0,852060585,0,0
242,852061517,0,852061517,0,0
243,852061598,0,852061598,0,0
244,852069301,0,852069301,0,0
245,852065372,0,852065372,0,0
246,852061564,0,852061564,0,0
247,852060676,0,852060676,0,0
248,852060348,0,852060348,0,0
249,852060589,0,852060589,0,0
250,852061461,0,852061461,0,0
251,852059853,0,852059853,0,0
252,852060655,0,852060655,0,0
253,852062257,0,852062257,0,0
254,852062328,0,852062328,0,0
255,852060510,0,852060510,0,0
256,852061362,0,852061362,0,0
257,852061314,0,852061314,0,0
258,852061716,0,852061716,0,0
259,852060877,0,852060877,0,0
260,852060480,0,852060480,0,0
261,852063471,0,852063471,0,0
262,852061063,0,852061063,0,0
263,852060865,0,852060865,0,0
264,852062126,0,852062126,0,0
265,852060248,0,852060248,0,0
266,852061609,0,852061609,0,0
267,852063881,0,852063881,0,0
268,852061323,0,852061323,0,0
269,852059994,0,852059994,0,0
270,852061257,0,852061257,0,0
271,852061178,0,852061178,0,0
272,852062209,0,852062209,0,0
273,852060712,0,852060712,0,0
274,852060833,0,852060833,0,0
275,852060156,0,852060156,0,0
276,852060377,0,852060377,0,0
277,852067909,0,852067909,0,0
278,852060611,0,852060611,0,0
279,852061673,0,852061673,0,0
280,852061486,0,852061486,0,0
281,852062227,0,852062227,0,0
282,852062509,0,852062509,0,0
283,852060921,0,852060921,0,0
284,852061642,0,852061642,0,0
285,852060455,0,852060455,0,0
286,852060276,0,852060276,0,0
287,852061528,0,852061528,0,0
288,852060340,0,852060340,0,0
289,852061821,0,852061821,0,0
290,852061054,0,852061054,0,0
291,852060405,0,852060405,0,0
292,852061227,0,852061227,0,0
293,852063529,0,852063529,0,0
294,852061690,0,852061690,0,0
295,852062732,0,852062732,0,0
296,852060774,0,852060774,0,0
297,852060206,0,852060206,0,0
298,852061518,0,852061518,0,0
299,852060960,0,852060960,0,0
300,852060671,0,852060671,0,0
301,852060983,0,852060983,0,0
302,852060535,0,852060535,0,0
303,852061587,0,852061587,0,0
304,852061489,0,852061489,0,0
305,852061510,0,852061510,0,0
306,852061312,0,852061312,0,0
307,852060543,0,852060543,0,0
308,852061435,0,852061435,0,0
309,852072017,0,852072017,0,0
310,852066478,0,852066478,0,0
311,852060081,0,852060081,0,0
312,852067442,0,852067442,0,0
313,852060935,0,852060935,0,0
314,852060696,0,852060696,0,0
315,852061487,0,852061487,0,0
316,852060440,0,852060440,0,0
317,852063151,0,852063151,0,0
318,852060723,0,852060723,0,0
319,852061925,0,852061925,0,0
320,852060466,0,852060466,0,0
321,852060329,0,852060329,0,0
322,852061480,0,852061480,0,0
323,852063322,0,852063322,0,0
324,852061014,0,852061014,0,0
325,852063706,0,852063706,0,0
326,852060228,0,852060228,0,0
327,852060309,0,852060309,0,0
328,852060341,0,852060341,0,0
329,852061193,0,852061193,0,0
330,852060606,0,852060606,0,0
331,852060888,0,852060888,0,0
332,852060589,0,852060589,0,0
