sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780486133828011863,1780486134680603264,1780486134680603884,1780486133828728828,852591401,-851875056,-852233229,358172,-852121635,239825
2,1780486133828738708,1780486134681121277,1780486134681121717,1780486133829263098,852382569,-851858619,-852120594,261975,-852121635,239825
3,1780486133829273118,1780486134681610030,1780486134681610160,1780486133829765448,852336912,-851844712,-852090812,246100,-852121635,239825
4,1780486133829785747,1780486134682129373,1780486134682129533,1780486133830206489,852343626,-851923044,-852133335,210291,-852121635,239825
5,1780486133830222259,1780486134682575225,1780486134682575385,1780486133830703500,852352966,-851871885,-852112426,240540,-852121635,239825
6,1780486133830717620,1780486134683080508,1780486134683080608,1780486133831228990,852362888,-851851618,-852107253,255635,-852121635,239825
7,1780486133831239170,1780486134683598381,1780486134683598611,1780486133831738040,852359211,-851860571,-852109891,249320,-852121635,239825
8,1780486133831747040,1780486134684116224,1780486134684116424,1780486133832175241,852369184,-851941183,-852155184,214000,-852121635,239825
9,1780486133832184341,1780486134684550157,1780486134684550297,1780486133832669631,852365816,-851880666,-852123241,242575,-852121635,239825
10,1780486133832678351,1780486134685046370,1780486134685046510,1780486133833184551,852368019,-851861959,-852114989,253030,-852121635,239825
11,1780486133833193531,1780486134685561622,1780486134685561752,1780486133833698352,852368091,-851863400,-852115746,252345,-852121635,239825
12,1780486133833707032,1780486134686086395,1780486134686086485,1780486133834145313,852379363,-851941172,-852160268,219095,-852121635,239825
13,1780486133834154523,1780486134686516438,1780486134686516498,1780486133834637923,852361915,-851878575,-852120245,241670,-852121635,239825
14,1780486133834647483,1780486134687008960,1780486134687009090,1780486133835145243,852361477,-851863847,-852112662,248815,-852121635,239825
15,1780486133835154603,1780486134687514873,1780486134687515033,1780486133835652753,852360270,-851862280,-852111275,248995,-852121635,239825
16,1780486133835661073,1780486134688022817,1780486134688023207,1780486133836080825,852361744,-851942382,-852152063,209681,-852121635,239825
17,1780486133836089735,1780486134688450809,1780486134688450919,1780486133836570636,852361074,-851880283,-852120679,240395,-852121635,239825
18,1780486133836578786,1780486134688936322,1780486134688936402,1780486133837074426,852357536,-851861976,-852109756,247780,-852121635,239825
19,1780486133837083156,1780486134689439705,1780486134689439815,1780486133837576166,852356549,-851863649,-852110099,246450,-852121635,239825
20,1780486133837584276,1780486134689947438,1780486134689947528,1780486133838003478,852363162,-851944050,-852153606,209556,-852121635,239825
21,1780486133838011478,1780486134690372250,1780486134690372400,1780486133838494488,852360772,-851877912,-852119342,241430,-852121635,239825
22,1780486133838504238,1780486134690864773,1780486134690864883,1780486133839000888,852360535,-851863995,-852112265,248270,-852121635,239825
