count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,182071,0,182071,-852064339,234983
52,176082,0,176082,-852064339,234983
53,175455,0,175455,-852064339,234983
54,175916,0,175916,-852064339,234983
55,174788,0,174788,-852064339,234983
56,176030,0,176030,-852064339,234983
57,175021,0,175021,-852064339,234983
58,176004,0,176004,-852064339,234983
59,178185,0,178185,-852064339,234983
60,174316,0,174316,-852064339,234983
61,175748,0,175748,-852064339,234983
62,174740,0,174740,-852064339,234983
63,174522,0,174522,-852064339,234983
64,174184,0,174184,-852064339,234983
65,175715,0,175715,-852064339,234983
66,175448,0,175448,-852064339,234983
67,174839,0,174839,-852064339,234983
68,179522,0,179522,-852064339,234983
69,175413,0,175413,-852064339,234983
70,175465,0,175465,-852064339,234983
71,176417,0,176417,-852064339,234983
72,175709,0,175709,-852064339,234983
73,175201,0,175201,-852064339,234983
74,175493,0,175493,-852064339,234983
75,178945,0,178945,-852064339,234983
76,175877,0,175877,-852064339,234983
77,174488,0,174488,-852064339,234983
78,178941,0,178941,-852064339,234983
79,175512,0,175512,-852064339,234983
80,175395,0,175395,-852064339,234983
81,173976,0,173976,-852064339,234983
82,174918,0,174918,-852064339,234983
83,175330,0,175330,-852064339,234983
84,181422,0,181422,-852064339,234983
85,176044,0,176044,-852064339,234983
86,174546,0,174546,-852064339,234983
87,175118,0,175118,-852064339,234983
88,177960,0,177960,-852064339,234983
89,174831,0,174831,-852064339,234983
90,174804,0,174804,-852064339,234983
91,177325,0,177325,-852064339,234983
92,237329,0,237329,-852064339,234983
93,206210,0,206210,-852064339,234983
94,175682,0,175682,-852064339,234983
95,172914,0,172914,-852064339,234983
96,177786,0,177786,-852064339,234983
97,175038,0,175038,-852064339,234983
98,174060,0,174060,-852064339,234983
99,174091,0,174091,-852064339,234983
100,173913,0,173913,-852064339,234983
101,174934,0,174934,-852064339,234983
102,176397,0,176397,-852064339,234983
103,174648,0,174648,-852064339,234983
104,173890,0,173890,-852064339,234983
105,173942,0,173942,-852064339,234983
106,173394,0,173394,-852064339,234983
107,176786,0,176786,-852064339,234983
108,173918,0,173918,-852064339,234983
109,176700,0,176700,-852064339,234983
110,177402,0,177402,-852064339,234983
111,175973,0,175973,-852064339,234983
112,176486,0,176486,-852064339,234983
113,173137,0,173137,-852064339,234983
114,176240,0,176240,-852064339,234983
115,173111,0,173111,-852064339,234983
116,174283,0,174283,-852064339,234983
117,176425,0,176425,-852064339,234983
118,173577,0,173577,-852064339,234983
119,172809,0,172809,-852064339,234983
120,174860,0,174860,-852064339,234983
121,173802,0,173802,-852064339,234983
122,174344,0,174344,-852064339,234983
123,176636,0,176636,-852064339,234983
124,177438,0,177438,-852064339,234983
125,174180,0,174180,-852064339,234983
126,172782,0,172782,-852064339,234983
127,173044,0,173044,-852064339,234983
128,173045,0,173045,-852064339,234983
129,172998,0,172998,-852064339,234983
130,175009,0,175009,-852064339,234983
131,174132,0,174132,-852064339,234983
132,175183,0,175183,-852064339,234983
133,173615,0,173615,-852064339,234983
134,173407,0,173407,-852064339,234983
135,175829,0,175829,-852064339,234983
136,175191,0,175191,-852064339,234983
137,175803,0,175803,-852064339,234983
138,174694,0,174694,-852064339,234983
139,178277,0,178277,-852064339,234983
140,174837,0,174837,-852064339,234983
141,174621,0,174621,-852064339,234983
142,174202,0,174202,-852064339,234983
143,172855,0,172855,-852064339,234983
144,174646,0,174646,-852064339,234983
145,176058,0,176058,-852064339,234983
146,174040,0,174040,-852064339,234983
147,174182,0,174182,-852064339,234983
148,173814,0,173814,-852064339,234983
149,191916,0,191916,-852064339,234983
150,183167,0,183167,-852064339,234983
151,174170,0,174170,-852064339,234983
152,180221,0,180221,-852064339,234983
153,174814,0,174814,-852064339,234983
154,173705,0,173705,-852064339,234983
155,176207,0,176207,-852064339,234983
156,172829,0,172829,-852064339,234983
157,174601,0,174601,-852064339,234983
158,174303,0,174303,-852064339,234983
159,174294,0,174294,-852064339,234983
160,173597,0,173597,-852064339,234983
161,172478,0,172478,-852064339,234983
162,173990,0,173990,-852064339,234983
163,175892,0,175892,-852064339,234983
164,178324,0,178324,-852064339,234983
165,175876,0,175876,-852064339,234983
166,176198,0,176198,-852064339,234983
167,175359,0,175359,-852064339,234983
168,173972,0,173972,-852064339,234983
169,180304,0,180304,-852064339,234983
170,174326,0,174326,-852064339,234983
171,176588,0,176588,-852064339,234983
172,177670,0,177670,-852064339,234983
173,181632,0,181632,-852064339,234983
174,178475,0,178475,-852064339,234983
175,174487,0,174487,-852064339,234983
176,175839,0,175839,-852064339,234983
177,174611,0,174611,-852064339,234983
178,175072,0,175072,-852064339,234983
179,175014,0,175014,-852064339,234983
180,180885,0,180885,-852064339,234983
181,173048,0,173048,-852064339,234983
182,173369,0,173369,-852064339,234983
183,186261,0,186261,-852064339,234983
184,174723,0,174723,-852064339,234983
185,177075,0,177075,-852064339,234983
186,172917,0,172917,-852064339,234983
187,176639,0,176639,-852064339,234983
188,179651,0,179651,-852064339,234983
189,175014,0,175014,-852064339,234983
190,173055,0,173055,-852064339,234983
191,173888,0,173888,-852064339,234983
192,173139,0,173139,-852064339,234983
193,173021,0,173021,-852064339,234983
194,173073,0,173073,-852064339,234983
195,173645,0,173645,-852064339,234983
196,173577,0,173577,-852064339,234983
197,178849,0,178849,-852064339,234983
198,179761,0,179761,-852064339,234983
199,176162,0,176162,-852064339,234983
200,174864,0,174864,-852064339,234983
201,173206,0,173206,-852064339,234983
202,173568,0,173568,-852064339,234983
203,177030,0,177030,-852064339,234983
204,172992,0,172992,-852064339,234983
205,174543,0,174543,-852064339,234983
206,173456,0,173456,-852064339,234983
207,173497,0,173497,-852064339,234983
208,177390,0,177390,-852064339,234983
209,172901,0,172901,-852064339,234983
210,174513,0,174513,-852064339,234983
211,173985,0,173985,-852064339,234983
212,174017,0,174017,-852064339,234983
213,174889,0,174889,-852064339,234983
214,173321,0,173321,-852064339,234983
215,174173,0,174173,-852064339,234983
216,180915,0,180915,-852064339,234983
217,175016,0,175016,-852064339,234983
218,174259,0,174259,-852064339,234983
219,178339,0,178339,-852064339,234983
220,173962,0,173962,-852064339,234983
221,173933,0,173933,-852064339,234983
222,173115,0,173115,-852064339,234983
223,180457,0,180457,-852064339,234983
224,180379,0,180379,-852064339,234983
225,187161,0,187161,-852064339,234983
226,186563,0,186563,-852064339,234983
227,185255,0,185255,-852064339,234983
228,186827,0,186827,-852064339,234983
229,188538,0,188538,-852064339,234983
230,187511,0,187511,-852064339,234983
231,188712,0,188712,-852064339,234983
232,188915,0,188915,-852064339,234983
233,190666,0,190666,-852064339,234983
234,190548,0,190548,-852064339,234983
235,192381,0,192381,-852064339,234983
236,201243,0,201243,-852064339,234983
237,191235,0,191235,-852064339,234983
238,190367,0,190367,-852064339,234983
239,189008,0,189008,-852064339,234983
240,187880,0,187880,-852064339,234983
241,199982,0,199982,-852064339,234983
242,201624,0,201624,-852064339,234983
243,200316,0,200316,-852064339,234983
244,199938,0,199938,-852064339,234983
245,198350,0,198350,-852064339,234983
246,197831,0,197831,-852064339,234983
247,197334,0,197334,-852064339,234983
248,197725,0,197725,-852064339,234983
249,200598,0,200598,-852064339,234983
250,196479,0,196479,-852064339,234983
251,209682,0,209682,-852064339,234983
252,187433,0,187433,-852064339,234983
253,172705,0,172705,-852064339,234983
254,174457,0,174457,-852064339,234983
255,173909,0,173909,-852064339,234983
256,174650,0,174650,-852064339,234983
257,174633,0,174633,-852064339,234983
258,173564,0,173564,-852064339,234983
259,173656,0,173656,-852064339,234983
260,174567,0,174567,-852064339,234983
261,175199,0,175199,-852064339,234983
262,173141,0,173141,-852064339,234983
263,179713,0,179713,-852064339,234983
264,180935,0,180935,-852064339,234983
265,173577,0,173577,-852064339,234983
266,174729,0,174729,-852064339,234983
267,176641,0,176641,-852064339,234983
268,181632,0,181632,-852064339,234983
269,178035,0,178035,-852064339,234983
270,173726,0,173726,-852064339,234983
271,174849,0,174849,-852064339,234983
272,177250,0,177250,-852064339,234983
273,172822,0,172822,-852064339,234983
274,177154,0,177154,-852064339,234983
275,174196,0,174196,-852064339,234983
276,173878,0,173878,-852064339,234983
277,172600,0,172600,-852064339,234983
278,174111,0,174111,-852064339,234983
279,172633,0,172633,-852064339,234983
280,173515,0,173515,-852064339,234983
281,173907,0,173907,-852064339,234983
282,179109,0,179109,-852064339,234983
283,176481,0,176481,-852064339,234983
284,174004,0,174004,-852064339,234983
285,173895,0,173895,-852064339,234983
286,173558,0,173558,-852064339,234983
287,173439,0,173439,-852064339,234983
288,173952,0,173952,-852064339,234983
289,173593,0,173593,-852064339,234983
290,172885,0,172885,-852064339,234983
291,176697,0,176697,-852064339,234983
292,176689,0,176689,-852064339,234983
293,174371,0,174371,-852064339,234983
294,173983,0,173983,-852064339,234983
295,174824,0,174824,-852064339,234983
296,174997,0,174997,-852064339,234983
297,173288,0,173288,-852064339,234983
298,174210,0,174210,-852064339,234983
299,177441,0,177441,-852064339,234983
300,173664,0,173664,-852064339,234983
301,175275,0,175275,-852064339,234983
302,173397,0,173397,-852064339,234983
303,176349,0,176349,-852064339,234983
304,176041,0,176041,-852064339,234983
305,173103,0,173103,-852064339,234983
306,173745,0,173745,-852064339,234983
307,173746,0,173746,-852064339,234983
308,177629,0,177629,-852064339,234983
309,173510,0,173510,-852064339,234983
310,173853,0,173853,-852064339,234983
311,176204,0,176204,-852064339,234983
312,173386,0,173386,-852064339,234983
313,173958,0,173958,-852064339,234983
314,172380,0,172380,-852064339,234983
315,180802,0,180802,-852064339,234983
316,173804,0,173804,-852064339,234983
317,175246,0,175246,-852064339,234983
318,173927,0,173927,-852064339,234983
319,173599,0,173599,-852064339,234983
320,179101,0,179101,-852064339,234983
321,174043,0,174043,-852064339,234983
322,173185,0,173185,-852064339,234983
323,174147,0,174147,-852064339,234983
324,172958,0,172958,-852064339,234983
325,175471,0,175471,-852064339,234983
326,180962,0,180962,-852064339,234983
327,176735,0,176735,-852064339,234983
328,174066,0,174066,-852064339,234983
329,173259,0,173259,-852064339,234983
330,174410,0,174410,-852064339,234983
331,178183,0,178183,-852064339,234983
332,173115,0,173115,-852064339,234983
333,173917,0,173917,-852064339,234983
334,173919,0,173919,-852064339,234983
335,173231,0,173231,-852064339,234983
336,173582,0,173582,-852064339,234983
337,173105,0,173105,-852064339,234983
338,173175,0,173175,-852064339,234983
339,173258,0,173258,-852064339,234983
340,173949,0,173949,-852064339,234983
341,173651,0,173651,-852064339,234983
342,173343,0,173343,-852064339,234983
343,173825,0,173825,-852064339,234983
344,173637,0,173637,-852064339,234983
345,177469,0,177469,-852064339,234983
346,175132,0,175132,-852064339,234983
347,176363,0,176363,-852064339,234983
348,183555,0,183555,-852064339,234983
349,173887,0,173887,-852064339,234983
350,178839,0,178839,-852064339,234983
351,176122,0,176122,-852064339,234983
352,178823,0,178823,-852064339,234983
353,175686,0,175686,-852064339,234983
354,174237,0,174237,-852064339,234983
355,173469,0,173469,-852064339,234983
356,173331,0,173331,-852064339,234983
357,173223,0,173223,-852064339,234983
358,173825,0,173825,-852064339,234983
359,173687,0,173687,-852064339,234983
360,172689,0,172689,-852064339,234983
361,173401,0,173401,-852064339,234983
362,174002,0,174002,-852064339,234983
363,177245,0,177245,-852064339,234983
364,173446,0,173446,-852064339,234983
365,173959,0,173959,-852064339,234983
366,175020,0,175020,-852064339,234983
367,172412,0,172412,-852064339,234983
368,173644,0,173644,-852064339,234983
369,173576,0,173576,-852064339,234983
370,173598,0,173598,-852064339,234983
371,173620,0,173620,-852064339,234983
372,173561,0,173561,-852064339,234983
373,173934,0,173934,-852064339,234983
374,174455,0,174455,-852064339,234983
