count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,3237809940,0,3237809940,0,0
52,3237811411,0,3237811411,0,0
53,3237808882,0,3237808882,0,0
54,3237810394,0,3237810394,0,0
55,3237809595,0,3237809595,0,0
56,3237808897,0,3237808897,0,0
57,3237808488,0,3237808488,0,0
58,3237809409,0,3237809409,0,0
59,3237808761,0,3237808761,0,0
60,3237808632,0,3237808632,0,0
61,3237811574,0,3237811574,0,0
62,3237809036,0,3237809036,0,0
63,3237809258,0,3237809258,0,0
64,3237813259,0,3237813259,0,0
65,3237808371,0,3237808371,0,0
66,3237809742,0,3237809742,0,0
67,3237809363,0,3237809363,0,0
68,3237809715,0,3237809715,0,0
69,3237809866,0,3237809866,0,0
70,3237808978,0,3237808978,0,0
71,3237809809,0,3237809809,0,0
72,3237808691,0,3237808691,0,0
73,3237808222,0,3237808222,0,0
74,3237808794,0,3237808794,0,0
75,3237808995,0,3237808995,0,0
76,3237810046,0,3237810046,0,0
77,3237811298,0,3237811298,0,0
78,3237808509,0,3237808509,0,0
79,3237808641,0,3237808641,0,0
80,3237809282,0,3237809282,0,0
81,3237809844,0,3237809844,0,0
82,3237808655,0,3237808655,0,0
83,3237808287,0,3237808287,0,0
84,3237808179,0,3237808179,0,0
85,3237809880,0,3237809880,0,0
86,3237808642,0,3237808642,0,0
87,3237809063,0,3237809063,0,0
88,3237808965,0,3237808965,0,0
89,3237808936,0,3237808936,0,0
90,3237808967,0,3237808967,0,0
91,3237808709,0,3237808709,0,0
92,3237807920,0,3237807920,0,0
93,3237811582,0,3237811582,0,0
94,3237813062,0,3237813062,0,0
95,3237808064,0,3237808064,0,0
96,3237809025,0,3237809025,0,0
97,3237811416,0,3237811416,0,0
98,3237809358,0,3237809358,0,0
99,3237808749,0,3237808749,0,0
100,3237808481,0,3237808481,0,0
101,3237810512,0,3237810512,0,0
102,3237807684,0,3237807684,0,0
103,3237809645,0,3237809645,0,0
104,3237809238,0,3237809238,0,0
105,3237809139,0,3237809139,0,0
106,3237808790,0,3237808790,0,0
107,3237810202,0,3237810202,0,0
108,3237812613,0,3237812613,0,0
109,3237813255,0,3237813255,0,0
110,3237808406,0,3237808406,0,0
111,3237809138,0,3237809138,0,0
112,3237810049,0,3237810049,0,0
113,3237808430,0,3237808430,0,0
114,3237808142,0,3237808142,0,0
115,3237809253,0,3237809253,0,0
116,3237808665,0,3237808665,0,0
117,3237808106,0,3237808106,0,0
118,3237809798,0,3237809798,0,0
119,3237811319,0,3237811319,0,0
120,3237808070,0,3237808070,0,0
121,3237808642,0,3237808642,0,0
122,3237813913,0,3237813913,0,0
123,3237811045,0,3237811045,0,0
124,3237808006,0,3237808006,0,0
125,3237812189,0,3237812189,0,0
126,3237809060,0,3237809060,0,0
127,3237808921,0,3237808921,0,0
128,3237808833,0,3237808833,0,0
129,3237808644,0,3237808644,0,0
130,3237815806,0,3237815806,0,0
131,3237809037,0,3237809037,0,0
132,3237808869,0,3237808869,0,0
133,3237808910,0,3237808910,0,0
134,3237810721,0,3237810721,0,0
135,3237813613,0,3237813613,0,0
136,3237815613,0,3237815613,0,0
137,3237810225,0,3237810225,0,0
138,3237809646,0,3237809646,0,0
139,3237809538,0,3237809538,0,0
140,3237809529,0,3237809529,0,0
141,3237810631,0,3237810631,0,0
142,3237808822,0,3237808822,0,0
143,3237808693,0,3237808693,0,0
144,3237808935,0,3237808935,0,0
145,3237808536,0,3237808536,0,0
146,3237809239,0,3237809239,0,0
147,3237810290,0,3237810290,0,0
148,3237808612,0,3237808612,0,0
149,3237811473,0,3237811473,0,0
150,3237812194,0,3237812194,0,0
151,3237812686,0,3237812686,0,0
152,3237808847,0,3237808847,0,0
153,3237809319,0,3237809319,0,0
154,3237809180,0,3237809180,0,0
155,3237808102,0,3237808102,0,0
156,3237808173,0,3237808173,0,0
157,3237812365,0,3237812365,0,0
158,3237808506,0,3237808506,0,0
159,3237809377,0,3237809377,0,0
160,3237809359,0,3237809359,0,0
161,3237809260,0,3237809260,0,0
162,3237808842,0,3237808842,0,0
163,3237814273,0,3237814273,0,0
164,3237814345,0,3237814345,0,0
165,3237808566,0,3237808566,0,0
166,3237809079,0,3237809079,0,0
167,3237809420,0,3237809420,0,0
168,3237809002,0,3237809002,0,0
169,3237809083,0,3237809083,0,0
170,3237808544,0,3237808544,0,0
171,3237813536,0,3237813536,0,0
172,3237807977,0,3237807977,0,0
173,3237811549,0,3237811549,0,0
174,3237807980,0,3237807980,0,0
175,3237808772,0,3237808772,0,0
176,3237808803,0,3237808803,0,0
177,3237809893,0,3237809893,0,0
178,3237813305,0,3237813305,0,0
179,3237809556,0,3237809556,0,0
180,3237808918,0,3237808918,0,0
181,3237809149,0,3237809149,0,0
182,3237808361,0,3237808361,0,0
183,3237809262,0,3237809262,0,0
184,3237810894,0,3237810894,0,0
185,3237812695,0,3237812695,0,0
186,3237809356,0,3237809356,0,0
187,3237809249,0,3237809249,0,0
188,3237812690,0,3237812690,0,0
189,3237811522,0,3237811522,0,0
190,3237812733,0,3237812733,0,0
191,3237812865,0,3237812865,0,0
192,3237813396,0,3237813396,0,0
193,3237810278,0,3237810278,0,0
194,3237808179,0,3237808179,0,0
195,3237809750,0,3237809750,0,0
196,3237813502,0,3237813502,0,0
197,3237809613,0,3237809613,0,0
198,3237807715,0,3237807715,0,0
199,3237813886,0,3237813886,0,0
200,3237810308,0,3237810308,0,0
201,3237808379,0,3237808379,0,0
202,3237809231,0,3237809231,0,0
203,3237808722,0,3237808722,0,0
204,3237814033,0,3237814033,0,0
205,3237817215,0,3237817215,0,0
206,3237816686,0,3237816686,0,0
207,3237812498,0,3237812498,0,0
208,3237810110,0,3237810110,0,0
209,3237808172,0,3237808172,0,0
210,3237808703,0,3237808703,0,0
211,3237808394,0,3237808394,0,0
212,3237808466,0,3237808466,0,0
213,3237814027,0,3237814027,0,0
214,3237809729,0,3237809729,0,0
215,3237809440,0,3237809440,0,0
216,3237808742,0,3237808742,0,0
217,3237809143,0,3237809143,0,0
218,3237811405,0,3237811405,0,0
219,3237811835,0,3237811835,0,0
220,3237811656,0,3237811656,0,0
221,3237812418,0,3237812418,0,0
222,3237810949,0,3237810949,0,0
223,3237808621,0,3237808621,0,0
224,3237809022,0,3237809022,0,0
225,3237810244,0,3237810244,0,0
226,3237808315,0,3237808315,0,0
227,3237813136,0,3237813136,0,0
228,3237808218,0,3237808218,0,0
229,3237812180,0,3237812180,0,0
230,3237810652,0,3237810652,0,0
231,3237809683,0,3237809683,0,0
232,3237808945,0,3237808945,0,0
233,3237808836,0,3237808836,0,0
234,3237813518,0,3237813518,0,0
235,3237809469,0,3237809469,0,0
236,3237809100,0,3237809100,0,0
237,3237810222,0,3237810222,0,0
238,3237808363,0,3237808363,0,0
239,3237809635,0,3237809635,0,0
240,3237808196,0,3237808196,0,0
241,3237813777,0,3237813777,0,0
242,3237809029,0,3237809029,0,0
243,3237809750,0,3237809750,0,0
244,3237809712,0,3237809712,0,0
245,3237808873,0,3237808873,0,0
246,3237809175,0,3237809175,0,0
247,3237809916,0,3237809916,0,0
248,3237813617,0,3237813617,0,0
249,3237808920,0,3237808920,0,0
250,3237809231,0,3237809231,0,0
251,3237808213,0,3237808213,0,0
252,3237808684,0,3237808684,0,0
253,3237810476,0,3237810476,0,0
254,3237808647,0,3237808647,0,0
255,3237808598,0,3237808598,0,0
256,3237809600,0,3237809600,0,0
257,3237809791,0,3237809791,0,0
258,3237809373,0,3237809373,0,0
259,3237808824,0,3237808824,0,0
260,3237810795,0,3237810795,0,0
261,3237809236,0,3237809236,0,0
262,3237815767,0,3237815767,0,0
263,3237810959,0,3237810959,0,0
264,3237809180,0,3237809180,0,0
265,3237809452,0,3237809452,0,0
266,3237808873,0,3237808873,0,0
267,3237808635,0,3237808635,0,0
268,3237808546,0,3237808546,0,0
269,3237810857,0,3237810857,0,0
270,3237809140,0,3237809140,0,0
271,3237809101,0,3237809101,0,0
272,3237808193,0,3237808193,0,0
273,3237809234,0,3237809234,0,0
274,3237809586,0,3237809586,0,0
275,3237810367,0,3237810367,0,0
276,3237808138,0,3237808138,0,0
277,3237808560,0,3237808560,0,0
278,3237808501,0,3237808501,0,0
279,3237809653,0,3237809653,0,0
280,3237809034,0,3237809034,0,0
281,3237808496,0,3237808496,0,0
282,3237809397,0,3237809397,0,0
283,3237808558,0,3237808558,0,0
284,3237809160,0,3237809160,0,0
285,3237811471,0,3237811471,0,0
286,3237808553,0,3237808553,0,0
287,3237808654,0,3237808654,0,0
288,3237809126,0,3237809126,0,0
289,3237808507,0,3237808507,0,0
290,3237811648,0,3237811648,0,0
291,3237811671,0,3237811671,0,0
292,3237811373,0,3237811373,0,0
293,3237811944,0,3237811944,0,0
294,3237807996,0,3237807996,0,0
295,3237814567,0,3237814567,0,0
296,3237808618,0,3237808618,0,0
297,3237808990,0,3237808990,0,0
298,3237808451,0,3237808451,0,0
299,3237808683,0,3237808683,0,0
300,3237808524,0,3237808524,0,0
301,3237812436,0,3237812436,0,0
302,3237815766,0,3237815766,0,0
303,3237809007,0,3237809007,0,0
304,3237809649,0,3237809649,0,0
305,3237808610,0,3237808610,0,0
306,3237808852,0,3237808852,0,0
307,3237808263,0,3237808263,0,0
308,3237808635,0,3237808635,0,0
309,3237808576,0,3237808576,0,0
310,3237808737,0,3237808737,0,0
311,3237810559,0,3237810559,0,0
312,3237808921,0,3237808921,0,0
313,3237808983,0,3237808983,0,0
314,3237809464,0,3237809464,0,0
315,3237809726,0,3237809726,0,0
316,3237808797,0,3237808797,0,0
317,3237811809,0,3237811809,0,0
318,3237809760,0,3237809760,0,0
319,3237808632,0,3237808632,0,0
320,3237810113,0,3237810113,0,0
321,3237808654,0,3237808654,0,0
322,3237808866,0,3237808866,0,0
323,3237808087,0,3237808087,0,0
324,3237808379,0,3237808379,0,0
325,3237809420,0,3237809420,0,0
326,3237809152,0,3237809152,0,0
327,3237809383,0,3237809383,0,0
328,3237811974,0,3237811974,0,0
329,3237811076,0,3237811076,0,0
330,3237808757,0,3237808757,0,0
331,3237809009,0,3237809009,0,0
332,3237808661,0,3237808661,0,0
333,3237810683,0,3237810683,0,0
334,3237808584,0,3237808584,0,0
335,3237808895,0,3237808895,0,0
336,3237808897,0,3237808897,0,0
337,3237808308,0,3237808308,0,0
338,3237808320,0,3237808320,0,0
339,3237810641,0,3237810641,0,0
340,3237809003,0,3237809003,0,0
341,3237808204,0,3237808204,0,0
342,3237807875,0,3237807875,0,0
343,3237810176,0,3237810176,0,0
344,3237808927,0,3237808927,0,0
345,3237809689,0,3237809689,0,0
346,3237813660,0,3237813660,0,0
347,3237808382,0,3237808382,0,0
348,3237809673,0,3237809673,0,0
349,3237816374,0,3237816374,0,0
350,3237813226,0,3237813226,0,0
351,3237811947,0,3237811947,0,0
352,3237809129,0,3237809129,0,0
353,3237811821,0,3237811821,0,0
354,3237808443,0,3237808443,0,0
355,3237808594,0,3237808594,0,0
356,3237810515,0,3237810515,0,0
357,3237810147,0,3237810147,0,0
358,3237809138,0,3237809138,0,0
359,3237811940,0,3237811940,0,0
360,3237813881,0,3237813881,0,0
361,3237813963,0,3237813963,0,0
362,3237808584,0,3237808584,0,0
363,3237808655,0,3237808655,0,0
364,3237809357,0,3237809357,0,0
365,3237815518,0,3237815518,0,0
366,3237809880,0,3237809880,0,0
367,3237816901,0,3237816901,0,0
368,3237808393,0,3237808393,0,0
369,3237813614,0,3237813614,0,0
370,3237813485,0,3237813485,0,0
371,3237816477,0,3237816477,0,0
372,3237814498,0,3237814498,0,0
373,3237812630,0,3237812630,0,0
374,3237814942,0,3237814942,0,0
