sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780566071749911945,1780566072690731439,1780566072690731609,1780566071750745818,940819494,-939985791,-940402642,416851,-940336423,245140
2,1780566071750764918,1780566072691328482,1780566072691328522,1780566071751259599,940563564,-940068923,-940316243,247320,-940336423,245140
3,1780566071751271459,1780566072691818634,1780566072691818664,1780566071751761419,940547175,-940057245,-940302210,244965,-940336423,245140
4,1780566071751773829,1780566072692322127,1780566072692322157,1780566071752174071,940548298,-940148086,-940348192,200106,-940336423,245140
5,1780566071752186311,1780566072692744710,1780566072692744740,1780566071752641722,940558399,-940103018,-940330708,227690,-940336423,245140
6,1780566071752653491,1780566072693219643,1780566072693219673,1780566071753127072,940566152,-940092601,-940329376,236775,-940336423,245140
7,1780566071753133392,1780566072693696516,1780566072693696546,1780566071753607832,940563124,-940088714,-940325919,237205,-940336423,245140
8,1780566071753613942,1780566072694191588,1780566072694191618,1780566071754024494,940577646,-940167124,-940372385,205261,-940336423,245140
9,1780566071754030114,1780566072694603971,1780566072694603991,1780566071754502256,940573857,-940101735,-940337796,236061,-940336423,245140
10,1780566071754509366,1780566072695084383,1780566072695084413,1780566071754993586,940575017,-940090827,-940332922,242095,-940336423,245140
11,1780566071754999576,1780566072695576806,1780566072695576836,1780566071755488646,940577230,-940088190,-940332710,244520,-940336423,245140
12,1780566071755494656,1780566072696071070,1780566072696071100,1780566071755901998,940576414,-940169102,-940372758,203656,-940336423,245140
13,1780566071755907558,1780566072696601952,1780566072696602032,1780566071756494356,940694394,-940107676,-940401035,293359,-940336423,245140
14,1780566071756500246,1780566072697076355,1780566072697076375,1780566071756986787,940576109,-940089588,-940332848,243260,-940336423,245140
15,1780566071756992196,1780566072697566008,1780566072697566028,1780566071757476568,940573812,-940089460,-940331636,242176,-940336423,245140
16,1780566071757482448,1780566072698057350,1780566072698057370,1780566071757886870,940574902,-940170500,-940372701,202201,-940336423,245140
17,1780566071757892350,1780566072698464353,1780566072698464383,1780566071758358650,940572003,-940105733,-940338868,233135,-940336423,245140
18,1780566071758364930,1780566072698939625,1780566072698939655,1780566071758847381,940574695,-940092274,-940333484,241210,-940336423,245140
19,1780566071758854281,1780566072699427818,1780566072699427838,1780566071759344201,940573537,-940083637,-940328587,244950,-940336423,245140
20,1780566071759350111,1780566072699918772,1780566072699918802,1780566071759748223,940568661,-940170579,-940369620,199041,-940336423,245140
21,1780566071759753863,1780566072700327944,1780566072700327974,1780566071760218904,940574081,-940109070,-940341575,232505,-940336423,245140
22,1780566071760224384,1780566072700798906,1780566072700798986,1780566071760708935,940574522,-940090051,-940332286,242235,-940336423,245140
23,1780566071760714635,1780566072701287989,1780566072701288009,1780566071761195845,940573354,-940092164,-940332759,240595,-940336423,245140
24,1780566071761201465,1780566072701775722,1780566072701775752,1780566071761603387,940574257,-940172365,-940373311,200946,-940336423,245140
