sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780486163417741840,1780486164270465102,1780486164270465882,1780486163418606353,852723262,-851859529,-852291396,431866,-852159694,237391
2,1780486163418618772,1780486164271018396,1780486164271019176,1780486163419143403,852399624,-851875773,-852137699,261925,-852159694,237391
3,1780486163419158543,1780486164271559148,1780486164271559418,1780486163419685812,852400605,-851873606,-852137106,263499,-852159694,237391
4,1780486163419701842,1780486164272096131,1780486164272096411,1780486163420200852,852394289,-851895559,-852144924,249365,-852159694,237391
5,1780486163420210812,1780486164272624884,1780486164272625124,1780486163420647993,852414072,-851977131,-852195602,218470,-852159694,237391
6,1780486163420656313,1780486164273057487,1780486164273057667,1780486163421139384,852401174,-851918283,-852159729,241445,-852159694,237391
7,1780486163421148513,1780486164273546189,1780486164273546439,1780486163421644794,852397676,-851901645,-852149661,248015,-852159694,237391
8,1780486163421653333,1780486164274050123,1780486164274050373,1780486163422149555,852396790,-851900818,-852148804,247986,-852159694,237391
9,1780486163422158424,1780486164274554786,1780486164274554866,1780486163422578466,852396362,-851976400,-852186381,209981,-852159694,237391
10,1780486163422587886,1780486164274982478,1780486164274982708,1780486163423065226,852394592,-851917482,-852156037,238555,-852159694,237391
11,1780486163423073866,1780486164275466281,1780486164275466401,1780486163423563317,852392415,-851903084,-852147750,244665,-852159694,237391
12,1780486163423571406,1780486164275970974,1780486164275971054,1780486163424073386,852399568,-851897668,-852148618,250950,-852159694,237391
13,1780486163424081696,1780486164276472356,1780486164276472476,1780486163424489088,852390660,-851983388,-852187024,203636,-852159694,237391
14,1780486163424496878,1780486164276891709,1780486164276891859,1780486163424969840,852394831,-851922019,-852158425,236406,-852159694,237391
15,1780486163424977880,1780486164277370111,1780486164277370381,1780486163425467540,852392231,-851902841,-852147536,244695,-852159694,237391
16,1780486163425475910,1780486164277870815,1780486164277871015,1780486163425967760,852394905,-851903255,-852149080,245825,-852159694,237391
17,1780486163425975770,1780486164278370608,1780486164278370808,1780486163426386832,852394838,-851983976,-852189407,205431,-852159694,237391
18,1780486163426395222,1780486164278789820,1780486164278789920,1780486163426870422,852394598,-851919498,-852157048,237550,-852159694,237391
