sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780659099679456953,1780659100701508869,1780659100701585160,1780659099680140340,1022051916,-1021444820,-1021748368,303548,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021671827,-1021672888,-1021672046,-1021671827,5403.874060,1020,178961,181748,175156,180186,189641,178961,0,ok
2,1780659099680180379,1780659100702056733,1780659100702093643,1780659099680636770,1021876354,-1021456873,-1021666614,209740,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021671827,-1021672888,-1021672046,-1021671827,5403.874060,1020,178961,181748,175156,180186,189641,178961,0,ok
3,1780659099680662120,1780659100702526656,1780659100702548596,1780659099681088341,1021864536,-1021460255,-1021662396,202140,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021671827,-1021672888,-1021672046,-1021671827,5403.874060,1020,178961,181748,175156,180186,189641,178961,0,ok
4,1780659099681111691,1780659100702973868,1780659100702993258,1780659099681536362,1021862177,-1021456896,-1021659537,202640,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021671827,-1021672888,-1021672046,-1021671827,5403.874060,1020,178961,181748,175156,180186,189641,178961,0,ok
5,1780659099681558442,1780659100703422261,1780659100703441261,1780659099681966375,1021863819,-1021474886,-1021669353,194466,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021671827,-1021672888,-1021672046,-1021671827,5403.874060,1020,178961,181748,175156,180186,189641,178961,0,ok
6,1780659099681988644,1780659100703843723,1780659100703861543,1780659099682385676,1021855079,-1021475867,-1021665473,189606,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021671827,-1021672888,-1021672046,-1021671827,5403.874060,1020,178961,181748,175156,180186,189641,178961,0,ok
7,1780659099682407216,1780659100704265255,1780659100704284295,1780659099682798808,1021858039,-1021485487,-1021671763,186276,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021671827,-1021672888,-1021672046,-1021671827,5403.874060,1020,178961,181748,175156,180186,189641,178961,0,ok
8,1780659099682821268,1780659100704678137,1780659100704697417,1780659099683207310,1021856869,-1021490107,-1021673488,183381,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021671827,-1021672888,-1021672046,-1021671827,5403.874060,1020,178961,181748,175156,180186,189641,178961,0,ok
9,1780659099683228590,1780659100705277001,1780659100705296301,1780659099683806898,1022048411,-1021489403,-1021768907,279504,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021671827,-1021672888,-1021672046,-1021671827,5403.874060,1020,178961,181748,175156,180186,189641,178961,0,ok
10,1780659099683830258,1780659100705684464,1780659100705703414,1780659099684212300,1021854206,-1021491114,-1021672660,181546,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021671827,-1021672888,-1021672046,-1021671827,5403.874060,1020,178961,181748,175156,180186,189641,178961,0,ok
11,1780659099684233260,1780659100706086756,1780659100706105256,1780659099684613562,1021853496,-1021491694,-1021672595,180901,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021671827,-1021672888,-1021672046,-1021671827,5403.874060,1020,178961,181748,175156,180186,189641,178961,0,ok
12,1780659099684635482,1780659100706489528,1780659100706507248,1780659099685016055,1021854046,-1021491193,-1021672620,181426,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021671827,-1021672888,-1021672046,-1021671827,5403.874060,1020,178961,181748,175156,180186,189641,178961,0,ok
13,1780659099685037405,1780659100706890860,1780659100706907830,1780659099685416417,1021853455,-1021491413,-1021672434,181021,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021671827,-1021672888,-1021672046,-1021671827,5403.874060,1020,178961,181748,175156,180186,189641,178961,0,ok
14,1780659099685439917,1780659100707383413,1780659100707401213,1780659099685909928,1021943496,-1021491285,-1021717391,226105,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1021671827,-1021672888,-1021672046,-1021671827,5403.874060,1020,178961,181748,175156,180186,189641,178961,0,ok
15,1780659099685931497,1780659100707782025,1780659100707800085,1780659099686307260,1021850528,-1021492825,-1021671677,178851,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1021671827,-1021672888,-1021672046,-1021671827,5403.874060,1020,178961,181748,175156,180186,189641,178961,0,ok
16,1780659099686329249,1780659100708185127,1780659100708203027,1780659099686718972,1021855878,-1021484055,-1021669967,185911,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1021671827,-1021672888,-1021672046,-1021671827,5403.874060,1020,178961,181748,175156,180186,189641,178961,0,ok
17,1780659099686740631,1780659100708592429,1780659100708609759,1780659099687109224,1021851798,-1021500535,-1021676167,175631,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1021671827,-1021672888,-1021672046,-1021671827,5403.874060,1020,178961,181748,175156,180186,189641,178961,0,ok
18,1780659099687146843,1780659100708993861,1780659100709011642,1780659099687527206,1021847018,-1021484436,-1021665727,181291,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1021671827,-1021672888,-1021672046,-1021671827,5403.874060,1020,178961,181748,175156,180186,189641,178961,0,ok
19,1780659099687567015,1780659100709417745,1780659100709434775,1780659099687948258,1021850730,-1021486517,-1021668624,182106,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1021671827,-1021672888,-1021672046,-1021671827,5403.874060,1020,178961,181748,175156,180186,189641,178961,0,ok
20,1780659099687984188,1780659100709833137,1780659100709850237,1780659099688359360,1021848949,-1021490877,-1021669913,179036,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1021671827,-1021672888,-1021672046,-1021671827,5403.874060,1020,178961,181748,175156,180186,189641,178961,0,ok
