count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,450816,0,450816,450816,-1021671827,178961
52,447476,0,447476,447476,-1021671827,178961
53,444106,0,444106,444106,-1021671827,178961
54,440386,0,440386,440386,-1021671827,178961
55,436936,0,436936,436936,-1021671827,178961
56,433486,0,433486,433486,-1021671827,178961
57,430066,0,430066,430066,-1021671827,178961
58,423936,0,423936,423936,-1021671827,178961
59,427767,0,427767,427767,-1021671827,178961
60,424557,0,424557,424557,-1021671827,178961
61,421357,0,421357,421357,-1021671827,178961
62,418227,0,418227,418227,-1021671827,178961
63,414777,0,414777,414777,-1021671827,178961
64,411497,0,411497,411497,-1021671827,178961
65,407977,0,407977,407977,-1021671827,178961
66,401047,0,401047,401047,-1021671827,178961
67,407517,0,407517,407517,-1021671827,178961
68,402727,0,402727,402727,-1021671827,178961
69,397657,0,397657,397657,-1021671827,178961
70,393017,0,393017,393017,-1021671827,178961
71,387608,0,387608,387608,-1021671827,178961
72,383968,0,383968,383968,-1021671827,178961
73,373808,0,373808,373808,-1021671827,178961
74,370298,0,370298,370298,-1021671827,178961
75,370918,0,370918,370918,-1021671827,178961
76,386898,0,386898,386898,-1021671827,178961
77,383368,0,383368,383368,-1021671827,178961
78,379828,0,379828,379828,-1021671827,178961
79,376328,0,376328,376328,-1021671827,178961
80,372938,0,372938,372938,-1021671827,178961
81,443589,0,443589,443589,-1021671827,178961
82,440089,0,440089,440089,-1021671827,178961
83,436520,0,436520,436520,-1021671827,178961
84,515200,0,515200,515200,-1021671827,178961
85,511670,0,511670,511670,-1021671827,178961
86,508360,0,508360,508360,-1021671827,178961
87,505000,0,505000,505000,-1021671827,178961
88,501610,0,501610,501610,-1021671827,178961
89,498110,0,498110,498110,-1021671827,178961
90,494840,0,494840,494840,-1021671827,178961
91,491290,0,491290,491290,-1021671827,178961
92,495420,0,495420,495420,-1021671827,178961
93,491970,0,491970,491970,-1021671827,178961
94,488630,0,488630,488630,-1021671827,178961
95,485090,0,485090,485090,-1021671827,178961
96,481760,0,481760,481760,-1021671827,178961
97,476261,0,476261,476261,-1021671827,178961
98,471120,0,471120,471120,-1021671827,178961
99,465790,0,465790,465790,-1021671827,178961
100,464280,0,464280,464280,-1021671827,178961
101,458280,0,458280,458280,-1021671827,178961
102,469810,0,469810,469810,-1021671827,178961
103,464190,0,464190,464190,-1021671827,178961
104,458910,0,458910,458910,-1021671827,178961
105,453480,0,453480,453480,-1021671827,178961
106,448441,0,448441,448441,-1021671827,178961
107,442981,0,442981,442981,-1021671827,178961
108,436531,0,436531,436531,-1021671827,178961
109,430731,0,430731,430731,-1021671827,178961
110,431001,0,431001,431001,-1021671827,178961
111,425631,0,425631,425631,-1021671827,178961
112,420451,0,420451,420451,-1021671827,178961
113,514292,0,514292,514292,-1021671827,178961
114,509032,0,509032,509032,-1021671827,178961
115,615003,0,615003,615003,-1021671827,178961
116,608503,0,608503,608503,-1021671827,178961
117,587613,0,587613,587613,-1021671827,178961
118,582203,0,582203,582203,-1021671827,178961
119,576683,0,576683,576683,-1021671827,178961
120,571583,0,571583,571583,-1021671827,178961
121,566143,0,566143,566143,-1021671827,178961
122,560844,0,560844,560844,-1021671827,178961
123,562124,0,562124,562124,-1021671827,178961
124,556964,0,556964,556964,-1021671827,178961
125,551624,0,551624,551624,-1021671827,178961
126,546364,0,546364,546364,-1021671827,178961
127,540844,0,540844,540844,-1021671827,178961
128,534914,0,534914,534914,-1021671827,178961
129,529024,0,529024,529024,-1021671827,178961
130,523284,0,523284,523284,-1021671827,178961
131,527946,0,527946,527946,-1021671827,178961
132,522286,0,522286,522286,-1021671827,178961
133,516566,0,516566,516566,-1021671827,178961
134,510896,0,510896,510896,-1021671827,178961
135,505616,0,505616,505616,-1021671827,178961
136,500286,0,500286,500286,-1021671827,178961
137,494596,0,494596,494596,-1021671827,178961
138,489386,0,489386,489386,-1021671827,178961
139,490146,0,490146,490146,-1021671827,178961
140,484627,0,484627,484627,-1021671827,178961
141,478437,0,478437,478437,-1021671827,178961
142,472847,0,472847,472847,-1021671827,178961
143,467647,0,467647,467647,-1021671827,178961
144,462547,0,462547,462547,-1021671827,178961
145,519337,0,519337,519337,-1021671827,178961
146,514177,0,514177,514177,-1021671827,178961
147,622688,0,622688,622688,-1021671827,178961
148,617638,0,617638,617638,-1021671827,178961
149,612589,0,612589,612589,-1021671827,178961
150,607419,0,607419,607419,-1021671827,178961
151,601879,0,601879,601879,-1021671827,178961
152,573549,0,573549,573549,-1021671827,178961
153,569709,0,569709,569709,-1021671827,178961
154,565969,0,565969,565969,-1021671827,178961
155,569400,0,569400,569400,-1021671827,178961
156,566010,0,566010,566010,-1021671827,178961
157,562730,0,562730,562730,-1021671827,178961
158,559300,0,559300,559300,-1021671827,178961
159,555920,0,555920,555920,-1021671827,178961
160,552600,0,552600,552600,-1021671827,178961
161,549170,0,549170,549170,-1021671827,178961
162,545570,0,545570,545570,-1021671827,178961
163,551710,0,551710,551710,-1021671827,178961
164,546340,0,546340,546340,-1021671827,178961
165,541030,0,541030,541030,-1021671827,178961
166,535750,0,535750,535750,-1021671827,178961
167,530451,0,530451,530451,-1021671827,178961
168,524951,0,524951,524951,-1021671827,178961
169,521291,0,521291,521291,-1021671827,178961
170,517811,0,517811,517811,-1021671827,178961
171,530311,0,530311,530311,-1021671827,178961
568,368062,0,368062,368062,-1021671827,178961
569,339372,0,339372,339372,-1021671827,178961
570,325763,0,325763,325763,-1021671827,178961
571,334334,0,334334,334334,-1021671827,178961
572,341815,0,341815,341815,-1021671827,178961
573,352146,0,352146,352146,-1021671827,178961
574,337656,0,337656,337656,-1021671827,178961
575,375086,0,375086,375086,-1021671827,178961
576,356787,0,356787,356787,-1021671827,178961
577,342957,0,342957,342957,-1021671827,178961
578,336187,0,336187,336187,-1021671827,178961
579,388198,0,388198,388198,-1021671827,178961
580,383398,0,383398,383398,-1021671827,178961
581,374389,0,374389,374389,-1021671827,178961
582,362569,0,362569,362569,-1021671827,178961
583,347060,0,347060,347060,-1021671827,178961
584,375270,0,375270,375270,-1021671827,178961
585,363730,0,363730,363730,-1021671827,178961
586,352760,0,352760,352760,-1021671827,178961
587,345981,0,345981,345981,-1021671827,178961
588,386861,0,386861,386861,-1021671827,178961
589,383101,0,383101,383101,-1021671827,178961
590,378211,0,378211,378211,-1021671827,178961
591,369651,0,369651,369651,-1021671827,178961
592,416942,0,416942,416942,-1021671827,178961
593,413002,0,413002,413002,-1021671827,178961
594,407682,0,407682,407682,-1021671827,178961
595,401352,0,401352,401352,-1021671827,178961
596,395513,0,395513,395513,-1021671827,178961
597,391983,0,391983,391983,-1021671827,178961
598,387693,0,387693,387693,-1021671827,178961
599,417783,0,417783,417783,-1021671827,178961
600,408563,0,408563,408563,-1021671827,178961
601,479353,0,479353,479353,-1021671827,178961
602,472663,0,472663,472663,-1021671827,178961
603,468773,0,468773,468773,-1021671827,178961
604,465033,0,465033,465033,-1021671827,178961
605,461554,0,461554,461554,-1021671827,178961
606,458084,0,458084,458084,-1021671827,178961
607,454544,0,454544,454544,-1021671827,178961
608,451094,0,451094,451094,-1021671827,178961
609,452454,0,452454,452454,-1021671827,178961
610,445494,0,445494,445494,-1021671827,178961
611,441724,0,441724,441724,-1021671827,178961
612,465874,0,465874,465874,-1021671827,178961
613,542535,0,542535,542535,-1021671827,178961
614,538765,0,538765,538765,-1021671827,178961
615,535025,0,535025,535025,-1021671827,178961
616,531495,0,531495,531495,-1021671827,178961
617,527706,0,527706,527706,-1021671827,178961
618,524116,0,524116,524116,-1021671827,178961
619,520526,0,520526,520526,-1021671827,178961
620,516686,0,516686,516686,-1021671827,178961
621,530206,0,530206,530206,-1021671827,178961
622,526876,0,526876,526876,-1021671827,178961
623,521636,0,521636,521636,-1021671827,178961
624,517966,0,517966,517966,-1021671827,178961
625,514336,0,514336,514336,-1021671827,178961
626,510186,0,510186,510186,-1021671827,178961
627,498726,0,498726,498726,-1021671827,178961
628,546157,0,546157,546157,-1021671827,178961
629,540307,0,540307,540307,-1021671827,178961
630,531197,0,531197,531197,-1021671827,178961
631,525667,0,525667,525667,-1021671827,178961
632,520417,0,520417,520417,-1021671827,178961
633,514727,0,514727,514727,-1021671827,178961
634,509267,0,509267,509267,-1021671827,178961
635,505597,0,505597,505597,-1021671827,178961
636,509007,0,509007,509007,-1021671827,178961
637,505618,0,505618,505618,-1021671827,178961
638,501928,0,501928,501928,-1021671827,178961
639,498498,0,498498,498498,-1021671827,178961
640,494948,0,494948,494948,-1021671827,178961
641,491598,0,491598,491598,-1021671827,178961
642,487288,0,487288,487288,-1021671827,178961
643,483728,0,483728,483728,-1021671827,178961
644,479728,0,479728,479728,-1021671827,178961
645,473638,0,473638,473638,-1021671827,178961
646,468558,0,468558,468558,-1021671827,178961
647,465018,0,465018,465018,-1021671827,178961
648,461359,0,461359,461359,-1021671827,178961
649,457999,0,457999,457999,-1021671827,178961
650,452649,0,452649,452649,-1021671827,178961
651,437039,0,437039,437039,-1021671827,178961
652,437289,0,437289,437289,-1021671827,178961
653,427929,0,427929,427929,-1021671827,178961
654,424159,0,424159,424159,-1021671827,178961
655,420469,0,420469,420469,-1021671827,178961
656,417020,0,417020,417020,-1021671827,178961
657,473131,0,473131,473131,-1021671827,178961
658,469521,0,469521,469521,-1021671827,178961
659,466091,0,466091,466091,-1021671827,178961
660,462651,0,462651,462651,-1021671827,178961
661,458951,0,458951,458951,-1021671827,178961
662,455511,0,455511,455511,-1021671827,178961
663,451951,0,451951,451951,-1021671827,178961
664,448261,0,448261,448261,-1021671827,178961
665,451501,0,451501,451501,-1021671827,178961
666,447861,0,447861,447861,-1021671827,178961
667,444531,0,444531,444531,-1021671827,178961
668,441001,0,441001,441001,-1021671827,178961
669,437571,0,437571,437571,-1021671827,178961
670,434192,0,434192,434192,-1021671827,178961
671,430552,0,430552,430552,-1021671827,178961
672,427162,0,427162,427162,-1021671827,178961
673,435762,0,435762,435762,-1021671827,178961
674,432342,0,432342,432342,-1021671827,178961
675,428762,0,428762,428762,-1021671827,178961
676,424602,0,424602,424602,-1021671827,178961
677,426952,0,426952,426952,-1021671827,178961
678,423712,0,423712,423712,-1021671827,178961
679,420132,0,420132,420132,-1021671827,178961
680,414212,0,414212,414212,-1021671827,178961
681,408732,0,408732,408732,-1021671827,178961
682,403653,0,403653,403653,-1021671827,178961
683,398273,0,398273,398273,-1021671827,178961
684,384303,0,384303,384303,-1021671827,178961
685,476163,0,476163,476163,-1021671827,178961
686,472713,0,472713,472713,-1021671827,178961
687,469263,0,469263,469263,-1021671827,178961
688,465683,0,465683,465683,-1021671827,178961
689,556064,0,556064,556064,-1021671827,178961
690,552614,0,552614,552614,-1021671827,178961
691,548924,0,548924,548924,-1021671827,178961
692,545364,0,545364,545364,-1021671827,178961
693,541705,0,541705,541705,-1021671827,178961
694,538415,0,538415,538415,-1021671827,178961
695,534735,0,534735,534735,-1021671827,178961
696,530985,0,530985,530985,-1021671827,178961
697,534805,0,534805,534805,-1021671827,178961
698,531655,0,531655,531655,-1021671827,178961
699,527985,0,527985,527985,-1021671827,178961
700,524605,0,524605,524605,-1021671827,178961
701,521135,0,521135,521135,-1021671827,178961
702,517535,0,517535,517535,-1021671827,178961
703,514385,0,514385,514385,-1021671827,178961
704,510875,0,510875,510875,-1021671827,178961
705,514335,0,514335,514335,-1021671827,178961
706,510955,0,510955,510955,-1021671827,178961
707,507246,0,507246,507246,-1021671827,178961
708,503626,0,503626,503626,-1021671827,178961
709,500176,0,500176,500176,-1021671827,178961
710,495416,0,495416,495416,-1021671827,178961
711,489206,0,489206,489206,-1021671827,178961
712,484286,0,484286,484286,-1021671827,178961
713,492766,0,492766,492766,-1021671827,178961
714,489656,0,489656,489656,-1021671827,178961
715,485786,0,485786,485786,-1021671827,178961
716,482766,0,482766,482766,-1021671827,178961
717,531756,0,531756,531756,-1021671827,178961
718,528706,0,528706,528706,-1021671827,178961
719,524666,0,524666,524666,-1021671827,178961
720,521747,0,521747,521747,-1021671827,178961
721,518827,0,518827,518827,-1021671827,178961
722,604228,0,604228,604228,-1021671827,178961
723,600538,0,600538,600538,-1021671827,178961
724,597468,0,597468,597468,-1021671827,178961
725,594258,0,594258,594258,-1021671827,178961
726,591348,0,591348,591348,-1021671827,178961
727,587508,0,587508,587508,-1021671827,178961
728,584578,0,584578,584578,-1021671827,178961
729,581508,0,581508,581508,-1021671827,178961
730,585988,0,585988,585988,-1021671827,178961
731,582308,0,582308,582308,-1021671827,178961
732,579348,0,579348,579348,-1021671827,178961
733,576268,0,576268,576268,-1021671827,178961
734,573348,0,573348,573348,-1021671827,178961
735,569359,0,569359,569359,-1021671827,178961
736,566399,0,566399,566399,-1021671827,178961
737,563479,0,563479,563479,-1021671827,178961
738,564639,0,564639,564639,-1021671827,178961
739,174417,0,174417,174417,-1021671827,178961
740,244539,0,244539,244539,-1021671827,178961
741,234209,0,234209,234209,-1021671827,178961
742,227179,0,227179,227179,-1021671827,178961
743,221279,0,221279,221279,-1021671827,178961
744,214139,0,214139,214139,-1021671827,178961
745,208139,0,208139,208139,-1021671827,178961
746,204709,0,204709,204709,-1021671827,178961
747,251151,0,251151,251151,-1021671827,178961
748,245041,0,245041,245041,-1021671827,178961
749,241551,0,241551,241551,-1021671827,178961
750,238071,0,238071,238071,-1021671827,178961
751,234601,0,234601,234601,-1021671827,178961
752,228711,0,228711,228711,-1021671827,178961
753,261771,0,261771,261771,-1021671827,178961
754,253611,0,253611,253611,-1021671827,178961
755,247671,0,247671,247671,-1021671827,178961
756,240612,0,240612,240612,-1021671827,178961
757,235572,0,235572,235572,-1021671827,178961
758,232062,0,232062,232062,-1021671827,178961
759,225942,0,225942,225942,-1021671827,178961
760,222652,0,222652,222652,-1021671827,178961
761,272822,0,272822,272822,-1021671827,178961
762,266882,0,266882,266882,-1021671827,178961
763,475554,0,475554,475554,-1021671827,178961
764,471914,0,471914,471914,-1021671827,178961
765,468434,0,468434,468434,-1021671827,178961
766,465074,0,465074,465074,-1021671827,178961
767,461274,0,461274,461274,-1021671827,178961
768,457355,0,457355,457355,-1021671827,178961
769,453935,0,453935,453935,-1021671827,178961
770,449405,0,449405,449405,-1021671827,178961
771,452155,0,452155,452155,-1021671827,178961
772,442375,0,442375,442375,-1021671827,178961
773,433085,0,433085,433085,-1021671827,178961
774,429485,0,429485,429485,-1021671827,178961
775,426035,0,426035,426035,-1021671827,178961
776,422625,0,422625,422625,-1021671827,178961
777,473275,0,473275,473275,-1021671827,178961
778,469306,0,469306,469306,-1021671827,178961
779,465746,0,465746,465746,-1021671827,178961
780,462406,0,462406,462406,-1021671827,178961
781,458016,0,458016,458016,-1021671827,178961
782,452556,0,452556,452556,-1021671827,178961
783,446846,0,446846,446846,-1021671827,178961
784,440996,0,440996,440996,-1021671827,178961
785,442066,0,442066,442066,-1021671827,178961
786,436876,0,436876,436876,-1021671827,178961
787,433176,0,433176,433176,-1021671827,178961
788,429476,0,429476,429476,-1021671827,178961
789,425857,0,425857,425857,-1021671827,178961
790,422207,0,422207,422207,-1021671827,178961
791,419007,0,419007,419007,-1021671827,178961
792,415227,0,415227,415227,-1021671827,178961
793,418697,0,418697,418697,-1021671827,178961
794,414497,0,414497,414497,-1021671827,178961
795,411297,0,411297,411297,-1021671827,178961
796,407757,0,407757,407757,-1021671827,178961
797,398867,0,398867,398867,-1021671827,178961
798,395737,0,395737,395737,-1021671827,178961
799,392377,0,392377,392377,-1021671827,178961
800,389177,0,389177,389177,-1021671827,178961
801,399027,0,399027,399027,-1021671827,178961
802,395358,0,395358,395358,-1021671827,178961
803,391698,0,391698,391698,-1021671827,178961
804,388258,0,388258,388258,-1021671827,178961
805,384768,0,384768,384768,-1021671827,178961
806,420718,0,420718,420718,-1021671827,178961
807,417148,0,417148,417148,-1021671827,178961
808,413858,0,413858,413858,-1021671827,178961
809,499569,0,499569,499569,-1021671827,178961
810,496129,0,496129,496129,-1021671827,178961
811,490589,0,490589,490589,-1021671827,178961
812,485249,0,485249,485249,-1021671827,178961
813,479040,0,479040,479040,-1021671827,178961
814,473540,0,473540,473540,-1021671827,178961
815,467100,0,467100,467100,-1021671827,178961
816,463370,0,463370,463370,-1021671827,178961
817,465670,0,465670,465670,-1021671827,178961
818,462170,0,462170,462170,-1021671827,178961
819,458020,0,458020,458020,-1021671827,178961
820,454840,0,454840,454840,-1021671827,178961
821,451730,0,451730,451730,-1021671827,178961
822,448810,0,448810,448810,-1021671827,178961
823,445680,0,445680,445680,-1021671827,178961
824,442590,0,442590,442590,-1021671827,178961
825,444890,0,444890,444890,-1021671827,178961
826,441791,0,441791,441791,-1021671827,178961
827,438071,0,438071,438071,-1021671827,178961
828,434781,0,434781,434781,-1021671827,178961
829,431711,0,431711,431711,-1021671827,178961
830,428651,0,428651,428651,-1021671827,178961
831,425401,0,425401,425401,-1021671827,178961
832,422091,0,422091,422091,-1021671827,178961
833,423881,0,423881,423881,-1021671827,178961
834,420911,0,420911,420911,-1021671827,178961
835,417441,0,417441,417441,-1021671827,178961
836,414281,0,414281,414281,-1021671827,178961
837,411211,0,411211,411211,-1021671827,178961
838,507961,0,507961,507961,-1021671827,178961
839,504891,0,504891,504891,-1021671827,178961
840,501621,0,501621,501621,-1021671827,178961
841,581663,0,581663,581663,-1021671827,178961
842,578683,0,578683,578683,-1021671827,178961
843,553733,0,553733,553733,-1021671827,178961
844,548473,0,548473,548473,-1021671827,178961
845,543283,0,543283,543283,-1021671827,178961
846,538633,0,538633,538633,-1021671827,178961
847,533593,0,533593,533593,-1021671827,178961
848,530294,0,530294,530294,-1021671827,178961
849,533634,0,533634,533634,-1021671827,178961
850,529884,0,529884,529884,-1021671827,178961
851,526414,0,526414,526414,-1021671827,178961
852,522934,0,522934,522934,-1021671827,178961
853,519404,0,519404,519404,-1021671827,178961
854,516084,0,516084,516084,-1021671827,178961
855,512744,0,512744,512744,-1021671827,178961
856,509134,0,509134,509134,-1021671827,178961
857,511364,0,511364,511364,-1021671827,178961
858,507874,0,507874,507874,-1021671827,178961
859,504374,0,504374,504374,-1021671827,178961
860,501234,0,501234,501234,-1021671827,178961
861,497784,0,497784,497784,-1021671827,178961
862,503365,0,503365,503365,-1021671827,178961
863,499825,0,499825,499825,-1021671827,178961
864,496365,0,496365,496365,-1021671827,178961
865,492805,0,492805,492805,-1021671827,178961
866,489495,0,489495,489495,-1021671827,178961
867,485915,0,485915,485915,-1021671827,178961
868,482685,0,482685,482685,-1021671827,178961
870,539495,0,539495,539495,-1021671827,178961
871,536115,0,536115,536115,-1021671827,178961
872,532945,0,532945,532945,-1021671827,178961
873,611606,0,611606,611606,-1021671827,178961
874,606456,0,606456,606456,-1021671827,178961
875,601097,0,601097,601097,-1021671827,178961
876,597777,0,597777,597777,-1021671827,178961
877,594227,0,594227,594227,-1021671827,178961
878,590017,0,590017,590017,-1021671827,178961
879,586867,0,586867,586867,-1021671827,178961
880,583247,0,583247,583247,-1021671827,178961
881,587337,0,587337,587337,-1021671827,178961
882,584397,0,584397,584397,-1021671827,178961
883,581477,0,581477,581477,-1021671827,178961
884,578527,0,578527,578527,-1021671827,178961
885,575427,0,575427,575427,-1021671827,178961
886,571547,0,571547,571547,-1021671827,178961
887,568597,0,568597,568597,-1021671827,178961
888,564907,0,564907,564907,-1021671827,178961
889,579047,0,579047,579047,-1021671827,178961
890,576128,0,576128,576128,-1021671827,178961
891,572968,0,572968,572968,-1021671827,178961
892,173476,0,173476,173476,-1021671827,178961
893,222836,0,222836,222836,-1021671827,178961
894,215266,0,215266,215266,-1021671827,178961
895,208356,0,208356,208356,-1021671827,178961
896,202186,0,202186,202186,-1021671827,178961
897,194946,0,194946,194946,-1021671827,178961
898,191187,0,191187,191187,-1021671827,178961
899,217538,0,217538,217538,-1021671827,178961
900,211608,0,211608,211608,-1021671827,178961
901,201768,0,201768,201768,-1021671827,178961
902,197988,0,197988,197988,-1021671827,178961
903,238928,0,238928,238928,-1021671827,178961
904,232308,0,232308,232308,-1021671827,178961
905,228429,0,228429,228429,-1021671827,178961
906,224639,0,224639,224639,-1021671827,178961
907,218919,0,218919,218919,-1021671827,178961
908,261689,0,261689,261689,-1021671827,178961
909,256299,0,256299,256299,-1021671827,178961
910,249679,0,249679,249679,-1021671827,178961
911,243979,0,243979,243979,-1021671827,178961
912,240439,0,240439,240439,-1021671827,178961
913,236879,0,236879,236879,-1021671827,178961
914,289581,0,289581,289581,-1021671827,178961
915,285861,0,285861,285861,-1021671827,178961
916,282001,0,282001,282001,-1021671827,178961
917,278291,0,278291,278291,-1021671827,178961
918,274841,0,274841,274841,-1021671827,178961
919,271391,0,271391,271391,-1021671827,178961
920,267291,0,267291,267291,-1021671827,178961
921,263651,0,263651,263651,-1021671827,178961
922,270511,0,270511,270511,-1021671827,178961
