sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780659869097684873,1780659870120247581,1780659870120321761,1780659869098466087,1022562708,-1021855674,-1022209191,353517,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022154912,-1022155884,-1022155153,-1022154912,4086.648642,810,175176,177146,172941,176201,181971,175176,0,ok
2,1780659869098590195,1780659870121011605,1780659870121062816,1780659869099209732,1022421410,-1021853084,-1022137247,284163,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022154912,-1022155884,-1022155153,-1022154912,4086.648642,810,175176,177146,172941,176201,181971,175176,0,ok
3,1780659869099262571,1780659870121617089,1780659870121644129,1780659869099746422,1022354518,-1021897707,-1022126113,228405,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022154912,-1022155884,-1022155153,-1022154912,4086.648642,810,175176,177146,172941,176201,181971,175176,0,ok
4,1780659869099786271,1780659870122120722,1780659870122140462,1780659869100178363,1022334451,-1021962099,-1022148275,186176,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022154912,-1022155884,-1022155153,-1022154912,4086.648642,810,175176,177146,172941,176201,181971,175176,0,ok
5,1780659869100200633,1780659870122534284,1780659870122551064,1780659869100587385,1022333651,-1021963679,-1022148665,184986,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022154912,-1022155884,-1022155153,-1022154912,4086.648642,810,175176,177146,172941,176201,181971,175176,0,ok
6,1780659869100607915,1780659870122939877,1780659870122955557,1780659869100990478,1022331962,-1021965079,-1022148521,183441,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022154912,-1022155884,-1022155153,-1022154912,4086.648642,810,175176,177146,172941,176201,181971,175176,0,ok
7,1780659869101010298,1780659870123343749,1780659870123360619,1780659869101397140,1022333451,-1021963479,-1022148465,184986,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022154912,-1022155884,-1022155153,-1022154912,4086.648642,810,175176,177146,172941,176201,181971,175176,0,ok
8,1780659869101416150,1780659870123749581,1780659870123765801,1780659869101813912,1022333431,-1021951889,-1022142660,190771,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022154912,-1022155884,-1022155153,-1022154912,4086.648642,810,175176,177146,172941,176201,181971,175176,0,ok
9,1780659869101834431,1780659870124166413,1780659870124180613,1780659869102214224,1022331982,-1021966389,-1022149186,182796,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022154912,-1022155884,-1022155153,-1022154912,4086.648642,810,175176,177146,172941,176201,181971,175176,0,ok
10,1780659869102232044,1780659870124575416,1780659870124591226,1780659869102628286,1022343372,-1021962940,-1022153156,190216,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022154912,-1022155884,-1022155153,-1022154912,4086.648642,810,175176,177146,172941,176201,181971,175176,0,ok
