sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780659946629117421,1780659947651690904,1780659947651755804,1780659946629824057,1022573483,-1021931747,-1022252615,320868,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022203203,-1022204149,-1022203299,-1022203203,4221.146015,964,179736,182048,177626,180731,187651,179736,0,ok
2,1780659946629933255,1780659947652340677,1780659947652373417,1780659946630421275,1022407422,-1021952142,-1022179782,227640,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022203203,-1022204149,-1022203299,-1022203203,4221.146015,964,179736,182048,177626,180731,187651,179736,0,ok
3,1780659946630464154,1780659947652856230,1780659947652878390,1780659946630885687,1022392076,-1021992703,-1022192390,199686,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022203203,-1022204149,-1022203299,-1022203203,4221.146015,964,179736,182048,177626,180731,187651,179736,0,ok
4,1780659946630927876,1780659947653330163,1780659947653354203,1780659946631347348,1022402287,-1022006855,-1022204571,197716,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022203203,-1022204149,-1022203299,-1022203203,4221.146015,964,179736,182048,177626,180731,187651,179736,0,ok
5,1780659946631373257,1780659947653755255,1780659947653776665,1780659946631780219,1022381998,-1021996446,-1022189222,192776,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022203203,-1022204149,-1022203299,-1022203203,4221.146015,964,179736,182048,177626,180731,187651,179736,0,ok
6,1780659946631804679,1780659947654189738,1780659947654210728,1780659946632202091,1022385059,-1022008637,-1022196848,188211,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022203203,-1022204149,-1022203299,-1022203203,4221.146015,964,179736,182048,177626,180731,187651,179736,0,ok
7,1780659946632225200,1780659947654607931,1780659947654627221,1780659946632620902,1022382731,-1022006319,-1022194525,188206,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022203203,-1022204149,-1022203299,-1022203203,4221.146015,964,179736,182048,177626,180731,187651,179736,0,ok
8,1780659946632642912,1780659947655026533,1780659947655045733,1780659946633034784,1022383621,-1022010949,-1022197285,186336,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022203203,-1022204149,-1022203299,-1022203203,4221.146015,964,179736,182048,177626,180731,187651,179736,0,ok
9,1780659946633056064,1780659947655450325,1780659947655472245,1780659946633464116,1022394261,-1022008129,-1022201195,193066,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022203203,-1022204149,-1022203299,-1022203203,4221.146015,964,179736,182048,177626,180731,187651,179736,0,ok
10,1780659946633487175,1780659947655871167,1780659947655890638,1780659946633894338,1022383992,-1021996300,-1022190146,193846,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022203203,-1022204149,-1022203299,-1022203203,4221.146015,964,179736,182048,177626,180731,187651,179736,0,ok
11,1780659946633916328,1780659947656300440,1780659947656321210,1780659946634312450,1022384112,-1022008760,-1022196436,187676,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1022203203,-1022204149,-1022203299,-1022203203,4221.146015,964,179736,182048,177626,180731,187651,179736,0,ok
