sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780914848717805374,1780914849970315758,1780914849970388898,1780914848718521759,1252510384,-1251867139,-1252188762,321622,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
2,1780914848718606338,1780914849970992042,1780914849971022042,1780914848719156407,1252385704,-1251865635,-1252125670,260034,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
3,1780914848719211746,1780914849971575685,1780914849971593816,1780914848719664218,1252363939,-1251929598,-1252146769,217170,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
4,1780914848719686367,1780914849972021678,1780914849972038998,1780914848720108379,1252335311,-1251930619,-1252132965,202346,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
5,1780914848720129938,1780914849972465230,1780914849972482520,1780914848720538040,1252335292,-1251944480,-1252139886,195406,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
6,1780914848720561200,1780914849972888572,1780914849972907573,1780914848720961612,1252327372,-1251945961,-1252136667,190705,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
7,1780914848720982771,1780914849973316325,1780914849973332655,1780914848721385973,1252333554,-1251946682,-1252140118,193436,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
8,1780914848721406063,1780914849973736997,1780914849973752797,1780914848721809365,1252330934,-1251943432,-1252137183,193751,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
9,1780914848721829705,1780914849974162289,1780914849974183299,1780914848722239536,1252332584,-1251943763,-1252138174,194410,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
10,1780914848722262016,1780914849974593213,1780914849974611753,1780914848722653229,1252331197,-1251958524,-1252144861,186336,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
11,1780914848722674359,1780914849975003615,1780914849975021705,1780914848723060331,1252329256,-1251961374,-1252145315,183941,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
12,1780914848723082031,1780914849975542028,1780914849975559678,1780914848723602510,1252459997,-1251957168,-1252208583,251414,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
13,1780914848723623320,1780914849975948530,1780914849975966090,1780914848724004182,1252325210,-1251961908,-1252143559,181651,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
14,1780914848724024842,1780914849976350252,1780914849976367312,1780914848724403575,1252325410,-1251963737,-1252144574,180836,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
15,1780914848724424044,1780914849976752294,1780914849976769944,1780914848724805337,1252328250,-1251964607,-1252146429,181821,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
16,1780914848724824986,1780914849977153576,1780914849977172436,1780914848725221828,1252328590,-1251950608,-1252139599,188991,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
17,1780914848725243538,1780914849977568759,1780914849977586509,1780914848725623281,1252325221,-1251963228,-1252144225,180996,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
18,1780914848725643791,1780914849977970882,1780914849977988552,1780914848726025683,1252327091,-1251962869,-1252144980,182111,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
19,1780914848726047663,1780914849978373704,1780914849978391684,1780914848726428355,1252326041,-1251963329,-1252144685,181356,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
20,1780914848726449125,1780914849978774316,1780914849978792586,1780914848726828238,1252325191,-1251964348,-1252144770,180421,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
21,1780914848726854367,1780914849979176088,1780914849979193028,1780914848727229810,1252321721,-1251963218,-1252142470,179251,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
22,1780914848727255569,1780914849979623011,1780914849979633551,1780914848727669581,1252367442,-1251963970,-1252165706,201736,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
23,1780914848727689801,1780914849980018403,1780914849980036213,1780914848728073163,1252328602,-1251963050,-1252145826,182776,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
24,1780914848728095192,1780914849980425435,1780914849980442895,1780914848728481395,1252330243,-1251961500,-1252145872,184371,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
25,1780914848728501434,1780914849981028718,1780914849981049778,1780914848729089124,1252527284,-1251960654,-1252243969,283315,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
26,1780914848729109003,1780914849981441280,1780914849981459010,1780914848729495286,1252332277,-1251963724,-1252148001,184276,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
27,1780914848729515335,1780914849981841113,1780914849981858404,1780914848729893978,1252325778,-1251964426,-1252145102,180676,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
28,1780914848729913778,1780914849982241956,1780914849982261036,1780914848730298080,1252328178,-1251962956,-1252145567,182611,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
29,1780914848730320279,1780914849982653908,1780914849982673198,1780914848730711162,1252333629,-1251962036,-1252147833,185796,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
30,1780914848730731981,1780914849983056620,1780914849983074370,1780914848731110974,1252324639,-1251963396,-1252144018,180621,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
31,1780914848731131513,1780914849983459092,1780914849983476832,1780914848731514076,1252327579,-1251962756,-1252145168,182411,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
32,1780914848731533925,1780914849983859975,1780914849983878215,1780914848731912779,1252326050,-1251965436,-1252145743,180307,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
33,1780914848731932458,1780914849984261607,1780914849984279557,1780914848732317521,1252329149,-1251962036,-1252145593,183556,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
34,1780914848732338570,1780914849984663989,1780914849984682299,1780914848732717323,1252325419,-1251964976,-1252145198,180221,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
35,1780914848732736942,1780914849985062031,1780914849985079311,1780914848733115815,1252325089,-1251963496,-1252144293,180796,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1252144419,-1252145520,-1252144748,-1252144419,7134.397431,1078,180221,182614,176687,181286,188351,180221,0,ok
