count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,176739,0,176739,176739,-1022263704,176866
52,171861,0,171861,171861,-1022263704,176866
53,172092,0,172092,172092,-1022263704,176866
54,172474,0,172474,172474,-1022263704,176866
55,173415,0,173415,173415,-1022263704,176866
56,178377,0,178377,178377,-1022263704,176866
57,172698,0,172698,172698,-1022263704,176866
58,171889,0,171889,171889,-1022263704,176866
59,172731,0,172731,172731,-1022263704,176866
60,172052,0,172052,172052,-1022263704,176866
61,171063,0,171063,171063,-1022263704,176866
62,184046,0,184046,184046,-1022263704,176866
63,169978,0,169978,169978,-1022263704,176866
64,169949,0,169949,169949,-1022263704,176866
65,169590,0,169590,169590,-1022263704,176866
66,169512,0,169512,169512,-1022263704,176866
67,170713,0,170713,170713,-1022263704,176866
68,171594,0,171594,171594,-1022263704,176866
69,171006,0,171006,171006,-1022263704,176866
70,172668,0,172668,172668,-1022263704,176866
71,173979,0,173979,173979,-1022263704,176866
72,172411,0,172411,172411,-1022263704,176866
73,172612,0,172612,172612,-1022263704,176866
74,172363,0,172363,172363,-1022263704,176866
75,172545,0,172545,172545,-1022263704,176866
76,172806,0,172806,172806,-1022263704,176866
77,172797,0,172797,172797,-1022263704,176866
78,173909,0,173909,173909,-1022263704,176866
79,175091,0,175091,175091,-1022263704,176866
80,172232,0,172232,172232,-1022263704,176866
81,172903,0,172903,172903,-1022263704,176866
82,172725,0,172725,172725,-1022263704,176866
83,172486,0,172486,172486,-1022263704,176866
84,174217,0,174217,174217,-1022263704,176866
85,172089,0,172089,172089,-1022263704,176866
86,173130,0,173130,173130,-1022263704,176866
87,172542,0,172542,172542,-1022263704,176866
88,171984,0,171984,171984,-1022263704,176866
89,182525,0,182525,182525,-1022263704,176866
90,172966,0,172966,172966,-1022263704,176866
91,173328,0,173328,173328,-1022263704,176866
92,172409,0,172409,172409,-1022263704,176866
93,172050,0,172050,172050,-1022263704,176866
94,173271,0,173271,173271,-1022263704,176866
95,172883,0,172883,172883,-1022263704,176866
96,173744,0,173744,173744,-1022263704,176866
97,171785,0,171785,171785,-1022263704,176866
98,172677,0,172677,172677,-1022263704,176866
99,173568,0,173568,173568,-1022263704,176866
100,173409,0,173409,173409,-1022263704,176866
101,172611,0,172611,172611,-1022263704,176866
102,174092,0,174092,174092,-1022263704,176866
103,172813,0,172813,172813,-1022263704,176866
104,177065,0,177065,177065,-1022263704,176866
105,171337,0,171337,171337,-1022263704,176866
106,171698,0,171698,171698,-1022263704,176866
107,176330,0,176330,176330,-1022263704,176866
108,171801,0,171801,171801,-1022263704,176866
109,172702,0,172702,172702,-1022263704,176866
110,173373,0,173373,173373,-1022263704,176866
111,172295,0,172295,172295,-1022263704,176866
112,172316,0,172316,172316,-1022263704,176866
113,177488,0,177488,177488,-1022263704,176866
114,171640,0,171640,171640,-1022263704,176866
115,171571,0,171571,171571,-1022263704,176866
116,172022,0,172022,172022,-1022263704,176866
117,171764,0,171764,171764,-1022263704,176866
118,173715,0,173715,173715,-1022263704,176866
119,172976,0,172976,172976,-1022263704,176866
120,173248,0,173248,173248,-1022263704,176866
121,172369,0,172369,172369,-1022263704,176866
122,180531,0,180531,180531,-1022263704,176866
123,172592,0,172592,172592,-1022263704,176866
124,171204,0,171204,171204,-1022263704,176866
125,172415,0,172415,172415,-1022263704,176866
126,173896,0,173896,173896,-1022263704,176866
127,172869,0,172869,172869,-1022263704,176866
128,171900,0,171900,171900,-1022263704,176866
129,173561,0,173561,173561,-1022263704,176866
130,172254,0,172254,172254,-1022263704,176866
131,174125,0,174125,174125,-1022263704,176866
132,172016,0,172016,172016,-1022263704,176866
133,172198,0,172198,172198,-1022263704,176866
134,173249,0,173249,173249,-1022263704,176866
135,174770,0,174770,174770,-1022263704,176866
136,172621,0,172621,172621,-1022263704,176866
137,172763,0,172763,172763,-1022263704,176866
138,173214,0,173214,173214,-1022263704,176866
139,172486,0,172486,172486,-1022263704,176866
140,173608,0,173608,173608,-1022263704,176866
141,172809,0,172809,172809,-1022263704,176866
142,172350,0,172350,172350,-1022263704,176866
143,172872,0,172872,172872,-1022263704,176866
144,172713,0,172713,172713,-1022263704,176866
145,173514,0,173514,173514,-1022263704,176866
146,172566,0,172566,172566,-1022263704,176866
147,173247,0,173247,173247,-1022263704,176866
148,172919,0,172919,172919,-1022263704,176866
149,173159,0,173159,173159,-1022263704,176866
150,171781,0,171781,171781,-1022263704,176866
151,172632,0,172632,172632,-1022263704,176866
152,172863,0,172863,172863,-1022263704,176866
153,172375,0,172375,172375,-1022263704,176866
154,173086,0,173086,173086,-1022263704,176866
155,181777,0,181777,181777,-1022263704,176866
156,172819,0,172819,172819,-1022263704,176866
157,171791,0,171791,171791,-1022263704,176866
158,174282,0,174282,174282,-1022263704,176866
159,172104,0,172104,172104,-1022263704,176866
160,172965,0,172965,172965,-1022263704,176866
161,172406,0,172406,172406,-1022263704,176866
162,172327,0,172327,172327,-1022263704,176866
163,175149,0,175149,175149,-1022263704,176866
164,172210,0,172210,172210,-1022263704,176866
165,173141,0,173141,173141,-1022263704,176866
166,172744,0,172744,172744,-1022263704,176866
167,173245,0,173245,173245,-1022263704,176866
168,171496,0,171496,171496,-1022263704,176866
169,172408,0,172408,172408,-1022263704,176866
170,171539,0,171539,171539,-1022263704,176866
171,171790,0,171790,171790,-1022263704,176866
172,171992,0,171992,171992,-1022263704,176866
173,172053,0,172053,172053,-1022263704,176866
174,173624,0,173624,173624,-1022263704,176866
175,174496,0,174496,174496,-1022263704,176866
176,172888,0,172888,172888,-1022263704,176866
177,172819,0,172819,172819,-1022263704,176866
178,172760,0,172760,172760,-1022263704,176866
179,172942,0,172942,172942,-1022263704,176866
180,172233,0,172233,172233,-1022263704,176866
181,173254,0,173254,173254,-1022263704,176866
182,172216,0,172216,172216,-1022263704,176866
183,173107,0,173107,173107,-1022263704,176866
184,172929,0,172929,172929,-1022263704,176866
185,173131,0,173131,173131,-1022263704,176866
186,171982,0,171982,171982,-1022263704,176866
187,172333,0,172333,172333,-1022263704,176866
188,179664,0,179664,179664,-1022263704,176866
189,172716,0,172716,172716,-1022263704,176866
190,173237,0,173237,173237,-1022263704,176866
191,174609,0,174609,174609,-1022263704,176866
192,172751,0,172751,172751,-1022263704,176866
193,173573,0,173573,173573,-1022263704,176866
194,172194,0,172194,172194,-1022263704,176866
195,172306,0,172306,172306,-1022263704,176866
196,171847,0,171847,171847,-1022263704,176866
197,173918,0,173918,173918,-1022263704,176866
198,171850,0,171850,171850,-1022263704,176866
199,173811,0,173811,173811,-1022263704,176866
200,172172,0,172172,172172,-1022263704,176866
201,173103,0,173103,173103,-1022263704,176866
202,174146,0,174146,174146,-1022263704,176866
203,173516,0,173516,173516,-1022263704,176866
204,172817,0,172817,172817,-1022263704,176866
205,173009,0,173009,173009,-1022263704,176866
206,173440,0,173440,173440,-1022263704,176866
207,172151,0,172151,172151,-1022263704,176866
208,173953,0,173953,173953,-1022263704,176866
209,173434,0,173434,173434,-1022263704,176866
210,172615,0,172615,172615,-1022263704,176866
211,173558,0,173558,173558,-1022263704,176866
212,172949,0,172949,172949,-1022263704,176866
