sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780565719833655433,1780565720774107192,1780565720774107682,1780565719834416907,940451759,-939690775,-940071267,380492,-939936659,234261
2,1780565719834441667,1780565720774613035,1780565720774613425,1780565719834925368,940171368,-939688057,-939929713,241655,-939936659,234261
3,1780565719834937598,1780565720775085927,1780565720775086047,1780565719835357600,940148329,-939728447,-939938388,209941,-939936659,234261
4,1780565719835370779,1780565720775531920,1780565720775532160,1780565719835847180,940161141,-939684980,-939923061,238080,-939936659,234261
5,1780565719835859650,1780565720776026273,1780565720776026453,1780565719836348580,940166623,-939677873,-939922248,244375,-939936659,234261
6,1780565719836355700,1780565720776531815,1780565720776531935,1780565719836856240,940176115,-939675695,-939925905,250210,-939936659,234261
7,1780565719836863400,1780565720777033249,1780565720777033459,1780565719837274092,940169849,-939759367,-939964608,205241,-939936659,234261
8,1780565719837280261,1780565720777453621,1780565720777453831,1780565719837758843,940173360,-939694988,-939934174,239186,-939936659,234261
9,1780565719837765313,1780565720777933494,1780565720777933604,1780565719838253463,940168181,-939680141,-939924161,244020,-939936659,234261
10,1780565719838259603,1780565720778432447,1780565720778432597,1780565719838758733,940172844,-939673864,-939923354,249490,-939936659,234261
11,1780565719838766023,1780565720778939580,1780565720778939800,1780565719839182885,940173557,-939756915,-939965236,208321,-939936659,234261
12,1780565719839189154,1780565720779375212,1780565720779375352,1780565719839684755,940186058,-939690597,-939938328,247730,-939936659,234261
13,1780565719839691024,1780565720779867315,1780565720779867425,1780565719840186795,940176291,-939680630,-939928461,247830,-939936659,234261
14,1780565719840192964,1780565720780357358,1780565720780357458,1780565719840678096,940164394,-939679362,-939921878,242516,-939936659,234261
15,1780565719840684076,1780565720780852061,1780565720780852211,1780565719841089778,940167985,-939762433,-939965209,202776,-939936659,234261
16,1780565719841096147,1780565720781271893,1780565720781272173,1780565719841576538,940175746,-939695635,-939935691,240055,-939936659,234261
17,1780565719841582788,1780565720781748686,1780565720781748796,1780565719842078918,940165898,-939669878,-939917888,248010,-939936659,234261
18,1780565719842085528,1780565720782250159,1780565720782250289,1780565719842571848,940164631,-939678441,-939921536,243095,-939936659,234261
19,1780565719842578998,1780565720782750351,1780565720782750531,1780565719842991730,940171353,-939758801,-939965077,206276,-939936659,234261
20,1780565719842998100,1780565720783172124,1780565720783172344,1780565719843474510,940174024,-939697834,-939935929,238095,-939936659,234261
21,1780565719843480620,1780565720783652136,1780565720783652246,1780565719843971111,940171516,-939681135,-939926326,245190,-939936659,234261
22,1780565719843977521,1780565720784160710,1780565720784160820,1780565719844478461,940183189,-939682359,-939932774,250415,-939936659,234261
23,1780565719844484651,1780565720784652273,1780565720784652373,1780565719844889463,940167622,-939762910,-939965266,202356,-939936659,234261
24,1780565719844895813,1780565720785067635,1780565720785067745,1780565719845371003,940171822,-939696742,-939934282,237540,-939936659,234261
25,1780565719845377073,1780565720785546458,1780565720785546558,1780565719845865204,940169385,-939681354,-939925370,244015,-939936659,234261
26,1780565719845871913,1780565720786040921,1780565720786041011,1780565719846359324,940169008,-939681687,-939925348,243660,-939936659,234261
27,1780565719846365554,1780565720786532033,1780565720786532133,1780565719846773916,940166479,-939758217,-939962348,204131,-939936659,234261
28,1780565719846781116,1780565720786954076,1780565720786954176,1780565719847262037,940172960,-939692139,-939932550,240410,-939936659,234261
29,1780565719847268877,1780565720787432299,1780565720787432409,1780565719847754837,940163422,-939677572,-939920497,242925,-939936659,234261
30,1780565719847761317,1780565720787928682,1780565720787928782,1780565719848250817,940167365,-939677965,-939922665,244700,-939936659,234261
31,1780565719848256797,1780565720788419045,1780565720788419155,1780565719848656309,940162248,-939762846,-939962547,199701,-939936659,234261
32,1780565719848662369,1780565720788823937,1780565720788824037,1780565719849125970,940161568,-939698067,-939929818,231750,-939936659,234261
33,1780565719849132519,1780565720789298209,1780565720789298299,1780565719849615180,940165690,-939683119,-939924405,241285,-939936659,234261
34,1780565719849621250,1780565720789787362,1780565720789787452,1780565719850109141,940166112,-939678311,-939922212,243900,-939936659,234261
