sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780658807100182096,1780658808122057800,1780658808122132120,1780658807100986130,1021875704,-1021145990,-1021510847,364857,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021491307,-1021492356,-1021491663,-1021491307,3749.383945,881,181286,183536,178131,182501,189706,181286,0,ok
2,1780658807101119117,1780658808122886914,1780658808122937045,1780658807101675626,1021767797,-1021261419,-1021514608,253189,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021491307,-1021492356,-1021491663,-1021491307,3749.383945,881,181286,183536,178131,182501,189706,181286,0,ok
3,1780658807101724795,1780658808123418837,1780658808123445387,1780658807102169898,1021694042,-1021275489,-1021484766,209276,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021491307,-1021492356,-1021491663,-1021491307,3749.383945,881,181286,183536,178131,182501,189706,181286,0,ok
4,1780658807102218047,1780658808123893020,1780658808123914480,1780658807102636698,1021674973,-1021277782,-1021476378,198595,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021491307,-1021492356,-1021491663,-1021491307,3749.383945,881,181286,183536,178131,182501,189706,181286,0,ok
5,1780658807102680747,1780658808124573954,1780658808124594205,1780658807103307825,1021893207,-1021286380,-1021589794,303413,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021491307,-1021492356,-1021491663,-1021491307,3749.383945,881,181286,183536,178131,182501,189706,181286,0,ok
6,1780658807103351654,1780658808125027737,1780658808125046417,1780658807103756006,1021676083,-1021290411,-1021483247,192836,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021491307,-1021492356,-1021491663,-1021491307,3749.383945,881,181286,183536,178131,182501,189706,181286,0,ok
7,1780658807103800155,1780658808125473069,1780658808125492109,1780658807104198977,1021672914,-1021293132,-1021483023,189891,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021491307,-1021492356,-1021491663,-1021491307,3749.383945,881,181286,183536,178131,182501,189706,181286,0,ok
8,1780658807104243056,1780658808125913622,1780658808125932812,1780658807104639129,1021670566,-1021293683,-1021482125,188441,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021491307,-1021492356,-1021491663,-1021491307,3749.383945,881,181286,183536,178131,182501,189706,181286,0,ok
9,1780658807104682698,1780658808126354284,1780658808126373424,1780658807105173689,1021671586,-1021199735,-1021435661,235925,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021491307,-1021492356,-1021491663,-1021491307,3749.383945,881,181286,183536,178131,182501,189706,181286,0,ok
10,1780658807105218048,1780658808126893337,1780658808126912307,1780658807105609670,1021675289,-1021302637,-1021488963,186326,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021491307,-1021492356,-1021491663,-1021491307,3749.383945,881,181286,183536,178131,182501,189706,181286,0,ok
11,1780658807105653790,1780658808127330309,1780658808127349209,1780658807106041952,1021676519,-1021307257,-1021491888,184631,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021491307,-1021492356,-1021491663,-1021491307,3749.383945,881,181286,183536,178131,182501,189706,181286,0,ok
12,1780658807106068901,1780658808127742503,1780658808127759613,1780658807106451624,1021673602,-1021307989,-1021490796,182806,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021491307,-1021492356,-1021491663,-1021491307,3749.383945,881,181286,183536,178131,182501,189706,181286,0,ok
13,1780658807106475753,1780658808128149465,1780658808128167285,1780658807106863046,1021673712,-1021304239,-1021488976,184736,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-1021491307,-1021492356,-1021491663,-1021491307,3749.383945,881,181286,183536,178131,182501,189706,181286,0,ok
14,1780658807106889625,1780658808128567677,1780658808128585397,1780658807107277497,1021678052,-1021307900,-1021492976,185076,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1021491307,-1021492356,-1021491663,-1021491307,3749.383945,881,181286,183536,178131,182501,189706,181286,0,ok
15,1780658807107299297,1780658808128972309,1780658808128989659,1780658807107682579,1021673012,-1021307080,-1021490046,182966,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-1021491307,-1021492356,-1021491663,-1021491307,3749.383945,881,181286,183536,178131,182501,189706,181286,0,ok
16,1780658807107704349,1780658808129377732,1780658808129394872,1780658807108086442,1021673383,-1021308430,-1021490907,182476,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-1021491307,-1021492356,-1021491663,-1021491307,3749.383945,881,181286,183536,178131,182501,189706,181286,0,ok
