count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,464120,0,464120,464120,-1021491307,181286
52,465210,0,465210,465210,-1021491307,181286
53,465340,0,465340,465340,-1021491307,181286
54,466040,0,466040,466040,-1021491307,181286
55,465740,0,465740,465740,-1021491307,181286
56,466080,0,466080,466080,-1021491307,181286
57,465540,0,465540,465540,-1021491307,181286
58,465320,0,465320,465320,-1021491307,181286
59,450431,0,450431,450431,-1021491307,181286
60,450121,0,450121,450121,-1021491307,181286
61,460461,0,460461,460461,-1021491307,181286
62,469371,0,469371,469371,-1021491307,181286
63,468611,0,468611,468611,-1021491307,181286
64,470471,0,470471,470471,-1021491307,181286
65,469751,0,469751,469751,-1021491307,181286
66,465211,0,465211,465211,-1021491307,181286
67,464683,0,464683,464683,-1021491307,181286
68,567464,0,567464,567464,-1021491307,181286
69,567234,0,567234,567234,-1021491307,181286
70,567004,0,567004,567004,-1021491307,181286
71,566344,0,566344,566344,-1021491307,181286
72,567914,0,567914,567914,-1021491307,181286
73,566944,0,566944,566944,-1021491307,181286
74,566334,0,566334,566334,-1021491307,181286
75,565604,0,565604,565604,-1021491307,181286
76,564764,0,564764,564764,-1021491307,181286
77,564494,0,564494,564494,-1021491307,181286
78,564344,0,564344,564344,-1021491307,181286
79,563974,0,563974,563974,-1021491307,181286
80,563385,0,563385,563385,-1021491307,181286
81,562225,0,562225,562225,-1021491307,181286
82,561935,0,561935,561935,-1021491307,181286
83,561935,0,561935,561935,-1021491307,181286
84,561645,0,561645,561645,-1021491307,181286
85,561685,0,561685,561685,-1021491307,181286
86,561545,0,561545,561545,-1021491307,181286
87,570355,0,570355,570355,-1021491307,181286
88,570635,0,570635,570635,-1021491307,181286
89,569635,0,569635,569635,-1021491307,181286
90,569085,0,569085,569085,-1021491307,181286
91,569065,0,569065,569065,-1021491307,181286
92,568665,0,568665,568665,-1021491307,181286
93,568495,0,568495,568495,-1021491307,181286
94,568465,0,568465,568465,-1021491307,181286
95,568126,0,568126,568126,-1021491307,181286
96,568306,0,568306,568306,-1021491307,181286
97,567296,0,567296,567296,-1021491307,181286
98,566956,0,566956,566956,-1021491307,181286
99,657247,0,657247,657247,-1021491307,181286
100,657147,0,657147,657147,-1021491307,181286
101,656947,0,656947,656947,-1021491307,181286
102,656767,0,656767,656767,-1021491307,181286
103,656297,0,656297,656297,-1021491307,181286
104,656097,0,656097,656097,-1021491307,181286
105,654887,0,654887,654887,-1021491307,181286
106,654457,0,654457,654457,-1021491307,181286
107,654307,0,654307,654307,-1021491307,181286
108,653987,0,653987,653987,-1021491307,181286
109,641628,0,641628,641628,-1021491307,181286
110,641448,0,641448,641448,-1021491307,181286
111,641378,0,641378,641378,-1021491307,181286
112,642168,0,642168,642168,-1021491307,181286
113,641378,0,641378,641378,-1021491307,181286
114,640808,0,640808,640808,-1021491307,181286
115,640278,0,640278,640278,-1021491307,181286
116,639628,0,639628,639628,-1021491307,181286
117,664388,0,664388,664388,-1021491307,181286
118,664478,0,664478,664478,-1021491307,181286
119,663929,0,663929,663929,-1021491307,181286
120,664759,0,664759,664759,-1021491307,181286
121,663899,0,663899,663899,-1021491307,181286
122,663260,0,663260,663260,-1021491307,181286
123,662740,0,662740,662740,-1021491307,181286
124,662190,0,662190,662190,-1021491307,181286
125,661660,0,661660,661660,-1021491307,181286
126,661220,0,661220,661220,-1021491307,181286
127,660300,0,660300,660300,-1021491307,181286
128,661360,0,661360,661360,-1021491307,181286
129,660720,0,660720,660720,-1021491307,181286
130,660210,0,660210,660210,-1021491307,181286
131,659590,0,659590,659590,-1021491307,181286
132,659150,0,659150,659150,-1021491307,181286
133,680171,0,680171,680171,-1021491307,181286
134,680021,0,680021,680021,-1021491307,181286
135,679371,0,679371,679371,-1021491307,181286
136,680231,0,680231,680231,-1021491307,181286
137,679541,0,679541,679541,-1021491307,181286
138,679091,0,679091,679091,-1021491307,181286
139,678581,0,678581,678581,-1021491307,181286
140,677841,0,677841,677841,-1021491307,181286
141,677501,0,677501,677501,-1021491307,181286
142,675791,0,675791,675791,-1021491307,181286
143,674471,0,674471,674471,-1021491307,181286
144,675531,0,675531,675531,-1021491307,181286
145,675421,0,675421,675421,-1021491307,181286
146,675191,0,675191,675191,-1021491307,181286
147,675102,0,675102,675102,-1021491307,181286
148,674892,0,674892,674892,-1021491307,181286
149,674752,0,674752,674752,-1021491307,181286
150,673172,0,673172,673172,-1021491307,181286
151,701072,0,701072,701072,-1021491307,181286
152,246801,0,246801,246801,-1021491307,181286
153,246251,0,246251,246251,-1021491307,181286
154,243011,0,243011,243011,-1021491307,181286
155,242971,0,242971,242971,-1021491307,181286
156,242791,0,242791,242791,-1021491307,181286
157,241341,0,241341,241341,-1021491307,181286
158,259283,0,259283,259283,-1021491307,181286
159,256503,0,256503,256503,-1021491307,181286
160,257453,0,257453,257453,-1021491307,181286
161,257003,0,257003,257003,-1021491307,181286
162,255723,0,255723,255723,-1021491307,181286
163,308903,0,308903,308903,-1021491307,181286
164,309033,0,309033,309033,-1021491307,181286
165,306433,0,306433,306433,-1021491307,181286
166,306443,0,306443,306443,-1021491307,181286
167,305913,0,305913,305913,-1021491307,181286
168,373493,0,373493,373493,-1021491307,181286
169,373753,0,373753,373753,-1021491307,181286
170,373254,0,373254,373254,-1021491307,181286
171,372404,0,372404,372404,-1021491307,181286
172,371954,0,371954,371954,-1021491307,181286
173,381855,0,381855,381855,-1021491307,181286
174,381455,0,381455,381455,-1021491307,181286
175,379735,0,379735,379735,-1021491307,181286
176,380645,0,380645,380645,-1021491307,181286
177,380365,0,380365,380365,-1021491307,181286
178,380405,0,380405,380405,-1021491307,181286
179,380255,0,380255,380255,-1021491307,181286
180,380125,0,380125,380125,-1021491307,181286
181,379885,0,379885,379885,-1021491307,181286
182,375795,0,375795,375795,-1021491307,181286
183,375016,0,375016,375016,-1021491307,181286
184,375696,0,375696,375696,-1021491307,181286
185,374766,0,374766,374766,-1021491307,181286
186,374186,0,374186,374186,-1021491307,181286
187,373626,0,373626,373626,-1021491307,181286
188,398566,0,398566,398566,-1021491307,181286
189,398126,0,398126,398126,-1021491307,181286
190,409286,0,409286,409286,-1021491307,181286
191,571977,0,571977,571977,-1021491307,181286
192,572567,0,572567,572567,-1021491307,181286
193,580857,0,580857,580857,-1021491307,181286
194,580877,0,580877,580877,-1021491307,181286
195,580697,0,580697,580697,-1021491307,181286
196,580557,0,580557,580557,-1021491307,181286
197,580208,0,580208,580208,-1021491307,181286
198,580298,0,580298,580298,-1021491307,181286
199,579928,0,579928,579928,-1021491307,181286
200,578968,0,578968,578968,-1021491307,181286
201,578718,0,578718,578718,-1021491307,181286
202,578658,0,578658,578658,-1021491307,181286
203,578408,0,578408,578408,-1021491307,181286
204,578048,0,578048,578048,-1021491307,181286
205,577698,0,577698,577698,-1021491307,181286
206,580838,0,580838,580838,-1021491307,181286
207,580468,0,580468,580468,-1021491307,181286
208,579168,0,579168,579168,-1021491307,181286
209,579098,0,579098,579098,-1021491307,181286
210,578928,0,578928,578928,-1021491307,181286
211,578839,0,578839,578839,-1021491307,181286
212,578699,0,578699,578699,-1021491307,181286
213,578779,0,578779,578779,-1021491307,181286
214,578799,0,578799,578799,-1021491307,181286
215,578689,0,578689,578689,-1021491307,181286
216,577619,0,577619,577619,-1021491307,181286
217,615260,0,615260,615260,-1021491307,181286
218,615680,0,615680,615680,-1021491307,181286
219,606900,0,606900,606900,-1021491307,181286
220,606840,0,606840,606840,-1021491307,181286
221,606620,0,606620,606620,-1021491307,181286
222,609410,0,609410,609410,-1021491307,181286
223,609221,0,609221,609221,-1021491307,181286
