count_idx,send_a_block_ns,send_b_block_ns,send_gap_ab_ns
1,5149,1430,5299
2,5690,1550,5730
3,4879,1420,4919
4,4990,1360,5020
5,4800,1330,4830
6,4800,1320,4840
7,4860,1430,4900
8,5390,1509,5430
9,5200,1650,5240
10,4720,1320,4760
11,4670,1410,4710
12,4640,1420,4680
13,4680,1380,4710
14,4570,1580,4610
15,4720,1560,4760
16,4919,1450,4959
17,4700,1540,4740
18,4780,1380,4820
19,4721,1430,4761
20,4650,1670,4690
21,4840,1640,4880
22,4610,1420,4640
23,4910,1390,4950
24,4679,1480,4719
25,4690,1610,4730
26,4910,1620,4940
27,4660,1470,4700
28,4770,1460,4810
29,4600,1500,4630
30,4790,1430,4830
31,4800,1660,4840
32,4680,1540,4720
33,4469,1550,4509
34,4590,1480,4620
35,4630,1430,4670
36,4920,1459,4960
37,4510,1720,4550
38,4620,1570,4650
39,4910,1690,4950
40,4710,1340,4740
41,4480,1650,4520
42,4620,1430,4660
43,4730,1390,4770
44,4580,1660,4620
45,4490,1630,4530
46,4899,1310,4929
47,4790,2120,4830
48,5130,1380,5160
49,4719,1540,4759
50,4950,1640,4980
51,4690,1480,4720
52,4910,1499,4950
53,4660,1480,4690
54,4710,1480,4750
55,4650,1880,4690
56,5040,1580,5080
57,5070,1770,5110
58,4600,1400,4640
59,4540,1410,4580
60,4580,1410,4610
61,4750,1450,4790
62,4699,1560,4739
63,4430,1430,4470
64,4720,1440,4750
65,5059,1410,5099
66,4810,1630,4840
67,4610,1540,4650
68,4730,1960,4760
69,4610,1590,4650
70,4620,1430,4660
71,4610,1390,4650
72,4670,1440,4710
73,4750,1460,4780
74,4970,1610,5010
75,4730,1470,4770
76,4820,1410,4860
77,4560,1460,4600
78,4799,1560,4839
79,4640,1810,4680
80,4750,1530,4780
81,4739,1630,4769
82,4780,1550,4820
83,4770,1570,4810
84,4790,1479,4830
85,4730,1440,4770
86,4750,1670,4790
87,5569,1680,5609
88,4740,1490,4780
89,4730,1650,4770
90,4750,1420,4790
91,4730,1420,4770
92,4840,1620,4880
93,4610,1520,4650
94,4820,1490,4860
95,4639,1690,4669
96,4780,1440,4810
97,4590,1450,4630
98,4790,1610,4830
99,4770,1600,4810
100,4730,1380,4770
101,4820,1630,4860
102,4630,1490,4670
103,4910,1560,4950
104,4760,1650,4800
105,5130,1580,5170
106,4760,1540,4790
107,4770,1450,4810
108,4661,1470,4711
109,4820,1470,4850
110,4700,1680,4740
111,5020,1760,5050
112,4870,1460,4910
113,4819,1470,4859
114,4630,1520,4670
115,4720,1400,4760
116,4800,1610,4840
117,4710,1590,4740
118,4790,1440,4830
119,5010,1770,5050
120,5250,1660,5290
121,4819,1410,4859
122,4790,1600,4830
123,4750,1590,4790
124,4730,1430,4770
125,4660,1650,4700
