count_idx,send_a_block_ns,send_b_block_ns,send_gap_ab_ns
1,5260,1520,5410
2,5150,1530,5190
3,5110,1390,5150
4,5000,1450,5040
5,4790,1320,4830
6,4920,1230,4960
7,4960,1410,5000
8,4780,1300,4810
9,4820,4400,4860
10,4820,1420,4860
11,4770,1140,4810
12,4809,1330,4849
13,4920,1450,4960
14,4760,1340,4790
15,4910,1750,4950
16,4870,1630,4900
17,10540,1219,10580
18,5340,1470,5370
19,4880,1230,4920
20,4740,1340,4780
21,4660,1730,4700
22,4660,1300,4700
23,4690,1240,4730
24,4720,1320,4760
25,4920,1260,4960
26,4680,1390,4720
27,4950,1510,4990
28,4769,1330,4809
29,4780,1430,4810
30,4810,1330,4840
31,4950,1780,4990
32,4960,1300,5000
33,4690,1210,4730
34,4720,1490,4760
35,4750,1140,4790
36,4959,1330,4999
37,4790,1360,4830
38,5000,1400,5040
39,4659,1530,4689
40,5020,1610,5050
41,4690,1380,4730
42,4970,1349,5010
43,4800,1450,4830
44,4640,1410,4670
45,5000,1340,5030
46,4600,1300,4640
47,5090,1330,5130
48,4750,1430,4780
49,4860,1530,4890
50,4620,1200,4660
51,4580,1300,4620
52,4650,1260,4690
53,4530,1250,4570
54,4480,1220,4520
55,4739,1420,4779
56,4660,1580,4690
57,4750,1490,4780
58,4729,1380,4769
59,4910,1290,4950
60,4560,1340,4600
61,4720,1319,4760
62,4830,1390,4870
63,4950,1490,4990
64,4700,1310,4740
65,4670,1270,4790
66,4770,1360,4810
67,4870,1240,4910
68,4650,1370,4690
69,4730,1470,4770
70,4810,1350,4840
71,4720,1270,4760
72,4750,1330,4780
73,4740,1290,4780
74,4640,1320,4680
75,4590,1380,4630
76,4710,1330,4750
77,4899,1700,4939
78,4880,1330,4920
79,4720,1490,4770
80,4739,1400,4779
81,4670,1310,4800
82,4840,1460,4880
83,4709,1270,4749
84,4660,1330,4690
85,4820,1490,4860
86,4710,1440,4750
87,4690,1310,4720
88,4670,1510,4710
89,4880,1310,4920
90,4870,1340,4910
91,4910,1290,4950
92,5150,1530,5190
93,4900,1250,4940
94,4750,1320,4790
95,4750,1270,4790
96,5550,1820,5590
97,5090,1340,5210
98,4839,1490,4879
99,4820,1250,4860
100,4790,1350,4830
101,4760,1410,4790
102,11000,5870,11070
103,12070,6750,12120
104,11120,5310,11180
105,11399,1470,11449
106,5170,1350,5210
107,9170,2450,9240
108,5320,1330,5360
109,6590,1720,6630
110,4950,1430,4990
111,4780,1680,4810
112,4760,1330,4800
113,4870,1270,4900
114,4810,1400,4850
115,5030,1310,5070
116,4710,1350,4740
117,4740,1400,4780
118,4820,1400,4860
119,5020,1420,5060
120,4930,1370,4970
121,4960,1330,5090
122,4750,1390,4790
123,4740,1300,4780
124,4700,1569,4740
125,4840,1300,4880
126,4790,1340,4830
127,5130,1410,5170
128,4780,1480,4810
129,5020,1410,5060
130,4800,1700,4840
131,4770,1260,4810
132,4740,1390,4800
133,5120,1470,5160
134,4860,1440,4900
135,4589,1300,4629
136,4590,1400,4630
137,4980,1360,5110
138,4890,1270,4930
139,4910,1310,4950
140,4820,1350,4860
141,4740,1330,4780
142,4770,1400,4800
143,4639,1280,4669
144,4810,1560,4850
145,4910,1570,4950
146,4950,1370,4990
147,4720,1270,4760
148,5160,1550,5200
149,4790,1250,4820
150,4990,1350,5030
151,5289,1640,5319
152,4960,1520,5000
153,4910,1330,5040
154,4820,1390,4850
155,4660,1290,4700
156,4920,1660,4950
157,4990,1470,5030
158,5010,1390,5050
159,4779,1450,4809
160,4850,1330,4880
161,4810,1280,4850
162,4830,1330,4870
163,5260,1260,5300
164,5030,1340,5070
165,4640,1340,4680
166,4740,1460,4780
167,4759,1510,4799
168,4730,1370,4770
169,4950,1250,4990
170,4720,1280,4750
171,4780,1440,4820
172,4860,1680,4900
173,4760,1300,4800
174,4800,1410,4840
175,4880,1539,4920
176,4790,1440,4830
177,4960,1260,5000
178,4909,1530,4949
179,4820,1270,4850
180,4680,1350,4710
181,4890,1460,4920
182,4620,1470,4660
183,4900,1420,4940
184,4800,1310,4840
185,4840,1260,4870
186,4859,1340,4889
187,5090,1260,5130
188,4670,1580,4710
189,4880,1240,4920
190,4760,1350,4800
191,5470,1270,5500
192,5120,1350,5160
193,5010,1350,5040
194,4900,1390,4930
195,5000,1300,5030
196,4750,1420,4790
197,4870,1300,4900
198,4730,1390,4760
199,4840,1400,4870
