sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780563673717982725,1780563678552490048,1780563678552490248,1780563673718429096,4834507323,-4834061152,-4834284237,223085,-4834180275,121195
2,1780563673718434676,1780563678552812298,1780563678552812408,1780563673718745500,4834377622,-4834066908,-4834222265,155357,-4834180275,121195
3,1780563673718751209,1780563678553136448,1780563678553136558,1780563673719094333,4834385239,-4834042225,-4834213732,171507,-4834180275,121195
4,1780563673719100403,1780563678553585749,1780563678553585879,1780563673719567833,4834485346,-4834018046,-4834251696,233650,-4834180275,121195
5,1780563673719573623,1780563678553893919,1780563678553893949,1780563673719871447,4834320296,-4834022502,-4834171399,148897,-4834180275,121195
6,1780563673719877717,1780563678554207719,1780563678554207799,1780563673720091913,4834330002,-4834115886,-4834222944,107058,-4834180275,121195
7,1780563673720097433,1780563678554417489,1780563678554417519,1780563673720370597,4834320056,-4834046922,-4834183489,136567,-4834180275,121195
8,1780563673720376267,1780563678554701119,1780563678554701199,1780563673720670291,4834324852,-4834030908,-4834177880,146972,-4834180275,121195
9,1780563673720675731,1780563678554998439,1780563678554998519,1780563673720969827,4834322708,-4834028692,-4834175700,147008,-4834180275,121195
10,1780563673720975796,1780563678555234560,1780563678555234590,1780563673721190042,4834258764,-4834044548,-4834151656,107108,-4834180275,121195
11,1780563673721195462,1780563678555526180,1780563678555526260,1780563673721488706,4834330718,-4834037554,-4834184136,146582,-4834180275,121195
12,1780563673721494266,1780563678555805230,1780563678555805310,1780563673721769231,4834310964,-4834036079,-4834173521,137442,-4834180275,121195
13,1780563673721774811,1780563678556088510,1780563678556088590,1780563673721979167,4834313699,-4834109423,-4834211561,102138,-4834180275,121195
14,1780563673721984806,1780563678556302490,1780563678556302520,1780563673722256421,4834317684,-4834046099,-4834181891,135792,-4834180275,121195
15,1780563673722261901,1780563678556583281,1780563678556583361,1780563673722554475,4834321380,-4834028886,-4834175133,146247,-4834180275,121195
16,1780563673722560025,1780563678556880981,1780563678556881061,1780563673722855669,4834320956,-4834025392,-4834173174,147782,-4834180275,121195
17,1780563673722861749,1780563678557103401,1780563678557103421,1780563673723070345,4834241652,-4834033076,-4834137364,104288,-4834180275,121195
18,1780563673723075715,1780563678557411101,1780563678557411181,1780563673723301010,4834335386,-4834110171,-4834222778,112607,-4834180275,121195
19,1780563673723306360,1780563678557615231,1780563678557615251,1780563673723506196,4834308871,-4834109055,-4834208963,99908,-4834180275,121195
20,1780563673723511526,1780563678557816191,1780563678557816221,1780563673723771761,4834304665,-4834044460,-4834174562,130102,-4834180275,121195
21,1780563673723777281,1780563678558100222,1780563678558100302,1780563673724069356,4834322941,-4834030946,-4834176943,145997,-4834180275,121195
22,1780563673724075206,1780563678558397082,1780563678558397162,1780563673724287192,4834321876,-4834109970,-4834215923,105953,-4834180275,121195
23,1780563673724292412,1780563678558612812,1780563678558612832,1780563673724585396,4834320400,-4834027436,-4834173918,146482,-4834180275,121195
24,1780563673724591076,1780563678558909522,1780563678558909602,1780563673724881200,4834318446,-4834028402,-4834173424,145022,-4834180275,121195
25,1780563673724887200,1780563678559213812,1780563678559213892,1780563673725184364,4834326612,-4834029528,-4834178070,148542,-4834180275,121195
26,1780563673725189864,1780563678559431752,1780563678559431772,1780563673725403009,4834241888,-4834028763,-4834135325,106562,-4834180275,121195
27,1780563673725408539,1780563678559739293,1780563678559739373,1780563673725704103,4834330754,-4834035270,-4834183012,147742,-4834180275,121195
28,1780563673725709663,1780563678560019533,1780563678560019613,1780563673725983748,4834309870,-4834035865,-4834172867,137002,-4834180275,121195
29,1780563673725989858,1780563678560304433,1780563678560304513,1780563673726194474,4834314575,-4834110039,-4834212307,102268,-4834180275,121195
30,1780563673726199964,1780563678560509563,1780563678560509593,1780563673726400340,4834309599,-4834109253,-4834209426,100173,-4834180275,121195
31,1780563673726405720,1780563678560719783,1780563678560719803,1780563673726672104,4834314063,-4834047699,-4834180881,133182,-4834180275,121195
32,1780563673726678334,1780563678560930893,1780563678560930923,1780563673726882180,4834252559,-4834048743,-4834150651,101908,-4834180275,121195
33,1780563673726888110,1780563678561213414,1780563678561213494,1780563673727175555,4834325304,-4834037939,-4834181621,143682,-4834180275,121195
34,1780563673727181425,1780563678561429724,1780563678561429754,1780563673727320902,4834248299,-4834108852,-4834178575,69723,-4834180275,121195
35,1780563673727326492,1780563678561646234,1780563678561646254,1780563673727610407,4834319742,-4834035847,-4834177794,141947,-4834180275,121195
36,1780563673727615987,1780563678561943104,1780563678561943184,1780563673727912681,4834327117,-4834030503,-4834178810,148307,-4834180275,121195
37,1780563673727918631,1780563678562166354,1780563678562166384,1780563673728137676,4834247723,-4834028708,-4834138215,109507,-4834180275,121195
38,1780563673728143576,1780563678562469124,1780563678562469204,1780563673728358862,4834325548,-4834110342,-4834217945,107603,-4834180275,121195
39,1780563673728364242,1780563678562674585,1780563678562674615,1780563673728569428,4834310343,-4834105187,-4834207765,102578,-4834180275,121195
40,1780563673728574888,1780563678562872975,1780563678562872995,1780563673728838302,4834298087,-4834034693,-4834166390,131697,-4834180275,121195
41,1780563673728844292,1780563678563162365,1780563678563162445,1780563673729052778,4834318073,-4834109667,-4834213870,104203,-4834180275,121195
42,1780563673729058548,1780563678563382445,1780563678563382525,1780563673729336573,4834323897,-4834045952,-4834184924,138972,-4834180275,121195
43,1780563673729342562,1780563678563637345,1780563678563637365,1780563673729547608,4834294783,-4834089757,-4834192270,102513,-4834180275,121195
44,1780563673729553158,1780563678563833735,1780563678563833765,1780563673729757424,4834280577,-4834076341,-4834178459,102118,-4834180275,121195
45,1780563673729762954,1780563678564041525,1780563678564041555,1780563673729962621,4834278571,-4834078934,-4834178752,99818,-4834180275,121195
46,1780563673729968641,1780563678564256566,1780563678564256596,1780563673730164127,4834287925,-4834092469,-4834190197,97728,-4834180275,121195
47,1780563673730169627,1780563678564515846,1780563678564515926,1780563673730476921,4834346219,-4834039005,-4834192612,153607,-4834180275,121195
48,1780563673730483551,1780563678564748006,1780563678564748036,1780563673730685617,4834264455,-4834062419,-4834163437,101018,-4834180275,121195
49,1780563673730691187,1780563678564970526,1780563678564970546,1780563673730890263,4834279339,-4834080283,-4834179811,99528,-4834180275,121195
50,1780563673730896333,1780563678565232226,1780563678565232306,1780563673731118048,4834335893,-4834114258,-4834225075,110817,-4834180275,121195
51,1780563673731123468,1780563678565444956,1780563678565444986,1780563673731405583,4834321488,-4834039403,-4834180445,141042,-4834180275,121195
52,1780563673731411222,1780563678565730657,1780563678565730747,1780563673731614708,4834319435,-4834116039,-4834217737,101698,-4834180275,121195
