count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,59758,0,59758,-4887130710,124505
52,63430,0,63430,-4887130710,124505
53,66161,0,66161,-4887130710,124505
54,69812,0,69812,-4887130710,124505
55,73933,0,73933,-4887130710,124505
56,79955,0,79955,-4887130710,124505
57,83096,0,83096,-4887130710,124505
58,88037,0,88037,-4887130710,124505
59,92609,0,92609,-4887130710,124505
60,94759,0,94759,-4887130710,124505
61,100610,0,100610,-4887130710,124505
62,104212,0,104212,-4887130710,124505
63,107243,0,107243,-4887130710,124505
64,110765,0,110765,-4887130710,124505
65,116787,0,116787,-4887130710,124505
66,50808,0,50808,-4887130710,124505
67,56109,0,56109,-4887130710,124505
68,62401,0,62401,-4887130710,124505
69,61362,0,61362,-4887130710,124505
70,64743,0,64743,-4887130710,124505
71,68285,0,68285,-4887130710,124505
72,74476,0,74476,-4887130710,124505
73,77757,0,77757,-4887130710,124505
74,82329,0,82329,-4887130710,124505
75,87100,0,87100,-4887130710,124505
76,89641,0,89641,-4887130710,124505
77,95152,0,95152,-4887130710,124505
78,98024,0,98024,-4887130710,124505
79,100995,0,100995,-4887130710,124505
80,111356,0,111356,-4887130710,124505
81,108148,0,108148,-4887130710,124505
82,116869,0,116869,-4887130710,124505
83,50510,0,50510,-4887130710,124505
84,53522,0,53522,-4887130710,124505
85,56163,0,56163,-4887130710,124505
86,59344,0,59344,-4887130710,124505
87,62486,0,62486,-4887130710,124505
88,66658,0,66658,-4887130710,124505
89,71959,0,71959,-4887130710,124505
90,75781,0,75781,-4887130710,124505
91,79102,0,79102,-4887130710,124505
92,82533,0,82533,-4887130710,124505
93,85255,0,85255,-4887130710,124505
94,91456,0,91456,-4887130710,124505
95,94207,0,94207,-4887130710,124505
96,95289,0,95289,-4887130710,124505
97,93950,0,93950,-4887130710,124505
98,94221,0,94221,-4887130710,124505
99,100763,0,100763,-4887130710,124505
100,100824,0,100824,-4887130710,124505
101,98626,0,98626,-4887130710,124505
102,87607,0,87607,-4887130710,124505
103,62629,0,62629,-4887130710,124505
104,55680,0,55680,-4887130710,124505
105,51581,0,51581,-4887130710,124505
106,46273,0,46273,-4887130710,124505
107,50945,0,50945,-4887130710,124505
108,46787,0,46787,-4887130710,124505
109,49439,0,49439,-4887130710,124505
110,46870,0,46870,-4887130710,124505
111,45172,0,45172,-4887130710,124505
112,44433,0,44433,-4887130710,124505
113,47134,0,47134,-4887130710,124505
114,46276,0,46276,-4887130710,124505
115,49167,0,49167,-4887130710,124505
116,51598,0,51598,-4887130710,124505
117,50260,0,50260,-4887130710,124505
118,51151,0,51151,-4887130710,124505
119,47463,0,47463,-4887130710,124505
120,47214,0,47214,-4887130710,124505
121,50585,0,50585,-4887130710,124505
122,50197,0,50197,-4887130710,124505
123,51268,0,51268,-4887130710,124505
124,51889,0,51889,-4887130710,124505
125,52921,0,52921,-4887130710,124505
126,55642,0,55642,-4887130710,124505
127,56174,0,56174,-4887130710,124505
128,56465,0,56465,-4887130710,124505
129,56636,0,56636,-4887130710,124505
130,56639,0,56639,-4887130710,124505
131,62330,0,62330,-4887130710,124505
132,63911,0,63911,-4887130710,124505
133,61123,0,61123,-4887130710,124505
134,60994,0,60994,-4887130710,124505
135,61825,0,61825,-4887130710,124505
136,62397,0,62397,-4887130710,124505
137,66118,0,66118,-4887130710,124505
138,65780,0,65780,-4887130710,124505
139,66731,0,66731,-4887130710,124505
140,67322,0,67322,-4887130710,124505
141,68644,0,68644,-4887130710,124505
142,71225,0,71225,-4887130710,124505
143,72756,0,72756,-4887130710,124505
144,72788,0,72788,-4887130710,124505
145,73359,0,73359,-4887130710,124505
146,74950,0,74950,-4887130710,124505
147,79051,0,79051,-4887130710,124505
148,77812,0,77812,-4887130710,124505
149,76764,0,76764,-4887130710,124505
150,77015,0,77015,-4887130710,124505
151,77767,0,77767,-4887130710,124505
152,78389,0,78389,-4887130710,124505
153,77740,0,77740,-4887130710,124505
154,78352,0,78352,-4887130710,124505
155,80563,0,80563,-4887130710,124505
156,80184,0,80184,-4887130710,124505
157,83516,0,83516,-4887130710,124505
158,84057,0,84057,-4887130710,124505
159,84058,0,84058,-4887130710,124505
160,87730,0,87730,-4887130710,124505
161,87541,0,87541,-4887130710,124505
162,88883,0,88883,-4887130710,124505
163,89254,0,89254,-4887130710,124505
164,89965,0,89965,-4887130710,124505
165,87347,0,87347,-4887130710,124505
166,87598,0,87598,-4887130710,124505
167,90639,0,90639,-4887130710,124505
