count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,3239372870,0,3239372870,0,0
52,3239373012,0,3239373012,0,0
53,3239371773,0,3239371773,0,0
54,3239371664,0,3239371664,0,0
55,3239375135,0,3239375135,0,0
56,3239371346,0,3239371346,0,0
57,3239380348,0,3239380348,0,0
58,3239373299,0,3239373299,0,0
59,3239373631,0,3239373631,0,0
60,3239372613,0,3239372613,0,0
61,3239371574,0,3239371574,0,0
62,3239371326,0,3239371326,0,0
63,3239374067,0,3239374067,0,0
64,3239371849,0,3239371849,0,0
65,3239371340,0,3239371340,0,0
66,3239373001,0,3239373001,0,0
67,3239372453,0,3239372453,0,0
68,3239374624,0,3239374624,0,0
69,3239373066,0,3239373066,0,0
70,3239371307,0,3239371307,0,0
71,3239377898,0,3239377898,0,0
72,3239374760,0,3239374760,0,0
73,3239376101,0,3239376101,0,0
74,3239374743,0,3239374743,0,0
75,3239373734,0,3239373734,0,0
76,3239372195,0,3239372195,0,0
77,3239378427,0,3239378427,0,0
78,3239373048,0,3239373048,0,0
79,3239372400,0,3239372400,0,0
80,3239371041,0,3239371041,0,0
81,3239372453,0,3239372453,0,0
82,3239373235,0,3239373235,0,0
83,3239371226,0,3239371226,0,0
84,3239371438,0,3239371438,0,0
85,3239373029,0,3239373029,0,0
86,3239371800,0,3239371800,0,0
87,3239374362,0,3239374362,0,0
88,3239371343,0,3239371343,0,0
89,3239371975,0,3239371975,0,0
90,3239375466,0,3239375466,0,0
91,3239371487,0,3239371487,0,0
92,3239371599,0,3239371599,0,0
93,3239370800,0,3239370800,0,0
94,3239371182,0,3239371182,0,0
95,3239372293,0,3239372293,0,0
96,3239371795,0,3239371795,0,0
97,3239371655,0,3239371655,0,0
98,3239372716,0,3239372716,0,0
99,3239376448,0,3239376448,0,0
100,3239375319,0,3239375319,0,0
101,3239374531,0,3239374531,0,0
102,3239373182,0,3239373182,0,0
103,3239372924,0,3239372924,0,0
104,3239372616,0,3239372616,0,0
105,3239372537,0,3239372537,0,0
106,3239371859,0,3239371859,0,0
107,3239371220,0,3239371220,0,0
108,3239371581,0,3239371581,0,0
109,3239373063,0,3239373063,0,0
110,3239372304,0,3239372304,0,0
111,3239371116,0,3239371116,0,0
112,3239371057,0,3239371057,0,0
113,3239372398,0,3239372398,0,0
114,3239373700,0,3239373700,0,0
115,3239373101,0,3239373101,0,0
116,3239370833,0,3239370833,0,0
117,3239372184,0,3239372184,0,0
118,3239371105,0,3239371105,0,0
119,3239375477,0,3239375477,0,0
120,3239373418,0,3239373418,0,0
121,3239371860,0,3239371860,0,0
122,3239372131,0,3239372131,0,0
123,3239376762,0,3239376762,0,0
124,3239372005,0,3239372005,0,0
125,3239372576,0,3239372576,0,0
126,3239371688,0,3239371688,0,0
127,3239373949,0,3239373949,0,0
128,3239371391,0,3239371391,0,0
129,3239373642,0,3239373642,0,0
130,3239375693,0,3239375693,0,0
