count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,295071,0,295071,295071,-6801641057,56573
52,300081,0,300081,300081,-6801641057,56573
53,296751,0,296751,296751,-6801641057,56573
54,293491,0,293491,293491,-6801641057,56573
55,290371,0,290371,290371,-6801641057,56573
56,287061,0,287061,287061,-6801641057,56573
57,283901,0,283901,283901,-6801641057,56573
58,280441,0,280441,280441,-6801641057,56573
59,277361,0,277361,277361,-6801641057,56573
60,282811,0,282811,282811,-6801641057,56573
61,279761,0,279761,279761,-6801641057,56573
62,276522,0,276522,276522,-6801641057,56573
63,273402,0,273402,273402,-6801641057,56573
64,269952,0,269952,269952,-6801641057,56573
65,288202,0,288202,288202,-6801641057,56573
66,285132,0,285132,285132,-6801641057,56573
67,281352,0,281352,281352,-6801641057,56573
68,270352,0,270352,270352,-6801641057,56573
69,267002,0,267002,267002,-6801641057,56573
70,263612,0,263612,263612,-6801641057,56573
71,260012,0,260012,260012,-6801641057,56573
72,256502,0,256502,256502,-6801641057,56573
73,255782,0,255782,255782,-6801641057,56573
74,290942,0,290942,290942,-6801641057,56573
75,435243,0,435243,435243,-6801641057,56573
76,431553,0,431553,431553,-6801641057,56573
77,428203,0,428203,428203,-6801641057,56573
78,424833,0,424833,424833,-6801641057,56573
79,421593,0,421593,421593,-6801641057,56573
80,418053,0,418053,418053,-6801641057,56573
81,414613,0,414613,414613,-6801641057,56573
82,411213,0,411213,411213,-6801641057,56573
83,417743,0,417743,417743,-6801641057,56573
84,414473,0,414473,414473,-6801641057,56573
85,411193,0,411193,411193,-6801641057,56573
86,407953,0,407953,407953,-6801641057,56573
87,404673,0,404673,404673,-6801641057,56573
88,401153,0,401153,401153,-6801641057,56573
89,398024,0,398024,398024,-6801641057,56573
90,394724,0,394724,394724,-6801641057,56573
91,400034,0,400034,400034,-6801641057,56573
92,396204,0,396204,396204,-6801641057,56573
93,392994,0,392994,392994,-6801641057,56573
94,389944,0,389944,389944,-6801641057,56573
95,386814,0,386814,386814,-6801641057,56573
96,383494,0,383494,383494,-6801641057,56573
97,380314,0,380314,380314,-6801641057,56573
98,377214,0,377214,377214,-6801641057,56573
99,383605,0,383605,383605,-6801641057,56573
100,379225,0,379225,379225,-6801641057,56573
101,375885,0,375885,375885,-6801641057,56573
102,372675,0,372675,372675,-6801641057,56573
103,369535,0,369535,369535,-6801641057,56573
104,366436,0,366436,366436,-6801641057,56573
105,363466,0,363466,363466,-6801641057,56573
106,471846,0,471846,471846,-6801641057,56573
107,468736,0,468736,468736,-6801641057,56573
108,464536,0,464536,464536,-6801641057,56573
109,461456,0,461456,461456,-6801641057,56573
110,458246,0,458246,458246,-6801641057,56573
111,455236,0,455236,455236,-6801641057,56573
112,451896,0,451896,451896,-6801641057,56573
113,448916,0,448916,448916,-6801641057,56573
114,456196,0,456196,456196,-6801641057,56573
115,453166,0,453166,453166,-6801641057,56573
116,449266,0,449266,449266,-6801641057,56573
117,446076,0,446076,446076,-6801641057,56573
118,432317,0,432317,432317,-6801641057,56573
119,429257,0,429257,429257,-6801641057,56573
120,426237,0,426237,426237,-6801641057,56573
121,422967,0,422967,422967,-6801641057,56573
122,425097,0,425097,425097,-6801641057,56573
123,421367,0,421367,421367,-6801641057,56573
124,417787,0,417787,417787,-6801641057,56573
125,414497,0,414497,414497,-6801641057,56573
126,410997,0,410997,410997,-6801641057,56573
127,407847,0,407847,407847,-6801641057,56573
128,404417,0,404417,404417,-6801641057,56573
129,401147,0,401147,401147,-6801641057,56573
130,402317,0,402317,402317,-6801641057,56573
131,399028,0,399028,399028,-6801641057,56573
132,395448,0,395448,395448,-6801641057,56573
133,392048,0,392048,392048,-6801641057,56573
134,388898,0,388898,388898,-6801641057,56573
135,385598,0,385598,385598,-6801641057,56573
136,382278,0,382278,382278,-6801641057,56573
137,394058,0,394058,394058,-6801641057,56573
138,523978,0,523978,523978,-6801641057,56573
139,520488,0,520488,520488,-6801641057,56573
140,517168,0,517168,517168,-6801641057,56573
141,513788,0,513788,513788,-6801641057,56573
142,510448,0,510448,510448,-6801641057,56573
143,507088,0,507088,507088,-6801641057,56573
144,503718,0,503718,503718,-6801641057,56573
145,500388,0,500388,500388,-6801641057,56573
146,505869,0,505869,505869,-6801641057,56573
147,502609,0,502609,502609,-6801641057,56573
148,499439,0,499439,499439,-6801641057,56573
149,496029,0,496029,496029,-6801641057,56573
150,492849,0,492849,492849,-6801641057,56573
151,489459,0,489459,489459,-6801641057,56573
152,486149,0,486149,486149,-6801641057,56573
153,482789,0,482789,482789,-6801641057,56573
154,491909,0,491909,491909,-6801641057,56573
155,488819,0,488819,488819,-6801641057,56573
156,485709,0,485709,485709,-6801641057,56573
157,482589,0,482589,482589,-6801641057,56573
158,479519,0,479519,479519,-6801641057,56573
159,476489,0,476489,476489,-6801641057,56573
160,475729,0,475729,475729,-6801641057,56573
161,66338,0,66338,66338,-6801641057,56573
162,159128,0,159128,159128,-6801641057,56573
163,154428,0,154428,154428,-6801641057,56573
164,147688,0,147688,147688,-6801641057,56573
165,143448,0,143448,143448,-6801641057,56573
166,137538,0,137538,137538,-6801641057,56573
167,134048,0,134048,134048,-6801641057,56573
168,129579,0,129579,129579,-6801641057,56573
169,123759,0,123759,123759,-6801641057,56573
170,128399,0,128399,128399,-6801641057,56573
171,125069,0,125069,125069,-6801641057,56573
172,121839,0,121839,121839,-6801641057,56573
173,177979,0,177979,177979,-6801641057,56573
174,174379,0,174379,174379,-6801641057,56573
175,168539,0,168539,168539,-6801641057,56573
176,164929,0,164929,164929,-6801641057,56573
177,161139,0,161139,161139,-6801641057,56573
178,157389,0,157389,157389,-6801641057,56573
179,153649,0,153649,153649,-6801641057,56573
180,150190,0,150190,150190,-6801641057,56573
181,153710,0,153710,153710,-6801641057,56573
182,147480,0,147480,147480,-6801641057,56573
183,204620,0,204620,204620,-6801641057,56573
184,198770,0,198770,198770,-6801641057,56573
185,195530,0,195530,195530,-6801641057,56573
186,192160,0,192160,192160,-6801641057,56573
187,188880,0,188880,188880,-6801641057,56573
188,185620,0,185620,185620,-6801641057,56573
189,182070,0,182070,182070,-6801641057,56573
190,178650,0,178650,178650,-6801641057,56573
191,186450,0,186450,186450,-6801641057,56573
192,182910,0,182910,182910,-6801641057,56573
193,179591,0,179591,179591,-6801641057,56573
194,176161,0,176161,176161,-6801641057,56573
195,172631,0,172631,172631,-6801641057,56573
196,168841,0,168841,168841,-6801641057,56573
197,161431,0,161431,161431,-6801641057,56573
198,157981,0,157981,157981,-6801641057,56573
199,164181,0,164181,164181,-6801641057,56573
200,224721,0,224721,224721,-6801641057,56573
201,365231,0,365231,365231,-6801641057,56573
202,361981,0,361981,361981,-6801641057,56573
203,358591,0,358591,358591,-6801641057,56573
204,355331,0,355331,355331,-6801641057,56573
205,351951,0,351951,351951,-6801641057,56573
206,348592,0,348592,348592,-6801641057,56573
207,345222,0,345222,345222,-6801641057,56573
208,341882,0,341882,341882,-6801641057,56573
209,350682,0,350682,350682,-6801641057,56573
210,346792,0,346792,346792,-6801641057,56573
211,343192,0,343192,343192,-6801641057,56573
212,339412,0,339412,339412,-6801641057,56573
213,334902,0,334902,334902,-6801641057,56573
214,331622,0,331622,331622,-6801641057,56573
215,328382,0,328382,328382,-6801641057,56573
216,324772,0,324772,324772,-6801641057,56573
217,327102,0,327102,327102,-6801641057,56573
218,323862,0,323862,323862,-6801641057,56573
219,320752,0,320752,320752,-6801641057,56573
220,317203,0,317203,317203,-6801641057,56573
221,313343,0,313343,313343,-6801641057,56573
222,303593,0,303593,303593,-6801641057,56573
223,300083,0,300083,300083,-6801641057,56573
224,296733,0,296733,296733,-6801641057,56573
225,305703,0,305703,305703,-6801641057,56573
226,302313,0,302313,302313,-6801641057,56573
227,298863,0,298863,298863,-6801641057,56573
228,295313,0,295313,295313,-6801641057,56573
229,291773,0,291773,291773,-6801641057,56573
230,288413,0,288413,288413,-6801641057,56573
231,424263,0,424263,424263,-6801641057,56573
232,420654,0,420654,420654,-6801641057,56573
233,417234,0,417234,417234,-6801641057,56573
234,413624,0,413624,413624,-6801641057,56573
235,410254,0,410254,410254,-6801641057,56573
236,406914,0,406914,406914,-6801641057,56573
237,403524,0,403524,403524,-6801641057,56573
238,400334,0,400334,400334,-6801641057,56573
239,408784,0,408784,408784,-6801641057,56573
240,405364,0,405364,405364,-6801641057,56573
241,402044,0,402044,402044,-6801641057,56573
242,398764,0,398764,398764,-6801641057,56573
243,395534,0,395534,395534,-6801641057,56573
244,392314,0,392314,392314,-6801641057,56573
245,388964,0,388964,388964,-6801641057,56573
246,384955,0,384955,384955,-6801641057,56573
247,388615,0,388615,388615,-6801641057,56573
248,385095,0,385095,385095,-6801641057,56573
249,381595,0,381595,381595,-6801641057,56573
250,378345,0,378345,378345,-6801641057,56573
251,375075,0,375075,375075,-6801641057,56573
252,371915,0,371915,371915,-6801641057,56573
253,368585,0,368585,368585,-6801641057,56573
254,364505,0,364505,364505,-6801641057,56573
255,376735,0,376735,376735,-6801641057,56573
256,373295,0,373295,373295,-6801641057,56573
257,369855,0,369855,369855,-6801641057,56573
258,365085,0,365085,365085,-6801641057,56573
259,361785,0,361785,361785,-6801641057,56573
260,358665,0,358665,358665,-6801641057,56573
261,355526,0,355526,355526,-6801641057,56573
262,413166,0,413166,413166,-6801641057,56573
263,410156,0,410156,410156,-6801641057,56573
264,407136,0,407136,407136,-6801641057,56573
265,403996,0,403996,403996,-6801641057,56573
266,396266,0,396266,396266,-6801641057,56573
267,393126,0,393126,393126,-6801641057,56573
268,389966,0,389966,389966,-6801641057,56573
269,386746,0,386746,386746,-6801641057,56573
270,381376,0,381376,381376,-6801641057,56573
271,378247,0,378247,378247,-6801641057,56573
272,375137,0,375137,375137,-6801641057,56573
273,371877,0,371877,371877,-6801641057,56573
274,368517,0,368517,368517,-6801641057,56573
275,364977,0,364977,364977,-6801641057,56573
276,361437,0,361437,361437,-6801641057,56573
277,357987,0,357987,357987,-6801641057,56573
278,358597,0,358597,358597,-6801641057,56573
279,355207,0,355207,355207,-6801641057,56573
280,351987,0,351987,351987,-6801641057,56573
281,427477,0,427477,427477,-6801641057,56573
282,423987,0,423987,423987,-6801641057,56573
283,420687,0,420687,420687,-6801641057,56573
284,417297,0,417297,417297,-6801641057,56573
285,413917,0,413917,413917,-6801641057,56573
286,410718,0,410718,410718,-6801641057,56573
287,407448,0,407448,407448,-6801641057,56573
288,403958,0,403958,403958,-6801641057,56573
289,411848,0,411848,411848,-6801641057,56573
290,408528,0,408528,408528,-6801641057,56573
291,404888,0,404888,404888,-6801641057,56573
292,401658,0,401658,401658,-6801641057,56573
293,398268,0,398268,398268,-6801641057,56573
294,472398,0,472398,472398,-6801641057,56573
295,468988,0,468988,468988,-6801641057,56573
296,465808,0,465808,465808,-6801641057,56573
297,462358,0,462358,462358,-6801641057,56573
298,458978,0,458978,458978,-6801641057,56573
299,455728,0,455728,455728,-6801641057,56573
300,452228,0,452228,452228,-6801641057,56573
301,449069,0,449069,449069,-6801641057,56573
302,457339,0,457339,457339,-6801641057,56573
303,454029,0,454029,454029,-6801641057,56573
