sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780659900076534227,1780659906895696252,1780659906895830022,1780659900077088356,6819162025,-6818741666,-6818951846,210179,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6818874068,-6818892809,-6818904575,-6818874068,18461.699426,10362,56688,76117,54084,87593,97522,56688,1,warn
2,1780659900077108315,1780659906896136032,1780659906896301872,1780659900077548547,6819027717,-6818753325,-6818890521,137196,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6818874068,-6818892809,-6818904575,-6818874068,18461.699426,10362,56688,76117,54084,87593,97522,56688,1,warn
3,1780659900077568506,1780659906896728632,1780659906896902812,1780659900078172304,6819160126,-6818730508,-6818945317,214809,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6818874068,-6818892809,-6818904575,-6818874068,18461.699426,10362,56688,76117,54084,87593,97522,56688,1,warn
4,1780659900078191624,1780659906897190633,1780659906897252773,1780659900078443860,6818999009,-6818808913,-6818903961,95048,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6818874068,-6818892809,-6818904575,-6818874068,18461.699426,10362,56688,76117,54084,87593,97522,56688,1,warn
5,1780659900078469139,1780659906897489663,1780659906897506113,1780659900078702795,6819020524,-6818803318,-6818911921,108603,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6818874068,-6818892809,-6818904575,-6818874068,18461.699426,10362,56688,76117,54084,87593,97522,56688,1,warn
6,1780659900078722964,1780659906897677393,1780659906897709733,1780659900078895511,6818954429,-6818814222,-6818884326,70103,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6818874068,-6818892809,-6818904575,-6818874068,18461.699426,10362,56688,76117,54084,87593,97522,56688,1,warn
7,1780659900078914591,1780659906897928793,1780659906897947643,1780659900079130916,6819014202,-6818816727,-6818915465,98737,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6818874068,-6818892809,-6818904575,-6818874068,18461.699426,10362,56688,76117,54084,87593,97522,56688,1,warn
8,1780659900079149686,1780659906898106243,1780659906898134523,1780659900079318972,6818956557,-6818815551,-6818886054,70503,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6818874068,-6818892809,-6818904575,-6818874068,18461.699426,10362,56688,76117,54084,87593,97522,56688,1,warn
9,1780659900079337822,1780659906898341933,1780659906898358943,1780659900079543238,6819004111,-6818815705,-6818909908,94203,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6818874068,-6818892809,-6818904575,-6818874068,18461.699426,10362,56688,76117,54084,87593,97522,56688,1,warn
10,1780659900079562098,1780659906898494553,1780659906898518093,1780659900079699335,6818932455,-6818818758,-6818875607,56848,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-6818874068,-6818892809,-6818904575,-6818874068,18461.699426,10362,56688,76117,54084,87593,97522,56688,1,warn
