count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,25337,0,25337,25337,-6818269471,85613
52,25888,0,25888,25888,-6818269471,85613
53,24010,0,24010,24010,-6818269471,85613
54,24601,0,24601,24601,-6818269471,85613
55,29802,0,29802,29802,-6818269471,85613
56,27685,0,27685,27685,-6818269471,85613
57,27736,0,27736,27736,-6818269471,85613
58,25638,0,25638,25638,-6818269471,85613
59,25989,0,25989,25989,-6818269471,85613
60,25031,0,25031,25031,-6818269471,85613
61,28432,0,28432,28432,-6818269471,85613
62,25184,0,25184,25184,-6818269471,85613
63,26115,0,26115,26115,-6818269471,85613
64,26087,0,26087,26087,-6818269471,85613
65,27318,0,27318,27318,-6818269471,85613
66,25560,0,25560,25560,-6818269471,85613
67,30901,0,30901,30901,-6818269471,85613
68,24343,0,24343,24343,-6818269471,85613
69,26234,0,26234,26234,-6818269471,85613
70,24025,0,24025,24025,-6818269471,85613
71,26527,0,26527,26527,-6818269471,85613
72,24278,0,24278,24278,-6818269471,85613
73,31040,0,31040,31040,-6818269471,85613
74,25651,0,25651,25651,-6818269471,85613
75,25633,0,25633,25633,-6818269471,85613
76,24005,0,24005,24005,-6818269471,85613
77,37197,0,37197,37197,-6818269471,85613
78,28658,0,28658,28658,-6818269471,85613
79,27030,0,27030,27030,-6818269471,85613
80,27771,0,27771,27771,-6818269471,85613
81,27533,0,27533,27533,-6818269471,85613
82,28104,0,28104,28104,-6818269471,85613
83,28826,0,28826,28826,-6818269471,85613
84,25377,0,25377,25377,-6818269471,85613
85,26798,0,26798,26798,-6818269471,85613
86,28890,0,28890,28890,-6818269471,85613
87,24391,0,24391,24391,-6818269471,85613
88,27083,0,27083,27083,-6818269471,85613
89,28024,0,28024,28024,-6818269471,85613
90,24436,0,24436,24436,-6818269471,85613
91,25866,0,25866,25866,-6818269471,85613
92,26638,0,26638,26638,-6818269471,85613
93,26799,0,26799,26799,-6818269471,85613
94,23631,0,23631,23631,-6818269471,85613
95,25782,0,25782,25782,-6818269471,85613
96,25284,0,25284,25284,-6818269471,85613
97,25366,0,25366,25366,-6818269471,85613
98,27167,0,27167,27167,-6818269471,85613
99,24409,0,24409,24409,-6818269471,85613
100,24530,0,24530,24530,-6818269471,85613
101,35912,0,35912,35912,-6818269471,85613
102,26753,0,26753,26753,-6818269471,85613
103,32025,0,32025,32025,-6818269471,85613
104,25716,0,25716,25716,-6818269471,85613
105,26398,0,26398,26398,-6818269471,85613
106,29489,0,29489,29489,-6818269471,85613
107,26871,0,26871,26871,-6818269471,85613
108,24112,0,24112,24112,-6818269471,85613
109,26644,0,26644,26644,-6818269471,85613
110,27655,0,27655,27655,-6818269471,85613
111,30367,0,30367,30367,-6818269471,85613
112,28828,0,28828,28828,-6818269471,85613
113,26149,0,26149,26149,-6818269471,85613
114,27811,0,27811,27811,-6818269471,85613
115,26372,0,26372,26372,-6818269471,85613
116,25444,0,25444,25444,-6818269471,85613
117,24766,0,24766,24766,-6818269471,85613
118,24528,0,24528,24528,-6818269471,85613
119,25059,0,25059,25059,-6818269471,85613
120,24820,0,24820,24820,-6818269471,85613
121,26512,0,26512,26512,-6818269471,85613
122,26513,0,26513,26513,-6818269471,85613
123,25925,0,25925,25925,-6818269471,85613
124,26376,0,26376,26376,-6818269471,85613
125,27148,0,27148,27148,-6818269471,85613
126,28039,0,28039,28039,-6818269471,85613
127,27281,0,27281,27281,-6818269471,85613
128,24042,0,24042,24042,-6818269471,85613
129,37123,0,37123,37123,-6818269471,85613
130,24835,0,24835,24835,-6818269471,85613
131,24836,0,24836,24836,-6818269471,85613
132,24317,0,24317,24317,-6818269471,85613
133,27518,0,27518,27518,-6818269471,85613
134,25290,0,25290,25290,-6818269471,85613
135,25531,0,25531,25531,-6818269471,85613
136,26223,0,26223,26223,-6818269471,85613
137,23815,0,23815,23815,-6818269471,85613
138,25596,0,25596,25596,-6818269471,85613
139,29258,0,29258,29258,-6818269471,85613
140,25569,0,25569,25569,-6818269471,85613
141,25981,0,25981,25981,-6818269471,85613
142,26422,0,26422,26422,-6818269471,85613
143,25494,0,25494,25494,-6818269471,85613
144,25005,0,25005,25005,-6818269471,85613
145,24447,0,24447,24447,-6818269471,85613
146,24288,0,24288,24288,-6818269471,85613
147,27949,0,27949,27949,-6818269471,85613
148,30811,0,30811,30811,-6818269471,85613
149,26332,0,26332,26332,-6818269471,85613
150,26964,0,26964,26964,-6818269471,85613
151,31025,0,31025,31025,-6818269471,85613
152,29127,0,29127,29127,-6818269471,85613
153,24198,0,24198,24198,-6818269471,85613
154,24090,0,24090,24090,-6818269471,85613
155,26621,0,26621,26621,-6818269471,85613
156,25543,0,25543,25543,-6818269471,85613
157,27804,0,27804,27804,-6818269471,85613
158,23857,0,23857,23857,-6818269471,85613
159,27518,0,27518,27518,-6818269471,85613
160,25939,0,25939,25939,-6818269471,85613
161,28101,0,28101,28101,-6818269471,85613
162,26392,0,26392,26392,-6818269471,85613
163,24304,0,24304,24304,-6818269471,85613
164,25915,0,25915,25915,-6818269471,85613
165,25257,0,25257,25257,-6818269471,85613
166,25388,0,25388,25388,-6818269471,85613
167,30659,0,30659,30659,-6818269471,85613
168,25761,0,25761,25761,-6818269471,85613
169,27942,0,27942,27942,-6818269471,85613
170,30444,0,30444,30444,-6818269471,85613
171,29235,0,29235,29235,-6818269471,85613
172,30827,0,30827,30827,-6818269471,85613
173,24877,0,24877,24877,-6818269471,85613
174,36618,0,36618,36618,-6818269471,85613
175,27690,0,27690,27690,-6818269471,85613
176,26532,0,26532,26532,-6818269471,85613
177,24083,0,24083,24083,-6818269471,85613
178,26736,0,26736,26736,-6818269471,85613
179,28287,0,28287,28287,-6818269471,85613
180,24999,0,24999,24999,-6818269471,85613
181,26260,0,26260,26260,-6818269471,85613
182,24292,0,24292,24292,-6818269471,85613
183,26163,0,26163,26163,-6818269471,85613
184,25294,0,25294,25294,-6818269471,85613
185,26206,0,26206,26206,-6818269471,85613
186,24897,0,24897,24897,-6818269471,85613
187,23919,0,23919,23919,-6818269471,85613
188,26790,0,26790,26790,-6818269471,85613
189,27192,0,27192,27192,-6818269471,85613
190,24943,0,24943,24943,-6818269471,85613
191,30805,0,30805,30805,-6818269471,85613
192,25576,0,25576,25576,-6818269471,85613
193,27488,0,27488,27488,-6818269471,85613
194,24309,0,24309,24309,-6818269471,85613
195,26010,0,26010,26010,-6818269471,85613
196,25582,0,25582,25582,-6818269471,85613
197,27833,0,27833,27833,-6818269471,85613
198,32135,0,32135,32135,-6818269471,85613
199,24357,0,24357,24357,-6818269471,85613
200,25579,0,25579,25579,-6818269471,85613
201,25610,0,25610,25610,-6818269471,85613
202,24892,0,24892,24892,-6818269471,85613
203,26073,0,26073,26073,-6818269471,85613
204,24824,0,24824,24824,-6818269471,85613
205,32176,0,32176,32176,-6818269471,85613
206,28117,0,28117,28117,-6818269471,85613
207,27909,0,27909,27909,-6818269471,85613
208,25680,0,25680,25680,-6818269471,85613
209,27532,0,27532,27532,-6818269471,85613
210,26583,0,26583,26583,-6818269471,85613
211,28955,0,28955,28955,-6818269471,85613
212,26296,0,26296,26296,-6818269471,85613
213,25748,0,25748,25748,-6818269471,85613
214,24168,0,24168,24168,-6818269471,85613
215,31830,0,31830,31830,-6818269471,85613
216,24981,0,24981,24981,-6818269471,85613
217,26913,0,26913,26913,-6818269471,85613
218,24514,0,24514,24514,-6818269471,85613
219,29727,0,29727,29727,-6818269471,85613
220,28868,0,28868,28868,-6818269471,85613
221,26539,0,26539,26539,-6818269471,85613
222,27811,0,27811,27811,-6818269471,85613
223,27182,0,27182,27182,-6818269471,85613
224,24604,0,24604,24604,-6818269471,85613
225,26905,0,26905,26905,-6818269471,85613
226,26696,0,26696,26696,-6818269471,85613
227,24408,0,24408,24408,-6818269471,85613
228,24699,0,24699,24699,-6818269471,85613
229,30961,0,30961,30961,-6818269471,85613
230,25942,0,25942,25942,-6818269471,85613
231,25874,0,25874,25874,-6818269471,85613
232,26215,0,26215,26215,-6818269471,85613
233,26117,0,26117,26117,-6818269471,85613
234,26088,0,26088,26088,-6818269471,85613
235,26089,0,26089,26089,-6818269471,85613
236,26901,0,26901,26901,-6818269471,85613
237,26612,0,26612,26612,-6818269471,85613
238,31824,0,31824,31824,-6818269471,85613
239,30535,0,30535,30535,-6818269471,85613
240,26638,0,26638,26638,-6818269471,85613
241,24799,0,24799,24799,-6818269471,85613
242,26351,0,26351,26351,-6818269471,85613
243,24812,0,24812,24812,-6818269471,85613
244,25744,0,25744,25744,-6818269471,85613
245,24915,0,24915,24915,-6818269471,85613
246,26096,0,26096,26096,-6818269471,85613
247,26808,0,26808,26808,-6818269471,85613
248,27109,0,27109,27109,-6818269471,85613
249,24541,0,24541,24541,-6818269471,85613
250,24702,0,24702,24702,-6818269471,85613
251,26064,0,26064,26064,-6818269471,85613
252,32725,0,32725,32725,-6818269471,85613
253,29657,0,29657,29657,-6818269471,85613
254,28248,0,28248,28248,-6818269471,85613
255,26929,0,26929,26929,-6818269471,85613
256,25880,0,25880,25880,-6818269471,85613
257,25902,0,25902,25902,-6818269471,85613
258,24563,0,24563,24563,-6818269471,85613
259,26944,0,26944,26944,-6818269471,85613
260,26727,0,26727,26727,-6818269471,85613
261,27238,0,27238,27238,-6818269471,85613
262,24550,0,24550,24550,-6818269471,85613
263,24491,0,24491,24491,-6818269471,85613
264,25153,0,25153,25153,-6818269471,85613
265,25694,0,25694,25694,-6818269471,85613
266,26515,0,26515,26515,-6818269471,85613
267,24097,0,24097,24097,-6818269471,85613
268,24568,0,24568,24568,-6818269471,85613
269,25910,0,25910,25910,-6818269471,85613
270,25201,0,25201,25201,-6818269471,85613
271,31393,0,31393,31393,-6818269471,85613
272,25104,0,25104,25104,-6818269471,85613
273,24915,0,24915,24915,-6818269471,85613
274,26057,0,26057,26057,-6818269471,85613
275,27568,0,27568,27568,-6818269471,85613
276,28720,0,28720,28720,-6818269471,85613
277,25521,0,25521,25521,-6818269471,85613
278,24783,0,24783,24783,-6818269471,85613
