count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,76375,0,76375,76375,-6818874068,56688
52,78667,0,78667,78667,-6818874068,56688
53,78258,0,78258,78258,-6818874068,56688
54,78090,0,78090,78090,-6818874068,56688
55,78672,0,78672,78672,-6818874068,56688
56,79233,0,79233,79233,-6818874068,56688
57,81555,0,81555,81555,-6818874068,56688
58,81405,0,81405,81405,-6818874068,56688
59,81376,0,81376,81376,-6818874068,56688
60,81648,0,81648,81648,-6818874068,56688
61,81669,0,81669,81669,-6818874068,56688
62,84740,0,84740,84740,-6818874068,56688
63,84462,0,84462,84462,-6818874068,56688
64,84443,0,84443,84443,-6818874068,56688
65,84585,0,84585,84585,-6818874068,56688
66,89206,0,89206,89206,-6818874068,56688
67,90117,0,90117,90117,-6818874068,56688
68,87629,0,87629,87629,-6818874068,56688
69,87820,0,87820,87820,-6818874068,56688
70,87971,0,87971,87971,-6818874068,56688
71,88553,0,88553,88553,-6818874068,56688
72,88054,0,88054,88054,-6818874068,56688
73,87266,0,87266,87266,-6818874068,56688
74,87327,0,87327,87327,-6818874068,56688
75,88039,0,88039,88039,-6818874068,56688
76,88021,0,88021,88021,-6818874068,56688
77,89742,0,89742,89742,-6818874068,56688
78,91214,0,91214,91214,-6818874068,56688
79,89995,0,89995,89995,-6818874068,56688
80,93926,0,93926,93926,-6818874068,56688
81,94108,0,94108,94108,-6818874068,56688
82,93249,0,93249,93249,-6818874068,56688
83,94850,0,94850,94850,-6818874068,56688
84,92932,0,92932,92932,-6818874068,56688
85,92703,0,92703,92703,-6818874068,56688
86,91385,0,91385,91385,-6818874068,56688
87,93886,0,93886,93886,-6818874068,56688
88,93467,0,93467,93467,-6818874068,56688
89,94389,0,94389,94389,-6818874068,56688
90,94650,0,94650,94650,-6818874068,56688
91,95152,0,95152,95152,-6818874068,56688
92,97783,0,97783,97783,-6818874068,56688
93,98654,0,98654,98654,-6818874068,56688
94,98096,0,98096,98096,-6818874068,56688
95,100337,0,100337,100337,-6818874068,56688
96,98589,0,98589,98589,-6818874068,56688
97,100581,0,100581,100581,-6818874068,56688
98,101732,0,101732,101732,-6818874068,56688
99,109894,0,109894,109894,-6818874068,56688
100,102145,0,102145,102145,-6818874068,56688
101,101755,0,101755,101755,-6818874068,56688
102,103467,0,103467,103467,-6818874068,56688
103,103898,0,103898,103898,-6818874068,56688
104,104360,0,104360,104360,-6818874068,56688
105,105841,0,105841,105841,-6818874068,56688
106,104782,0,104782,104782,-6818874068,56688
107,108824,0,108824,108824,-6818874068,56688
108,107965,0,107965,107965,-6818874068,56688
109,108566,0,108566,108566,-6818874068,56688
110,108578,0,108578,108578,-6818874068,56688
111,108949,0,108949,108949,-6818874068,56688
112,111321,0,111321,111321,-6818874068,56688
113,111752,0,111752,111752,-6818874068,56688
114,112153,0,112153,112153,-6818874068,56688
115,105535,0,105535,105535,-6818874068,56688
116,103516,0,103516,103516,-6818874068,56688
117,104958,0,104958,104958,-6818874068,56688
118,105760,0,105760,105760,-6818874068,56688
119,107061,0,107061,107061,-6818874068,56688
120,107003,0,107003,107003,-6818874068,56688
121,106674,0,106674,106674,-6818874068,56688
122,109356,0,109356,109356,-6818874068,56688
123,110767,0,110767,110767,-6818874068,56688
124,109948,0,109948,109948,-6818874068,56688
125,110110,0,110110,110110,-6818874068,56688
126,110651,0,110651,110651,-6818874068,56688
127,113103,0,113103,113103,-6818874068,56688
128,113484,0,113484,113484,-6818874068,56688
129,113225,0,113225,113225,-6818874068,56688
130,113077,0,113077,113077,-6818874068,56688
131,115318,0,115318,115318,-6818874068,56688
132,105690,0,105690,105690,-6818874068,56688
133,102111,0,102111,102111,-6818874068,56688
134,101863,0,101863,101863,-6818874068,56688
135,101924,0,101924,101924,-6818874068,56688
136,102145,0,102145,102145,-6818874068,56688
137,105627,0,105627,105627,-6818874068,56688
138,108758,0,108758,108758,-6818874068,56688
139,104931,0,104931,104931,-6818874068,56688
140,104582,0,104582,104582,-6818874068,56688
141,104883,0,104883,104883,-6818874068,56688
142,106275,0,106275,106275,-6818874068,56688
143,107625,0,107625,107625,-6818874068,56688
144,106216,0,106216,106216,-6818874068,56688
145,104968,0,104968,104968,-6818874068,56688
146,106129,0,106129,106129,-6818874068,56688
147,109061,0,109061,109061,-6818874068,56688
148,108792,0,108792,108792,-6818874068,56688
149,108073,0,108073,108073,-6818874068,56688
150,108125,0,108125,108125,-6818874068,56688
151,108756,0,108756,108756,-6818874068,56688
152,111098,0,111098,111098,-6818874068,56688
153,110969,0,110969,110969,-6818874068,56688
154,110640,0,110640,110640,-6818874068,56688
155,112452,0,112452,112452,-6818874068,56688
156,111413,0,111413,111413,-6818874068,56688
157,112784,0,112784,112784,-6818874068,56688
158,113346,0,113346,113346,-6818874068,56688
159,113347,0,113347,113347,-6818874068,56688
160,113729,0,113729,113729,-6818874068,56688
161,113801,0,113801,113801,-6818874068,56688
162,116562,0,116562,116562,-6818874068,56688
163,121224,0,121224,121224,-6818874068,56688
164,114515,0,114515,114515,-6818874068,56688
165,118976,0,118976,118976,-6818874068,56688
166,115698,0,115698,115698,-6818874068,56688
167,117379,0,117379,117379,-6818874068,56688
168,117691,0,117691,117691,-6818874068,56688
169,117402,0,117402,117402,-6818874068,56688
170,117473,0,117473,117473,-6818874068,56688
171,119175,0,119175,119175,-6818874068,56688
172,117636,0,117636,117636,-6818874068,56688
173,117738,0,117738,117738,-6818874068,56688
174,117699,0,117699,117699,-6818874068,56688
175,117920,0,117920,117920,-6818874068,56688
176,118202,0,118202,118202,-6818874068,56688
177,120383,0,120383,120383,-6818874068,56688
178,120944,0,120944,120944,-6818874068,56688
179,122906,0,122906,122906,-6818874068,56688
180,122057,0,122057,122057,-6818874068,56688
181,122589,0,122589,122589,-6818874068,56688
182,122951,0,122951,122951,-6818874068,56688
183,128452,0,128452,128452,-6818874068,56688
184,59264,0,59264,59264,-6818874068,56688
185,60825,0,60825,60825,-6818874068,56688
186,62925,0,62925,62925,-6818874068,56688
187,65747,0,65747,65747,-6818874068,56688
188,66858,0,66858,66858,-6818874068,56688
189,57840,0,57840,57840,-6818874068,56688
190,56521,0,56521,56521,-6818874068,56688
191,57062,0,57062,57062,-6818874068,56688
192,57124,0,57124,57124,-6818874068,56688
193,57695,0,57695,57695,-6818874068,56688
194,59846,0,59846,59846,-6818874068,56688
195,64408,0,64408,64408,-6818874068,56688
196,59979,0,59979,59979,-6818874068,56688
197,60801,0,60801,60801,-6818874068,56688
198,63842,0,63842,63842,-6818874068,56688
199,63463,0,63463,63463,-6818874068,56688
200,62675,0,62675,62675,-6818874068,56688
201,62496,0,62496,62496,-6818874068,56688
202,62158,0,62158,62158,-6818874068,56688
203,62899,0,62899,62899,-6818874068,56688
204,64711,0,64711,64711,-6818874068,56688
205,65663,0,65663,65663,-6818874068,56688
206,64764,0,64764,64764,-6818874068,56688
207,65305,0,65305,65305,-6818874068,56688
208,66047,0,66047,66047,-6818874068,56688
209,75838,0,75838,75838,-6818874068,56688
210,70990,0,70990,70990,-6818874068,56688
211,70571,0,70571,70571,-6818874068,56688
212,70522,0,70522,70522,-6818874068,56688
213,70664,0,70664,70664,-6818874068,56688
214,72485,0,72485,72485,-6818874068,56688
215,72806,0,72806,72806,-6818874068,56688
216,68588,0,68588,68588,-6818874068,56688
217,68499,0,68499,68499,-6818874068,56688
218,69891,0,69891,69891,-6818874068,56688
219,71932,0,71932,71932,-6818874068,56688
220,72703,0,72703,72703,-6818874068,56688
221,72775,0,72775,72775,-6818874068,56688
222,72336,0,72336,72336,-6818874068,56688
223,73067,0,73067,73067,-6818874068,56688
224,75389,0,75389,75389,-6818874068,56688
225,76020,0,76020,76020,-6818874068,56688
226,76113,0,76113,76113,-6818874068,56688
227,80124,0,80124,80124,-6818874068,56688
228,76875,0,76875,76875,-6818874068,56688
229,78926,0,78926,78926,-6818874068,56688
230,79697,0,79697,79697,-6818874068,56688
231,84338,0,84338,84338,-6818874068,56688
232,80170,0,80170,80170,-6818874068,56688
233,80731,0,80731,80731,-6818874068,56688
234,82953,0,82953,82953,-6818874068,56688
235,84494,0,84494,84494,-6818874068,56688
236,83505,0,83505,83505,-6818874068,56688
237,83797,0,83797,83797,-6818874068,56688
238,84318,0,84318,84318,-6818874068,56688
239,86329,0,86329,86329,-6818874068,56688
240,86691,0,86691,86691,-6818874068,56688
241,86692,0,86692,86692,-6818874068,56688
242,87484,0,87484,87484,-6818874068,56688
243,88595,0,88595,88595,-6818874068,56688
244,89956,0,89956,89956,-6818874068,56688
245,89448,0,89448,89448,-6818874068,56688
246,89649,0,89649,89649,-6818874068,56688
247,89212,0,89212,89212,-6818874068,56688
248,89323,0,89323,89323,-6818874068,56688
249,91934,0,91934,91934,-6818874068,56688
250,91756,0,91756,91756,-6818874068,56688
251,92677,0,92677,92677,-6818874068,56688
252,92068,0,92068,92068,-6818874068,56688
253,91930,0,91930,91930,-6818874068,56688
254,94521,0,94521,94521,-6818874068,56688
255,96663,0,96663,96663,-6818874068,56688
256,96524,0,96524,96524,-6818874068,56688
257,96215,0,96215,96215,-6818874068,56688
258,93777,0,93777,93777,-6818874068,56688
259,91158,0,91158,91158,-6818874068,56688
260,88290,0,88290,88290,-6818874068,56688
261,88761,0,88761,88761,-6818874068,56688
262,88342,0,88342,88342,-6818874068,56688
263,89174,0,89174,89174,-6818874068,56688
264,96085,0,96085,96085,-6818874068,56688
265,90627,0,90627,90627,-6818874068,56688
266,94888,0,94888,94888,-6818874068,56688
267,93379,0,93379,93379,-6818874068,56688
268,91852,0,91852,91852,-6818874068,56688
269,94053,0,94053,94053,-6818874068,56688
270,93535,0,93535,93535,-6818874068,56688
271,94056,0,94056,94056,-6818874068,56688
272,95336,0,95336,95336,-6818874068,56688
273,94298,0,94298,94298,-6818874068,56688
274,95039,0,95039,95039,-6818874068,56688
275,96051,0,96051,96051,-6818874068,56688
276,96992,0,96992,96992,-6818874068,56688
277,95393,0,95393,95393,-6818874068,56688
278,95725,0,95725,95725,-6818874068,56688
279,98386,0,98386,98386,-6818874068,56688
280,97737,0,97737,97737,-6818874068,56688
281,98849,0,98849,98849,-6818874068,56688
282,99520,0,99520,99520,-6818874068,56688
283,99762,0,99762,99762,-6818874068,56688
284,101433,0,101433,101433,-6818874068,56688
285,101514,0,101514,101514,-6818874068,56688
286,101716,0,101716,101716,-6818874068,56688
287,102117,0,102117,102117,-6818874068,56688
288,101389,0,101389,101389,-6818874068,56688
289,103270,0,103270,103270,-6818874068,56688
290,104072,0,104072,104072,-6818874068,56688
291,106914,0,106914,106914,-6818874068,56688
292,103805,0,103805,103805,-6818874068,56688
293,104036,0,104036,104036,-6818874068,56688
294,105798,0,105798,105798,-6818874068,56688
295,106589,0,106589,106589,-6818874068,56688
296,112401,0,112401,112401,-6818874068,56688
297,109592,0,109592,109592,-6818874068,56688
298,106983,0,106983,106983,-6818874068,56688
299,110505,0,110505,110505,-6818874068,56688
300,110106,0,110106,110106,-6818874068,56688
301,107158,0,107158,107158,-6818874068,56688
302,106689,0,106689,106689,-6818874068,56688
303,106980,0,106980,106980,-6818874068,56688
304,106422,0,106422,106422,-6818874068,56688
305,108883,0,108883,108883,-6818874068,56688
306,109885,0,109885,109885,-6818874068,56688
307,110026,0,110026,110026,-6818874068,56688
308,109187,0,109187,109187,-6818874068,56688
309,109469,0,109469,109469,-6818874068,56688
310,110480,0,110480,110480,-6818874068,56688
311,110993,0,110993,110993,-6818874068,56688
312,110424,0,110424,110424,-6818874068,56688
313,110545,0,110545,110545,-6818874068,56688
314,110627,0,110627,110627,-6818874068,56688
315,112827,0,112827,112827,-6818874068,56688
316,112178,0,112178,112178,-6818874068,56688
317,109990,0,109990,109990,-6818874068,56688
318,111161,0,111161,111161,-6818874068,56688
319,109383,0,109383,109383,-6818874068,56688
320,112084,0,112084,112084,-6818874068,56688
321,112005,0,112005,112005,-6818874068,56688
322,111807,0,111807,111807,-6818874068,56688
323,120348,0,120348,120348,-6818874068,56688
324,113610,0,113610,113610,-6818874068,56688
325,114331,0,114331,114331,-6818874068,56688
326,114532,0,114532,114532,-6818874068,56688
327,114994,0,114994,114994,-6818874068,56688
328,115145,0,115145,115145,-6818874068,56688
329,115506,0,115506,115506,-6818874068,56688
330,122148,0,122148,122148,-6818874068,56688
331,118079,0,118079,118079,-6818874068,56688
332,117402,0,117402,117402,-6818874068,56688
333,118233,0,118233,118233,-6818874068,56688
334,117504,0,117504,117504,-6818874068,56688
335,119946,0,119946,119946,-6818874068,56688
336,121657,0,121657,121657,-6818874068,56688
337,120629,0,120629,120629,-6818874068,56688
338,122090,0,122090,122090,-6818874068,56688
339,122461,0,122461,122461,-6818874068,56688
340,123563,0,123563,123563,-6818874068,56688
341,124154,0,124154,124154,-6818874068,56688
342,124235,0,124235,124235,-6818874068,56688
343,123737,0,123737,123737,-6818874068,56688
344,120858,0,120858,120858,-6818874068,56688
345,122750,0,122750,122750,-6818874068,56688
346,122751,0,122751,122751,-6818874068,56688
347,123422,0,123422,123422,-6818874068,56688
348,123514,0,123514,123514,-6818874068,56688
349,123675,0,123675,123675,-6818874068,56688
350,125736,0,125736,125736,-6818874068,56688
351,129768,0,129768,129768,-6818874068,56688
352,60079,0,60079,60079,-6818874068,56688
353,60581,0,60581,60581,-6818874068,56688
354,63462,0,63462,63462,-6818874068,56688
355,68364,0,68364,68364,-6818874068,56688
356,67506,0,67506,67506,-6818874068,56688
357,58237,0,58237,58237,-6818874068,56688
358,57268,0,57268,57268,-6818874068,56688
359,58199,0,58199,58199,-6818874068,56688
360,57670,0,57670,57670,-6818874068,56688
361,58272,0,58272,58272,-6818874068,56688
362,59643,0,59643,59643,-6818874068,56688
363,63304,0,63304,63304,-6818874068,56688
364,59286,0,59286,59286,-6818874068,56688
365,58947,0,58947,58947,-6818874068,56688
366,60939,0,60939,60939,-6818874068,56688
367,61500,0,61500,61500,-6818874068,56688
368,60791,0,60791,60791,-6818874068,56688
369,60803,0,60803,60803,-6818874068,56688
370,60784,0,60784,60784,-6818874068,56688
371,64176,0,64176,64176,-6818874068,56688
372,70917,0,70917,70917,-6818874068,56688
373,65399,0,65399,65399,-6818874068,56688
374,62290,0,62290,62290,-6818874068,56688
375,60692,0,60692,60692,-6818874068,56688
