count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,75701,0,75701,75701,-6819862526,87703
52,86582,0,86582,86582,-6819862526,87703
53,95013,0,95013,95013,-6819862526,87703
54,36604,0,36604,36604,-6819862526,87703
55,43806,0,43806,43806,-6819862526,87703
56,62598,0,62598,62598,-6819862526,87703
57,68569,0,68569,68569,-6819862526,87703
58,80300,0,80300,80300,-6819862526,87703
59,93641,0,93641,93641,-6819862526,87703
60,35202,0,35202,35202,-6819862526,87703
61,43814,0,43814,43814,-6819862526,87703
62,57635,0,57635,57635,-6819862526,87703
63,68906,0,68906,68906,-6819862526,87703
64,81777,0,81777,81777,-6819862526,87703
65,93388,0,93388,93388,-6819862526,87703
66,33639,0,33639,33639,-6819862526,87703
67,44261,0,44261,44261,-6819862526,87703
68,51012,0,51012,51012,-6819862526,87703
69,61913,0,61913,61913,-6819862526,87703
70,72294,0,72294,72294,-6819862526,87703
71,86265,0,86265,86265,-6819862526,87703
72,100577,0,100577,100577,-6819862526,87703
73,42288,0,42288,42288,-6819862526,87703
74,53809,0,53809,53809,-6819862526,87703
75,62840,0,62840,62840,-6819862526,87703
76,76121,0,76121,76121,-6819862526,87703
77,84932,0,84932,84932,-6819862526,87703
78,99084,0,99084,99084,-6819862526,87703
79,40805,0,40805,40805,-6819862526,87703
80,51796,0,51796,51796,-6819862526,87703
81,61368,0,61368,61368,-6819862526,87703
82,73039,0,73039,73039,-6819862526,87703
83,81840,0,81840,81840,-6819862526,87703
84,96782,0,96782,96782,-6819862526,87703
85,38403,0,38403,38403,-6819862526,87703
86,48564,0,48564,48564,-6819862526,87703
87,61565,0,61565,61565,-6819862526,87703
88,74216,0,74216,74216,-6819862526,87703
89,90987,0,90987,90987,-6819862526,87703
90,96939,0,96939,96939,-6819862526,87703
91,38730,0,38730,38730,-6819862526,87703
92,49191,0,49191,49191,-6819862526,87703
93,60422,0,60422,60422,-6819862526,87703
94,71923,0,71923,71923,-6819862526,87703
95,83354,0,83354,83354,-6819862526,87703
96,95416,0,95416,95416,-6819862526,87703
97,36837,0,36837,36837,-6819862526,87703
98,46958,0,46958,46958,-6819862526,87703
99,57729,0,57729,57729,-6819862526,87703
100,71210,0,71210,71210,-6819862526,87703
101,80930,0,80930,80930,-6819862526,87703
102,97752,0,97752,97752,-6819862526,87703
103,39503,0,39503,39503,-6819862526,87703
104,50234,0,50234,50234,-6819862526,87703
105,58395,0,58395,58395,-6819862526,87703
106,70347,0,70347,70347,-6819862526,87703
107,82488,0,82488,82488,-6819862526,87703
108,95820,0,95820,95820,-6819862526,87703
109,35721,0,35721,35721,-6819862526,87703
110,47722,0,47722,47722,-6819862526,87703
111,52663,0,52663,52663,-6819862526,87703
112,63994,0,63994,63994,-6819862526,87703
113,75906,0,75906,75906,-6819862526,87703
114,87687,0,87687,87687,-6819862526,87703
115,86018,0,86018,86018,-6819862526,87703
116,100119,0,100119,100119,-6819862526,87703
117,41391,0,41391,41391,-6819862526,87703
118,50512,0,50512,50512,-6819862526,87703
119,61733,0,61733,61733,-6819862526,87703
120,75064,0,75064,75064,-6819862526,87703
121,85855,0,85855,85855,-6819862526,87703
122,105336,0,105336,105336,-6819862526,87703
123,47147,0,47147,47147,-6819862526,87703
124,50979,0,50979,50979,-6819862526,87703
125,61550,0,61550,61550,-6819862526,87703
126,73811,0,73811,73811,-6819862526,87703
127,85182,0,85182,85182,-6819862526,87703
128,98883,0,98883,98883,-6819862526,87703
129,40594,0,40594,40594,-6819862526,87703
130,49266,0,49266,49266,-6819862526,87703
131,59867,0,59867,59867,-6819862526,87703
132,71889,0,71889,71889,-6819862526,87703
133,83090,0,83090,83090,-6819862526,87703
134,101481,0,101481,101481,-6819862526,87703
135,42902,0,42902,42902,-6819862526,87703
136,51744,0,51744,51744,-6819862526,87703
137,60305,0,60305,60305,-6819862526,87703
138,72716,0,72716,72716,-6819862526,87703
139,84007,0,84007,84007,-6819862526,87703
140,99848,0,99848,99848,-6819862526,87703
141,39149,0,39149,39149,-6819862526,87703
142,49550,0,49550,49550,-6819862526,87703
143,65622,0,65622,65622,-6819862526,87703
144,70693,0,70693,70693,-6819862526,87703
145,82514,0,82514,82514,-6819862526,87703
146,98795,0,98795,98795,-6819862526,87703
147,40786,0,40786,40786,-6819862526,87703
148,49507,0,49507,49507,-6819862526,87703
149,60179,0,60179,60179,-6819862526,87703
150,71440,0,71440,71440,-6819862526,87703
151,87110,0,87110,87110,-6819862526,87703
152,102061,0,102061,102061,-6819862526,87703
153,43992,0,43992,43992,-6819862526,87703
154,48633,0,48633,48633,-6819862526,87703
155,60055,0,60055,60055,-6819862526,87703
156,69836,0,69836,69836,-6819862526,87703
157,81508,0,81508,81508,-6819862526,87703
158,95479,0,95479,95479,-6819862526,87703
159,37280,0,37280,37280,-6819862526,87703
160,44811,0,44811,44811,-6819862526,87703
161,56203,0,56203,56203,-6819862526,87703
162,67744,0,67744,67744,-6819862526,87703
163,79155,0,79155,79155,-6819862526,87703
164,93376,0,93376,93376,-6819862526,87703
165,108267,0,108267,108267,-6819862526,87703
