count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,50036,0,50036,-4839054035,121139
52,46608,0,46608,-4839054035,121139
53,49079,0,49079,-4839054035,121139
54,48560,0,48560,-4839054035,121139
55,47692,0,47692,-4839054035,121139
56,50113,0,50113,-4839054035,121139
57,49305,0,49305,-4839054035,121139
58,49376,0,49376,-4839054035,121139
59,53298,0,53298,-4839054035,121139
60,54289,0,54289,-4839054035,121139
61,58060,0,58060,-4839054035,121139
62,58162,0,58162,-4839054035,121139
63,61223,0,61223,-4839054035,121139
64,59435,0,59435,-4839054035,121139
65,58837,0,58837,-4839054035,121139
66,53858,0,53858,-4839054035,121139
67,57780,0,57780,-4839054035,121139
68,51311,0,51311,-4839054035,121139
69,49793,0,49793,-4839054035,121139
70,49384,0,49384,-4839054035,121139
71,49106,0,49106,-4839054035,121139
72,49067,0,49067,-4839054035,121139
73,48488,0,48488,-4839054035,121139
74,48710,0,48710,-4839054035,121139
75,49861,0,49861,-4839054035,121139
76,48593,0,48593,-4839054035,121139
77,49893,0,49893,-4839054035,121139
78,50585,0,50585,-4839054035,121139
79,50306,0,50306,-4839054035,121139
80,49377,0,49377,-4839054035,121139
81,64159,0,64159,-4839054035,121139
82,48770,0,48770,-4839054035,121139
83,51612,0,51612,-4839054035,121139
84,49913,0,49913,-4839054035,121139
85,49765,0,49765,-4839054035,121139
86,49197,0,49197,-4839054035,121139
87,49578,0,49578,-4839054035,121139
88,48150,0,48150,-4839054035,121139
89,52281,0,52281,-4839054035,121139
90,50663,0,50663,-4839054035,121139
91,49384,0,49384,-4839054035,121139
92,49265,0,49265,-4839054035,121139
93,49267,0,49267,-4839054035,121139
94,50188,0,50188,-4839054035,121139
95,50170,0,50170,-4839054035,121139
96,51701,0,51701,-4839054035,121139
97,53783,0,53783,-4839054035,121139
98,49004,0,49004,-4839054035,121139
99,54506,0,54506,-4839054035,121139
100,49897,0,49897,-4839054035,121139
101,49948,0,49948,-4839054035,121139
102,46740,0,46740,-4839054035,121139
103,49411,0,49411,-4839054035,121139
104,49513,0,49513,-4839054035,121139
105,50204,0,50204,-4839054035,121139
106,50076,0,50076,-4839054035,121139
107,49928,0,49928,-4839054035,121139
108,49099,0,49099,-4839054035,121139
109,50421,0,50421,-4839054035,121139
110,49732,0,49732,-4839054035,121139
111,49514,0,49514,-4839054035,121139
112,53505,0,53505,-4839054035,121139
113,51767,0,51767,-4839054035,121139
114,61068,0,61068,-4839054035,121139
115,51350,0,51350,-4839054035,121139
116,49251,0,49251,-4839054035,121139
117,51572,0,51572,-4839054035,121139
118,54053,0,54053,-4839054035,121139
119,52174,0,52174,-4839054035,121139
120,49306,0,49306,-4839054035,121139
121,49467,0,49467,-4839054035,121139
122,48518,0,48518,-4839054035,121139
123,49670,0,49670,-4839054035,121139
124,49131,0,49131,-4839054035,121139
125,49513,0,49513,-4839054035,121139
126,49334,0,49334,-4839054035,121139
127,49996,0,49996,-4839054035,121139
128,50118,0,50118,-4839054035,121139
129,54850,0,54850,-4839054035,121139
130,48611,0,48611,-4839054035,121139
131,52272,0,52272,-4839054035,121139
132,48384,0,48384,-4839054035,121139
133,50285,0,50285,-4839054035,121139
134,57287,0,57287,-4839054035,121139
135,49508,0,49508,-4839054035,121139
136,48719,0,48719,-4839054035,121139
137,51041,0,51041,-4839054035,121139
138,49412,0,49412,-4839054035,121139
139,49004,0,49004,-4839054035,121139
140,60565,0,60565,-4839054035,121139
141,50767,0,50767,-4839054035,121139
142,48998,0,48998,-4839054035,121139
143,48699,0,48699,-4839054035,121139
144,48731,0,48731,-4839054035,121139
145,53552,0,53552,-4839054035,121139
146,53294,0,53294,-4839054035,121139
147,64715,0,64715,-4839054035,121139
148,51098,0,51098,-4839054035,121139
149,51209,0,51209,-4839054035,121139
150,49530,0,49530,-4839054035,121139
151,50052,0,50052,-4839054035,121139
152,50003,0,50003,-4839054035,121139
153,50055,0,50055,-4839054035,121139
154,50636,0,50636,-4839054035,121139
155,51718,0,51718,-4839054035,121139
156,50469,0,50469,-4839054035,121139
157,51741,0,51741,-4839054035,121139
158,49142,0,49142,-4839054035,121139
159,49493,0,49493,-4839054035,121139
160,48904,0,48904,-4839054035,121139
161,51375,0,51375,-4839054035,121139
162,49267,0,49267,-4839054035,121139
163,52348,0,52348,-4839054035,121139
164,48170,0,48170,-4839054035,121139
165,50241,0,50241,-4839054035,121139
166,51912,0,51912,-4839054035,121139
167,49924,0,49924,-4839054035,121139
168,50945,0,50945,-4839054035,121139
169,49758,0,49758,-4839054035,121139
170,47979,0,47979,-4839054035,121139
171,50021,0,50021,-4839054035,121139
172,48882,0,48882,-4839054035,121139
173,49383,0,49383,-4839054035,121139
174,48685,0,48685,-4839054035,121139
175,46446,0,46446,-4839054035,121139
176,48908,0,48908,-4839054035,121139
177,51179,0,51179,-4839054035,121139
178,48921,0,48921,-4839054035,121139
179,51092,0,51092,-4839054035,121139
180,60713,0,60713,-4839054035,121139
181,50565,0,50565,-4839054035,121139
182,49916,0,49916,-4839054035,121139
183,49898,0,49898,-4839054035,121139
184,49249,0,49249,-4839054035,121139
185,49311,0,49311,-4839054035,121139
186,49082,0,49082,-4839054035,121139
187,50484,0,50484,-4839054035,121139
188,57205,0,57205,-4839054035,121139
189,47606,0,47606,-4839054035,121139
190,48419,0,48419,-4839054035,121139
191,50320,0,50320,-4839054035,121139
192,48292,0,48292,-4839054035,121139
193,56103,0,56103,-4839054035,121139
194,49084,0,49084,-4839054035,121139
195,54186,0,54186,-4839054035,121139
196,50577,0,50577,-4839054035,121139
197,51719,0,51719,-4839054035,121139
198,50940,0,50940,-4839054035,121139
199,49322,0,49322,-4839054035,121139
200,49693,0,49693,-4839054035,121139
201,49184,0,49184,-4839054035,121139
202,50655,0,50655,-4839054035,121139
203,49656,0,49656,-4839054035,121139
204,48448,0,48448,-4839054035,121139
205,49879,0,49879,-4839054035,121139
206,49161,0,49161,-4839054035,121139
207,50062,0,50062,-4839054035,121139
208,50574,0,50574,-4839054035,121139
209,57215,0,57215,-4839054035,121139
210,50157,0,50157,-4839054035,121139
211,52789,0,52789,-4839054035,121139
212,51501,0,51501,-4839054035,121139
213,60962,0,60962,-4839054035,121139
214,50354,0,50354,-4839054035,121139
215,49925,0,49925,-4839054035,121139
216,48897,0,48897,-4839054035,121139
217,47648,0,47648,-4839054035,121139
218,50260,0,50260,-4839054035,121139
219,50191,0,50191,-4839054035,121139
220,52073,0,52073,-4839054035,121139
221,49174,0,49174,-4839054035,121139
222,48906,0,48906,-4839054035,121139
223,52057,0,52057,-4839054035,121139
224,49749,0,49749,-4839054035,121139
225,53070,0,53070,-4839054035,121139
226,48442,0,48442,-4839054035,121139
227,53233,0,53233,-4839054035,121139
228,49695,0,49695,-4839054035,121139
229,50336,0,50336,-4839054035,121139
230,50218,0,50218,-4839054035,121139
231,49870,0,49870,-4839054035,121139
232,50932,0,50932,-4839054035,121139
233,51683,0,51683,-4839054035,121139
234,49974,0,49974,-4839054035,121139
235,49876,0,49876,-4839054035,121139
236,49117,0,49117,-4839054035,121139
237,49849,0,49849,-4839054035,121139
238,48600,0,48600,-4839054035,121139
239,52272,0,52272,-4839054035,121139
240,51513,0,51513,-4839054035,121139
241,53674,0,53674,-4839054035,121139
242,47805,0,47805,-4839054035,121139
243,53157,0,53157,-4839054035,121139
244,47648,0,47648,-4839054035,121139
245,51670,0,51670,-4839054035,121139
246,60251,0,60251,-4839054035,121139
247,51463,0,51463,-4839054035,121139
248,49894,0,49894,-4839054035,121139
249,56126,0,56126,-4839054035,121139
250,51078,0,51078,-4839054035,121139
251,49450,0,49450,-4839054035,121139
252,49781,0,49781,-4839054035,121139
