count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,915402,0,915402,0,0
52,924806,0,924806,0,0
53,930725,0,930725,0,0
54,937678,0,937678,0,0
55,945323,0,945323,0,0
56,953829,0,953829,0,0
57,958883,0,958883,0,0
58,967748,0,967748,0,0
59,975143,0,975143,0,0
60,981237,0,981237,0,0
61,985037,0,985037,0,0
62,991284,0,991284,0,0
63,996246,0,996246,0,0
64,1003766,0,1003766,0,0
65,1322384,0,1322384,0,0
66,1322409,0,1322409,0,0
67,1320312,0,1320312,0,0
68,1318441,0,1318441,0,0
69,1316588,0,1316588,0,0
70,1314504,0,1314504,0,0
71,1319804,0,1319804,0,0
72,1324386,0,1324386,0,0
73,1331484,0,1331484,0,0
74,1342672,0,1342672,0,0
75,1350002,0,1350002,0,0
76,1356030,0,1356030,0,0
77,1365269,0,1365269,0,0
78,1371692,0,1371692,0,0
79,1379017,0,1379017,0,0
80,1385287,0,1385287,0,0
81,1393300,0,1393300,0,0
82,1397984,0,1397984,0,0
83,1400807,0,1400807,0,0
84,1403314,0,1403314,0,0
85,1409798,0,1409798,0,0
86,1417728,0,1417728,0,0
87,1424849,0,1424849,0,0
88,1438869,0,1438869,0,0
89,1444115,0,1444115,0,0
90,1449460,0,1449460,0,0
91,1451189,0,1451189,0,0
92,1453574,0,1453574,0,0
93,1456021,0,1456021,0,0
94,1457405,0,1457405,0,0
95,1861647,0,1861647,0,0
96,1860470,0,1860470,0,0
97,1857558,0,1857558,0,0
98,1854813,0,1854813,0,0
99,1851978,0,1851978,0,0
100,1849009,0,1849009,0,0
101,1845751,0,1845751,0,0
124,1727278,0,1727278,0,0
115,1756357,0,1756357,0,0
116,1753283,0,1753283,0,0
125,1725724,0,1725724,0,0
126,1719707,0,1719707,0,0
117,1750517,0,1750517,0,0
127,1716599,0,1716599,0,0
128,1720737,0,1720737,0,0
129,1726783,0,1726783,0,0
130,1732044,0,1732044,0,0
131,1737536,0,1737536,0,0
132,1755060,0,1755060,0,0
133,1753001,0,1753001,0,0
134,1948444,0,1948444,0,0
135,1946561,0,1946561,0,0
136,1944478,0,1944478,0,0
137,1942450,0,1942450,0,0
138,1936903,0,1936903,0,0
139,1934606,0,1934606,0,0
140,1932199,0,1932199,0,0
141,1932382,0,1932382,0,0
142,1929124,0,1929124,0,0
143,1934657,0,1934657,0,0
144,1939752,0,1939752,0,0
145,1947106,0,1947106,0,0
146,1950426,0,1950426,0,0
147,1954883,0,1954883,0,0
148,1963234,0,1963234,0,0
149,1967500,0,1967500,0,0
150,2234367,0,2234367,0,0
151,2197653,0,2197653,0,0
152,2195664,0,2195664,0,0
153,2193788,0,2193788,0,0
154,2191777,0,2191777,0,0
155,2190080,0,2190080,0,0
156,2188283,0,2188283,0,0
160,2193727,0,2193727,0,0
161,2191830,0,2191830,0,0
162,2189932,0,2189932,0,0
163,2186017,0,2186017,0,0
164,2185756,0,2185756,0,0
165,2188888,0,2188888,0,0
166,2380180,0,2380180,0,0
167,2380275,0,2380275,0,0
168,2378816,0,2378816,0,0
169,2377277,0,2377277,0,0
170,2375331,0,2375331,0,0
171,2373563,0,2373563,0,0
172,2371840,0,2371840,0,0
177,2372040,0,2372040,0,0
178,1253772,0,1253772,0,0
179,1247754,0,1247754,0,0
180,1244510,0,1244510,0,0
181,1246578,0,1246578,0,0
182,1478377,0,1478377,0,0
183,1476537,0,1476537,0,0
184,1473730,0,1473730,0,0
185,1470611,0,1470611,0,0
186,1467471,0,1467471,0,0
187,1464493,0,1464493,0,0
188,1460189,0,1460189,0,0
195,1442768,0,1442768,0,0
196,1439387,0,1439387,0,0
197,1444072,0,1444072,0,0
198,1630516,0,1630516,0,0
199,1629285,0,1629285,0,0
200,1626883,0,1626883,0,0
201,1623419,0,1623419,0,0
202,1620211,0,1620211,0,0
203,1617130,0,1617130,0,0
204,1614037,0,1614037,0,0
205,1622973,0,1622973,0,0
206,1619577,0,1619577,0,0
207,1612038,0,1612038,0,0
208,1608517,0,1608517,0,0
209,1607293,0,1607293,0,0
210,1612566,0,1612566,0,0
211,1617700,0,1617700,0,0
212,1623240,0,1623240,0,0
213,1631711,0,1631711,0,0
214,1935250,0,1935250,0,0
215,1887178,0,1887178,0,0
216,1883974,0,1883974,0,0
217,1881813,0,1881813,0,0
218,1878697,0,1878697,0,0
219,1875474,0,1875474,0,0
220,1872701,0,1872701,0,0
222,1875762,0,1875762,0,0
223,1871905,0,1871905,0,0
224,1867974,0,1867974,0,0
225,1865304,0,1865304,0,0
226,1862417,0,1862417,0,0
227,1859358,0,1859358,0,0
228,1856189,0,1856189,0,0
229,1816307,0,1816307,0,0
230,2109862,0,2109862,0,0
231,2107953,0,2107953,0,0
232,2105045,0,2105045,0,0
233,2102353,0,2102353,0,0
234,2099242,0,2099242,0,0
235,2090361,0,2090361,0,0
236,2087227,0,2087227,0,0
246,2034656,0,2034656,0,0
247,2051918,0,2051918,0,0
248,2046207,0,2046207,0,0
249,2043027,0,2043027,0,0
250,2047824,0,2047824,0,0
251,2079000,0,2079000,0,0
252,2075012,0,2075012,0,0
253,2072291,0,2072291,0,0
254,2068471,0,2068471,0,0
255,2072642,0,2072642,0,0
256,2080531,0,2080531,0,0
257,2087780,0,2087780,0,0
258,2097546,0,2097546,0,0
259,2102863,0,2102863,0,0
260,2110114,0,2110114,0,0
261,2114247,0,2114247,0,0
262,2462289,0,2462289,0,0
263,2460180,0,2460180,0,0
264,2457322,0,2457322,0,0
265,1021611,0,1021611,0,0
266,1006519,0,1006519,0,0
267,999555,0,999555,0,0
268,996612,0,996612,0,0
278,1242642,0,1242642,0,0
279,1239672,0,1239672,0,0
280,1236946,0,1236946,0,0
281,1234396,0,1234396,0,0
282,1231277,0,1231277,0,0
283,1227913,0,1227913,0,0
284,1224632,0,1224632,0,0
294,1390153,0,1390153,0,0
295,1387413,0,1387413,0,0
296,1383816,0,1383816,0,0
297,1381600,0,1381600,0,0
298,1378247,0,1378247,0,0
299,1375464,0,1375464,0,0
300,1373193,0,1373193,0,0
310,1514651,0,1514651,0,0
311,1513581,0,1513581,0,0
312,1510375,0,1510375,0,0
313,1503891,0,1503891,0,0
314,1500773,0,1500773,0,0
315,1497397,0,1497397,0,0
316,1490967,0,1490967,0,0
318,1511120,0,1511120,0,0
319,1516476,0,1516476,0,0
320,1520772,0,1520772,0,0
321,1525954,0,1525954,0,0
322,1529651,0,1529651,0,0
323,1534372,0,1534372,0,0
324,1538947,0,1538947,0,0
325,1543584,0,1543584,0,0
326,1547977,0,1547977,0,0
327,1552919,0,1552919,0,0
328,1557871,0,1557871,0,0
329,1561404,0,1561404,0,0
330,1569512,0,1569512,0,0
331,1809188,0,1809188,0,0
332,1807809,0,1807809,0,0
333,1804754,0,1804754,0,0
334,1802241,0,1802241,0,0
335,1799179,0,1799179,0,0
336,1796198,0,1796198,0,0
337,1793513,0,1793513,0,0
346,1763398,0,1763398,0,0
347,1991874,0,1991874,0,0
348,1990179,0,1990179,0,0
349,1987454,0,1987454,0,0
350,1984801,0,1984801,0,0
351,1981900,0,1981900,0,0
352,1978751,0,1978751,0,0
353,1975842,0,1975842,0,0
355,1974935,0,1974935,0,0
356,582517,0,582517,0,0
357,579148,0,579148,0,0
358,585496,0,585496,0,0
359,591849,0,591849,0,0
360,598540,0,598540,0,0
361,607340,0,607340,0,0
362,614768,0,614768,0,0
363,798661,0,798661,0,0
364,797557,0,797557,0,0
365,795388,0,795388,0,0
366,793806,0,793806,0,0
367,792071,0,792071,0,0
368,790001,0,790001,0,0
369,787840,0,787840,0,0
373,784732,0,784732,0,0
374,782419,0,782419,0,0
375,786967,0,786967,0,0
376,793402,0,793402,0,0
377,800748,0,800748,0,0
378,806362,0,806362,0,0
379,1020967,0,1020967,0,0
380,1021529,0,1021529,0,0
381,1035760,0,1035760,0,0
382,1034102,0,1034102,0,0
383,1031808,0,1031808,0,0
384,1030201,0,1030201,0,0
385,1028111,0,1028111,0,0
392,1022762,0,1022762,0,0
393,1020914,0,1020914,0,0
394,1018896,0,1018896,0,0
395,1210027,0,1210027,0,0
396,1209239,0,1209239,0,0
397,1207430,0,1207430,0,0
398,1205362,0,1205362,0,0
399,1203355,0,1203355,0,0
400,1201393,0,1201393,0,0
401,1199484,0,1199484,0,0
406,1162876,0,1162876,0,0
407,1161105,0,1161105,0,0
408,1161311,0,1161311,0,0
409,1168058,0,1168058,0,0
410,1175000,0,1175000,0,0
411,1388110,0,1388110,0,0
412,1387360,0,1387360,0,0
413,1385475,0,1385475,0,0
414,1382175,0,1382175,0,0
415,1380079,0,1380079,0,0
416,1377814,0,1377814,0,0
417,1375365,0,1375365,0,0
418,1382113,0,1382113,0,0
419,1380243,0,1380243,0,0
420,1378165,0,1378165,0,0
421,1376143,0,1376143,0,0
422,1378466,0,1378466,0,0
423,1385441,0,1385441,0,0
424,1393932,0,1393932,0,0
425,1400884,0,1400884,0,0
426,1407743,0,1407743,0,0
427,1669852,0,1669852,0,0
428,1669090,0,1669090,0,0
429,1667294,0,1667294,0,0
430,1665507,0,1665507,0,0
431,1663306,0,1663306,0,0
432,1660891,0,1660891,0,0
433,1657300,0,1657300,0,0
442,1637203,0,1637203,0,0
443,1871963,0,1871963,0,0
444,1871288,0,1871288,0,0
445,1869597,0,1869597,0,0
446,1868072,0,1868072,0,0
447,1872018,0,1872018,0,0
448,1868223,0,1868223,0,0
449,1867924,0,1867924,0,0
450,1874003,0,1874003,0,0
451,1880043,0,1880043,0,0
452,1887767,0,1887767,0,0
453,1895444,0,1895444,0,0
454,1903467,0,1903467,0,0
455,1913591,0,1913591,0,0
456,1921563,0,1921563,0,0
457,1939319,0,1939319,0,0
458,757156,0,757156,0,0
459,974759,0,974759,0,0
460,973043,0,973043,0,0
461,970923,0,970923,0,0
462,969126,0,969126,0,0
463,967114,0,967114,0,0
464,965233,0,965233,0,0
465,963441,0,963441,0,0
469,959870,0,959870,0,0
470,957904,0,957904,0,0
471,956171,0,956171,0,0
472,958439,0,958439,0,0
473,964016,0,964016,0,0
474,971629,0,971629,0,0
475,1167736,0,1167736,0,0
476,1168149,0,1168149,0,0
477,1166315,0,1166315,0,0
478,1164555,0,1164555,0,0
479,1162583,0,1162583,0,0
480,1160869,0,1160869,0,0
481,1159283,0,1159283,0,0
485,1163204,0,1163204,0,0
486,1161126,0,1161126,0,0
487,1158991,0,1158991,0,0
488,1156981,0,1156981,0,0
489,1159213,0,1159213,0,0
490,1166548,0,1166548,0,0
491,1342893,0,1342893,0,0
492,1341565,0,1341565,0,0
493,1339544,0,1339544,0,0
494,1337562,0,1337562,0,0
495,1335561,0,1335561,0,0
496,1333180,0,1333180,0,0
497,1331128,0,1331128,0,0
502,1289550,0,1289550,0,0
503,1293091,0,1293091,0,0
504,1299100,0,1299100,0,0
505,1305723,0,1305723,0,0
506,1313115,0,1313115,0,0
507,1578302,0,1578302,0,0
508,1577341,0,1577341,0,0
509,1575481,0,1575481,0,0
510,1571129,0,1571129,0,0
511,1569154,0,1569154,0,0
512,1567094,0,1567094,0,0
513,1563675,0,1563675,0,0
520,1551174,0,1551174,0,0
521,1549217,0,1549217,0,0
522,1547241,0,1547241,0,0
523,1680443,0,1680443,0,0
524,1679998,0,1679998,0,0
525,1678191,0,1678191,0,0
526,1674719,0,1674719,0,0
527,1678984,0,1678984,0,0
528,1676882,0,1676882,0,0
529,1674154,0,1674154,0,0
530,1679790,0,1679790,0,0
531,1807664,0,1807664,0,0
532,1806367,0,1806367,0,0
533,1830256,0,1830256,0,0
534,1838733,0,1838733,0,0
535,1846650,0,1846650,0,0
536,1865481,0,1865481,0,0
537,1863595,0,1863595,0,0
538,1869686,0,1869686,0,0
539,1877344,0,1877344,0,0
540,1885684,0,1885684,0,0
541,1893528,0,1893528,0,0
542,1902458,0,1902458,0,0
543,1910780,0,1910780,0,0
544,1919623,0,1919623,0,0
545,1926081,0,1926081,0,0
546,1932473,0,1932473,0,0
