count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
118,2581996,0,2581996,0,0
119,2582526,0,2582526,0,0
120,2580552,0,2580552,0,0
121,2579905,0,2579905,0,0
122,2579043,0,2579043,0,0
123,2578190,0,2578190,0,0
124,2577607,0,2577607,0,0
147,2532986,0,2532986,0,0
148,2541808,0,2541808,0,0
149,760045,0,760045,0,0
150,1644483,0,1644483,0,0
151,1640343,0,1640343,0,0
152,1634828,0,1634828,0,0
153,1629728,0,1629728,0,0
154,1625182,0,1625182,0,0
155,1620709,0,1620709,0,0
156,1613408,0,1613408,0,0
191,1431308,0,1431308,0,0
192,1444772,0,1444772,0,0
193,1451767,0,1451767,0,0
194,1461549,0,1461549,0,0
195,1467644,0,1467644,0,0
196,1474016,0,1474016,0,0
197,1480520,0,1480520,0,0
198,2620756,0,2620756,0,0
199,2624069,0,2624069,0,0
200,2619713,0,2619713,0,0
201,2615577,0,2615577,0,0
202,2612491,0,2612491,0,0
203,2608105,0,2608105,0,0
204,2607884,0,2607884,0,0
256,2330660,0,2330660,0,0
257,2333982,0,2333982,0,0
258,2338860,0,2338860,0,0
259,2346858,0,2346858,0,0
260,2352745,0,2352745,0,0
261,2359500,0,2359500,0,0
262,3031762,0,3031762,0,0
263,3027347,0,3027347,0,0
264,3022739,0,3022739,0,0
265,3017833,0,3017833,0,0
266,598508,0,598508,0,0
267,595143,0,595143,0,0
268,592057,0,592057,0,0
297,494349,0,494349,0,0
298,499701,0,499701,0,0
299,507870,0,507870,0,0
300,509783,0,509783,0,0
301,514214,0,514214,0,0
302,517775,0,517775,0,0
303,520972,0,520972,0,0
304,524830,0,524830,0,0
305,529291,0,529291,0,0
306,536651,0,536651,0,0
307,540651,0,540651,0,0
308,784948,0,784948,0,0
309,782375,0,782375,0,0
310,779449,0,779449,0,0
311,776480,0,776480,0,0
312,773510,0,773510,0,0
313,770657,0,770657,0,0
314,769448,0,769448,0,0
315,769460,0,769460,0,0
316,779061,0,779061,0,0
317,785288,0,785288,0,0
318,790221,0,790221,0,0
319,793723,0,793723,0,0
320,800930,0,800930,0,0
321,805895,0,805895,0,0
322,813017,0,813017,0,0
323,819465,0,819465,0,0
324,830227,0,830227,0,0
325,837340,0,837340,0,0
326,841150,0,841150,0,0
327,847733,0,847733,0,0
328,852884,0,852884,0,0
329,858430,0,858430,0,0
330,864006,0,864006,0,0
331,867405,0,867405,0,0
332,871583,0,871583,0,0
333,877996,0,877996,0,0
334,883614,0,883614,0,0
335,887439,0,887439,0,0
336,893717,0,893717,0,0
337,899635,0,899635,0,0
338,1146111,0,1146111,0,0
339,1143649,0,1143649,0,0
340,1140674,0,1140674,0,0
341,1137805,0,1137805,0,0
342,1134875,0,1134875,0,0
343,1131960,0,1131960,0,0
344,1126711,0,1126711,0,0
352,1102121,0,1102121,0,0
353,1107966,0,1107966,0,0
354,1114157,0,1114157,0,0
355,1119728,0,1119728,0,0
356,1122710,0,1122710,0,0
357,1127049,0,1127049,0,0
358,1132069,0,1132069,0,0
359,1137698,0,1137698,0,0
360,1143726,0,1143726,0,0
361,1148072,0,1148072,0,0
362,1154298,0,1154298,0,0
363,1159829,0,1159829,0,0
364,1165688,0,1165688,0,0
365,1293036,0,1293036,0,0
366,1290508,0,1290508,0,0
367,1287585,0,1287585,0,0
368,1284568,0,1284568,0,0
369,1279294,0,1279294,0,0
370,1277945,0,1277945,0,0
371,1282393,0,1282393,0,0
372,1286567,0,1286567,0,0
373,1293097,0,1293097,0,0
374,1299526,0,1299526,0,0
375,1304543,0,1304543,0,0
376,1310212,0,1310212,0,0
377,1315393,0,1315393,0,0
378,983491,0,983491,0,0
379,988815,0,988815,0,0
380,995694,0,995694,0,0
381,1142023,0,1142023,0,0
382,1139882,0,1139882,0,0
383,1137178,0,1137178,0,0
384,1134561,0,1134561,0,0
385,1132061,0,1132061,0,0
386,1129439,0,1129439,0,0
387,1126937,0,1126937,0,0
389,1123993,0,1123993,0,0
390,1121425,0,1121425,0,0
391,1123310,0,1123310,0,0
392,1128500,0,1128500,0,0
393,1132948,0,1132948,0,0
394,1137162,0,1137162,0,0
395,1141985,0,1141985,0,0
396,1146873,0,1146873,0,0
397,1219523,0,1219523,0,0
398,1217119,0,1217119,0,0
399,1216229,0,1216229,0,0
400,1218019,0,1218019,0,0
401,1221764,0,1221764,0,0
402,1226464,0,1226464,0,0
403,1228825,0,1228825,0,0
404,1231240,0,1231240,0,0
405,1235098,0,1235098,0,0
406,1238522,0,1238522,0,0
407,1241933,0,1241933,0,0
408,1244516,0,1244516,0,0
409,1248069,0,1248069,0,0
410,1252695,0,1252695,0,0
411,1257903,0,1257903,0,0
412,1262722,0,1262722,0,0
413,1452581,0,1452581,0,0
414,1450652,0,1450652,0,0
415,1448236,0,1448236,0,0
416,1445892,0,1445892,0,0
417,1443473,0,1443473,0,0
418,1441062,0,1441062,0,0
419,1438116,0,1438116,0,0
427,1416707,0,1416707,0,0
428,1418111,0,1418111,0,0
429,588456,0,588456,0,0
430,584497,0,584497,0,0
431,580761,0,580761,0,0
432,577324,0,577324,0,0
433,574622,0,574622,0,0
434,572394,0,572394,0,0
435,570116,0,570116,0,0
447,432338,0,432338,0,0
448,432405,0,432405,0,0
449,436620,0,436620,0,0
450,441138,0,441138,0,0
451,444272,0,444272,0,0
452,447640,0,447640,0,0
453,451557,0,451557,0,0
454,455521,0,455521,0,0
455,459022,0,459022,0,0
456,462613,0,462613,0,0
