count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,176343,0,176343,0,0
52,181404,0,181404,0,0
53,178550,0,178550,0,0
54,178587,0,178587,0,0
55,178713,0,178713,0,0
56,178751,0,178751,0,0
57,178646,0,178646,0,0
58,178524,0,178524,0,0
59,178960,0,178960,0,0
60,178892,0,178892,0,0
61,179049,0,179049,0,0
62,178856,0,178856,0,0
63,178978,0,178978,0,0
64,178793,0,178793,0,0
65,180570,0,180570,0,0
66,178126,0,178126,0,0
67,178450,0,178450,0,0
68,175161,0,175161,0,0
69,173595,0,173595,0,0
70,169454,0,169454,0,0
71,168307,0,168307,0,0
72,168229,0,168229,0,0
73,168270,0,168270,0,0
74,168089,0,168089,0,0
75,167660,0,167660,0,0
76,168051,0,168051,0,0
77,168995,0,168995,0,0
78,167564,0,167564,0,0
79,165054,0,165054,0,0
80,162999,0,162999,0,0
81,160993,0,160993,0,0
82,157411,0,157411,0,0
83,154132,0,154132,0,0
84,150593,0,150593,0,0
85,146973,0,146973,0,0
86,143123,0,143123,0,0
87,139290,0,139290,0,0
88,134809,0,134809,0,0
89,130724,0,130724,0,0
90,126942,0,126942,0,0
91,124325,0,124325,0,0
92,120012,0,120012,0,0
93,117532,0,117532,0,0
94,115440,0,115440,0,0
95,113044,0,113044,0,0
96,108931,0,108931,0,0
97,104988,0,104988,0,0
98,101238,0,101238,0,0
99,97685,0,97685,0,0
100,93913,0,93913,0,0
101,89776,0,89776,0,0
102,87059,0,87059,0,0
103,82964,0,82964,0,0
104,78712,0,78712,0,0
105,74421,0,74421,0,0
106,70465,0,70465,0,0
107,66392,0,66392,0,0
108,57816,0,57816,0,0
109,57713,0,57713,0,0
110,56762,0,56762,0,0
111,57469,0,57469,0,0
112,56553,0,56553,0,0
113,56624,0,56624,0,0
114,56700,0,56700,0,0
115,54463,0,54463,0,0
116,52003,0,52003,0,0
117,57923,0,57923,0,0
118,55171,0,55171,0,0
119,55640,0,55640,0,0
120,57641,0,57641,0,0
121,57956,0,57956,0,0
122,56778,0,56778,0,0
123,54528,0,54528,0,0
124,55191,0,55191,0,0
125,57364,0,57364,0,0
126,57398,0,57398,0,0
127,58121,0,58121,0,0
128,57296,0,57296,0,0
129,55706,0,55706,0,0
130,57009,0,57009,0,0
131,54308,0,54308,0,0
132,101104,0,101104,0,0
