count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,321458,0,321458,0,0
52,258430,0,258430,0,0
53,292072,0,292072,0,0
54,391797,0,391797,0,0
55,488873,0,488873,0,0
56,531002,0,531002,0,0
57,849851,0,849851,0,0
58,799512,0,799512,0,0
59,703088,0,703088,0,0
60,587550,0,587550,0,0
61,518449,0,518449,0,0
62,873204,0,873204,0,0
63,861470,0,861470,0,0
64,913842,0,913842,0,0
65,824308,0,824308,0,0
66,927827,0,927827,0,0
67,639647,0,639647,0,0
68,1001569,0,1001569,0,0
69,1559685,0,1559685,0,0
70,1761947,0,1761947,0,0
71,1782058,0,1782058,0,0
72,1930476,0,1930476,0,0
73,1825818,0,1825818,0,0
74,1816893,0,1816893,0,0
75,1937719,0,1937719,0,0
76,1952701,0,1952701,0,0
77,1785714,0,1785714,0,0
78,1655781,0,1655781,0,0
79,1662998,0,1662998,0,0
80,1559961,0,1559961,0,0
81,1501988,0,1501988,0,0
82,1660645,0,1660645,0,0
83,1715517,0,1715517,0,0
84,1514325,0,1514325,0,0
85,1685739,0,1685739,0,0
86,1483155,0,1483155,0,0
87,1255290,0,1255290,0,0
88,478527,0,478527,0,0
89,134358,0,134358,0,0
90,287115,0,287115,0,0
91,476766,0,476766,0,0
92,644644,0,644644,0,0
93,592773,0,592773,0,0
94,1073820,0,1073820,0,0
95,880188,0,880188,0,0
96,646886,0,646886,0,0
97,576955,0,576955,0,0
98,320205,0,320205,0,0
99,815527,0,815527,0,0
100,780513,0,780513,0,0
101,857867,0,857867,0,0
102,763383,0,763383,0,0
103,542099,0,542099,0,0
104,535698,0,535698,0,0
105,489966,0,489966,0,0
106,552449,0,552449,0,0
107,437974,0,437974,0,0
108,626109,0,626109,0,0
109,663488,0,663488,0,0
110,591803,0,591803,0,0
111,336310,0,336310,0,0
112,449893,0,449893,0,0
113,737643,0,737643,0,0
114,583322,0,583322,0,0
115,516392,0,516392,0,0
116,584059,0,584059,0,0
117,693054,0,693054,0,0
118,779824,0,779824,0,0
119,898659,0,898659,0,0
120,977424,0,977424,0,0
121,1067170,0,1067170,0,0
122,1013037,0,1013037,0,0
123,919235,0,919235,0,0
124,774540,0,774540,0,0
125,684659,0,684659,0,0
126,629961,0,629961,0,0
127,629148,0,629148,0,0
128,585595,0,585595,0,0
129,517710,0,517710,0,0
130,505438,0,505438,0,0
