seq,ts_emit,ts_recv,latency_us,w,bit
0,1789388428905785018,1789388428905971333,186.315,0.475,1
1,1789388428906406968,1789388428906599523,192.555,0.475,1
2,1789388428907004814,1789388428907107423,102.609,0.475,1
3,1789388428907587987,1789388428907681188,93.201,0.475,1
4,1789388428908167210,1789388428908263088,95.878,0.475,1
5,1789388428908745578,1789388428909047493,301.915,0.475,1
6,1789388428909326346,1789388428909420156,93.81,0.475,1
7,1789388428909907985,1789388428910042965,134.98,0.475,1
8,1789388428910490511,1789388428910630408,139.897,0.475,1
9,1789388428911111702,1789388428911284706,173.004,0.475,1
10,1789388428911780072,1789388428911914663,134.591,0.475,1
11,1789388428912395871,1789388428912651183,255.312,0.475,1
12,1789388428913012359,1789388428913158307,145.948,0.0,0
13,1789388428913636788,1789388428913796643,159.855,0.475,1
14,1789388428914244429,1789388428914370615,126.186,0.475,1
15,1789388428914847187,1789388428915031396,184.209,0.475,1
16,1789388428915439807,1789388428915579709,139.902,0.475,1
17,1789388428916031122,1789388428916131616,100.494,0.475,1
18,1789388428916616411,1789388428916724350,107.939,0.475,1
19,1789388428917200003,1789388428917300756,100.753,0.475,1
20,1789388428917789501,1789388428917983785,194.284,0.475,1
21,1789388428918420332,1789388428918601146,180.814,0.475,1
22,1789388428919034042,1789388428919198687,164.645,0.475,1
23,1789388428919636008,1789388428919778182,142.174,0.475,1
24,1789388428920238226,1789388428920485425,247.199,0.475,1
25,1789388428920837463,1789388428921025486,188.023,0.0,0
26,1789388428921436768,1789388428922262268,825.5,0.475,1
27,1789388428922103313,1789388428922278608,175.295,0.475,1
28,1789388428922691122,1789388428922793109,101.987,0.475,1
29,1789388428923278897,1789388428923382377,103.48,0.0,0
30,1789388428923860904,1789388428924016173,155.269,0.0,0
31,1789388428924447672,1789388428924551697,104.025,0.475,1
32,1789388428925075460,1789388428925205721,130.261,0.475,1
33,1789388428925686353,1789388428925812407,126.054,0.475,1
34,1789388428926279308,1789388428926407658,128.35,0.475,1
35,1789388428926873751,1789388428926985166,111.415,0.475,1
36,1789388428927469710,1789388428927577384,107.674,0.475,1
37,1789388428928065765,1789388428928187782,122.017,0.475,1
38,1789388428928663304,1789388428928842188,178.884,0.475,1
39,1789388428929255664,1789388428929354888,99.224,0.475,1
40,1789388428929848595,1789388428930035786,187.191,0.0,0
41,1789388428930439499,1789388428930551581,112.082,0.475,1
42,1789388428931028958,1789388428931122268,93.31,0.475,1
43,1789388428931614012,1789388428931703716,89.704,0.475,1
44,1789388428932217004,1789388428932362066,145.062,0.475,1
45,1789388428932844188,1789388428933000069,155.881,0.475,1
46,1789388428933443041,1789388428933555697,112.656,0.475,1
47,1789388428934036312,1789388428934166387,130.075,0.475,1
48,1789388428934624822,1789388428934809675,184.853,0.475,1
49,1789388428935209485,1789388428935332165,122.68,0.475,1
50,1789388428935806152,1789388428935909332,103.18,0.475,1
51,1789388428936397638,1789388428936494056,96.418,0.475,1
52,1789388428936989494,1789388428937095404,105.91,0.475,1
53,1789388428937579597,1789388428937704291,124.694,0.475,1
54,1789388428938170965,1789388428938263990,93.025,0.475,1
55,1789388428938759413,1789388428938847537,88.124,0.475,1
56,1789388428939350906,1789388428939515546,164.64,0.475,1
57,1789388428939945989,1789388428940058302,112.313,0.475,1
58,1789388428940539124,1789388428940632057,92.933,0.475,1
59,1789388428941126757,1789388428941211726,84.969,0.475,1
60,1789388428941711315,1789388428941809138,97.823,0.475,1
61,1789388428942295402,1789388428942395600,100.198,0.475,1
62,1789388428942878833,1789388428942970433,91.6,0.0,0
63,1789388428943463356,1789388428943552803,89.447,0.0,0
64,1789388428944049550,1789388428944224130,174.58,0.0,0
65,1789388428944643618,1789388428944744366,100.748,0.0,0
66,1789388428945237636,1789388428945338009,100.373,0.475,1
67,1789388428945832144,1789388428945938629,106.485,0.475,1
68,1789388428946420965,1789388428946540838,119.873,0.475,1
69,1789388428947015209,1789388428947138960,123.751,0.475,1
70,1789388428947611868,1789388428947711252,99.384,0.475,1
71,1789388428948201994,1789388428948336637,134.643,0.475,1
72,1789388428948789140,1789388428948893632,104.492,0.475,1
73,1789388428949378644,1789388428949477677,99.033,0.475,1
74,1789388428950006075,1789388428950101999,95.924,0.475,1
75,1789388428950592933,1789388428950677306,84.373,0.0,0
