count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_rtt_ns
51,5486736,4830580,656156,39854663,12816144
52,5469856,4830580,639276,39854663,12816144
53,5457151,4830580,626571,39854663,12816144
54,5447568,4830580,616988,39854663,12816144
55,5437157,4830580,606577,39854663,12816144
56,5426855,4830580,596275,39854663,12816144
57,5413948,4830580,583368,39854663,12816144
58,5403125,4830580,572545,39854663,12816144
59,5393377,4830580,562797,39854663,12816144
60,5376629,4830580,546049,39854663,12816144
61,5362664,4830580,532084,39854663,12816144
62,5347756,4830580,517176,39854663,12816144
63,5316732,4830580,486152,39854663,12816144
64,5302306,4830580,471726,39854663,12816144
65,5287110,4830580,456530,39854663,12816144
66,5255789,4830580,425209,39854663,12816144
67,5242526,4830580,411946,39854663,12816144
68,5214133,4830580,383553,39854663,12816144
69,5195453,4830580,364873,39854663,12816144
70,5183078,4830580,352498,39854663,12816144
71,5114236,4830580,283656,39854663,12816144
72,5064854,4830580,234274,39854663,12816144
73,5044940,4830580,214360,39854663,12816144
74,5012603,4830580,182023,39854663,12816144
75,4983661,4830580,153081,39854663,12816144
76,4957215,4830580,126635,39854663,12816144
77,4938318,4830580,107738,39854663,12816144
78,4914112,4830580,83532,39854663,12816144
79,4886500,4830580,55920,39854663,12816144
80,4856400,4830580,25820,39854663,12816144
81,4844053,4830580,13473,39854663,12816144
82,4833177,4830580,2597,39854663,12816144
83,4821689,4830580,-8891,39854663,12816144
84,4809637,4830580,-20943,39854663,12816144
85,4794912,4830580,-35668,39854663,12816144
86,4784328,4830580,-46252,39854663,12816144
87,6247857,4830580,1417277,39854663,12816144
88,6241104,4830580,1410524,39854663,12816144
89,6231074,4830580,1400494,39854663,12816144
90,6220614,4830580,1390034,39854663,12816144
91,6209187,4830580,1378607,39854663,12816144
92,6194336,4830580,1363756,39854663,12816144
93,6181956,4830580,1351376,39854663,12816144
94,6171965,4830580,1341385,39854663,12816144
95,6159633,4830580,1329053,39854663,12816144
96,6150091,4830580,1319511,39854663,12816144
97,6140923,4830580,1310343,39854663,12816144
98,6117436,4830580,1286856,39854663,12816144
99,6109358,4830580,1278778,39854663,12816144
100,6099722,4830580,1269142,39854663,12816144
101,6091290,4830580,1260710,39854663,12816144
102,6081393,4830580,1250813,39854663,12816144
103,6073282,4830580,1242702,39854663,12816144
104,6061857,4830580,1231277,39854663,12816144
105,6049147,4830580,1218567,39854663,12816144
106,6036672,4830580,1206092,39854663,12816144
107,5989364,4830580,1158784,39854663,12816144
108,5957721,4830580,1127141,39854663,12816144
109,5914707,4830580,1084127,39854663,12816144
110,5900236,4830580,1069656,39854663,12816144
111,5879505,4830580,1048925,39854663,12816144
112,5852860,4830580,1022280,39854663,12816144
113,5823868,4830580,993288,39854663,12816144
114,5793786,4830580,963206,39854663,12816144
115,5764965,4830580,934385,39854663,12816144
116,5738140,4830580,907560,39854663,12816144
117,5723404,4830580,892824,39854663,12816144
118,5698346,4830580,867766,39854663,12816144
119,5668942,4830580,838362,39854663,12816144
120,5638601,4830580,808021,39854663,12816144
121,5617055,4830580,786475,39854663,12816144
122,5601521,4830580,770941,39854663,12816144
123,5569314,4830580,738734,39854663,12816144
124,5545846,4830580,715266,39854663,12816144
125,5534747,4830580,704167,39854663,12816144
126,5524664,4830580,694084,39854663,12816144
127,5514271,4830580,683691,39854663,12816144
128,5501995,4830580,671415,39854663,12816144
129,5489463,4830580,658883,39854663,12816144
130,5476590,4830580,646010,39854663,12816144
131,5465459,4830580,634879,39854663,12816144
132,5451727,4830580,621147,39854663,12816144
133,5437920,4830580,607340,39854663,12816144
134,5421607,4830580,591027,39854663,12816144
135,5407432,4830580,576852,39854663,12816144
136,5392560,4830580,561980,39854663,12816144
137,5374820,4830580,544240,39854663,12816144
138,5351128,4830580,520548,39854663,12816144
139,5338891,4830580,508311,39854663,12816144
140,5328476,4830580,497896,39854663,12816144
141,5318328,4830580,487748,39854663,12816144
142,5308415,4830580,477835,39854663,12816144
143,5298336,4830580,467756,39854663,12816144
144,5288438,4830580,457858,39854663,12816144
145,5272239,4830580,441659,39854663,12816144
146,5266107,4830580,435527,39854663,12816144
147,5256164,4830580,425584,39854663,12816144
148,5244585,4830580,414005,39854663,12816144
149,5232955,4830580,402375,39854663,12816144
150,5221112,4830580,390532,39854663,12816144
151,5197451,4830580,366871,39854663,12816144
152,5178329,4830580,347749,39854663,12816144
153,5168105,4830580,337525,39854663,12816144
154,5158329,4830580,327749,39854663,12816144
155,5148895,4830580,318315,39854663,12816144
156,5139070,4830580,308490,39854663,12816144
157,5128649,4830580,298069,39854663,12816144
158,5118081,4830580,287501,39854663,12816144
159,5111398,4830580,280818,39854663,12816144
160,5107164,4830580,276584,39854663,12816144
161,5104255,4830580,273675,39854663,12816144
162,5101511,4830580,270931,39854663,12816144
163,5099973,4830580,269393,39854663,12816144
164,5097396,4830580,266816,39854663,12816144
165,5094970,4830580,264390,39854663,12816144
166,5092397,4830580,261817,39854663,12816144
167,5089639,4830580,259059,39854663,12816144
168,5087056,4830580,256476,39854663,12816144
169,5084424,4830580,253844,39854663,12816144
170,5081856,4830580,251276,39854663,12816144
171,5079940,4830580,249360,39854663,12816144
172,5077443,4830580,246863,39854663,12816144
173,5074874,4830580,244294,39854663,12816144
174,5072468,4830580,241888,39854663,12816144
175,5069777,4830580,239197,39854663,12816144
176,5063097,4830580,232517,39854663,12816144
177,5056029,4830580,225449,39854663,12816144
178,5053298,4830580,222718,39854663,12816144
179,5051692,4830580,221112,39854663,12816144
180,5049186,4830580,218606,39854663,12816144
181,5046560,4830580,215980,39854663,12816144
182,5043994,4830580,213414,39854663,12816144
183,5041349,4830580,210769,39854663,12816144
184,5038497,4830580,207917,39854663,12816144
185,5035773,4830580,205193,39854663,12816144
186,5033191,4830580,202611,39854663,12816144
187,5031617,4830580,201037,39854663,12816144
188,5029078,4830580,198498,39854663,12816144
189,5026433,4830580,195853,39854663,12816144
190,5024093,4830580,193513,39854663,12816144
191,5021411,4830580,190831,39854663,12816144
192,5018678,4830580,188098,39854663,12816144
193,5013896,4830580,183316,39854663,12816144
194,5007194,4830580,176614,39854663,12816144
195,5005160,4830580,174580,39854663,12816144
196,5002644,4830580,172064,39854663,12816144
197,4999741,4830580,169161,39854663,12816144
198,4997320,4830580,166740,39854663,12816144
199,4994539,4830580,163959,39854663,12816144
200,4991923,4830580,161343,39854663,12816144
201,4989246,4830580,158666,39854663,12816144
202,4986599,4830580,156019,39854663,12816144
203,4984981,4830580,154401,39854663,12816144
204,4981983,4830580,151403,39854663,12816144
205,4979555,4830580,148975,39854663,12816144
206,4977217,4830580,146637,39854663,12816144
207,4974589,4830580,144009,39854663,12816144
208,4971683,4830580,141103,39854663,12816144
209,4968792,4830580,138212,39854663,12816144
210,4965689,4830580,135109,39854663,12816144
211,4963190,4830580,132610,39854663,12816144
212,4913221,4830580,82641,39854663,12816144
213,4895760,4830580,65180,39854663,12816144
214,4882935,4830580,52355,39854663,12816144
215,4875180,4830580,44600,39854663,12816144
216,4867492,4830580,36912,39854663,12816144
217,4859437,4830580,28857,39854663,12816144
218,4852042,4830580,21462,39854663,12816144
219,4845830,4830580,15250,39854663,12816144
220,4838921,4830580,8341,39854663,12816144
221,4830680,4830580,100,39854663,12816144
222,4822232,4830580,-8348,39854663,12816144
223,4815057,4830580,-15523,39854663,12816144
224,4806961,4830580,-23619,39854663,12816144
225,4800362,4830580,-30218,39854663,12816144
226,4788795,4830580,-41785,39854663,12816144
227,4783661,4830580,-46919,39854663,12816144
228,4777526,4830580,-53054,39854663,12816144
229,4772096,4830580,-58484,39854663,12816144
230,4763564,4830580,-67016,39854663,12816144
231,4756545,4830580,-74035,39854663,12816144
232,4748122,4830580,-82458,39854663,12816144
233,4741689,4830580,-88891,39854663,12816144
234,4738513,4830580,-92067,39854663,12816144
235,4737124,4830580,-93456,39854663,12816144
236,4734916,4830580,-95664,39854663,12816144
237,4732502,4830580,-98078,39854663,12816144
238,4730081,4830580,-100499,39854663,12816144
239,4727432,4830580,-103148,39854663,12816144
240,4725179,4830580,-105401,39854663,12816144
241,4720823,4830580,-109757,39854663,12816144
242,4717500,4830580,-113080,39854663,12816144
243,4716107,4830580,-114473,39854663,12816144
244,4713883,4830580,-116697,39854663,12816144
245,4690376,4830580,-140204,39854663,12816144
246,4686949,4830580,-143631,39854663,12816144
247,4684577,4830580,-146003,39854663,12816144
248,4682185,4830580,-148395,39854663,12816144
249,4679755,4830580,-150825,39854663,12816144
250,4677205,4830580,-153375,39854663,12816144
251,4673935,4830580,-156645,39854663,12816144
252,4671717,4830580,-158863,39854663,12816144
253,4669312,4830580,-161268,39854663,12816144
254,4667278,4830580,-163302,39854663,12816144
255,4664616,4830580,-165964,39854663,12816144
256,4662427,4830580,-168153,39854663,12816144
257,4660234,4830580,-170346,39854663,12816144
258,4657734,4830580,-172846,39854663,12816144
259,4656305,4830580,-174275,39854663,12816144
260,4653880,4830580,-176700,39854663,12816144
261,4651418,4830580,-179162,39854663,12816144
262,4648106,4830580,-182474,39854663,12816144
263,4645506,4830580,-185074,39854663,12816144
264,4643008,4830580,-187572,39854663,12816144
265,4640532,4830580,-190048,39854663,12816144
266,4637898,4830580,-192682,39854663,12816144
267,4636832,4830580,-193748,39854663,12816144
268,4631732,4830580,-198848,39854663,12816144
269,4629204,4830580,-201376,39854663,12816144
270,4627020,4830580,-203560,39854663,12816144
271,4624644,4830580,-205936,39854663,12816144
272,4622108,4830580,-208472,39854663,12816144
273,4619640,4830580,-210940,39854663,12816144
274,4617200,4830580,-213380,39854663,12816144
275,4615850,4830580,-214730,39854663,12816144
276,4613367,4830580,-217213,39854663,12816144
277,4610977,4830580,-219603,39854663,12816144
278,4608680,4830580,-221900,39854663,12816144
279,4604097,4830580,-226483,39854663,12816144
280,4601276,4830580,-229304,39854663,12816144
281,4598593,4830580,-231987,39854663,12816144
282,4595873,4830580,-234707,39854663,12816144
283,4594311,4830580,-236269,39854663,12816144
284,4578789,4830580,-251791,39854663,12816144
285,4573646,4830580,-256934,39854663,12816144
286,4523146,4830580,-307434,39854663,12816144
