count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,-810688,0,-810688,1445001225,10729798
52,-817342,0,-817342,1445001225,10729798
53,-823390,0,-823390,1445001225,10729798
54,-829518,0,-829518,1445001225,10729798
55,-840441,0,-840441,1445001225,10729798
56,-848211,0,-848211,1445001225,10729798
57,-854856,0,-854856,1445001225,10729798
58,-860011,0,-860011,1445001225,10729798
59,-865303,0,-865303,1445001225,10729798
60,-873207,0,-873207,1445001225,10729798
61,-881359,0,-881359,1445001225,10729798
62,-889375,0,-889375,1445001225,10729798
63,-900666,0,-900666,1445001225,10729798
64,-908057,0,-908057,1445001225,10729798
65,-914458,0,-914458,1445001225,10729798
66,-921582,0,-921582,1445001225,10729798
67,-926675,0,-926675,1445001225,10729798
68,-932529,0,-932529,1445001225,10729798
69,-944777,0,-944777,1445001225,10729798
70,-952631,0,-952631,1445001225,10729798
71,-963484,0,-963484,1445001225,10729798
72,-973225,0,-973225,1445001225,10729798
73,-979600,0,-979600,1445001225,10729798
74,-995139,0,-995139,1445001225,10729798
75,-1000814,0,-1000814,1445001225,10729798
76,-1008128,0,-1008128,1445001225,10729798
77,-1017763,0,-1017763,1445001225,10729798
78,-1057443,0,-1057443,1445001225,10729798
79,-1092104,0,-1092104,1445001225,10729798
80,-1103398,0,-1103398,1445001225,10729798
81,-1118959,0,-1118959,1445001225,10729798
82,-1126083,0,-1126083,1445001225,10729798
83,-1135422,0,-1135422,1445001225,10729798
84,-1155914,0,-1155914,1445001225,10729798
85,-1229933,0,-1229933,1445001225,10729798
86,358171,0,358171,1445001225,10729798
87,350072,0,350072,1445001225,10729798
88,343028,0,343028,1445001225,10729798
89,312846,0,312846,1445001225,10729798
90,283104,0,283104,1445001225,10729798
91,274525,0,274525,1445001225,10729798
92,264434,0,264434,1445001225,10729798
93,255917,0,255917,1445001225,10729798
94,247217,0,247217,1445001225,10729798
95,216140,0,216140,1445001225,10729798
96,205541,0,205541,1445001225,10729798
97,10253049,0,10253049,1445001225,10729798
98,10251899,0,10251899,1445001225,10729798
99,10247800,0,10247800,1445001225,10729798
100,10242203,0,10242203,1445001225,10729798
101,10234350,0,10234350,1445001225,10729798
102,10225673,0,10225673,1445001225,10729798
103,10215459,0,10215459,1445001225,10729798
104,10144393,0,10144393,1445001225,10729798
105,10132235,0,10132235,1445001225,10729798
106,10119756,0,10119756,1445001225,10729798
107,10111307,0,10111307,1445001225,10729798
108,10103622,0,10103622,1445001225,10729798
109,10091393,0,10091393,1445001225,10729798
110,10081684,0,10081684,1445001225,10729798
111,10015903,0,10015903,1445001225,10729798
112,9996940,0,9996940,1445001225,10729798
113,9986661,0,9986661,1445001225,10729798
114,9980181,0,9980181,1445001225,10729798
115,9992043,0,9992043,1445001225,10729798
116,9984873,0,9984873,1445001225,10729798
117,9944863,0,9944863,1445001225,10729798
118,9933854,0,9933854,1445001225,10729798
119,9923051,0,9923051,1445001225,10729798
120,9915551,0,9915551,1445001225,10729798
121,9907949,0,9907949,1445001225,10729798
122,9902177,0,9902177,1445001225,10729798
123,9883864,0,9883864,1445001225,10729798
124,9849903,0,9849903,1445001225,10729798
125,9815466,0,9815466,1445001225,10729798
126,9806357,0,9806357,1445001225,10729798
127,9799888,0,9799888,1445001225,10729798
128,9792191,0,9792191,1445001225,10729798
129,9785180,0,9785180,1445001225,10729798
130,9779474,0,9779474,1445001225,10729798
131,9773070,0,9773070,1445001225,10729798
132,9765968,0,9765968,1445001225,10729798
133,9713039,0,9713039,1445001225,10729798
134,9704200,0,9704200,1445001225,10729798
135,9695415,0,9695415,1445001225,10729798
136,9690106,0,9690106,1445001225,10729798
137,9683255,0,9683255,1445001225,10729798
138,9676844,0,9676844,1445001225,10729798
139,9671590,0,9671590,1445001225,10729798
140,9662462,0,9662462,1445001225,10729798
141,9654331,0,9654331,1445001225,10729798
142,9646585,0,9646585,1445001225,10729798
143,9639695,0,9639695,1445001225,10729798
144,9633937,0,9633937,1445001225,10729798
145,9627744,0,9627744,1445001225,10729798
146,9618512,0,9618512,1445001225,10729798
147,9611893,0,9611893,1445001225,10729798
148,9603159,0,9603159,1445001225,10729798
149,9595161,0,9595161,1445001225,10729798
150,9586818,0,9586818,1445001225,10729798
151,9579993,0,9579993,1445001225,10729798
152,9573657,0,9573657,1445001225,10729798
153,9521366,0,9521366,1445001225,10729798
154,9471617,0,9471617,1445001225,10729798
155,9424634,0,9424634,1445001225,10729798
156,9376060,0,9376060,1445001225,10729798
157,9344471,0,9344471,1445001225,10729798
158,9334436,0,9334436,1445001225,10729798
159,9325759,0,9325759,1445001225,10729798
160,9319195,0,9319195,1445001225,10729798
161,9312580,0,9312580,1445001225,10729798
162,9306125,0,9306125,1445001225,10729798
163,9300789,0,9300789,1445001225,10729798
164,9293253,0,9293253,1445001225,10729798
165,9281578,0,9281578,1445001225,10729798
166,9275479,0,9275479,1445001225,10729798
167,9269897,0,9269897,1445001225,10729798
168,9264560,0,9264560,1445001225,10729798
169,9253828,0,9253828,1445001225,10729798
170,9246387,0,9246387,1445001225,10729798
171,9240890,0,9240890,1445001225,10729798
172,9247630,0,9247630,1445001225,10729798
173,9239849,0,9239849,1445001225,10729798
174,9233126,0,9233126,1445001225,10729798
175,9225857,0,9225857,1445001225,10729798
176,9224264,0,9224264,1445001225,10729798
177,9217520,0,9217520,1445001225,10729798
178,9210887,0,9210887,1445001225,10729798
179,9205557,0,9205557,1445001225,10729798
180,9197903,0,9197903,1445001225,10729798
181,9191117,0,9191117,1445001225,10729798
182,9183700,0,9183700,1445001225,10729798
183,9177193,0,9177193,1445001225,10729798
184,9171030,0,9171030,1445001225,10729798
185,9163850,0,9163850,1445001225,10729798
186,9157798,0,9157798,1445001225,10729798
187,9151368,0,9151368,1445001225,10729798
188,9144739,0,9144739,1445001225,10729798
189,9137507,0,9137507,1445001225,10729798
190,9129857,0,9129857,1445001225,10729798
191,9122394,0,9122394,1445001225,10729798
192,9115383,0,9115383,1445001225,10729798
193,9114598,0,9114598,1445001225,10729798
194,9108306,0,9108306,1445001225,10729798
195,9101824,0,9101824,1445001225,10729798
196,9094190,0,9094190,1445001225,10729798
197,9087387,0,9087387,1445001225,10729798
198,9095308,0,9095308,1445001225,10729798
199,9087975,0,9087975,1445001225,10729798
200,9080647,0,9080647,1445001225,10729798
201,9073749,0,9073749,1445001225,10729798
202,9066920,0,9066920,1445001225,10729798
203,9061510,0,9061510,1445001225,10729798
204,9078199,0,9078199,1445001225,10729798
205,9072212,0,9072212,1445001225,10729798
206,9065786,0,9065786,1445001225,10729798
207,9056282,0,9056282,1445001225,10729798
208,9048652,0,9048652,1445001225,10729798
209,9040856,0,9040856,1445001225,10729798
210,9034431,0,9034431,1445001225,10729798
211,9028853,0,9028853,1445001225,10729798
212,9022567,0,9022567,1445001225,10729798
213,9016376,0,9016376,1445001225,10729798
214,9009617,0,9009617,1445001225,10729798
215,9001670,0,9001670,1445001225,10729798
216,8992106,0,8992106,1445001225,10729798
217,8984626,0,8984626,1445001225,10729798
218,8972424,0,8972424,1445001225,10729798
219,8922621,0,8922621,1445001225,10729798
220,8910478,0,8910478,1445001225,10729798
221,8900886,0,8900886,1445001225,10729798
222,8894440,0,8894440,1445001225,10729798
223,8889206,0,8889206,1445001225,10729798
224,8883544,0,8883544,1445001225,10729798
225,8871780,0,8871780,1445001225,10729798
226,8841098,0,8841098,1445001225,10729798
227,8793323,0,8793323,1445001225,10729798
228,8780307,0,8780307,1445001225,10729798
229,8768858,0,8768858,1445001225,10729798
230,8770412,0,8770412,1445001225,10729798
231,8764068,0,8764068,1445001225,10729798
232,8757509,0,8757509,1445001225,10729798
233,8749892,0,8749892,1445001225,10729798
234,8740959,0,8740959,1445001225,10729798
235,8732940,0,8732940,1445001225,10729798
236,8726405,0,8726405,1445001225,10729798
237,8720330,0,8720330,1445001225,10729798
238,8712849,0,8712849,1445001225,10729798
239,8712444,0,8712444,1445001225,10729798
240,8708752,0,8708752,1445001225,10729798
241,8700230,0,8700230,1445001225,10729798
242,8693879,0,8693879,1445001225,10729798
243,8687775,0,8687775,1445001225,10729798
244,8678987,0,8678987,1445001225,10729798
245,8672107,0,8672107,1445001225,10729798
246,8665840,0,8665840,1445001225,10729798
247,8658775,0,8658775,1445001225,10729798
248,8653008,0,8653008,1445001225,10729798
249,8642314,0,8642314,1445001225,10729798
250,8634041,0,8634041,1445001225,10729798
251,8627519,0,8627519,1445001225,10729798
252,8621526,0,8621526,1445001225,10729798
253,8614405,0,8614405,1445001225,10729798
254,8608020,0,8608020,1445001225,10729798
255,8600337,0,8600337,1445001225,10729798
256,8590942,0,8590942,1445001225,10729798
257,8582879,0,8582879,1445001225,10729798
258,8575527,0,8575527,1445001225,10729798
259,8570299,0,8570299,1445001225,10729798
260,8509381,0,8509381,1445001225,10729798
261,8476943,0,8476943,1445001225,10729798
262,8466150,0,8466150,1445001225,10729798
263,8450324,0,8450324,1445001225,10729798
264,8441067,0,8441067,1445001225,10729798
265,8429019,0,8429019,1445001225,10729798
266,8421295,0,8421295,1445001225,10729798
267,8415375,0,8415375,1445001225,10729798
268,8407065,0,8407065,1445001225,10729798
269,8399094,0,8399094,1445001225,10729798
270,8389610,0,8389610,1445001225,10729798
271,8360746,0,8360746,1445001225,10729798
272,8327182,0,8327182,1445001225,10729798
273,8316890,0,8316890,1445001225,10729798
274,8308827,0,8308827,1445001225,10729798
275,8303923,0,8303923,1445001225,10729798
276,8292282,0,8292282,1445001225,10729798
277,8260676,0,8260676,1445001225,10729798
278,8229020,0,8229020,1445001225,10729798
279,8201252,0,8201252,1445001225,10729798
280,8170353,0,8170353,1445001225,10729798
