count_idx,delay_ns
51,63051
52,60855
53,58994
54,56810
55,52991
56,50083
57,109295
58,335124
59,68835
60,57681
61,54918
62,51297
63,46410
64,43999
65,41304
66,99166
67,323225
68,69944
69,59075
70,54728
71,51769
72,47881
73,44080
74,41013
75,97394
76,394911
77,70361
78,59677
79,55773
80,54836
81,50285
82,45848
83,42656
84,154461
85,435629
86,70037
87,58890
88,56257
89,53143
90,48394
91,43996
92,41315
93,152715
94,433374
95,71548
96,62748
97,58462
98,55516
99,51424
100,46791
101,43986
102,155810
103,430660
104,77693
105,67767
106,63582
107,60972
108,57198
109,53585
110,49635
111,158535
112,426995
113,67930
114,57405
115,53529
116,50511
117,46397
118,42822
119,39627
120,151585
121,415752
122,67980
123,57639
124,53400
125,50271
126,45566
127,41634
128,40283
129,149658
130,427047
131,65602
132,55609
133,51470
134,48539
135,44313
136,42069
137,39215
138,148322
139,412528
140,65508
141,55562
142,51750
143,48961
144,45933
145,42643
146,39694
147,146771
148,408749
149,68032
150,57991
151,49781
152,44412
153,35856
154,28524
155,37886
156,31395
157,17170
158,250570
159,225818
160,223026
161,219899
162,216236
163,213787
164,215621
165,212631
166,266315
167,125377
168,167330
169,163667
170,160458
171,156878
172,153750
173,150407
174,147129
175,155956
176,212578
177,189369
178,185234
179,182152
180,178425
181,175266
182,171541
183,168299
184,179796
185,129197
186,167207
187,162594
188,159007
189,155961
190,151270
191,148494
192,147145
193,156329
194,219213
195,195249
196,237554
197,241503
198,238597
199,237842
200,267178
201,264366
202,292639
203,140880
204,84879
205,74972
206,65455
207,60481
208,53721
209,46832
210,42088
211,225989
212,642646
213,203047
214,192412
215,188391
216,187193
217,182734
218,179379
219,175843
220,223803
221,523787
222,81009
223,66407
224,64432
225,61651
226,56956
227,52750
228,49575
229,162551
230,438713
231,66897
232,58087
233,53582
234,50275
235,45443
236,41707
237,38539
238,150825
239,440576
240,68635
241,57428
242,53191
243,49851
244,44848
245,41670
246,38531
247,151975
248,451987
249,81495
250,69837
251,65031
252,61340
253,56340
254,51806
255,47920
256,162947
257,578531
258,22470
259,12322
260,9420
261,20726
262,17080
263,13494
264,14104
265,12340
266,15257
267,140663
268,177040
269,171797
270,166951
271,163047
272,160435
273,156215
274,152194
275,163689
276,137893
277,175934
278,171313
279,167271
280,164746
281,160452
282,156997
283,153727
284,164349
285,139636
286,174199
287,169582
288,167838
289,163591
290,159430
291,156241
292,152600
293,163772
294,140372
295,177452
296,174102
297,169967
298,165451
299,160772
300,157509
301,154173
302,165175
303,139415
304,177652
305,172727
306,168981
307,164102
308,158759
309,155558
310,150259
311,160740
312,140929
313,178475
314,173086
315,168607
316,163975
317,159933
318,156591
319,153195
320,164077
321,136148
322,189788
323,187480
324,184215
325,179786
326,174616
327,171214
328,168820
329,180066
330,137757
331,179779
332,177576
333,176479
334,172886
335,167644
336,164613
337,161420
338,173288
339,136882
340,109077
341,108565
342,105097
343,97646
344,102175
345,100045
346,100881
347,123922
348,262561
349,236999
350,232419
351,229509
352,227290
353,231097
354,228333
355,233704
356,271203
357,134517
358,173502
359,168664
360,165097
361,160434
362,155781
363,152578
364,149040
365,160291
366,133651
367,171277
368,166664
369,162718
370,158309
371,154254
372,151299
373,147983
374,158591
375,133943
376,172385
377,167687
378,163976
379,159932
380,155444
381,152399
382,149353
383,159761
384,134116
385,171433
386,167041
387,163074
388,159589
389,154695
390,151320
391,148236
392,159431
393,133466
394,170816
395,166564
396,163400
397,159929
398,154872
399,151653
400,148420
401,159179
402,134690
403,160562
404,161897
405,157736
406,153368
407,148907
408,145816
409,142540
410,153158
411,135092
412,173256
413,168639
414,164743
415,160655
416,155292
417,152074
418,148913
419,159945
420,93180
421,130624
422,124035
423,119346
424,115190
425,224191
426,166472
427,155858
428,160302
429,466296
430,76369
431,66298
432,62138
433,58758
434,54140
435,50264
436,46539
437,93076
438,433539
439,77826
440,67555
441,62971
442,59569
443,55318
444,51556
445,48258
