count_idx,delay_ns,clock_offset_ns,clock_sync_rtt_ns
51,112931,-679,32284
52,118503,-679,32284
53,119152,-679,32284
54,120581,-679,32284
55,121810,-679,32284
56,122969,-679,32284
57,124708,-679,32284
58,126434,-679,32284
59,127188,-679,32284
60,128101,-679,32284
61,128554,-679,32284
62,127266,-679,32284
63,127629,-679,32284
64,110464,-679,32284
65,106622,-679,32284
66,97665,-679,32284
67,94736,-679,32284
68,88508,-679,32284
69,86165,-679,32284
70,83140,-679,32284
71,79359,-679,32284
72,76781,-679,32284
73,73646,-679,32284
74,70483,-679,32284
75,64633,-679,32284
76,60951,-679,32284
77,53513,-679,32284
78,49817,-679,32284
79,43412,-679,32284
80,40279,-679,32284
81,36550,-679,32284
82,32172,-679,32284
83,29898,-679,32284
84,34885,-679,32284
85,31751,-679,32284
86,28175,-679,32284
87,26179,-679,32284
88,23306,-679,32284
89,21605,-679,32284
90,18507,-679,32284
91,10999,-679,32284
92,9878,-679,32284
93,9591,-679,32284
94,96784,-679,32284
95,80101,-679,32284
96,75755,-679,32284
97,72580,-679,32284
98,70036,-679,32284
99,68196,-679,32284
100,65582,-679,32284
101,58495,-679,32284
102,55441,-679,32284
103,52662,-679,32284
104,48687,-679,32284
105,46261,-679,32284
106,43748,-679,32284
107,40777,-679,32284
108,37390,-679,32284
109,32409,-679,32284
110,27892,-679,32284
111,24502,-679,32284
112,21736,-679,32284
113,13108,-679,32284
114,7747,-679,32284
115,11101,-679,32284
116,8476,-679,32284
117,5813,-679,32284
118,32876,-679,32284
119,15559,-679,32284
120,10608,-679,32284
121,9247,-679,32284
122,5832,-679,32284
123,52479,-679,32284
124,28518,-679,32284
125,23911,-679,32284
126,20291,-679,32284
127,17649,-679,32284
128,14445,-679,32284
129,12701,-679,32284
130,44543,-679,32284
131,22556,-679,32284
132,16648,-679,32284
133,13344,-679,32284
134,10398,-679,32284
135,8014,-679,32284
136,7198,-679,32284
137,15333,-679,32284
138,12940,-679,32284
139,8755,-679,32284
140,7126,-679,32284
141,10187,-679,32284
142,8252,-679,32284
143,6999,-679,32284
144,14891,-679,32284
145,10769,-679,32284
146,7632,-679,32284
147,8209,-679,32284
148,12183,-679,32284
149,9088,-679,32284
150,6242,-679,32284
151,9415,-679,32284
152,7746,-679,32284
153,33362,-679,32284
154,16174,-679,32284
155,16610,-679,32284
156,9113,-679,32284
157,7121,-679,32284
158,5417,-679,32284
159,14237,-679,32284
160,10536,-679,32284
161,7778,-679,32284
162,6550,-679,32284
163,10200,-679,32284
164,8719,-679,32284
165,5256,-679,32284
166,35694,-679,32284
167,11257,-679,32284
168,7849,-679,32284
169,6903,-679,32284
170,4975,-679,32284
171,15890,-679,32284
172,10986,-679,32284
173,10387,-679,32284
174,7942,-679,32284
175,5530,-679,32284
176,46389,-679,32284
177,17135,-679,32284
178,14267,-679,32284
179,13408,-679,32284
180,11504,-679,32284
181,13334,-679,32284
182,10260,-679,32284
183,7457,-679,32284
184,6179,-679,32284
185,13564,-679,32284
186,7960,-679,32284
187,23082,-679,32284
188,23072,-679,32284
189,22217,-679,32284
190,14099,-679,32284
191,10717,-679,32284
192,8787,-679,32284
193,7732,-679,32284
194,9665,-679,32284
195,9240,-679,32284
196,7539,-679,32284
197,5205,-679,32284
198,29470,-679,32284
199,7158,-679,32284
200,14394,-679,32284
201,9543,-679,32284
202,7821,-679,32284
203,7662,-679,32284
204,12672,-679,32284
205,7943,-679,32284
206,6246,-679,32284
207,6659,-679,32284
208,9688,-679,32284
209,5344,-679,32284
210,9181,-679,32284
211,8285,-679,32284
212,5999,-679,32284
213,9628,-679,32284
214,7591,-679,32284
215,5568,-679,32284
216,7978,-679,32284
217,6743,-679,32284
218,9142,-679,32284
219,24477,-679,32284
220,24687,-679,32284
221,23422,-679,32284
222,21743,-679,32284
223,15497,-679,32284
224,12004,-679,32284
225,8435,-679,32284
226,8867,-679,32284
227,12314,-679,32284
228,9246,-679,32284
229,7064,-679,32284
230,5970,-679,32284
231,10684,-679,32284
232,8352,-679,32284
233,6693,-679,32284
234,5456,-679,32284
235,10811,-679,32284
236,7250,-679,32284
237,54322,-679,32284
238,14963,-679,32284
239,10865,-679,32284
240,8539,-679,32284
241,7081,-679,32284
242,6101,-679,32284
243,7490,-679,32284
244,6353,-679,32284
245,13160,-679,32284
246,8235,-679,32284
247,6705,-679,32284
248,5441,-679,32284
249,10335,-679,32284
250,8180,-679,32284
251,7543,-679,32284
252,6705,-679,32284
253,4419,-679,32284
254,8907,-679,32284
255,10690,-679,32284
256,9866,-679,32284
257,6345,-679,32284
258,7962,-679,32284
259,7502,-679,32284
260,6233,-679,32284
261,6161,-679,32284
262,5412,-679,32284
263,5036,-679,32284
264,4806,-679,32284
265,8583,-679,32284
266,6741,-679,32284
267,6996,-679,32284
268,7505,-679,32284
269,7517,-679,32284
270,10734,-679,32284
271,6385,-679,32284
272,7975,-679,32284
273,6785,-679,32284
274,5625,-679,32284
275,7263,-679,32284
276,5952,-679,32284
277,5411,-679,32284
278,4786,-679,32284
279,4078,-679,32284
280,4503,-679,32284
281,4111,-679,32284
282,4059,-679,32284
283,5464,-679,32284
284,5082,-679,32284
285,5141,-679,32284
286,4567,-679,32284
287,4058,-679,32284
288,4110,-679,32284
289,4103,-679,32284
290,4138,-679,32284
291,9981,-679,32284
292,7981,-679,32284
293,9434,-679,32284
294,6578,-679,32284
295,7511,-679,32284
296,5992,-679,32284
297,6196,-679,32284
298,5321,-679,32284
299,6605,-679,32284
300,5869,-679,32284
301,4852,-679,32284
302,4478,-679,32284
303,3969,-679,32284
304,8691,-679,32284
305,6759,-679,32284
306,5831,-679,32284
307,7453,-679,32284
308,8289,-679,32284
309,6157,-679,32284
310,7186,-679,32284
311,6271,-679,32284
312,7511,-679,32284
313,6073,-679,32284
314,7149,-679,32284
315,6768,-679,32284
316,8048,-679,32284
317,6560,-679,32284
318,7511,-679,32284
319,6232,-679,32284
320,6481,-679,32284
321,5555,-679,32284
322,5194,-679,32284
323,5776,-679,32284
324,4746,-679,32284
325,4564,-679,32284
326,4073,-679,32284
327,8727,-679,32284
328,6769,-679,32284
329,5933,-679,32284
330,7808,-679,32284
331,6893,-679,32284
332,7613,-679,32284
333,6579,-679,32284
334,7734,-679,32284
335,6266,-679,32284
336,6533,-679,32284
337,5532,-679,32284
338,4909,-679,32284
339,4604,-679,32284
340,4071,-679,32284
341,8352,-679,32284
342,10448,-679,32284
343,9597,-679,32284
344,7063,-679,32284
345,5736,-679,32284
346,6102,-679,32284
347,5229,-679,32284
348,5093,-679,32284
349,4522,-679,32284
350,3896,-679,32284
351,3855,-679,32284
352,3849,-679,32284
353,3741,-679,32284
354,3739,-679,32284
355,8167,-679,32284
356,6501,-679,32284
357,5731,-679,32284
358,5976,-679,32284
359,5261,-679,32284
360,4728,-679,32284
361,4298,-679,32284
362,3911,-679,32284
363,3994,-679,32284
364,4244,-679,32284
365,4197,-679,32284
366,3842,-679,32284
367,3790,-679,32284
