count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_rtt_ns
51,33415,37749,-4334,-622,32258
52,28374,37749,-9375,-622,32258
53,33406,37749,-4343,-622,32258
54,31308,37749,-6441,-622,32258
55,30430,37749,-7319,-622,32258
56,28836,37749,-8913,-622,32258
57,35323,37749,-2426,-622,32258
58,30832,37749,-6917,-622,32258
59,32928,37749,-4821,-622,32258
60,23305,37749,-14444,-622,32258
61,22704,37749,-15045,-622,32258
62,42476,37749,4727,-622,32258
63,26232,37749,-11517,-622,32258
64,26029,37749,-11720,-622,32258
65,41122,37749,3373,-622,32258
66,22316,37749,-15433,-622,32258
67,40184,37749,2435,-622,32258
68,23680,37749,-14069,-622,32258
69,22673,37749,-15076,-622,32258
70,21176,37749,-16573,-622,32258
71,66055,37749,28306,-622,32258
72,27574,37749,-10175,-622,32258
73,36447,37749,-1302,-622,32258
74,35241,37749,-2508,-622,32258
75,38073,37749,324,-622,32258
76,22603,37749,-15146,-622,32258
77,29307,37749,-8442,-622,32258
78,33008,37749,-4741,-622,32258
79,138888,37749,101139,-622,32258
80,125458,37749,87709,-622,32258
81,119594,37749,81845,-622,32258
82,114448,37749,76699,-622,32258
83,108661,37749,70912,-622,32258
84,99849,37749,62100,-622,32258
85,89646,37749,51897,-622,32258
86,83493,37749,45744,-622,32258
87,74492,37749,36743,-622,32258
88,67083,37749,29334,-622,32258
89,60782,37749,23033,-622,32258
90,53776,37749,16027,-622,32258
91,48444,37749,10695,-622,32258
92,40325,37749,2576,-622,32258
93,32019,37749,-5730,-622,32258
94,26498,37749,-11251,-622,32258
95,41543,37749,3794,-622,32258
96,37811,37749,62,-622,32258
97,42245,37749,4496,-622,32258
98,23996,37749,-13753,-622,32258
99,28785,37749,-8964,-622,32258
100,23974,37749,-13775,-622,32258
101,28028,37749,-9721,-622,32258
102,22972,37749,-14777,-622,32258
103,24295,37749,-13454,-622,32258
104,20043,37749,-17706,-622,32258
105,18582,37749,-19167,-622,32258
106,38677,37749,928,-622,32258
107,87100,37749,49351,-622,32258
108,60796,37749,23047,-622,32258
109,24939,37749,-12810,-622,32258
110,20814,37749,-16935,-622,32258
111,32308,37749,-5441,-622,32258
112,34862,37749,-2887,-622,32258
113,36132,37749,-1617,-622,32258
114,33899,37749,-3850,-622,32258
115,33171,37749,-4578,-622,32258
116,17155,37749,-20594,-622,32258
117,30126,37749,-7623,-622,32258
118,34857,37749,-2892,-622,32258
119,61317,37749,23568,-622,32258
120,36669,37749,-1080,-622,32258
121,23406,37749,-14343,-622,32258
122,35056,37749,-2693,-622,32258
123,89910,37749,52161,-622,32258
124,81102,37749,43353,-622,32258
125,80566,37749,42817,-622,32258
126,78971,37749,41222,-622,32258
127,75098,37749,37349,-622,32258
128,66937,37749,29188,-622,32258
129,58774,37749,21025,-622,32258
130,50186,37749,12437,-622,32258
131,45507,37749,7758,-622,32258
132,36940,37749,-809,-622,32258
133,42898,37749,5149,-622,32258
134,30766,37749,-6983,-622,32258
135,23351,37749,-14398,-622,32258
136,17668,37749,-20081,-622,32258
137,274848,37749,237099,-622,32258
138,288262,37749,250513,-622,32258
139,282011,37749,244262,-622,32258
140,275451,37749,237702,-622,32258
141,267928,37749,230179,-622,32258
142,260178,37749,222429,-622,32258
143,253125,37749,215376,-622,32258
144,245876,37749,208127,-622,32258
145,232149,37749,194400,-622,32258
146,222368,37749,184619,-622,32258
147,216068,37749,178319,-622,32258
148,207146,37749,169397,-622,32258
149,197886,37749,160137,-622,32258
150,188524,37749,150775,-622,32258
151,167352,37749,129603,-622,32258
152,150392,37749,112643,-622,32258
153,143815,37749,106066,-622,32258
154,287453,37749,249704,-622,32258
155,336369,37749,298620,-622,32258
156,334971,37749,297222,-622,32258
157,379634,37749,341885,-622,32258
158,380564,37749,342815,-622,32258
159,376985,37749,339236,-622,32258
160,376610,37749,338861,-622,32258
161,376912,37749,339163,-622,32258
162,376813,37749,339064,-622,32258
163,380804,37749,343055,-622,32258
164,381434,37749,343685,-622,32258
165,382515,37749,344766,-622,32258
166,384755,37749,347006,-622,32258
167,385096,37749,347347,-622,32258
168,386002,37749,348253,-622,32258
169,386235,37749,348486,-622,32258
170,386792,37749,349043,-622,32258
171,389117,37749,351368,-622,32258
172,389455,37749,351706,-622,32258
173,390206,37749,352457,-622,32258
174,392295,37749,354546,-622,32258
175,392764,37749,355015,-622,32258
176,389465,37749,351716,-622,32258
177,385244,37749,347495,-622,32258
178,385931,37749,348182,-622,32258
179,389915,37749,352166,-622,32258
180,392993,37749,355244,-622,32258
181,396021,37749,358272,-622,32258
182,396259,37749,358510,-622,32258
183,395939,37749,358190,-622,32258
184,441914,37749,404165,-622,32258
185,450768,37749,413019,-622,32258
186,456133,37749,418384,-622,32258
187,459084,37749,421335,-622,32258
188,459246,37749,421497,-622,32258
189,458862,37749,421113,-622,32258
190,575744,37749,537995,-622,32258
191,585641,37749,547892,-622,32258
192,589514,37749,551765,-622,32258
193,587913,37749,550164,-622,32258
194,583659,37749,545910,-622,32258
195,585776,37749,548027,-622,32258
196,585998,37749,548249,-622,32258
197,585383,37749,547634,-622,32258
198,585250,37749,547501,-622,32258
199,585063,37749,547314,-622,32258
200,584849,37749,547100,-622,32258
201,584653,37749,546904,-622,32258
202,584463,37749,546714,-622,32258
203,586797,37749,549048,-622,32258
204,586189,37749,548440,-622,32258
205,586111,37749,548362,-622,32258
206,585851,37749,548102,-622,32258
207,585503,37749,547754,-622,32258
208,585827,37749,548078,-622,32258
209,585420,37749,547671,-622,32258
210,584828,37749,547079,-622,32258
211,585909,37749,548160,-622,32258
212,538422,37749,500673,-622,32258
213,523306,37749,485557,-622,32258
214,512692,37749,474943,-622,32258
215,506976,37749,469227,-622,32258
216,501494,37749,463745,-622,32258
217,495618,37749,457869,-622,32258
218,490627,37749,452878,-622,32258
219,487822,37749,450073,-622,32258
220,483149,37749,445400,-622,32258
221,477274,37749,439525,-622,32258
222,470830,37749,433081,-622,32258
223,465973,37749,428224,-622,32258
224,460092,37749,422343,-622,32258
225,455790,37749,418041,-622,32258
226,446689,37749,408940,-622,32258
227,445393,37749,407644,-622,32258
228,442606,37749,404857,-622,32258
229,440151,37749,402402,-622,32258
230,434209,37749,396460,-622,32258
231,429837,37749,392088,-622,32258
232,456809,37749,419060,-622,32258
233,459590,37749,421841,-622,32258
234,460053,37749,422304,-622,32258
235,462066,37749,424317,-622,32258
236,462240,37749,424491,-622,32258
237,462194,37749,424445,-622,32258
238,461638,37749,423889,-622,32258
239,461920,37749,424171,-622,32258
240,462362,37749,424613,-622,32258
241,462049,37749,424300,-622,32258
242,461214,37749,423465,-622,32258
243,463073,37749,425324,-622,32258
244,464853,37749,427104,-622,32258
245,443892,37749,406143,-622,32258
246,442444,37749,404695,-622,32258
247,442978,37749,405229,-622,32258
248,443169,37749,405420,-622,32258
249,443724,37749,405975,-622,32258
250,445285,37749,407536,-622,32258
251,445627,37749,407878,-622,32258
252,445457,37749,407708,-622,32258
