count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,-40275813,-28760587,-11515226,1577264760,10754585
52,-40281392,-28760587,-11520805,1577264760,10754585
53,-40286342,-28760587,-11525755,1577264760,10754585
54,-40291053,-28760587,-11530466,1577264760,10754585
55,-40295980,-28760587,-11535393,1577264760,10754585
56,-40302219,-28760587,-11541632,1577264760,10754585
57,-40308221,-28760587,-11547634,1577264760,10754585
58,-40315520,-28760587,-11554933,1577264760,10754585
59,-40321443,-28760587,-11560856,1577264760,10754585
60,-40326455,-28760587,-11565868,1577264760,10754585
61,-40331514,-28760587,-11570927,1577264760,10754585
62,-40338537,-28760587,-11577950,1577264760,10754585
63,-40343638,-28760587,-11583051,1577264760,10754585
64,-40351232,-28760587,-11590645,1577264760,10754585
65,-40357364,-28760587,-11596777,1577264760,10754585
66,-40363469,-28760587,-11602882,1577264760,10754585
67,-40367654,-28760587,-11607067,1577264760,10754585
68,-40374694,-28760587,-11614107,1577264760,10754585
69,-40380798,-28760587,-11620211,1577264760,10754585
70,-40388790,-28760587,-11628203,1577264760,10754585
71,-40395120,-28760587,-11634533,1577264760,10754585
72,-40400708,-28760587,-11640121,1577264760,10754585
73,-40406646,-28760587,-11646059,1577264760,10754585
74,-40412844,-28760587,-11652257,1577264760,10754585
75,-40417578,-28760587,-11656991,1577264760,10754585
76,-40425456,-28760587,-11664869,1577264760,10754585
77,-40431492,-28760587,-11670905,1577264760,10754585
78,-40437985,-28760587,-11677398,1577264760,10754585
79,-40444444,-28760587,-11683857,1577264760,10754585
80,-40451562,-28760587,-11690975,1577264760,10754585
81,-40457852,-28760587,-11697265,1577264760,10754585
82,-40466008,-28760587,-11705421,1577264760,10754585
83,-40470904,-28760587,-11710317,1577264760,10754585
84,-40476899,-28760587,-11716312,1577264760,10754585
85,-40482984,-28760587,-11722397,1577264760,10754585
86,-40489775,-28760587,-11729188,1577264760,10754585
87,-40496144,-28760587,-11735557,1577264760,10754585
88,-40503144,-28760587,-11742557,1577264760,10754585
89,-40509302,-28760587,-11748715,1577264760,10754585
90,-40516447,-28760587,-11755860,1577264760,10754585
91,-40520819,-28760587,-11760232,1577264760,10754585
92,-40527911,-28760587,-11767324,1577264760,10754585
93,-40533682,-28760587,-11773095,1577264760,10754585
94,-40539526,-28760587,-11778939,1577264760,10754585
95,-40546043,-28760587,-11785456,1577264760,10754585
96,-40554329,-28760587,-11793742,1577264760,10754585
97,-40560600,-28760587,-11800013,1577264760,10754585
98,-40568010,-28760587,-11807423,1577264760,10754585
99,-40572448,-28760587,-11811861,1577264760,10754585
100,-40579195,-28760587,-11818608,1577264760,10754585
101,-40585236,-28760587,-11824649,1577264760,10754585
102,-40591009,-28760587,-11830422,1577264760,10754585
103,-40597240,-28760587,-11836653,1577264760,10754585
104,-40604799,-28760587,-11844212,1577264760,10754585
105,-40610970,-28760587,-11850383,1577264760,10754585
106,-40618871,-28760587,-11858284,1577264760,10754585
107,-40623825,-28760587,-11863238,1577264760,10754585
108,-40631183,-28760587,-11870596,1577264760,10754585
109,-40637437,-28760587,-11876850,1577264760,10754585
110,-40644262,-28760587,-11883675,1577264760,10754585
111,-40650472,-28760587,-11889885,1577264760,10754585
112,-40657565,-28760587,-11896978,1577264760,10754585
113,-40664073,-28760587,-11903486,1577264760,10754585
114,-40671472,-28760587,-11910885,1577264760,10754585
115,-40675811,-28760587,-11915224,1577264760,10754585
116,-40682057,-28760587,-11921470,1577264760,10754585
117,-40689010,-28760587,-11928423,1577264760,10754585
118,-40695086,-28760587,-11934499,1577264760,10754585
119,-40701854,-28760587,-11941267,1577264760,10754585
120,-40708079,-28760587,-11947492,1577264760,10754585
121,-40714242,-28760587,-11953655,1577264760,10754585
122,-40719939,-28760587,-11959352,1577264760,10754585
123,-39819999,-28760587,-11059412,1577264760,10754585
124,-39882727,-28760587,-11122140,1577264760,10754585
125,-39915423,-28760587,-11154836,1577264760,10754585
126,-39936117,-28760587,-11175530,1577264760,10754585
127,-39948028,-28760587,-11187441,1577264760,10754585
128,-39961742,-28760587,-11201155,1577264760,10754585
129,-39977284,-28760587,-11216697,1577264760,10754585
130,-39988424,-28760587,-11227837,1577264760,10754585
131,-39998455,-28760587,-11237868,1577264760,10754585
132,-40011029,-28760587,-11250442,1577264760,10754585
133,-40026885,-28760587,-11266298,1577264760,10754585
134,-40032223,-28760587,-11271636,1577264760,10754585
135,-40040386,-28760587,-11279799,1577264760,10754585
136,-40052066,-28760587,-11291479,1577264760,10754585
137,-39987776,-28760587,-11227189,1577264760,10754585
138,-40001049,-28760587,-11240462,1577264760,10754585
139,-40014081,-28760587,-11253494,1577264760,10754585
140,-40026945,-28760587,-11266358,1577264760,10754585
141,-40040443,-28760587,-11279856,1577264760,10754585
142,-40051536,-28760587,-11290949,1577264760,10754585
143,-40062480,-28760587,-11301893,1577264760,10754585
144,-40073010,-28760587,-11312423,1577264760,10754585
145,-40082659,-28760587,-11322072,1577264760,10754585
146,-40092231,-28760587,-11331644,1577264760,10754585
147,-40099868,-28760587,-11339281,1577264760,10754585
148,-40108089,-28760587,-11347502,1577264760,10754585
149,-40117323,-28760587,-11356736,1577264760,10754585
150,-40127071,-28760587,-11366484,1577264760,10754585
151,-40136939,-28760587,-11376352,1577264760,10754585
152,-40145877,-28760587,-11385290,1577264760,10754585
153,-40154001,-28760587,-11393414,1577264760,10754585
154,-40162247,-28760587,-11401660,1577264760,10754585
155,-40172345,-28760587,-11411758,1577264760,10754585
156,-40181918,-28760587,-11421331,1577264760,10754585
157,-40191340,-28760587,-11430753,1577264760,10754585
158,-40199366,-28760587,-11438779,1577264760,10754585
159,-40208341,-28760587,-11447754,1577264760,10754585
160,-40216401,-28760587,-11455814,1577264760,10754585
161,-40225260,-28760587,-11464673,1577264760,10754585
162,-40235142,-28760587,-11474555,1577264760,10754585
163,-40243221,-28760587,-11482634,1577264760,10754585
164,-40251402,-28760587,-11490815,1577264760,10754585
165,-40260624,-28760587,-11500037,1577264760,10754585
166,-40269407,-28760587,-11508820,1577264760,10754585
167,-40278902,-28760587,-11518315,1577264760,10754585
168,-40286776,-28760587,-11526189,1577264760,10754585
169,-40295114,-28760587,-11534527,1577264760,10754585
170,-40304629,-28760587,-11544042,1577264760,10754585
171,-40313460,-28760587,-11552873,1577264760,10754585
172,-40323158,-28760587,-11562571,1577264760,10754585
173,-40332397,-28760587,-11571810,1577264760,10754585
174,-40340650,-28760587,-11580063,1577264760,10754585
175,-40349711,-28760587,-11589124,1577264760,10754585
176,-40358920,-28760587,-11598333,1577264760,10754585
177,-40367765,-28760587,-11607178,1577264760,10754585
178,-40375796,-28760587,-11615209,1577264760,10754585
179,-40383195,-28760587,-11622608,1577264760,10754585
180,-40392350,-28760587,-11631763,1577264760,10754585
181,-40401602,-28760587,-11641015,1577264760,10754585
182,-40409849,-28760587,-11649262,1577264760,10754585
183,-40418770,-28760587,-11658183,1577264760,10754585
184,-40427855,-28760587,-11667268,1577264760,10754585
185,-40437428,-28760587,-11676841,1577264760,10754585
186,-40446944,-28760587,-11686357,1577264760,10754585
187,-40454135,-28760587,-11693548,1577264760,10754585
188,-40462490,-28760587,-11701903,1577264760,10754585
189,-40472964,-28760587,-11712377,1577264760,10754585
190,-40482921,-28760587,-11722334,1577264760,10754585
191,-40492488,-28760587,-11731901,1577264760,10754585
192,-40502098,-28760587,-11741511,1577264760,10754585
193,-40510159,-28760587,-11749572,1577264760,10754585
194,-40518718,-28760587,-11758131,1577264760,10754585
195,-40527832,-28760587,-11767245,1577264760,10754585
196,-40537848,-28760587,-11777261,1577264760,10754585
197,-40546513,-28760587,-11785926,1577264760,10754585
198,-40554662,-28760587,-11794075,1577264760,10754585
199,-40562994,-28760587,-11802407,1577264760,10754585
200,-40573503,-28760587,-11812916,1577264760,10754585
201,-40582973,-28760587,-11822386,1577264760,10754585
202,-40592308,-28760587,-11831721,1577264760,10754585
203,-40599305,-28760587,-11838718,1577264760,10754585
204,-40607651,-28760587,-11847064,1577264760,10754585
205,-40617093,-28760587,-11856506,1577264760,10754585
206,-40626629,-28760587,-11866042,1577264760,10754585
207,-40634671,-28760587,-11874084,1577264760,10754585
208,-40643530,-28760587,-11882943,1577264760,10754585
209,-40652583,-28760587,-11891996,1577264760,10754585
210,-40662189,-28760587,-11901602,1577264760,10754585
211,-40671198,-28760587,-11910611,1577264760,10754585
212,-40679288,-28760587,-11918701,1577264760,10754585
213,-40687715,-28760587,-11927128,1577264760,10754585
214,-40697728,-28760587,-11937141,1577264760,10754585
215,-40707208,-28760587,-11946621,1577264760,10754585
216,-40716384,-28760587,-11955797,1577264760,10754585
217,-40724406,-28760587,-11963819,1577264760,10754585
218,-40732663,-28760587,-11972076,1577264760,10754585
219,-40742029,-28760587,-11981442,1577264760,10754585
220,-40751194,-28760587,-11990607,1577264760,10754585
221,-40759258,-28760587,-11998671,1577264760,10754585
222,-40767609,-28760587,-12007022,1577264760,10754585
223,-40777694,-28760587,-12017107,1577264760,10754585
224,-40787049,-28760587,-12026462,1577264760,10754585
225,-40797182,-28760587,-12036595,1577264760,10754585
226,-40805176,-28760587,-12044589,1577264760,10754585
227,-40814184,-28760587,-12053597,1577264760,10754585
228,-40823475,-28760587,-12062888,1577264760,10754585
229,-40831897,-28760587,-12071310,1577264760,10754585
230,-40840723,-28760587,-12080136,1577264760,10754585
231,-40848797,-28760587,-12088210,1577264760,10754585
232,-40857131,-28760587,-12096544,1577264760,10754585
233,-40866360,-28760587,-12105773,1577264760,10754585
234,-40874941,-28760587,-12114354,1577264760,10754585
235,-40881548,-28760587,-12120961,1577264760,10754585
236,-40889242,-28760587,-12128655,1577264760,10754585
237,-40897985,-28760587,-12137398,1577264760,10754585
238,-40905564,-28760587,-12144977,1577264760,10754585
239,-40913245,-28760587,-12152658,1577264760,10754585
240,-40923030,-28760587,-12162443,1577264760,10754585
241,-40932128,-28760587,-12171541,1577264760,10754585
242,-40941077,-28760587,-12180490,1577264760,10754585
243,-40949121,-28760587,-12188534,1577264760,10754585
244,-40956606,-28760587,-12196019,1577264760,10754585
245,-40964456,-28760587,-12203869,1577264760,10754585
246,-40974428,-28760587,-12213841,1577264760,10754585
247,-40983617,-28760587,-12223030,1577264760,10754585
248,-40992424,-28760587,-12231837,1577264760,10754585
249,-41001565,-28760587,-12240978,1577264760,10754585
250,-41009196,-28760587,-12248609,1577264760,10754585
251,-41015666,-28760587,-12255079,1577264760,10754585
252,-41025264,-28760587,-12264677,1577264760,10754585
253,-41034394,-28760587,-12273807,1577264760,10754585
254,-41043003,-28760587,-12282416,1577264760,10754585
255,-41051777,-28760587,-12291190,1577264760,10754585
256,-41058869,-28760587,-12298282,1577264760,10754585
257,-41067714,-28760587,-12307127,1577264760,10754585
258,-41077053,-28760587,-12316466,1577264760,10754585
259,-41085375,-28760587,-12324788,1577264760,10754585
260,-41093910,-28760587,-12333323,1577264760,10754585
261,-41102528,-28760587,-12341941,1577264760,10754585
262,-41110344,-28760587,-12349757,1577264760,10754585
263,-41121374,-28760587,-12360787,1577264760,10754585
264,-41131650,-28760587,-12371063,1577264760,10754585
265,-41140676,-28760587,-12380089,1577264760,10754585
266,-41149218,-28760587,-12388631,1577264760,10754585
267,-41155491,-28760587,-12394904,1577264760,10754585
268,-41164687,-28760587,-12404100,1577264760,10754585
269,-41173660,-28760587,-12413073,1577264760,10754585
270,-41182708,-28760587,-12422121,1577264760,10754585
271,-41191566,-28760587,-12430979,1577264760,10754585
272,-41198658,-28760587,-12438071,1577264760,10754585
273,-41206626,-28760587,-12446039,1577264760,10754585
274,-41215937,-28760587,-12455350,1577264760,10754585
275,-41223365,-28760587,-12462778,1577264760,10754585
276,-41230957,-28760587,-12470370,1577264760,10754585
277,-41238690,-28760587,-12478103,1577264760,10754585
278,-41247186,-28760587,-12486599,1577264760,10754585
279,-41256236,-28760587,-12495649,1577264760,10754585
280,-41265068,-28760587,-12504481,1577264760,10754585
281,-41272546,-28760587,-12511959,1577264760,10754585
282,-41280239,-28760587,-12519652,1577264760,10754585
283,-41286217,-28760587,-12525630,1577264760,10754585
284,-41293351,-28760587,-12532764,1577264760,10754585
285,-41300357,-28760587,-12539770,1577264760,10754585
286,-41308612,-28760587,-12548025,1577264760,10754585
287,-41316311,-28760587,-12555724,1577264760,10754585
288,-41324365,-28760587,-12563778,1577264760,10754585
289,-41333403,-28760587,-12572816,1577264760,10754585
290,-41341946,-28760587,-12581359,1577264760,10754585
291,-41349085,-28760587,-12588498,1577264760,10754585
292,-41358333,-28760587,-12597746,1577264760,10754585
293,-41367617,-28760587,-12607030,1577264760,10754585
294,-41376608,-28760587,-12616021,1577264760,10754585
295,-41384498,-28760587,-12623911,1577264760,10754585
296,-41392940,-28760587,-12632353,1577264760,10754585
297,-41401116,-28760587,-12640529,1577264760,10754585
298,-41410002,-28760587,-12649415,1577264760,10754585
299,-41418452,-28760587,-12657865,1577264760,10754585
300,-41425861,-28760587,-12665274,1577264760,10754585
301,-41433668,-28760587,-12673081,1577264760,10754585
302,-41443073,-28760587,-12682486,1577264760,10754585
303,-41452000,-28760587,-12691413,1577264760,10754585
304,-41460416,-28760587,-12699829,1577264760,10754585
305,-41468016,-28760587,-12707429,1577264760,10754585
