count_idx,delay_ns,loop_gap_ns,recv_block_ns
51,104043,27681,90250
52,134687,105535,88017
53,68970,104264,7772
54,51104,15569,5059
55,45236,11053,12105
56,38267,17193,6742
57,31108,11662,8775
58,226023,13479,210066
59,194784,241293,14002
60,127137,22424,5007
61,102509,10294,4715
62,81488,10238,4182
63,67446,11105,3780
64,81985,8309,33536
65,148033,38037,103991
66,48578,118970,7258
67,29570,13472,6139
68,32268,10901,12223
69,30922,16637,8780
70,25147,13024,8206
71,38320,12480,27276
72,30792,33996,8951
73,23993,13329,8162
74,76860,14688,61120
75,48134,73701,12468
76,163842,20657,135917
77,131359,170079,13205
78,64296,20426,5269
79,50438,9696,4149
80,178052,8471,139159
81,186702,156483,16351
82,172184,26416,107956
83,136643,123117,91863
84,57714,109057,11157
85,50255,21353,16051
86,49498,24643,13656
87,42554,21294,13455
88,32931,21194,12508
89,54816,19790,35185
90,148424,49664,109381
91,82319,134960,10781
92,74332,20728,6735
93,55776,13713,5560
94,53730,11840,5947
95,67632,12411,29527
96,56796,36815,6268
97,55410,13134,12603
98,52892,21882,14159
99,32842,20686,11137
100,149489,16665,127622
101,118558,161129,16360
102,62507,26329,8582
103,48560,13901,4273
104,49875,8581,15979
105,40964,20288,6841
106,33004,13193,8775
107,103034,12855,91716
108,125434,111546,74346
109,45801,88096,12113
110,31272,21271,12335
111,47790,19824,30425
112,37306,41086,9998
113,81335,14899,63906
114,109903,79444,69960
115,110122,83149,72717
116,110258,85481,74039
117,45502,86882,10534
118,45796,16088,26979
119,153101,34109,124837
120,95598,157622,17393
121,70896,27632,35292
122,164704,48334,133024
123,88562,151157,9467
124,77118,20697,6341
125,71080,15604,6237
126,65882,14700,6007
127,56161,14304,6044
128,47671,14252,5869
129,51502,14204,18032
130,139570,27707,96011
131,79290,124901,9839
132,70211,18084,5271
133,60260,9893,4103
134,56552,8337,6332
135,48944,10313,3706
136,39447,7897,4338
137,35377,8469,13691
138,37028,20080,11467
139,197175,15526,179092
140,139954,219741,17148
141,92756,28969,13915
142,87119,21023,5892
143,85737,12192,5685
144,86020,11628,7621
145,84301,13910,5502
146,85569,14844,6227
147,87380,13212,6695
148,87049,13277,7325
149,83790,14439,5360
150,73470,11397,5654
151,69932,11395,5742
152,68816,12767,7049
153,64180,13280,6049
154,59355,14628,6568
155,58042,13882,5959
156,55103,12953,7704
157,73312,14791,37436
158,64692,44803,11931
159,130835,18870,78684
160,253313,91750,207267
161,184371,241503,12726
