count_idx,send_a_block_ns,send_b_block_ns,send_gap_ab_ns
1,58380,21999,61952
2,7763,25021,9280
3,5755,4979,7171
4,5462,5896,6416
5,26777,19877,30035
6,6002,5569,7790
7,4607,5229,5553
8,6654,5765,7887
9,7360,5737,8674
10,4809,5547,5616
11,5273,5360,6093
12,6360,24592,7318
13,22766,6204,25367
14,9653,10544,11308
15,5866,21317,6803
16,22721,18857,24872
17,5036,3754,6602
18,3825,3259,4876
19,3577,3846,4474
20,4077,5609,4949
21,3913,5968,4921
22,13335,20233,14322
23,21228,4876,23615
24,4396,2285,5377
25,2562,12630,3147
26,2166,2561,2650
27,3093,2523,3567
28,2392,2293,2879
29,2838,3024,3398
30,2729,3556,3246
31,2867,2775,3416
32,165487,20908,172943
33,3570,2081,4509
34,2300,2511,2915
35,1960,1989,2510
36,3096,2495,3666
37,2556,2123,3067
38,1983,2471,2469
39,2179,2413,2656
40,2583,2194,3126
41,219029,19544,224549
42,3697,2065,4572
43,2093,1911,2748
44,1933,1900,2471
45,2625,2169,3141
46,2177,2229,2681
47,2126,2216,2622
48,1944,1879,2484
49,2097,2181,2596
50,225201,22139,230909
51,4808,3132,6047
52,3297,2961,4148
53,3084,3272,3858
54,4672,3781,5644
55,3816,3150,4725
56,3427,3244,4253
57,20466,4204,22630
58,4219,3816,5396
59,205951,20412,211995
60,3745,2094,4594
61,3474,3170,4428
62,3200,3955,4022
63,3663,3472,4533
64,3381,3337,4160
65,3644,3767,4528
66,3671,2788,5450
67,2751,2337,3560
68,172613,22154,178633
69,3295,3038,4173
70,2680,2201,3317
71,2442,2299,2989
72,2036,2498,2540
73,4987,2287,5470
74,2443,2168,2967
75,4622,2629,5116
76,5238,2681,6369
77,3425,245899,3912
78,20292,3646,22547
79,3124,2732,3848
80,2413,16394,2953
81,2555,4895,3051
82,3249,22421,3787
83,3266,2860,4601
84,2511,2361,3350
85,2071,2810,2714
86,2116,2145,2763
87,217555,19759,223329
88,3684,2060,4557
89,2027,1923,2660
90,1840,1951,2387
91,2386,2165,2908
92,1938,1837,2436
93,1865,1851,2374
94,1961,1922,2489
95,2403,2206,2905
96,209178,24600,215731
97,6310,2349,7279
98,2111,1933,2728
99,2069,2285,2617
100,2312,2337,2848
101,2081,1902,2573
102,1878,1850,2360
103,2288,1912,2806
104,2393,2321,2901
105,130525,24172,137598
106,5107,3228,6296
107,5684,3690,6530
108,5244,4218,6213
109,3725,3956,4703
110,7433,20417,8880
111,20475,3215,22231
112,2468,2217,3133
113,3687,3647,4408
114,3317,5693,4076
115,3603,3598,4388
116,3510,7025,4204
117,4446,24172,5306
118,21630,20289,24006
119,21093,4613,23473
120,3372,3020,4642
121,3006,3325,4183
122,3499,3567,4389
123,3859,3537,4901
124,3852,3833,4840
125,3274,5941,5082
126,4705,7438,5764
127,22873,22134,24536
128,18950,3215,20836
129,2455,3695,3328
130,2202,2136,2721
131,2068,2069,2556
132,2547,2119,3054
133,2202,2802,2762
134,2235,2192,2762
135,2391,2625,2942
136,2594,2157,3077
137,85330,24507,90795
138,5149,3853,6454
139,3797,3512,4613
140,3146,3359,3951
141,4130,3869,4952
142,3734,3469,4456
143,3415,6340,4085
144,3898,3426,4629
145,3804,5998,4621
146,70694,23749,75454
147,20876,4398,23039
148,4152,3883,5189
149,4395,5995,5327
150,3661,4266,4443
151,3709,19809,4763
152,19929,4251,21821
153,4545,3781,6074
154,5803,3990,6578
155,18515,5148,20400
156,4227,4302,5823
157,3431,4077,4279
158,3847,4254,4771
159,4008,3637,4740
160,3632,3988,4516
161,3555,5149,4408
162,3784,19110,4665
163,5316,20197,7004
164,46904,19626,49096
165,20274,3894,22367
166,3540,3375,4372
167,3439,3165,4422
168,3358,3355,4126
169,3235,3210,4246
170,3641,3867,4421
171,3516,3481,4250
172,3209,3052,4081
173,5392,3474,6299
174,3820,112377,4728
175,26769,5039,29522
176,3878,3423,4781
177,2840,3587,3648
178,3021,3472,3925
179,3910,3996,4883
180,3658,3965,4593
181,6501,7569,7520
182,3971,6845,4839
183,3649,3662,4518
184,3947,3928,4843
185,3627,3844,4492
186,35082,22450,37698
187,4212,3690,5793
188,3628,3274,4458
189,3084,3058,3980
190,3274,3944,4082
191,3602,3417,4565
192,3459,3596,4223
193,3670,5553,4308
194,3228,3635,3936
195,108640,27536,116320
196,17567,17672,19570
197,19765,3950,22026
198,4557,3122,5558
199,3737,3115,4595
200,3395,3270,4209
201,21942,16061,23859
202,4047,5390,5541
203,20251,18571,22587
204,4942,3439,6415
205,3440,3167,4319
206,3651,3144,4520
207,3357,3201,4119
208,4187,4264,5116
209,20947,17518,23273
210,2835,2637,3949
211,2041,1874,2643
212,1959,1963,2462
213,2302,2066,2794
214,1929,1845,2416
215,2040,1858,2499
216,2037,1904,2538
217,2202,2262,2695
218,187608,28916,193684
219,10593,4461,12528
220,3775,22619,4694
221,27147,22099,30406
222,5037,5405,6806
223,10169,6077,12597
224,4004,12072,4877
225,18245,3654,20222
226,2645,2698,3677
227,2719,2538,3384
228,2074,2617,2596
