count_idx,send_a_block_ns,send_b_block_ns,send_gap_ab_ns
1,60782,19971,64029
2,5167,3302,6006
3,5057,4866,6003
4,4727,5009,5628
5,5400,5461,6273
6,4532,4735,5290
7,5132,5190,6042
8,4953,8892,5727
9,3421,23215,4291
10,6902,21422,8843
11,6795,5238,8655
12,5476,5720,6534
13,31000,23518,32860
14,4241,3647,5360
15,2931,3319,3533
16,3397,3010,3969
17,5509,2844,6582
18,5275,3875,6148
19,3355,4195,4142
20,19622,4988,22239
21,17650,3966,19486
22,3039,2474,3677
23,3164,2366,3817
24,4633,2682,5767
25,3557,4292,4074
26,3139,4652,3608
27,3944,5108,4444
28,4711,15729,5758
29,17193,29051,19401
30,5302,4813,6881
31,3287,3925,4362
32,3967,5936,5050
33,6234,21274,7337
34,14727,15046,16515
35,3093,2717,4425
36,2046,3928,2551
37,2492,3946,2952
38,2659,14458,3125
39,3160,3205,4271
40,2374,3583,3012
41,3538,3851,4411
42,3824,19384,4472
43,6998,19859,9293
44,16927,15181,18755
45,3304,3644,4523
46,2569,2528,3138
47,2145,15092,2795
48,3561,3226,4860
49,2735,2705,3272
50,3693,4942,4289
51,15218,15243,17009
52,29111,19591,31196
53,4367,7017,5802
54,3965,3641,4932
55,3427,3748,4312
56,3595,3865,4523
57,5982,21022,7472
58,42905,17117,45187
59,3170,2922,4375
60,2677,2219,3250
61,2457,15314,3042
62,3338,3335,4588
63,2335,3532,3255
64,2451,2254,3146
65,2535,2276,3001
66,2232,2191,2688
67,2316,2520,2773
68,2451,4774,2963
69,9248,15180,9733
70,15209,14946,16986
71,3486,2730,4520
72,2283,3888,2942
73,3787,14518,4258
74,13996,14669,15744
75,3018,2642,4137
76,2019,2074,2501
77,2260,2360,2759
78,2482,3342,2974
79,2359,14929,2836
80,3179,2846,4302
81,2048,2888,2600
82,2533,3298,3019
83,2594,2292,3052
84,2284,15286,2737
85,3456,2509,4599
86,2356,2095,2928
87,2537,2342,3007
88,2375,2252,2834
89,2293,2213,2771
90,2558,1990,3036
91,2682,16051,3135
92,3378,2736,4458
93,1328,2681,1879
94,814,2655,1300
95,729,2470,1187
96,14448,5591,14885
97,2246,2176,2721
98,2390,2521,2845
99,2452,2247,2907
100,2450,2184,2951
101,4118,8282,4601
102,3159,4252,3654
103,2525,3180,2986
104,2436,3495,2923
105,2174,3443,2660
106,2197,2983,2713
107,2402,2160,2955
108,2305,2513,2826
109,2333,2646,2794
110,3910,5062,4695
111,5186,7344,5874
112,6406,18532,7822
113,16712,3227,18454
114,2366,3335,3156
115,2107,2233,2861
116,2454,2046,2989
117,2201,2936,2700
118,2443,15174,2946
119,3424,2732,4900
120,2820,2343,3797
121,2468,2244,3183
122,1966,2357,2454
123,2096,1954,2577
124,5409,2351,5929
125,2446,2355,3017
126,3136,2646,3594
127,2368,2066,2837
128,2645,2576,3116
129,2436,2126,2891
130,2432,2169,2964
131,2467,2127,2926
132,2446,2712,2955
133,3750,2322,4271
134,2946,1019,3428
135,6165,842,6649
136,3340,695,3829
137,2732,670,3254
138,2738,723,3305
139,2641,729,3131
140,2857,725,3307
141,4471,842,4978
142,2175,685,2641
143,2659,664,3119
144,2270,1060,2759
145,6193,7613,7372
146,20388,10014,22495
