sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780310817061735494,1780310817062107220,1780310817062107830,1780310817062291865,371726,184035,-93846,277880,-48420,218815
2,1780310817062315151,1780310817062983654,1780310817062984367,1780310817063272496,668503,288129,-190187,478316,-48420,218815
3,1780310817063287063,1780310817063610835,1780310817063611310,1780310817063806185,323772,194875,-64449,259323,-48420,218815
4,1780310817063819929,1780310817064392374,1780310817064393185,1780310817064651464,572445,258279,-157083,415362,-48420,218815
5,1780310817064669172,1780310817065586985,1780310817065587556,1780310817065921303,917813,333747,-292033,625780,-48420,218815
6,1780310817065937118,1780310817066196661,1780310817066196995,1780310817066656644,259543,459649,100053,359596,-48420,218815
7,1780310817066677533,1780310817067871902,1780310817067872370,1780310817068314021,1194369,441651,-376359,818010,-48420,218815
8,1780310817068331933,1780310817069275884,1780310817069276340,1780310817069464335,943951,187995,-377978,565973,-48420,218815
9,1780310817069475144,1780310817070337012,1780310817070337418,1780310817070550432,861868,213014,-324427,537441,-48420,218815
10,1780310817070562927,1780310817071109894,1780310817071110650,1780310817071278883,546967,168233,-189367,357600,-48420,218815
11,1780310817071291217,1780310817072218738,1780310817072219294,1780310817072552886,927521,333592,-296965,630556,-48420,218815
12,1780310817072569146,1780310817073520937,1780310817073534371,1780310817073893269,951791,358898,-296447,655344,-48420,218815
13,1780310817073907972,1780310817075013417,1780310817075014038,1780310817075562268,1105445,548230,-278608,826837,-48420,218815
14,1780310817075577132,1780310817076473463,1780310817076474111,1780310817076638340,896331,164229,-366051,530280,-48420,218815
15,1780310817076649263,1780310817077499522,1780310817077500211,1780310817077967061,850259,466850,-191705,658554,-48420,218815
16,1780310817077989468,1780310817079231739,1780310817079232297,1780310817079725595,1242271,493298,-374487,867784,-48420,218815
17,1780310817079739920,1780310817080852509,1780310817080852975,1780310817081023104,1112589,170129,-471230,641359,-48420,218815
18,1780310817081034569,1780310817081836331,1780310817081837123,1780310817082149787,801762,312664,-244549,557213,-48420,218815
19,1780310817082163260,1780310817083394050,1780310817083394843,1780310817083616705,1230790,221862,-504464,726326,-48420,218815
20,1780310817083630672,1780310817083870331,1780310817083870649,1780310817084041810,239659,171161,-34249,205410,-48420,218815
21,1780310817084053148,1780310817084245420,1780310817084245694,1780310817084382574,192272,136880,-27696,164576,-48420,218815
22,1780310817084394751,1780310817084676984,1780310817084677314,1780310817084797393,282233,120079,-81077,201156,-48420,218815
23,1780310817084806923,1780310817084959998,1780310817084960248,1780310817085038672,153075,78424,-37326,115749,-48420,218815
24,1780310817085048011,1780310817085267061,1780310817085267379,1780310817085377045,219050,109666,-54692,164358,-48420,218815
25,1780310817085384699,1780310817085524067,1780310817085524289,1780310817085617239,139368,92950,-23209,116159,-48420,218815
26,1780310817085624362,1780310817085833848,1780310817085834135,1780310817085941895,209486,107760,-50863,158623,-48420,218815
27,1780310817085949254,1780310817086088126,1780310817086088354,1780310817086166668,138872,78314,-30279,108593,-48420,218815
28,1780310817086175885,1780310817086393203,1780310817086393447,1780310817086499631,217318,106184,-55567,161751,-48420,218815
29,1780310817086506874,1780310817086710007,1780310817086710280,1780310817086844717,203133,134437,-34348,168785,-48420,218815
30,1780310817086859172,1780310817087115666,1780310817087116238,1780310817087254788,256494,138550,-58972,197522,-48420,218815
31,1780310817087264512,1780310817087502790,1780310817087503137,1780310817087609773,238278,106636,-65821,172457,-48420,218815
32,1780310817087625807,1780310817087929967,1780310817087930528,1780310817088096104,304160,165576,-69292,234868,-48420,218815
33,1780310817088105905,1780310817088276064,1780310817088276297,1780310817088402646,170159,126349,-21905,148254,-48420,218815
34,1780310817088411155,1780310817088604472,1780310817088604915,1780310817088684611,193317,79696,-56811,136506,-48420,218815
35,1780310817088693614,1780310817088907580,1780310817088907817,1780310817089015829,213966,108012,-52977,160989,-48420,218815
36,1780310817089023445,1780310817089237435,1780310817089237680,1780310817089345774,213990,108094,-52948,161042,-48420,218815
37,1780310817089353060,1780310817089495225,1780310817089495433,1780310817089569625,142165,74192,-33987,108178,-48420,218815
38,1780310817089578991,1780310817089784338,1780310817089784823,1780310817089954927,205347,170104,-17622,187725,-48420,218815
39,1780310817089972030,1780310817090298505,1780310817090298989,1780310817090521181,326475,222192,-52142,274333,-48420,218815
40,1780310817090537094,1780310817090718048,1780310817090718376,1780310817090837183,180954,118807,-31074,149880,-48420,218815
41,1780310817090846538,1780310817091251916,1780310817091252174,1780310817091378239,405378,126065,-139657,265721,-48420,218815
42,1780310817091385664,1780310817091651005,1780310817091651601,1780310817091787080,265341,135479,-64931,200410,-48420,218815
43,1780310817091796180,1780310817091936283,1780310817091936467,1780310817092045392,140103,108925,-15589,124514,-48420,218815
44,1780310817092059382,1780310817092279505,1780310817092279834,1780310817092450473,220123,170639,-24742,195381,-48420,218815
45,1780310817092464205,1780310817092660780,1780310817092661038,1780310817092834642,196575,173604,-11486,185089,-48420,218815
46,1780310817092847645,1780310817093031233,1780310817093031623,1780310817093166017,183588,134394,-24597,158991,-48420,218815
47,1780310817093176248,1780310817093463214,1780310817093463777,1780310817093588481,286966,124704,-81131,205835,-48420,218815
48,1780310817093608726,1780310817093906653,1780310817093907018,1780310817094093346,297927,186328,-55800,242127,-48420,218815
49,1780310817094111582,1780310817094348918,1780310817094349237,1780310817094513048,237336,163811,-36763,200573,-48420,218815
50,1780310817094527222,1780310817094766514,1780310817094766721,1780310817094907410,239292,140689,-49302,189990,-48420,218815
51,1780310817094927839,1780310817095144984,1780310817095145312,1780310817095299858,217145,154546,-31300,185845,-48420,218815
52,1780310817095318804,1780310817095561851,1780310817095562165,1780310817095695736,243047,133571,-54738,188309,-48420,218815
53,1780310817095716871,1780310817095956784,1780310817095957095,1780310817096090387,239913,133292,-53311,186602,-48420,218815
54,1780310817096105930,1780310817096377158,1780310817096377681,1780310817096516686,271228,139005,-66112,205116,-48420,218815
55,1780310817096528880,1780310817096810975,1780310817096811395,1780310817096920451,282095,109056,-86520,195575,-48420,218815
56,1780310817096928455,1780310817097239206,1780310817097239722,1780310817097383371,310751,143649,-83551,227200,-48420,218815
57,1780310817097391890,1780310817097538659,1780310817097538901,1780310817097644879,146769,105978,-20396,126373,-48420,218815
58,1780310817097655075,1780310817098148847,1780310817098149157,1780310817098292874,493772,143717,-175028,318744,-48420,218815
59,1780310817098301553,1780310817098631906,1780310817098632177,1780310817098746105,330353,113928,-108213,222140,-48420,218815
60,1780310817098752391,1780310817098932199,1780310817098932462,1780310817099148808,179808,216346,18269,198077,-48420,218815
61,1780310817099165573,1780310817099390044,1780310817099390392,1780310817099654131,224471,263739,19634,244105,-48420,218815
62,1780310817099670300,1780310817099928139,1780310817099928482,1780310817100059575,257839,131093,-63373,194466,-48420,218815
63,1780310817100070262,1780310817100289116,1780310817100289350,1780310817100417313,218854,127963,-45446,173408,-48420,218815
64,1780310817100423940,1780310817100836818,1780310817100837338,1780310817101008460,412878,171122,-120878,292000,-48420,218815
65,1780310817101017942,1780310817101250043,1780310817101250321,1780310817101348910,232101,98589,-66756,165345,-48420,218815
66,1780310817101362760,1780310817101566115,1780310817101566383,1780310817101694744,203355,128361,-37497,165858,-48420,218815
67,1780310817101703429,1780310817101995079,1780310817101995600,1780310817102088348,291650,92748,-99451,192199,-48420,218815
68,1780310817102094982,1780310817102407931,1780310817102408446,1780310817102505020,312949,96574,-108188,204761,-48420,218815
69,1780310817102514105,1780310817102746286,1780310817102746590,1780310817102865937,232181,119347,-56417,175764,-48420,218815
70,1780310817102872584,1780310817103266410,1780310817103266907,1780310817103437371,393826,170464,-111681,282145,-48420,218815
71,1780310817103444079,1780310817103826844,1780310817103827143,1780310817103950266,382765,123123,-129821,252944,-48420,218815
72,1780310817103958501,1780310817104203972,1780310817104204253,1780310817104329876,245471,125623,-59924,185547,-48420,218815
73,1780310817104338621,1780310817104618050,1780310817104618513,1780310817104719594,279429,101081,-89174,190255,-48420,218815
74,1780310817104727434,1780310817105102844,1780310817105103058,1780310817105221674,375410,118616,-128397,247013,-48420,218815
75,1780310817105230221,1780310817105536582,1780310817105537181,1780310817105733085,306361,195904,-55229,251132,-48420,218815
76,1780310817105751055,1780310817105907628,1780310817105907869,1780310817106051102,156573,143233,-6670,149903,-48420,218815
77,1780310817106065457,1780310817106309933,1780310817106310254,1780310817106443615,244476,133361,-55558,188918,-48420,218815
78,1780310817106454965,1780310817106642568,1780310817106642929,1780310817106896990,187603,254061,33229,220832,-48420,218815
79,1780310817106904077,1780310817107118337,1780310817107118555,1780310817107240832,214260,122277,-45992,168268,-48420,218815
80,1780310817107250616,1780310817107398074,1780310817107398301,1780310817107548086,147458,149785,1163,148621,-48420,218815
81,1780310817107556039,1780310817107862864,1780310817107863176,1780310817107990724,306825,127548,-89639,217186,-48420,218815
82,1780310817107998385,1780310817108285843,1780310817108286175,1780310817108407432,287458,121257,-83101,204357,-48420,218815
83,1780310817108416445,1780310817108701232,1780310817108701714,1780310817108827924,284787,126210,-79289,205498,-48420,218815
84,1780310817108834577,1780310817109141206,1780310817109141690,1780310817109275115,306629,133425,-86602,220027,-48420,218815
85,1780310817109283331,1780310817109554404,1780310817109554876,1780310817109663663,271073,108787,-81143,189930,-48420,218815
86,1780310817109669944,1780310817109972876,1780310817109973351,1780310817110206326,302932,232975,-34979,267953,-48420,218815
87,1780310817110228696,1780310817110528778,1780310817110529283,1780310817110669836,300082,140553,-79765,220317,-48420,218815
88,1780310817110678568,1780310817110916540,1780310817110916813,1780310817111036596,237972,119783,-59095,178877,-48420,218815
89,1780310817111043140,1780310817111360481,1780310817111360944,1780310817111500238,317341,139294,-89024,228317,-48420,218815
90,1780310817111508438,1780310817111745047,1780310817111745294,1780310817111938605,236609,193311,-21649,214960,-48420,218815
91,1780310817111955168,1780310817112189198,1780310817112189649,1780310817112320915,234030,131266,-51382,182648,-48420,218815
92,1780310817112327735,1780310817112595436,1780310817112595716,1780310817112714980,267701,119264,-74219,193482,-48420,218815
93,1780310817112723319,1780310817113026384,1780310817113026856,1780310817113248973,303065,222117,-40474,262591,-48420,218815
94,1780310817113265212,1780310817113501973,1780310817113502477,1780310817113631720,236761,129243,-53759,183002,-48420,218815
95,1780310817113641239,1780310817113937624,1780310817113938063,1780310817114065333,296385,127270,-84558,211827,-48420,218815
96,1780310817114071887,1780310817114348623,1780310817114348998,1780310817114456287,276736,107289,-84724,192012,-48420,218815
97,1780310817114462340,1780310817114759973,1780310817114760427,1780310817114887311,297633,126884,-85375,212258,-48420,218815
98,1780310817114893485,1780310817115194253,1780310817115194739,1780310817115325613,300768,130874,-84947,215821,-48420,218815
99,1780310817115333739,1780310817115601890,1780310817115603115,1780310817115710512,268151,107397,-80377,187774,-48420,218815
