count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,11124816,0,11124816,-468600083,11662855
52,10964180,0,10964180,-468600083,11662855
53,10929129,0,10929129,-468600083,11662855
54,11132262,0,11132262,-468600083,11662855
55,11275328,0,11275328,-468600083,11662855
56,11331231,0,11331231,-468600083,11662855
57,11414571,0,11414571,-468600083,11662855
58,11205119,0,11205119,-468600083,11662855
59,11835138,0,11835138,-468600083,11662855
60,11150726,0,11150726,-468600083,11662855
61,11161192,0,11161192,-468600083,11662855
62,11362656,0,11362656,-468600083,11662855
63,11961620,0,11961620,-468600083,11662855
64,11118842,0,11118842,-468600083,11662855
65,11225973,0,11225973,-468600083,11662855
66,11174720,0,11174720,-468600083,11662855
67,11231735,0,11231735,-468600083,11662855
68,11301407,0,11301407,-468600083,11662855
69,11438643,0,11438643,-468600083,11662855
70,11121576,0,11121576,-468600083,11662855
71,11341248,0,11341248,-468600083,11662855
72,11281979,0,11281979,-468600083,11662855
73,11469595,0,11469595,-468600083,11662855
74,11197550,0,11197550,-468600083,11662855
75,11215833,0,11215833,-468600083,11662855
76,11090245,0,11090245,-468600083,11662855
77,11309415,0,11309415,-468600083,11662855
78,11541344,0,11541344,-468600083,11662855
79,11375853,0,11375853,-468600083,11662855
80,11278733,0,11278733,-468600083,11662855
81,11438751,0,11438751,-468600083,11662855
82,11357107,0,11357107,-468600083,11662855
83,11205612,0,11205612,-468600083,11662855
84,11355524,0,11355524,-468600083,11662855
85,11204329,0,11204329,-468600083,11662855
86,11007002,0,11007002,-468600083,11662855
87,11042428,0,11042428,-468600083,11662855
88,11186232,0,11186232,-468600083,11662855
89,11170547,0,11170547,-468600083,11662855
90,11866017,0,11866017,-468600083,11662855
91,11351621,0,11351621,-468600083,11662855
92,58093778,0,58093778,-468600083,11662855
93,53024040,0,53024040,-468600083,11662855
94,47874110,0,47874110,-468600083,11662855
95,42728400,0,42728400,-468600083,11662855
96,37584643,0,37584643,-468600083,11662855
97,32446444,0,32446444,-468600083,11662855
98,27300350,0,27300350,-468600083,11662855
99,22165909,0,22165909,-468600083,11662855
100,17048976,0,17048976,-468600083,11662855
101,26130380,0,26130380,-468600083,11662855
102,21008442,0,21008442,-468600083,11662855
103,15891500,0,15891500,-468600083,11662855
104,13114318,0,13114318,-468600083,11662855
105,11354766,0,11354766,-468600083,11662855
106,11679522,0,11679522,-468600083,11662855
107,11434129,0,11434129,-468600083,11662855
108,11596107,0,11596107,-468600083,11662855
109,12192773,0,12192773,-468600083,11662855
110,30563419,0,30563419,-468600083,11662855
111,25446851,0,25446851,-468600083,11662855
112,20305679,0,20305679,-468600083,11662855
113,15178154,0,15178154,-468600083,11662855
114,12785050,0,12785050,-468600083,11662855
115,11566669,0,11566669,-468600083,11662855
116,11820865,0,11820865,-468600083,11662855
117,11670584,0,11670584,-468600083,11662855
