count_idx,delay_ns
51,119231
52,119431
53,117953
54,118389
55,117536
56,117053
57,116580
58,117087
59,115866
60,112426
61,110711
62,112654
63,113897
64,111891
65,111164
66,110837
67,112305
68,111915
69,111175
70,108027
71,107739
72,106097
73,104262
74,102200
75,79403
76,73843
77,70276
78,64805
79,61535
80,58138
81,55840
82,51692
83,50763
84,46096
85,42425
86,38765
87,35090
88,31702
89,28132
90,24617
91,23578
92,20661
93,16640
94,36773
95,33324
96,30723
97,28222
98,20582
99,17370
100,10615
101,9749
102,5907
103,7254
104,50917
105,40382
106,34394
107,32106
108,29036
109,24829
110,19041
111,15034
112,11855
113,17021
114,14003
115,13786
116,25929
117,12046
118,8847
119,6565
120,30393
121,11814
122,6767
123,7165
124,5447
125,8080
126,24402
127,12314
128,9027
129,7279
130,6000
131,27034
132,12846
133,10121
134,8406
135,7105
136,6409
137,56466
138,12264
139,13923
140,11753
141,8157
142,6730
143,5284
144,26226
145,12340
146,7977
147,9018
148,5953
149,11900
150,9637
151,8618
152,15062
153,9796
154,7177
155,12878
156,8190
157,5761
158,26184
159,26210
160,10925
161,6377
162,10609
163,9506
164,9282
165,7870
166,6794
167,4740
168,25299
169,29407
170,28508
171,13746
172,10677
173,8104
174,6051
175,27100
176,12917
177,11569
178,10096
179,9116
180,6960
181,13595
182,8555
183,5700
184,25792
185,27635
186,27602
187,29184
188,13754
189,10538
190,8676
191,7036
192,10505
193,6411
194,10863
195,10866
196,8918
197,6766
198,26785
199,28576
200,12387
201,11039
202,8551
203,7597
204,26080
205,28331
206,12503
207,10380
208,7784
209,5878
210,26482
211,28253
212,27354
213,27759
214,27219
215,26924
216,27073
217,28255
218,11601
219,10550
220,9165
221,26470
222,27831
223,28042
224,12323
225,8919
226,7051
227,14760
228,8341
229,5813
230,26535
231,26298
232,10558
233,7670
234,6109
235,27954
236,12482
237,9867
238,8116
239,7126
240,5470
241,9469
242,7754
243,7941
244,13553
245,8925
246,102844
247,92174
248,87860
249,85246
250,83338
251,81899
252,79751
253,77359
254,74689
255,71744
256,70017
257,67742
258,65301
259,62871
260,55984
261,52738
262,43466
263,40563
264,36987
265,34019
266,48517
267,47619
268,44766
269,40365
270,37747
271,35229
272,30977
273,27728
274,17236
275,16213
276,8967
277,6581
278,6540
279,9646
280,15901
281,10059
282,7860
283,14388
284,32053
285,17745
286,14443
287,11185
288,13840
289,9628
290,8363
291,10750
292,5747
293,10455
294,7943
295,5364
296,26491
297,27585
298,28105
299,13814
300,10702
301,7822
302,6452
303,26004
304,27288
305,27751
306,12131
307,11961
308,9172
309,7145
310,5689
311,10149
312,7751
313,7226
314,9010
315,9374
316,6385
317,5259
318,28392
319,25386
320,10392
321,7470
322,6375
323,25079
324,13364
325,9421
326,7498
327,5418
328,8249
329,6844
330,9732
331,8464
332,7301
333,8688
334,6709
335,8953
336,6850
337,4957
338,25104
339,12771
340,10013
341,8298
342,7091
343,24354
344,11404
345,7664
346,4894
347,24402
348,25936
349,11491
350,11379
351,7506
352,6535
353,9293
354,7441
355,5085
356,24023
357,24928
358,10433
359,7430
360,6202
361,9284
362,6964
363,4987
364,24505
365,24960
366,10651
367,7121
368,5561
369,23946
370,24764
371,25794
372,11681
373,10249
374,7435
375,5935
376,24006
377,25059
378,24088
379,10352
380,9303
381,7147
382,6207
383,9106
384,5622
385,10110
386,8731
387,6695
388,5758
389,8828
390,6598
391,4569
392,22515
393,23493
394,24162
395,10536
396,9466
397,7011
398,6491
399,22921
400,23128
401,24345
402,10414
403,7626
404,7058
405,5669
406,22886
407,24304
408,10760
409,7808
410,6894
411,5335
412,23182
413,24182
414,11049
415,8112
416,6845
417,5320
418,23151
419,23714
420,24107
421,10435
422,7983
423,6845
424,5312
425,22796
426,24492
427,11081
428,8110
429,6987
430,5537
431,22287
432,23696
433,8739
434,25134
435,23188
436,23380
437,23353
438,23819
439,10650
440,8929
441,6223
442,9095
443,6789
444,4873
445,22719
446,23769
447,10572
448,9224
449,7205
450,4924
451,23165
452,10951
453,6929
454,12555
455,7875
456,6329
457,12574
458,7330
459,6006
460,4784
461,22980
462,23118
463,23513
464,23198
465,23946
466,10435
467,7620
468,6835
469,5231
470,23441
471,24151
472,10779
473,8113
474,7034
475,4875
476,8433
477,6007
478,11152
479,7438
480,6066
481,5035
482,22417
483,23123
484,10890
485,6559
486,5415
487,8462
488,6291
489,9820
490,7208
491,5949
492,4940
493,22347
494,23829
495,24107
496,9860
497,8426
498,6552
499,4489
500,21304
501,21877
502,22374
503,9851
504,7250
505,6288
506,5128
507,26574
508,21436
509,9297
510,6231
511,5220
512,7993
513,6081
514,21258
515,21454
516,8796
517,6092
518,4905
519,21230
520,22091
521,21779
522,21405
523,22232
524,9671
525,8650
526,6786
527,5445
528,20456
529,22309
530,9697
531,8512
532,6940
533,5523
534,9260
535,7644
536,21369
537,10320
538,8326
539,6343
540,5194
541,7124
542,5922
543,4276
544,20718
545,21718
546,21659
547,22349
548,9780
549,7324
550,6326
551,4801
552,20996
553,22295
554,10267
555,7459
556,6276
557,4784
558,20897
559,22302
560,10316
561,7593
562,5926
563,4825
564,21285
565,22273
566,10073
567,7436
568,6374
569,4960
570,20872
571,22382
572,10599
573,7663
574,5940
575,4751
576,20915
577,22372
578,10114
579,7679
580,6362
581,5010
582,20707
583,21913
584,22098
585,9518
586,8459
587,6186
588,5066
589,20928
590,21663
591,22208
592,10046
593,8737
594,6168
595,5040
596,21047
597,22340
598,22181
599,9594
600,8333
601,6635
602,5672
603,4152
604,8127
605,6376
606,5780
607,9568
608,5703
609,4595
610,7488
611,5757
612,3780
613,20536
614,22094
615,21835
616,21670
617,21879
618,21680
619,21423
620,21622
621,25506
622,9622
623,7067
624,5654
625,4705
626,7192
627,5905
628,4923
629,10083
630,6480
631,5466
632,4552
633,8266
634,6336
635,5267
636,4393
637,6300
638,5325
639,6585
640,5712
641,6225
642,5534
643,5682
644,4910
645,10736
646,33009
647,24727
648,21107
649,19458
650,17762
651,15931
652,14087
653,12205
654,10282
655,8050
656,6330
657,12019
658,10119
659,9226
660,12232
661,7025
662,7365
663,6374
664,5307
665,3752
666,9786
667,6079
668,5720
669,5215
670,9899
671,8372
672,6462
673,5547
674,5024
675,25065
676,15542
677,13818
678,11653
679,9347
680,10277
681,13105
682,9935
683,7334
684,5937
685,4842
686,8216
687,8055
688,6266
689,4525
690,6803
691,6023
692,6796
693,5132
694,3890
695,20270
696,21255
697,21166
698,9452
699,7713
700,5859
701,3911
702,21937
703,20724
704,20555
705,8446
706,5731
707,5090
708,7517
709,6302
710,3782
711,20403
712,9857
713,9290
714,8485
715,6769
716,5405
717,10423
718,7156
719,6634
720,4465
721,20266
722,20683
723,20733
724,20969
725,9114
726,8164
727,6473
728,5562
729,9273
730,6450
731,5977
732,11079
733,6591
734,7433
735,5895
736,3832
737,23434
738,20114
739,20987
740,9512
741,7239
742,6280
743,5166
744,19787
745,20069
746,20758
747,9337
748,8250
749,6724
750,5457
751,19649
752,20184
753,20944
754,9420
755,7229
756,8407
757,6715
758,5117
759,19397
760,20625
761,9531
762,7104
763,6075
764,5126
765,7471
766,7618
767,5208
768,10957
769,6562
770,5276
771,4313
772,19214
773,20277
774,20809
775,9403
776,6868
777,5999
778,5993
779,5141
780,7010
781,19536
782,20176
783,20708
784,9423
785,7053
786,6208
787,5292
788,4678
789,9856
790,20682
791,9513
792,7965
793,6646
794,6329
795,4132
796,7363
797,6410
798,6062
799,4767
800,6262
801,7199
802,5935
803,9295
804,6402
805,5388
806,4209
807,7170
808,5809
809,7859
810,5632
811,4214
812,6569
813,5587
814,4476
815,19475
816,20340
817,20866
818,9626
819,7107
820,6726
821,6417
822,5210
823,19468
824,19523
825,8147
826,7064
827,5945
828,10471
829,20243
830,23090
831,12130
832,9900
833,18353
834,16061
835,13763
836,11777
837,9164
838,6799
839,5397
840,4065
841,19700
842,20328
843,20937
844,9328
845,6909
846,5556
847,4391
848,19389
849,20816
850,9372
851,6716
852,5808
853,4647
854,4114
855,8388
856,6214
857,5314
858,4424
859,7291
860,5749
861,4270
862,19923
863,19476
864,9858
865,7388
866,5484
867,4370
868,19889
869,19479
870,8002
871,6455
872,5209
873,8374
874,7013
875,20883
876,9784
877,6937
878,5393
879,4837
880,7541
881,5378
882,7988
883,4767
884,8079
885,6283
886,5857
887,4771
888,7575
889,5586
890,9809
891,6190
892,4203
893,20289
894,9574
895,6807
896,7342
897,6235
898,4421
899,6936
900,6234
901,4240
902,19776
903,20124
904,8366
905,6219
906,4389
907,4340
908,7633
909,6310
910,4782
911,20111
912,20572
913,9316
914,7080
915,5720
916,9553
917,6419
918,6641
919,5373
920,8825
921,7135
922,6057
923,3809
924,19983
925,20190
926,20170
927,25726
928,15251
929,12717
930,9926
931,7252
932,6360
933,5726
934,3832
935,8201
936,7531
937,5833
938,4483
939,4430
940,3923
941,19796
942,20379
943,20117
944,20014
945,20558
946,8904
947,6781
948,4744
949,7272
950,7149
951,5689
952,9656
953,6187
954,4962
955,4071
956,19229
957,26033
958,20106
959,19963
960,22035
961,11135
962,8559
963,7864
964,6178
965,4706
966,19327
967,20917
968,9299
969,6574
970,5705
971,7273
972,5190
973,10157
974,6621
975,5371
976,4145
977,19193
978,20247
979,20286
980,20003
981,20725
982,10966
983,8405
984,7619
985,5916
986,4428
987,25455
988,16222
989,12413
990,9147
991,10555
992,10264
993,8124
994,6593
995,5159
996,6396
997,10847
998,6242
999,6154
1000,10120
1001,6147
1002,5153
1003,6280
1004,3976
1005,19242
1006,27499
1007,9539
1008,6555
1009,5135
1010,6839
1011,6862
1012,5777
1013,4821
1014,5211
1015,8734
1016,5059
1017,9609
1018,20802
1019,9582
1020,7530
1021,6544
1022,5667
1023,19786
1024,19993
1025,8896
1026,5905
1027,3816
1028,19365
1029,20339
1030,20537
1031,9158
1032,6885
1033,5348
1034,4281
1035,9784
1036,20256
1037,9284
1038,7770
1039,5706
1040,4923
1041,7634
1042,4209
1043,7379
1044,5991
1045,6382
1046,5024
1047,4471
1048,19332
1049,20246
1050,20506
1051,19981
1052,20571
1053,9247
1054,7927
1055,5964
1056,6028
1057,4119
1058,19670
1059,19413
1060,7842
1061,6156
1062,5023
1063,7639
1064,6041
1065,4310
1066,6780
1067,6800
1068,5211
1069,4153
1070,19381
1071,20237
1072,20108
1073,8285
1074,5582
1075,4757
1076,9216
1077,7503
1078,5661
1079,19549
1080,19943
1081,8174
1082,5622
1083,4777
1084,9805
1085,6230
1086,4474
1087,19625
1088,20405
1089,7879
1090,4764
1091,8010
1092,6230
1093,5337
1094,4788
1095,19907
1096,20620
1097,20393
1098,19446
1099,9771
1100,7465
1101,15555
1102,13237
1103,10999
1104,9363
1105,7696
1106,7853
1107,5870
1108,5045
1109,10199
1110,7011
1111,5764
1112,4875
1113,7215
1114,5719
1115,4425
1116,25928
1117,14160
1118,11418
1119,8594
1120,7732
1121,6420
1122,5204
1123,7682
1124,10949
1125,18031
1126,9139
1127,4513
