count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,28777,0,28777,0,0
52,17920,0,17920,0,0
53,65156,0,65156,0,0
54,33265,0,33265,0,0
55,16691,0,16691,0,0
56,21802,0,21802,0,0
57,15707,0,15707,0,0
58,15891,0,15891,0,0
59,14837,0,14837,0,0
60,30983,0,30983,0,0
61,39060,0,39060,0,0
62,17981,0,17981,0,0
63,22853,0,22853,0,0
64,16027,0,16027,0,0
65,15815,0,15815,0,0
66,15650,0,15650,0,0
67,15622,0,15622,0,0
68,15602,0,15602,0,0
69,15548,0,15548,0,0
70,32164,0,32164,0,0
71,32093,0,32093,0,0
72,22775,0,22775,0,0
73,21340,0,21340,0,0
74,15988,0,15988,0,0
75,15598,0,15598,0,0
76,15722,0,15722,0,0
77,15671,0,15671,0,0
78,15507,0,15507,0,0
79,15446,0,15446,0,0
80,15462,0,15462,0,0
81,15345,0,15345,0,0
82,15219,0,15219,0,0
83,15279,0,15279,0,0
84,15606,0,15606,0,0
85,15152,0,15152,0,0
86,15505,0,15505,0,0
87,15613,0,15613,0,0
88,51984,0,51984,0,0
89,17791,0,17791,0,0
90,17083,0,17083,0,0
91,15880,0,15880,0,0
92,15662,0,15662,0,0
93,15906,0,15906,0,0
94,15701,0,15701,0,0
95,15287,0,15287,0,0
96,15158,0,15158,0,0
97,15101,0,15101,0,0
98,16824,0,16824,0,0
99,15707,0,15707,0,0
100,15250,0,15250,0,0
101,15344,0,15344,0,0
102,15486,0,15486,0,0
103,15204,0,15204,0,0
104,15098,0,15098,0,0
105,15448,0,15448,0,0
106,15163,0,15163,0,0
107,15168,0,15168,0,0
108,15209,0,15209,0,0
109,15275,0,15275,0,0
110,15279,0,15279,0,0
111,15431,0,15431,0,0
112,16197,0,16197,0,0
113,15609,0,15609,0,0
114,15588,0,15588,0,0
115,15392,0,15392,0,0
116,14936,0,14936,0,0
117,39553,0,39553,0,0
118,25081,0,25081,0,0
119,20524,0,20524,0,0
120,23134,0,23134,0,0
121,28722,0,28722,0,0
122,19376,0,19376,0,0
123,21748,0,21748,0,0
124,32457,0,32457,0,0
125,20622,0,20622,0,0
126,16360,0,16360,0,0
127,16416,0,16416,0,0
128,21754,0,21754,0,0
129,16075,0,16075,0,0
130,28454,0,28454,0,0
131,16201,0,16201,0,0
132,15557,0,15557,0,0
133,15933,0,15933,0,0
134,15326,0,15326,0,0
135,15470,0,15470,0,0
136,15415,0,15415,0,0
137,15410,0,15410,0,0
138,15486,0,15486,0,0
139,16156,0,16156,0,0
140,16195,0,16195,0,0
141,15540,0,15540,0,0
142,15357,0,15357,0,0
143,15548,0,15548,0,0
144,15652,0,15652,0,0
145,15466,0,15466,0,0
146,15617,0,15617,0,0
147,16220,0,16220,0,0
148,27916,0,27916,0,0
149,17990,0,17990,0,0
150,16245,0,16245,0,0
151,34128,0,34128,0,0
152,30399,0,30399,0,0
153,15887,0,15887,0,0
154,15438,0,15438,0,0
155,34904,0,34904,0,0
156,24331,0,24331,0,0
157,40667,0,40667,0,0
158,32791,0,32791,0,0
159,5775,0,5775,0,0
160,24302,0,24302,0,0
161,26776,0,26776,0,0
162,18431,0,18431,0,0
163,26511,0,26511,0,0
164,18924,0,18924,0,0
165,28070,0,28070,0,0
166,16671,0,16671,0,0
167,16119,0,16119,0,0
168,17485,0,17485,0,0
169,16388,0,16388,0,0
170,16665,0,16665,0,0
171,16476,0,16476,0,0
172,32633,0,32633,0,0
173,39273,0,39273,0,0
174,26228,0,26228,0,0
175,17123,0,17123,0,0
176,16024,0,16024,0,0
177,17917,0,17917,0,0
178,15713,0,15713,0,0
179,16226,0,16226,0,0
180,16027,0,16027,0,0
181,16066,0,16066,0,0
182,47053,0,47053,0,0
183,40880,0,40880,0,0
184,32494,0,32494,0,0
185,25813,0,25813,0,0
186,25703,0,25703,0,0
187,24141,0,24141,0,0
188,42644,0,42644,0,0
189,45078,0,45078,0,0
190,23312,0,23312,0,0
191,33542,0,33542,0,0
192,35162,0,35162,0,0
193,21577,0,21577,0,0
194,23326,0,23326,0,0
195,16973,0,16973,0,0
196,36585,0,36585,0,0
197,39609,0,39609,0,0
198,32825,0,32825,0,0
199,24766,0,24766,0,0
200,34164,0,34164,0,0
201,43558,0,43558,0,0
202,41373,0,41373,0,0
203,42740,0,42740,0,0
204,37082,0,37082,0,0
205,24710,0,24710,0,0
206,24967,0,24967,0,0
207,32557,0,32557,0,0
208,41380,0,41380,0,0
209,24168,0,24168,0,0
210,29238,0,29238,0,0
211,49798,0,49798,0,0
212,20570,0,20570,0,0
213,15910,0,15910,0,0
214,15682,0,15682,0,0
215,26974,0,26974,0,0
216,19159,0,19159,0,0
217,15971,0,15971,0,0
218,23697,0,23697,0,0
219,17757,0,17757,0,0
220,16109,0,16109,0,0
221,19277,0,19277,0,0
222,20481,0,20481,0,0
223,24807,0,24807,0,0
224,21005,0,21005,0,0
225,19745,0,19745,0,0
226,17123,0,17123,0,0
227,19325,0,19325,0,0
228,17763,0,17763,0,0
229,22150,0,22150,0,0
230,21118,0,21118,0,0
231,15980,0,15980,0,0
232,15635,0,15635,0,0
233,15250,0,15250,0,0
234,15560,0,15560,0,0
235,15290,0,15290,0,0
236,15366,0,15366,0,0
237,19564,0,19564,0,0
238,19230,0,19230,0,0
239,15615,0,15615,0,0
240,16524,0,16524,0,0
241,36876,0,36876,0,0
242,26405,0,26405,0,0
243,16252,0,16252,0,0
244,17868,0,17868,0,0
245,45546,0,45546,0,0
246,53934,0,53934,0,0
247,43330,0,43330,0,0
248,35773,0,35773,0,0
249,20651,0,20651,0,0
250,18483,0,18483,0,0
251,18220,0,18220,0,0
252,20125,0,20125,0,0
253,21489,0,21489,0,0
254,20785,0,20785,0,0
255,20784,0,20784,0,0
256,18920,0,18920,0,0
257,18360,0,18360,0,0
258,20781,0,20781,0,0
259,21709,0,21709,0,0
260,20113,0,20113,0,0
261,25001,0,25001,0,0
262,22769,0,22769,0,0
263,20474,0,20474,0,0
264,34197,0,34197,0,0
265,21812,0,21812,0,0
266,16032,0,16032,0,0
267,15466,0,15466,0,0
268,15290,0,15290,0,0
269,15244,0,15244,0,0
270,15485,0,15485,0,0
271,15114,0,15114,0,0
272,15126,0,15126,0,0
273,19058,0,19058,0,0
274,19231,0,19231,0,0
275,15660,0,15660,0,0
276,36599,0,36599,0,0
277,19395,0,19395,0,0
278,23372,0,23372,0,0
279,31994,0,31994,0,0
280,23769,0,23769,0,0
281,25861,0,25861,0,0
282,20250,0,20250,0,0
283,15620,0,15620,0,0
284,15612,0,15612,0,0
285,15418,0,15418,0,0
286,15455,0,15455,0,0
287,15290,0,15290,0,0
288,15740,0,15740,0,0
289,14999,0,14999,0,0
290,29001,0,29001,0,0
291,17910,0,17910,0,0
292,15587,0,15587,0,0
293,15584,0,15584,0,0
294,15203,0,15203,0,0
295,15354,0,15354,0,0
296,15083,0,15083,0,0
297,15154,0,15154,0,0
298,15849,0,15849,0,0
299,15527,0,15527,0,0
300,15918,0,15918,0,0
301,16205,0,16205,0,0
302,15456,0,15456,0,0
303,15669,0,15669,0,0
304,15737,0,15737,0,0
305,15555,0,15555,0,0
306,15374,0,15374,0,0
307,15250,0,15250,0,0
308,15477,0,15477,0,0
309,15257,0,15257,0,0
310,15404,0,15404,0,0
311,15454,0,15454,0,0
312,15427,0,15427,0,0
313,19024,0,19024,0,0
314,37913,0,37913,0,0
315,26276,0,26276,0,0
316,22680,0,22680,0,0
317,25064,0,25064,0,0
318,17437,0,17437,0,0
319,31813,0,31813,0,0
320,15420,0,15420,0,0
321,16940,0,16940,0,0
322,16236,0,16236,0,0
323,15598,0,15598,0,0
324,28173,0,28173,0,0
325,15797,0,15797,0,0
326,15730,0,15730,0,0
327,22526,0,22526,0,0
328,15964,0,15964,0,0
329,15899,0,15899,0,0
330,15204,0,15204,0,0
331,15168,0,15168,0,0
332,15282,0,15282,0,0
333,15029,0,15029,0,0
334,15079,0,15079,0,0
335,14958,0,14958,0,0
336,15626,0,15626,0,0
337,15580,0,15580,0,0
338,15663,0,15663,0,0
339,33414,0,33414,0,0
340,19382,0,19382,0,0
341,34508,0,34508,0,0
342,21602,0,21602,0,0
343,15803,0,15803,0,0
344,19910,0,19910,0,0
345,26505,0,26505,0,0
346,20812,0,20812,0,0
347,20984,0,20984,0,0
348,28056,0,28056,0,0
349,30315,0,30315,0,0
350,16923,0,16923,0,0
351,27054,0,27054,0,0
352,25734,0,25734,0,0
353,27719,0,27719,0,0
354,20296,0,20296,0,0
355,25224,0,25224,0,0
356,30022,0,30022,0,0
357,17412,0,17412,0,0
358,15667,0,15667,0,0
359,15288,0,15288,0,0
360,15722,0,15722,0,0
361,15398,0,15398,0,0
362,15772,0,15772,0,0
363,15450,0,15450,0,0
364,15588,0,15588,0,0
365,16221,0,16221,0,0
366,24004,0,24004,0,0
367,32284,0,32284,0,0
368,32337,0,32337,0,0
369,25231,0,25231,0,0
370,24045,0,24045,0,0
371,26957,0,26957,0,0
372,15566,0,15566,0,0
373,16200,0,16200,0,0
374,29678,0,29678,0,0
375,34869,0,34869,0,0
376,19396,0,19396,0,0
377,26511,0,26511,0,0
378,22557,0,22557,0,0
379,45192,0,45192,0,0
380,32234,0,32234,0,0
381,21966,0,21966,0,0
382,25029,0,25029,0,0
383,35077,0,35077,0,0
384,28659,0,28659,0,0
385,27834,0,27834,0,0
386,42692,0,42692,0,0
387,39008,0,39008,0,0
388,20528,0,20528,0,0
389,36041,0,36041,0,0
390,30905,0,30905,0,0
391,33821,0,33821,0,0
392,32137,0,32137,0,0
393,28861,0,28861,0,0
394,15514,0,15514,0,0
395,25865,0,25865,0,0
396,41324,0,41324,0,0
397,18798,0,18798,0,0
398,17613,0,17613,0,0
399,18239,0,18239,0,0
400,44729,0,44729,0,0
401,18256,0,18256,0,0
402,42218,0,42218,0,0
403,15716,0,15716,0,0
404,33496,0,33496,0,0
405,16993,0,16993,0,0
406,18968,0,18968,0,0
407,17905,0,17905,0,0
408,17980,0,17980,0,0
409,17278,0,17278,0,0
410,15943,0,15943,0,0
411,15515,0,15515,0,0
412,15796,0,15796,0,0
413,36308,0,36308,0,0
414,25904,0,25904,0,0
415,17795,0,17795,0,0
416,15851,0,15851,0,0
417,15441,0,15441,0,0
418,15329,0,15329,0,0
419,15558,0,15558,0,0
420,15877,0,15877,0,0
421,15221,0,15221,0,0
422,15159,0,15159,0,0
423,15358,0,15358,0,0
424,15109,0,15109,0,0
425,15053,0,15053,0,0
426,15527,0,15527,0,0
427,15318,0,15318,0,0
428,24595,0,24595,0,0
429,15124,0,15124,0,0
430,15644,0,15644,0,0
431,17084,0,17084,0,0
432,26534,0,26534,0,0
433,17206,0,17206,0,0
434,15652,0,15652,0,0
435,15624,0,15624,0,0
436,15196,0,15196,0,0
437,15251,0,15251,0,0
438,19088,0,19088,0,0
439,15295,0,15295,0,0
440,15710,0,15710,0,0
441,15443,0,15443,0,0
442,15215,0,15215,0,0
443,21344,0,21344,0,0
444,19233,0,19233,0,0
445,31764,0,31764,0,0
446,28085,0,28085,0,0
447,20415,0,20415,0,0
448,16539,0,16539,0,0
449,30791,0,30791,0,0
450,30655,0,30655,0,0
451,18576,0,18576,0,0
452,14740,0,14740,0,0
453,15897,0,15897,0,0
454,30029,0,30029,0,0
455,16556,0,16556,0,0
456,16238,0,16238,0,0
457,16645,0,16645,0,0
458,16573,0,16573,0,0
459,18640,0,18640,0,0
460,17104,0,17104,0,0
461,16897,0,16897,0,0
462,17481,0,17481,0,0
463,16319,0,16319,0,0
464,15987,0,15987,0,0
465,15744,0,15744,0,0
466,15818,0,15818,0,0
467,15997,0,15997,0,0
468,16005,0,16005,0,0
469,16422,0,16422,0,0
470,16417,0,16417,0,0
471,16450,0,16450,0,0
472,16081,0,16081,0,0
473,16013,0,16013,0,0
474,28153,0,28153,0,0
475,16512,0,16512,0,0
476,16397,0,16397,0,0
477,16499,0,16499,0,0
478,16183,0,16183,0,0
479,16756,0,16756,0,0
480,17710,0,17710,0,0
481,18143,0,18143,0,0
482,16145,0,16145,0,0
483,16217,0,16217,0,0
484,16948,0,16948,0,0
485,17600,0,17600,0,0
486,28813,0,28813,0,0
487,17090,0,17090,0,0
488,26908,0,26908,0,0
489,19634,0,19634,0,0
490,25150,0,25150,0,0
491,19175,0,19175,0,0
492,15748,0,15748,0,0
493,45146,0,45146,0,0
494,19442,0,19442,0,0
495,24012,0,24012,0,0
496,18149,0,18149,0,0
497,18471,0,18471,0,0
498,18058,0,18058,0,0
499,17823,0,17823,0,0
500,17250,0,17250,0,0
501,17524,0,17524,0,0
502,17630,0,17630,0,0
503,17993,0,17993,0,0
504,18210,0,18210,0,0
505,17438,0,17438,0,0
506,17651,0,17651,0,0
507,17890,0,17890,0,0
508,15582,0,15582,0,0
509,15438,0,15438,0,0
510,15372,0,15372,0,0
511,21005,0,21005,0,0
512,16598,0,16598,0,0
513,16696,0,16696,0,0
514,31165,0,31165,0,0
515,32311,0,32311,0,0
516,37028,0,37028,0,0
517,33032,0,33032,0,0
518,19269,0,19269,0,0
519,23532,0,23532,0,0
520,24233,0,24233,0,0
521,15287,0,15287,0,0
522,15847,0,15847,0,0
523,15206,0,15206,0,0
