count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,30402,0,30402,0,0
52,30428,0,30428,0,0
53,30592,0,30592,0,0
54,27911,0,27911,0,0
55,31830,0,31830,0,0
56,27827,0,27827,0,0
57,28016,0,28016,0,0
58,29269,0,29269,0,0
59,27989,0,27989,0,0
60,29018,0,29018,0,0
61,26030,0,26030,0,0
62,27740,0,27740,0,0
63,28209,0,28209,0,0
64,27495,0,27495,0,0
65,28134,0,28134,0,0
66,59189,0,59189,0,0
67,25046,0,25046,0,0
68,60188,0,60188,0,0
69,28643,0,28643,0,0
70,27520,0,27520,0,0
71,27429,0,27429,0,0
72,27381,0,27381,0,0
73,27538,0,27538,0,0
74,24271,0,24271,0,0
75,25063,0,25063,0,0
76,24530,0,24530,0,0
77,24411,0,24411,0,0
78,24778,0,24778,0,0
79,24437,0,24437,0,0
80,24050,0,24050,0,0
81,24485,0,24485,0,0
82,24586,0,24586,0,0
83,24615,0,24615,0,0
84,24375,0,24375,0,0
85,24678,0,24678,0,0
86,24599,0,24599,0,0
87,27121,0,27121,0,0
88,29217,0,29217,0,0
89,61916,0,61916,0,0
90,38476,0,38476,0,0
91,98651,0,98651,0,0
92,15686,0,15686,0,0
93,60343,0,60343,0,0
94,45887,0,45887,0,0
95,38515,0,38515,0,0
96,61525,0,61525,0,0
97,30488,0,30488,0,0
98,50607,0,50607,0,0
99,33973,0,33973,0,0
100,33671,0,33671,0,0
101,33219,0,33219,0,0
102,32971,0,32971,0,0
103,34802,0,34802,0,0
104,31764,0,31764,0,0
105,31789,0,31789,0,0
106,30998,0,30998,0,0
107,31050,0,31050,0,0
108,30625,0,30625,0,0
109,30781,0,30781,0,0
110,29684,0,29684,0,0
111,29371,0,29371,0,0
112,81278,0,81278,0,0
113,30036,0,30036,0,0
114,29693,0,29693,0,0
115,29876,0,29876,0,0
116,29379,0,29379,0,0
117,50067,0,50067,0,0
118,29169,0,29169,0,0
119,48996,0,48996,0,0
120,80890,0,80890,0,0
121,31594,0,31594,0,0
122,34202,0,34202,0,0
123,26831,0,26831,0,0
124,28856,0,28856,0,0
125,24937,0,24937,0,0
126,24696,0,24696,0,0
127,24200,0,24200,0,0
128,24555,0,24555,0,0
129,24600,0,24600,0,0
130,24381,0,24381,0,0
131,24933,0,24933,0,0
132,24922,0,24922,0,0
133,24762,0,24762,0,0
134,24807,0,24807,0,0
135,24414,0,24414,0,0
136,24321,0,24321,0,0
137,24444,0,24444,0,0
138,24476,0,24476,0,0
139,24281,0,24281,0,0
140,24717,0,24717,0,0
141,24480,0,24480,0,0
142,24158,0,24158,0,0
143,24498,0,24498,0,0
144,23381,0,23381,0,0
145,23543,0,23543,0,0
146,24554,0,24554,0,0
147,23510,0,23510,0,0
148,23279,0,23279,0,0
149,23361,0,23361,0,0
150,23356,0,23356,0,0
151,23780,0,23780,0,0
152,23324,0,23324,0,0
153,22505,0,22505,0,0
154,22134,0,22134,0,0
155,22936,0,22936,0,0
156,22374,0,22374,0,0
157,22840,0,22840,0,0
158,22428,0,22428,0,0
159,23723,0,23723,0,0
160,22243,0,22243,0,0
161,22482,0,22482,0,0
162,20304,0,20304,0,0
163,20632,0,20632,0,0
164,20088,0,20088,0,0
165,20498,0,20498,0,0
166,20299,0,20299,0,0
167,20643,0,20643,0,0
168,20160,0,20160,0,0
169,20673,0,20673,0,0
170,20064,0,20064,0,0
171,21107,0,21107,0,0
172,20697,0,20697,0,0
173,25766,0,25766,0,0
174,20312,0,20312,0,0
175,20330,0,20330,0,0
176,24952,0,24952,0,0
177,20746,0,20746,0,0
178,20027,0,20027,0,0
179,20012,0,20012,0,0
180,20060,0,20060,0,0
181,20415,0,20415,0,0
182,19655,0,19655,0,0
183,19953,0,19953,0,0
184,19548,0,19548,0,0
185,33347,0,33347,0,0
186,19431,0,19431,0,0
187,19881,0,19881,0,0
188,19131,0,19131,0,0
189,19041,0,19041,0,0
190,19577,0,19577,0,0
191,19313,0,19313,0,0
192,18668,0,18668,0,0
193,18680,0,18680,0,0
194,18611,0,18611,0,0
195,18909,0,18909,0,0
196,18189,0,18189,0,0
197,18503,0,18503,0,0
198,18720,0,18720,0,0
199,18492,0,18492,0,0
200,18486,0,18486,0,0
201,18648,0,18648,0,0
202,22687,0,22687,0,0
203,17858,0,17858,0,0
204,17905,0,17905,0,0
205,17863,0,17863,0,0
206,17867,0,17867,0,0
207,18089,0,18089,0,0
208,17747,0,17747,0,0
209,42372,0,42372,0,0
210,19934,0,19934,0,0
211,19009,0,19009,0,0
212,18167,0,18167,0,0
213,17512,0,17512,0,0
214,17407,0,17407,0,0
215,17311,0,17311,0,0
216,17248,0,17248,0,0
217,17529,0,17529,0,0
218,17444,0,17444,0,0
219,17203,0,17203,0,0
220,17523,0,17523,0,0
221,17129,0,17129,0,0
222,17555,0,17555,0,0
223,39180,0,39180,0,0
224,21847,0,21847,0,0
225,17355,0,17355,0,0
226,17378,0,17378,0,0
227,17110,0,17110,0,0
228,17091,0,17091,0,0
229,18045,0,18045,0,0
230,17842,0,17842,0,0
231,17765,0,17765,0,0
232,16726,0,16726,0,0
233,17275,0,17275,0,0
234,16535,0,16535,0,0
235,16394,0,16394,0,0
236,16518,0,16518,0,0
237,16489,0,16489,0,0
238,16287,0,16287,0,0
239,16407,0,16407,0,0
240,21999,0,21999,0,0
241,27232,0,27232,0,0
242,32258,0,32258,0,0
243,16342,0,16342,0,0
244,15639,0,15639,0,0
245,16542,0,16542,0,0
246,38343,0,38343,0,0
247,17350,0,17350,0,0
248,16240,0,16240,0,0
249,15994,0,15994,0,0
250,16204,0,16204,0,0
251,16206,0,16206,0,0
252,16276,0,16276,0,0
253,16300,0,16300,0,0
254,16155,0,16155,0,0
255,15964,0,15964,0,0
256,16254,0,16254,0,0
257,15671,0,15671,0,0
258,15549,0,15549,0,0
259,15127,0,15127,0,0
260,15304,0,15304,0,0
261,15070,0,15070,0,0
262,15122,0,15122,0,0
263,15369,0,15369,0,0
264,14892,0,14892,0,0
265,15025,0,15025,0,0
266,14824,0,14824,0,0
267,15197,0,15197,0,0
268,15166,0,15166,0,0
269,15019,0,15019,0,0
270,14960,0,14960,0,0
271,15164,0,15164,0,0
272,15168,0,15168,0,0
273,15211,0,15211,0,0
274,15213,0,15213,0,0
275,15267,0,15267,0,0
276,15048,0,15048,0,0
277,15158,0,15158,0,0
278,15090,0,15090,0,0
279,15099,0,15099,0,0
280,15213,0,15213,0,0
281,15163,0,15163,0,0
282,28268,0,28268,0,0
283,15038,0,15038,0,0
284,15174,0,15174,0,0
285,15372,0,15372,0,0
286,14907,0,14907,0,0
287,14911,0,14911,0,0
288,15086,0,15086,0,0
289,15220,0,15220,0,0
290,15132,0,15132,0,0
291,14951,0,14951,0,0
292,14940,0,14940,0,0
293,15147,0,15147,0,0
294,15736,0,15736,0,0
295,15059,0,15059,0,0
296,15008,0,15008,0,0
297,15062,0,15062,0,0
298,15127,0,15127,0,0
299,15195,0,15195,0,0
300,15155,0,15155,0,0
301,37477,0,37477,0,0
302,15075,0,15075,0,0
303,15568,0,15568,0,0
304,15319,0,15319,0,0
305,15106,0,15106,0,0
306,15204,0,15204,0,0
307,15046,0,15046,0,0
308,15063,0,15063,0,0
309,15007,0,15007,0,0
310,15159,0,15159,0,0
311,15154,0,15154,0,0
312,15266,0,15266,0,0
313,14792,0,14792,0,0
314,15310,0,15310,0,0
315,15309,0,15309,0,0
316,16676,0,16676,0,0
317,16235,0,16235,0,0
318,31228,0,31228,0,0
319,21753,0,21753,0,0
320,14553,0,14553,0,0
321,15419,0,15419,0,0
322,15117,0,15117,0,0
323,14999,0,14999,0,0
324,15165,0,15165,0,0
325,15024,0,15024,0,0
