count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,3870,0,3870,3870,2912,9344
52,3864,0,3864,3864,2912,9344
53,3884,0,3884,3884,2912,9344
54,3866,0,3866,3866,2912,9344
55,3864,0,3864,3864,2912,9344
56,3876,0,3876,3876,2912,9344
57,3885,0,3885,3885,2912,9344
58,3867,0,3867,3867,2912,9344
59,3923,0,3923,3923,2912,9344
60,3867,0,3867,3867,2912,9344
61,3871,0,3871,3871,2912,9344
62,3887,0,3887,3887,2912,9344
63,3876,0,3876,3876,2912,9344
64,3898,0,3898,3898,2912,9344
65,3865,0,3865,3865,2912,9344
66,3872,0,3872,3872,2912,9344
67,3871,0,3871,3871,2912,9344
68,3871,0,3871,3871,2912,9344
69,3863,0,3863,3863,2912,9344
70,3874,0,3874,3874,2912,9344
71,3865,0,3865,3865,2912,9344
72,3885,0,3885,3885,2912,9344
73,3872,0,3872,3872,2912,9344
74,3867,0,3867,3867,2912,9344
75,3870,0,3870,3870,2912,9344
76,3869,0,3869,3869,2912,9344
77,3887,0,3887,3887,2912,9344
78,3869,0,3869,3869,2912,9344
79,3909,0,3909,3909,2912,9344
80,3877,0,3877,3877,2912,9344
81,3902,0,3902,3902,2912,9344
82,3863,0,3863,3863,2912,9344
83,3867,0,3867,3867,2912,9344
84,3874,0,3874,3874,2912,9344
85,3866,0,3866,3866,2912,9344
86,3862,0,3862,3862,2912,9344
87,3868,0,3868,3868,2912,9344
88,3876,0,3876,3876,2912,9344
89,3861,0,3861,3861,2912,9344
90,7817,0,7817,7817,2912,9344
91,5045,0,5045,5045,2912,9344
92,4768,0,4768,4768,2912,9344
93,4744,0,4744,4744,2912,9344
94,3920,0,3920,3920,2912,9344
95,3895,0,3895,3895,2912,9344
96,3898,0,3898,3898,2912,9344
97,3926,0,3926,3926,2912,9344
98,3899,0,3899,3899,2912,9344
99,3902,0,3902,3902,2912,9344
100,3881,0,3881,3881,2912,9344
101,3986,0,3986,3986,2912,9344
102,4028,0,4028,4028,2912,9344
103,3874,0,3874,3874,2912,9344
104,3896,0,3896,3896,2912,9344
105,3879,0,3879,3879,2912,9344
106,3865,0,3865,3865,2912,9344
107,3887,0,3887,3887,2912,9344
108,3867,0,3867,3867,2912,9344
109,3875,0,3875,3875,2912,9344
110,3889,0,3889,3889,2912,9344
111,3883,0,3883,3883,2912,9344
112,3867,0,3867,3867,2912,9344
113,3865,0,3865,3865,2912,9344
114,3862,0,3862,3862,2912,9344
115,3870,0,3870,3870,2912,9344
116,3878,0,3878,3878,2912,9344
117,3864,0,3864,3864,2912,9344
118,3865,0,3865,3865,2912,9344
119,3889,0,3889,3889,2912,9344
120,3868,0,3868,3868,2912,9344
121,3873,0,3873,3873,2912,9344
122,3867,0,3867,3867,2912,9344
123,3864,0,3864,3864,2912,9344
124,3862,0,3862,3862,2912,9344
125,3868,0,3868,3868,2912,9344
126,5422,0,5422,5422,2912,9344
127,3924,0,3924,3924,2912,9344
128,6854,0,6854,6854,2912,9344
129,6413,0,6413,6413,2912,9344
130,8736,0,8736,8736,2912,9344
131,5516,0,5516,5516,2912,9344
132,7554,0,7554,7554,2912,9344
133,8168,0,8168,8168,2912,9344
134,8196,0,8196,8196,2912,9344
135,3912,0,3912,3912,2912,9344
136,3956,0,3956,3956,2912,9344
137,3872,0,3872,3872,2912,9344
138,3879,0,3879,3879,2912,9344
139,3878,0,3878,3878,2912,9344
140,3919,0,3919,3919,2912,9344
141,3988,0,3988,3988,2912,9344
142,3970,0,3970,3970,2912,9344
143,3881,0,3881,3881,2912,9344
144,3909,0,3909,3909,2912,9344
145,3896,0,3896,3896,2912,9344
146,4014,0,4014,4014,2912,9344
147,3880,0,3880,3880,2912,9344
148,3873,0,3873,3873,2912,9344
149,5256,0,5256,5256,2912,9344
150,3986,0,3986,3986,2912,9344
151,3899,0,3899,3899,2912,9344
152,3894,0,3894,3894,2912,9344
153,4072,0,4072,4072,2912,9344
154,4063,0,4063,4063,2912,9344
155,4082,0,4082,4082,2912,9344
156,8155,0,8155,8155,2912,9344
157,4016,0,4016,4016,2912,9344
158,4934,0,4934,4934,2912,9344
159,4420,0,4420,4420,2912,9344
160,7085,0,7085,7085,2912,9344
161,5121,0,5121,5121,2912,9344
162,8542,0,8542,8542,2912,9344
163,6544,0,6544,6544,2912,9344
164,6344,0,6344,6344,2912,9344
165,3898,0,3898,3898,2912,9344
166,3879,0,3879,3879,2912,9344
167,3880,0,3880,3880,2912,9344
168,3893,0,3893,3893,2912,9344
169,3882,0,3882,3882,2912,9344
170,3886,0,3886,3886,2912,9344
171,3883,0,3883,3883,2912,9344
172,3869,0,3869,3869,2912,9344
173,3886,0,3886,3886,2912,9344
174,3875,0,3875,3875,2912,9344
175,3880,0,3880,3880,2912,9344
176,3889,0,3889,3889,2912,9344
177,3890,0,3890,3890,2912,9344
178,3880,0,3880,3880,2912,9344
179,3908,0,3908,3908,2912,9344
180,3891,0,3891,3891,2912,9344
181,3882,0,3882,3882,2912,9344
182,3908,0,3908,3908,2912,9344
183,3893,0,3893,3893,2912,9344
184,3910,0,3910,3910,2912,9344
185,3876,0,3876,3876,2912,9344
186,3876,0,3876,3876,2912,9344
187,3896,0,3896,3896,2912,9344
188,3886,0,3886,3886,2912,9344
189,3874,0,3874,3874,2912,9344
190,3883,0,3883,3883,2912,9344
191,3875,0,3875,3875,2912,9344
192,3875,0,3875,3875,2912,9344
193,3884,0,3884,3884,2912,9344
194,3880,0,3880,3880,2912,9344
195,3877,0,3877,3877,2912,9344
196,3887,0,3887,3887,2912,9344
197,3882,0,3882,3882,2912,9344
198,3976,0,3976,3976,2912,9344
199,3956,0,3956,3956,2912,9344
200,3909,0,3909,3909,2912,9344
201,3882,0,3882,3882,2912,9344
202,3897,0,3897,3897,2912,9344
203,3904,0,3904,3904,2912,9344
204,7325,0,7325,7325,2912,9344
205,5165,0,5165,5165,2912,9344
206,3951,0,3951,3951,2912,9344
207,11382,0,11382,11382,2912,9344
208,8296,0,8296,8296,2912,9344
209,8670,0,8670,8670,2912,9344
210,7049,0,7049,7049,2912,9344
211,3980,0,3980,3980,2912,9344
212,7075,0,7075,7075,2912,9344
213,6267,0,6267,6267,2912,9344
214,7238,0,7238,7238,2912,9344
215,3913,0,3913,3913,2912,9344
216,3889,0,3889,3889,2912,9344
217,3895,0,3895,3895,2912,9344
218,3955,0,3955,3955,2912,9344
219,4131,0,4131,4131,2912,9344
220,3874,0,3874,3874,2912,9344
221,3887,0,3887,3887,2912,9344
222,3950,0,3950,3950,2912,9344
223,3883,0,3883,3883,2912,9344
