sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,used_for_offset,used_for_best_path,clock_sync_method,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780650930296418623,1780650930297005856,1780650930297006518,1780650930297074192,587233,67674,-259780,327453,0,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
2,1780650930297101301,1780650930297136489,1780650930297136659,1780650930297159610,35188,22951,-6119,29069,0,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
3,1780650930297173214,1780650930297187354,1780650930297187529,1780650930297206046,14140,18517,2188,16328,0,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
4,1780650930297217369,1780650930297230647,1780650930297230788,1780650930297247768,13278,16980,1851,15129,0,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
5,1780650930297259313,1780650930297272369,1780650930297272702,1780650930297289607,13056,16905,1924,14980,0,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
6,1780650930297301019,1780650930297314894,1780650930297315025,1780650930297331758,13875,16733,1429,15304,0,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
7,1780650930297342903,1780650930297356044,1780650930297356622,1780650930297373285,13141,16663,1761,14902,0,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
8,1780650930297387034,1780650930297398732,1780650930297398880,1780650930297413613,11698,14733,1517,13215,0,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
9,1780650930297423697,1780650930297435154,1780650930297435304,1780650930297449994,11457,14690,1616,13073,0,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
10,1780650930297460527,1780650930297471903,1780650930297472036,1780650930297486860,11376,14824,1724,13100,0,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
11,1780650930297496961,1780650930297508340,1780650930297508495,1780650930297523249,11379,14754,1687,13066,0,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
12,1780650930297533113,1780650930297544629,1780650930297544762,1780650930297559291,11516,14529,1506,13022,0,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
