sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,used_for_offset,used_for_best_path,clock_sync_method,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780650978557082878,1780650978557502745,1780650978557503118,1780650978557558776,419867,55658,-182105,237762,0,0,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
2,1780650978557574249,1780650978557616997,1780650978557617130,1780650978557650497,42748,33367,-4691,38057,0,0,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
3,1780650978557674643,1780650978557696422,1780650978557696602,1780650978557715556,21779,18954,-1413,20366,0,0,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
4,1780650978557727454,1780650978557738976,1780650978557739123,1780650978557756067,11522,16944,2711,14233,0,0,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
5,1780650978557767316,1780650978557778968,1780650978557779301,1780650978557795738,11652,16437,2392,14044,0,0,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
6,1780650978557806955,1780650978557819078,1780650978557819229,1780650978557835437,12123,16208,2042,14165,0,0,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
7,1780650978557846531,1780650978557857574,1780650978557857767,1780650978557874312,11043,16545,2751,13794,0,0,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
8,1780650978557885322,1780650978557896205,1780650978557896426,1780650978557912891,10883,16465,2791,13674,0,0,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
9,1780650978557923948,1780650978557935034,1780650978557935404,1780650978557956380,11086,20976,4945,16031,0,0,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
10,1780650978557966489,1780650978557976643,1780650978557976811,1780650978557991746,10154,14935,2390,12544,0,0,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
11,1780650978558001816,1780650978558011631,1780650978558011773,1780650978558026326,9815,14553,2369,12184,0,0,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
12,1780650978558036350,1780650978558046151,1780650978558046291,1780650978558060847,9801,14556,2377,12178,0,0,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
13,1780650978558070802,1780650978558080704,1780650978558080846,1780650978558095588,9902,14742,2420,12322,0,0,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
14,1780650978558105557,1780650978558115603,1780650978558115733,1780650978558130468,10046,14735,2344,12390,1,1,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
15,1780650978558140430,1780650978558150224,1780650978558150360,1780650978558165074,9794,14714,2460,12254,1,1,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
16,1780650978558174891,1780650978558184951,1780650978558185084,1780650978558199781,10060,14697,2318,12378,1,1,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
17,1780650978558209780,1780650978558219575,1780650978558219719,1780650978558234238,9795,14519,2362,12157,1,1,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
18,1780650978558244267,1780650978558254187,1780650978558254315,1780650978558269038,9920,14723,2401,12321,1,1,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
19,1780650978558279083,1780650978558288603,1780650978558288738,1780650978558303375,9520,14637,2558,12078,1,1,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
20,1780650978558313360,1780650978558323243,1780650978558323370,1780650978558338069,9883,14699,2408,12291,1,1,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
21,1780650978558348056,1780650978558357994,1780650978558358136,1780650978558372593,9938,14457,2259,12197,1,1,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
22,1780650978558382593,1780650978558392359,1780650978558392489,1780650978558406962,9766,14473,2353,12119,1,1,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
23,1780650978558416901,1780650978558426676,1780650978558426811,1780650978558441368,9775,14557,2391,12166,1,1,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
24,1780650978558451293,1780650978558461283,1780650978558461419,1780650978558475997,9990,14578,2294,12284,1,1,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
25,1780650978558486577,1780650978558495680,1780650978558495810,1780650978558510464,9103,14654,2775,11878,1,1,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
26,1780650978558520470,1780650978558530348,1780650978558530482,1780650978558545104,9878,14622,2372,12250,1,1,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
27,1780650978558555072,1780650978558564846,1780650978558564980,1780650978558579560,9774,14580,2403,12177,1,1,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
28,1780650978558589488,1780650978558599356,1780650978558599485,1780650978558614071,9868,14586,2359,12227,1,1,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
29,1780650978558623989,1780650978558633801,1780650978558633937,1780650978558648573,9812,14636,2412,12224,1,1,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
30,1780650978558658538,1780650978558668257,1780650978558668399,1780650978558683108,9719,14709,2495,12214,1,1,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
31,1780650978558693023,1780650978558702810,1780650978558702930,1780650978558717470,9787,14540,2376,12163,1,1,best-path-median,2643,3035,2689,2643,2903.093499,224,12641,13837,11878,13117,16346,12641,0,ok
