count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,14874,0,14874,14874,2473,13566
52,14846,0,14846,14846,2473,13566
53,14967,0,14967,14967,2473,13566
54,14829,0,14829,14829,2473,13566
55,14800,0,14800,14800,2473,13566
56,14712,0,14712,14712,2473,13566
57,14888,0,14888,14888,2473,13566
58,14779,0,14779,14779,2473,13566
59,14990,0,14990,14990,2473,13566
60,14896,0,14896,14896,2473,13566
61,14866,0,14866,14866,2473,13566
62,14876,0,14876,14876,2473,13566
63,14919,0,14919,14919,2473,13566
64,14835,0,14835,14835,2473,13566
65,14940,0,14940,14940,2473,13566
66,14929,0,14929,14929,2473,13566
67,14764,0,14764,14764,2473,13566
68,14810,0,14810,14810,2473,13566
69,14916,0,14916,14916,2473,13566
70,14696,0,14696,14696,2473,13566
71,21364,0,21364,21364,2473,13566
72,21081,0,21081,21081,2473,13566
73,15858,0,15858,15858,2473,13566
74,21577,0,21577,21577,2473,13566
75,16937,0,16937,16937,2473,13566
76,23112,0,23112,23112,2473,13566
77,16140,0,16140,16140,2473,13566
78,22169,0,22169,22169,2473,13566
79,21009,0,21009,21009,2473,13566
80,16156,0,16156,16156,2473,13566
81,15423,0,15423,15423,2473,13566
82,15413,0,15413,15413,2473,13566
83,16963,0,16963,16963,2473,13566
84,41102,0,41102,41102,2473,13566
85,15405,0,15405,15405,2473,13566
86,15193,0,15193,15193,2473,13566
87,15206,0,15206,15206,2473,13566
88,14958,0,14958,14958,2473,13566
89,15266,0,15266,15266,2473,13566
90,14907,0,14907,14907,2473,13566
91,14928,0,14928,14928,2473,13566
92,14850,0,14850,14850,2473,13566
93,14951,0,14951,14951,2473,13566
94,14883,0,14883,14883,2473,13566
95,14901,0,14901,14901,2473,13566
96,14845,0,14845,14845,2473,13566
97,14834,0,14834,14834,2473,13566
98,14914,0,14914,14914,2473,13566
99,15051,0,15051,15051,2473,13566
100,14929,0,14929,14929,2473,13566
101,14838,0,14838,14838,2473,13566
102,14781,0,14781,14781,2473,13566
103,15098,0,15098,15098,2473,13566
104,14990,0,14990,14990,2473,13566
105,14871,0,14871,14871,2473,13566
106,14910,0,14910,14910,2473,13566
107,14979,0,14979,14979,2473,13566
108,14942,0,14942,14942,2473,13566
109,14900,0,14900,14900,2473,13566
110,14945,0,14945,14945,2473,13566
111,14906,0,14906,14906,2473,13566
112,14883,0,14883,14883,2473,13566
113,22721,0,22721,22721,2473,13566
114,20140,0,20140,20140,2473,13566
115,17728,0,17728,17728,2473,13566
116,15187,0,15187,15187,2473,13566
117,14962,0,14962,14962,2473,13566
118,14934,0,14934,14934,2473,13566
119,39061,0,39061,39061,2473,13566
120,17820,0,17820,17820,2473,13566
121,15128,0,15128,15128,2473,13566
122,15056,0,15056,15056,2473,13566
123,15055,0,15055,15055,2473,13566
124,14910,0,14910,14910,2473,13566
125,15133,0,15133,15133,2473,13566
126,15069,0,15069,15069,2473,13566
127,18490,0,18490,18490,2473,13566
128,22708,0,22708,22708,2473,13566
129,27717,0,27717,27717,2473,13566
130,20092,0,20092,20092,2473,13566
131,16168,0,16168,16168,2473,13566
132,22698,0,22698,22698,2473,13566
133,16655,0,16655,16655,2473,13566
134,23876,0,23876,23876,2473,13566
135,27978,0,27978,27978,2473,13566
136,26126,0,26126,26126,2473,13566
137,16019,0,16019,16019,2473,13566
138,21517,0,21517,21517,2473,13566
139,15228,0,15228,15228,2473,13566
140,14870,0,14870,14870,2473,13566
141,15073,0,15073,15073,2473,13566
142,24670,0,24670,24670,2473,13566
143,15196,0,15196,15196,2473,13566
144,21394,0,21394,21394,2473,13566
145,14916,0,14916,14916,2473,13566
146,14893,0,14893,14893,2473,13566
147,15119,0,15119,15119,2473,13566
148,14955,0,14955,14955,2473,13566
149,15083,0,15083,15083,2473,13566
150,15143,0,15143,15143,2473,13566
151,14913,0,14913,14913,2473,13566
152,14877,0,14877,14877,2473,13566
153,14987,0,14987,14987,2473,13566
154,16429,0,16429,16429,2473,13566
155,20204,0,20204,20204,2473,13566
156,17587,0,17587,17587,2473,13566
157,15031,0,15031,15031,2473,13566
158,15103,0,15103,15103,2473,13566
159,15040,0,15040,15040,2473,13566
160,15179,0,15179,15179,2473,13566
161,15027,0,15027,15027,2473,13566
162,15357,0,15357,15357,2473,13566
163,14853,0,14853,14853,2473,13566
164,14937,0,14937,14937,2473,13566
165,14959,0,14959,14959,2473,13566
166,14832,0,14832,14832,2473,13566
167,15015,0,15015,15015,2473,13566
168,15018,0,15018,15018,2473,13566
169,14874,0,14874,14874,2473,13566
170,14842,0,14842,14842,2473,13566
171,14916,0,14916,14916,2473,13566
172,14933,0,14933,14933,2473,13566
173,14789,0,14789,14789,2473,13566
174,14687,0,14687,14687,2473,13566
175,14864,0,14864,14864,2473,13566
176,14988,0,14988,14988,2473,13566
177,14968,0,14968,14968,2473,13566
178,14926,0,14926,14926,2473,13566
179,15017,0,15017,15017,2473,13566
180,15042,0,15042,15042,2473,13566
181,14927,0,14927,14927,2473,13566
182,14940,0,14940,14940,2473,13566
183,15015,0,15015,15015,2473,13566
184,14956,0,14956,14956,2473,13566
185,14995,0,14995,14995,2473,13566
186,14853,0,14853,14853,2473,13566
187,15292,0,15292,15292,2473,13566
188,14851,0,14851,14851,2473,13566
189,14988,0,14988,14988,2473,13566
190,15009,0,15009,15009,2473,13566
191,15033,0,15033,15033,2473,13566
192,15023,0,15023,15023,2473,13566
193,14981,0,14981,14981,2473,13566
194,15033,0,15033,15033,2473,13566
195,15031,0,15031,15031,2473,13566
196,15041,0,15041,15041,2473,13566
197,14941,0,14941,14941,2473,13566
198,14938,0,14938,14938,2473,13566
199,15218,0,15218,15218,2473,13566
200,14932,0,14932,14932,2473,13566
201,15035,0,15035,15035,2473,13566
202,15075,0,15075,15075,2473,13566
203,15055,0,15055,15055,2473,13566
204,14829,0,14829,14829,2473,13566
205,14893,0,14893,14893,2473,13566
206,14913,0,14913,14913,2473,13566
207,15003,0,15003,15003,2473,13566
208,14686,0,14686,14686,2473,13566
209,14916,0,14916,14916,2473,13566
210,14872,0,14872,14872,2473,13566
211,14717,0,14717,14717,2473,13566
212,14809,0,14809,14809,2473,13566
213,14827,0,14827,14827,2473,13566
214,14752,0,14752,14752,2473,13566
215,14735,0,14735,14735,2473,13566
216,14786,0,14786,14786,2473,13566
217,14963,0,14963,14963,2473,13566
218,14844,0,14844,14844,2473,13566
219,14942,0,14942,14942,2473,13566
220,14868,0,14868,14868,2473,13566
221,14977,0,14977,14977,2473,13566
222,14666,0,14666,14666,2473,13566
223,14822,0,14822,14822,2473,13566
224,14858,0,14858,14858,2473,13566
225,29972,0,29972,29972,2473,13566
226,15047,0,15047,15047,2473,13566
227,14909,0,14909,14909,2473,13566
228,14877,0,14877,14877,2473,13566
229,14848,0,14848,14848,2473,13566
230,14824,0,14824,14824,2473,13566
231,14894,0,14894,14894,2473,13566
232,14751,0,14751,14751,2473,13566
233,14882,0,14882,14882,2473,13566
234,14938,0,14938,14938,2473,13566
235,14819,0,14819,14819,2473,13566
236,14797,0,14797,14797,2473,13566
237,14868,0,14868,14868,2473,13566
238,14802,0,14802,14802,2473,13566
239,14802,0,14802,14802,2473,13566
240,14831,0,14831,14831,2473,13566
241,14675,0,14675,14675,2473,13566
242,14862,0,14862,14862,2473,13566
243,14862,0,14862,14862,2473,13566
244,14720,0,14720,14720,2473,13566
245,14757,0,14757,14757,2473,13566
246,14740,0,14740,14740,2473,13566
247,14716,0,14716,14716,2473,13566
248,14851,0,14851,14851,2473,13566
249,14683,0,14683,14683,2473,13566
250,14759,0,14759,14759,2473,13566
251,19570,0,19570,19570,2473,13566
252,17849,0,17849,17849,2473,13566
253,15011,0,15011,15011,2473,13566
254,15012,0,15012,15012,2473,13566
255,15027,0,15027,15027,2473,13566
256,14974,0,14974,14974,2473,13566
257,14806,0,14806,14806,2473,13566
258,14870,0,14870,14870,2473,13566
259,14809,0,14809,14809,2473,13566
260,14847,0,14847,14847,2473,13566
261,15360,0,15360,15360,2473,13566
262,25919,0,25919,25919,2473,13566
263,15846,0,15846,15846,2473,13566
264,15201,0,15201,15201,2473,13566
265,15211,0,15211,15211,2473,13566
266,15512,0,15512,15512,2473,13566
267,15468,0,15468,15468,2473,13566
268,14916,0,14916,14916,2473,13566
269,16244,0,16244,16244,2473,13566
270,17651,0,17651,17651,2473,13566
271,15178,0,15178,15178,2473,13566
272,14903,0,14903,14903,2473,13566
273,25496,0,25496,25496,2473,13566
274,40565,0,40565,40565,2473,13566
275,16276,0,16276,16276,2473,13566
276,15193,0,15193,15193,2473,13566
277,14915,0,14915,14915,2473,13566
278,14873,0,14873,14873,2473,13566
279,15141,0,15141,15141,2473,13566
280,14889,0,14889,14889,2473,13566
281,14961,0,14961,14961,2473,13566
282,14719,0,14719,14719,2473,13566
283,14659,0,14659,14659,2473,13566
284,15067,0,15067,15067,2473,13566
285,15280,0,15280,15280,2473,13566
286,14940,0,14940,14940,2473,13566
287,14754,0,14754,14754,2473,13566
288,14657,0,14657,14657,2473,13566
289,14721,0,14721,14721,2473,13566
290,14779,0,14779,14779,2473,13566
291,14927,0,14927,14927,2473,13566
292,14623,0,14623,14623,2473,13566
293,14805,0,14805,14805,2473,13566
294,14712,0,14712,14712,2473,13566
295,14776,0,14776,14776,2473,13566
296,14703,0,14703,14703,2473,13566
297,14713,0,14713,14713,2473,13566
298,14733,0,14733,14733,2473,13566
299,15064,0,15064,15064,2473,13566
300,14806,0,14806,14806,2473,13566
301,14798,0,14798,14798,2473,13566
