count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,59544,0,59544,0,0
52,43155,0,43155,0,0
53,52795,0,52795,0,0
54,112400,0,112400,0,0
55,18821,0,18821,0,0
56,57678,0,57678,0,0
57,107895,0,107895,0,0
58,86630,0,86630,0,0
59,263986,0,263986,0,0
60,96851,0,96851,0,0
61,72375,0,72375,0,0
62,63210,0,63210,0,0
63,42679,0,42679,0,0
64,72941,0,72941,0,0
65,50387,0,50387,0,0
66,12467,0,12467,0,0
67,60645,0,60645,0,0
68,99656,0,99656,0,0
69,59547,0,59547,0,0
70,43236,0,43236,0,0
71,43717,0,43717,0,0
72,46015,0,46015,0,0
73,37029,0,37029,0,0
74,42643,0,42643,0,0
75,57324,0,57324,0,0
76,92781,0,92781,0,0
77,18238,0,18238,0,0
78,52961,0,52961,0,0
79,131441,0,131441,0,0
80,53344,0,53344,0,0
81,48782,0,48782,0,0
82,46978,0,46978,0,0
83,16993,0,16993,0,0
84,39034,0,39034,0,0
85,25228,0,25228,0,0
86,37679,0,37679,0,0
87,34628,0,34628,0,0
88,16558,0,16558,0,0
89,37337,0,37337,0,0
90,33921,0,33921,0,0
91,21610,0,21610,0,0
92,37768,0,37768,0,0
93,33747,0,33747,0,0
94,25018,0,25018,0,0
95,64391,0,64391,0,0
96,107128,0,107128,0,0
97,70730,0,70730,0,0
98,85103,0,85103,0,0
99,73159,0,73159,0,0
100,86183,0,86183,0,0
101,79322,0,79322,0,0
102,67351,0,67351,0,0
103,106094,0,106094,0,0
104,63192,0,63192,0,0
105,42890,0,42890,0,0
106,57319,0,57319,0,0
107,33081,0,33081,0,0
108,15984,0,15984,0,0
109,34076,0,34076,0,0
110,30165,0,30165,0,0
111,19188,0,19188,0,0
112,33634,0,33634,0,0
113,30590,0,30590,0,0
114,15505,0,15505,0,0
115,39733,0,39733,0,0
116,28915,0,28915,0,0
117,28798,0,28798,0,0
118,27369,0,27369,0,0
119,26734,0,26734,0,0
120,27018,0,27018,0,0
121,27557,0,27557,0,0
122,26791,0,26791,0,0
123,27351,0,27351,0,0
124,38128,0,38128,0,0
125,25349,0,25349,0,0
126,31859,0,31859,0,0
127,31402,0,31402,0,0
128,25682,0,25682,0,0
129,30097,0,30097,0,0
130,25071,0,25071,0,0
131,27123,0,27123,0,0
132,25049,0,25049,0,0
133,32342,0,32342,0,0
134,33939,0,33939,0,0
135,24190,0,24190,0,0
136,24558,0,24558,0,0
137,24274,0,24274,0,0
138,27300,0,27300,0,0
139,22883,0,22883,0,0
140,23608,0,23608,0,0
141,37134,0,37134,0,0
142,60200,0,60200,0,0
143,28325,0,28325,0,0
144,57591,0,57591,0,0
145,59615,0,59615,0,0
146,35314,0,35314,0,0
147,40381,0,40381,0,0
148,22033,0,22033,0,0
149,21953,0,21953,0,0
150,25135,0,25135,0,0
151,21521,0,21521,0,0
152,21927,0,21927,0,0
153,24180,0,24180,0,0
154,19849,0,19849,0,0
155,22091,0,22091,0,0
156,22380,0,22380,0,0
157,20061,0,20061,0,0
158,25426,0,25426,0,0
159,20861,0,20861,0,0
160,23369,0,23369,0,0
161,22206,0,22206,0,0
162,33389,0,33389,0,0
163,24401,0,24401,0,0
164,22305,0,22305,0,0
165,41539,0,41539,0,0
166,21823,0,21823,0,0
167,22817,0,22817,0,0
168,19923,0,19923,0,0
169,22533,0,22533,0,0
170,22548,0,22548,0,0
171,20250,0,20250,0,0
172,21965,0,21965,0,0
173,22369,0,22369,0,0
174,22443,0,22443,0,0
175,22857,0,22857,0,0
176,22729,0,22729,0,0
177,26601,0,26601,0,0
178,23072,0,23072,0,0
179,22647,0,22647,0,0
180,22934,0,22934,0,0
181,23104,0,23104,0,0
182,23460,0,23460,0,0
183,22566,0,22566,0,0
184,22556,0,22556,0,0
185,22745,0,22745,0,0
186,22612,0,22612,0,0
187,23106,0,23106,0,0
188,24676,0,24676,0,0
189,49637,0,49637,0,0
190,51750,0,51750,0,0
191,48002,0,48002,0,0
192,28177,0,28177,0,0
193,48976,0,48976,0,0
194,28515,0,28515,0,0
195,24045,0,24045,0,0
196,96138,0,96138,0,0
197,49562,0,49562,0,0
198,49788,0,49788,0,0
199,39161,0,39161,0,0
200,53462,0,53462,0,0
201,59245,0,59245,0,0
202,53909,0,53909,0,0
203,52128,0,52128,0,0
204,37149,0,37149,0,0
205,44403,0,44403,0,0
206,59347,0,59347,0,0
207,74865,0,74865,0,0
208,36806,0,36806,0,0
209,26201,0,26201,0,0
210,20806,0,20806,0,0
211,23549,0,23549,0,0
212,20415,0,20415,0,0
213,22946,0,22946,0,0
214,20291,0,20291,0,0
215,22693,0,22693,0,0
216,28845,0,28845,0,0
217,20520,0,20520,0,0
218,22672,0,22672,0,0
219,19906,0,19906,0,0
220,22313,0,22313,0,0
221,20202,0,20202,0,0
222,25712,0,25712,0,0
223,20209,0,20209,0,0
224,22396,0,22396,0,0
225,20041,0,20041,0,0
226,22454,0,22454,0,0
227,22167,0,22167,0,0
228,22646,0,22646,0,0
229,22479,0,22479,0,0
230,22556,0,22556,0,0
231,22632,0,22632,0,0
232,22844,0,22844,0,0
233,23091,0,23091,0,0
234,22683,0,22683,0,0
235,22579,0,22579,0,0
236,22882,0,22882,0,0
237,23001,0,23001,0,0
238,22688,0,22688,0,0
239,22785,0,22785,0,0
240,22661,0,22661,0,0
241,22464,0,22464,0,0
242,22479,0,22479,0,0
243,22550,0,22550,0,0
244,23365,0,23365,0,0
245,22688,0,22688,0,0
246,22614,0,22614,0,0
247,22355,0,22355,0,0
248,22262,0,22262,0,0
249,19993,0,19993,0,0
250,46045,0,46045,0,0
251,19491,0,19491,0,0
252,20504,0,20504,0,0
253,27194,0,27194,0,0
254,48350,0,48350,0,0
255,45225,0,45225,0,0
256,34536,0,34536,0,0
257,48787,0,48787,0,0
258,36711,0,36711,0,0
259,28013,0,28013,0,0
260,51178,0,51178,0,0
261,36223,0,36223,0,0
262,34611,0,34611,0,0
263,39890,0,39890,0,0
264,24909,0,24909,0,0
265,22898,0,22898,0,0
266,22855,0,22855,0,0
267,22754,0,22754,0,0
268,22664,0,22664,0,0
269,23032,0,23032,0,0
270,22834,0,22834,0,0
271,22378,0,22378,0,0
272,23431,0,23431,0,0
273,22744,0,22744,0,0
274,22580,0,22580,0,0
275,22544,0,22544,0,0
276,22745,0,22745,0,0
277,22599,0,22599,0,0
278,22487,0,22487,0,0
279,19785,0,19785,0,0
280,19656,0,19656,0,0
281,19854,0,19854,0,0
282,20039,0,20039,0,0
283,21781,0,21781,0,0
284,19540,0,19540,0,0
285,19855,0,19855,0,0
286,19747,0,19747,0,0
287,19526,0,19526,0,0
288,19524,0,19524,0,0
289,19449,0,19449,0,0
290,19613,0,19613,0,0
291,19595,0,19595,0,0
292,19392,0,19392,0,0
293,19431,0,19431,0,0
294,19315,0,19315,0,0
295,19512,0,19512,0,0
296,19603,0,19603,0,0
297,19677,0,19677,0,0
298,19658,0,19658,0,0
299,19622,0,19622,0,0
300,19562,0,19562,0,0
301,19999,0,19999,0,0
302,19933,0,19933,0,0
303,19701,0,19701,0,0
304,19611,0,19611,0,0
305,19794,0,19794,0,0
306,19579,0,19579,0,0
307,19816,0,19816,0,0
308,19484,0,19484,0,0
309,20435,0,20435,0,0
310,19507,0,19507,0,0
311,19657,0,19657,0,0
312,19589,0,19589,0,0
313,19388,0,19388,0,0
314,19586,0,19586,0,0
